Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,33.049999,33.50,32.349998,32.700001,133400,32.700001
2016-11-30,33.349998,33.50,32.549999,32.900002,122300,32.900002
2016-11-29,33.50,33.50,32.00,33.200001,148600,33.070001
2016-11-28,33.700001,33.779999,33.23,33.50,117300,33.368825
2016-11-25,33.450001,33.900002,33.150002,33.900002,50700,33.76726
2016-11-23,32.900002,33.549999,32.849998,33.400002,117200,33.269218
2016-11-22,32.950001,33.099998,32.630001,33.049999,169900,32.920586
2016-11-21,32.900002,33.150002,32.599998,32.900002,156900,32.771176
2016-11-18,33.00,33.049999,32.700001,32.799999,154000,32.671565
2016-11-17,32.599998,33.00,32.599998,32.849998,120500,32.721369
2016-11-16,32.25,32.400002,31.950001,32.400002,135000,32.273134
2016-11-15,33.50,33.50,32.200001,32.299999,163100,32.173523
2016-11-14,32.25,33.099998,32.200001,33.049999,206300,32.920586
2016-11-11,30.40,32.200001,30.40,32.200001,293000,32.073916
2016-11-10,29.950001,30.60,29.299999,30.379999,269100,30.261041
2016-11-09,28.35,30.10,28.15,29.799999,154800,29.683312
2016-11-08,28.25,28.700001,28.08,28.35,80700,28.238991
2016-11-07,28.10,28.50,27.90,28.35,101200,28.238991
2016-11-04,27.50,28.809999,27.50,27.549999,155500,27.442123
2016-11-03,28.75,28.75,27.450001,27.549999,187500,27.442123
2016-11-02,29.049999,29.280001,28.549999,28.549999,114600,28.438207
2016-11-01,30.10,30.190001,28.549999,29.049999,148300,28.936249
2016-10-31,29.60,30.00,29.15,29.950001,154400,29.832727
2016-10-28,29.40,29.60,29.25,29.450001,96100,29.334684
2016-10-27,29.25,29.549999,29.049999,29.50,113000,29.384488
2016-10-26,29.299999,29.549999,28.90,29.15,148400,29.035858
2016-10-25,29.799999,29.799999,29.15,29.549999,134700,29.434291
2016-10-24,29.75,30.10,29.25,29.799999,122100,29.683312
2016-10-21,28.60,29.60,28.60,29.549999,112400,29.434291
2016-10-20,28.549999,29.15,28.50,28.90,80500,28.786837
2016-10-19,29.299999,29.299999,28.66,28.85,118800,28.737033
2016-10-18,29.60,29.85,29.10,29.200001,115100,29.085663
2016-10-17,29.25,29.35,28.90,29.299999,71500,29.18527
2016-10-14,29.50,29.700001,29.25,29.35,68700,29.235076
2016-10-13,29.50,29.50,29.049999,29.299999,76800,29.18527
2016-10-12,29.450001,30.35,29.40,29.60,66300,29.484097
2016-10-11,29.950001,30.09,29.35,29.50,118500,29.384488
2016-10-10,29.60,30.10,29.60,29.950001,52200,29.832727
2016-10-07,30.639999,30.639999,29.530001,29.59,273700,29.474136
2016-10-06,30.51,30.75,30.209999,30.73,133700,30.609671
2016-10-05,30.049999,30.799999,29.860001,30.48,158800,30.36065
2016-10-04,29.110001,29.98,29.110001,29.90,210900,29.782921
2016-10-03,28.719999,29.219999,28.360001,29.17,131100,29.05578
2016-09-30,28.41,29.02,28.290001,28.82,172500,28.70715
2016-09-29,28.34,28.52,28.200001,28.219999,66100,28.109499
2016-09-28,28.379999,28.49,28.139999,28.360001,92400,28.248952
2016-09-27,28.07,28.40,27.959999,28.32,77700,28.209108
2016-09-26,28.200001,28.42,27.870001,28.030001,98200,27.920245
2016-09-23,28.719999,28.85,28.360001,28.41,109300,28.298756
2016-09-22,28.610001,28.959999,28.610001,28.790001,131300,28.677269
2016-09-21,28.459999,28.809999,28.25,28.549999,104700,28.438207
2016-09-20,28.40,28.719999,28.309999,28.41,171200,28.298756
2016-09-19,28.379999,28.65,28.15,28.35,100500,28.238991
