Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,11.65,11.70,11.60,11.70,10100,11.70
2016-11-30,11.75,11.75,11.60,11.70,27600,11.70
2016-11-29,11.60,11.75,11.60,11.75,36300,11.75
2016-11-28,11.65,11.65,11.50,11.60,20300,11.60
2016-11-25,11.60,11.70,11.55,11.65,9200,11.65
2016-11-23,11.60,11.70,11.60,11.60,14600,11.60
2016-11-22,11.65,11.70,11.625,11.70,19800,11.70
2016-11-21,11.55,11.70,11.55,11.65,13500,11.65
2016-11-18,11.55,11.65,11.40,11.60,39800,11.60
2016-11-17,11.80,11.80,11.60,11.70,48900,11.603
2016-11-16,11.55,11.80,11.45,11.75,65400,11.652586
2016-11-15,11.40,11.70,11.40,11.50,60200,11.404658
2016-11-14,11.40,11.475,11.30,11.45,50100,11.355073
2016-11-11,11.25,11.45,11.25,11.40,32200,11.305487
2016-11-10,11.25,11.40,11.25,11.30,26100,11.206317
2016-11-09,10.95,11.40,10.95,11.30,42900,11.206317
2016-11-08,11.05,11.15,10.90,11.05,25700,10.958389
2016-11-07,11.30,11.30,11.05,11.05,68100,10.958389
2016-11-04,11.20,11.30,11.00,11.15,54300,11.05756
2016-11-03,11.05,11.25,10.95,11.20,45700,11.107145
2016-11-02,11.05,11.15,10.95,10.95,44300,10.859218
2016-11-01,11.15,11.15,11.05,11.15,44400,11.05756
2016-10-31,11.20,11.30,11.10,11.15,22900,11.05756
2016-10-28,11.10,11.30,11.05,11.25,22100,11.156731
2016-10-27,11.125,11.15,10.95,11.15,38900,11.05756
2016-10-26,11.05,11.20,11.00,11.15,34700,11.05756
2016-10-25,11.15,11.15,11.05,11.15,26800,11.05756
2016-10-24,11.15,11.20,11.05,11.10,38200,11.007975
2016-10-21,11.00,11.25,10.95,11.20,21500,11.107145
2016-10-20,11.00,11.10,10.95,11.05,45400,10.958389
2016-10-19,10.95,11.277,10.90,11.10,66200,11.007975
2016-10-18,11.05,11.15,11.05,11.15,19200,10.961364
2016-10-17,10.85,11.20,10.85,11.00,46400,10.813902
2016-10-14,11.01,11.01,10.90,10.92,24700,10.735255
2016-10-13,10.89,11.07,10.85,11.01,40800,10.823733
