Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,19.49,19.49,19.35,19.389999,16200,19.389999
2016-11-30,19.41,19.48,19.379999,19.42,5700,19.42
2016-11-29,19.299999,19.370001,19.299999,19.33,4700,19.33
2016-11-28,19.32,19.32,19.25,19.25,7400,19.25
2016-11-25,19.389999,19.42,19.360001,19.41,6300,19.41
2016-11-23,19.200001,19.35,19.200001,19.299999,2400,19.299999
2016-11-22,19.41,19.41,19.27,19.33,7400,19.33
2016-11-21,19.33,19.360001,19.280001,19.360001,8600,19.360001
2016-11-18,19.299999,19.299999,19.129999,19.16,8900,19.16
2016-11-17,19.290001,19.42,19.290001,19.360001,11100,19.360001
2016-11-16,19.389999,19.389999,19.280001,19.299999,2200,19.299999
2016-11-15,19.34,19.40,19.299999,19.40,8800,19.40
2016-11-14,19.219999,19.370001,19.219999,19.32,9200,19.32
2016-11-11,19.26,19.450001,19.23,19.370001,50400,19.370001
2016-11-10,19.65,19.690001,19.459999,19.57,27700,19.57
2016-11-09,19.440001,19.700001,19.200001,19.59,22700,19.59
2016-11-08,19.299999,19.51,19.299999,19.43,3600,19.43
2016-11-07,19.309999,19.34,19.25,19.34,3600,19.34
2016-11-04,19.120001,19.129999,18.98,18.98,34500,18.98
2016-11-03,19.34,19.34,19.15,19.15,2000,19.15
2016-11-02,19.51,19.51,19.25,19.25,1400,19.25
2016-11-01,19.610001,19.610001,19.34,19.42,6100,19.42
2016-10-31,19.58,19.58,19.450001,19.48,2700,19.48
2016-10-28,19.50,19.549999,19.50,19.50,5400,19.50
2016-10-27,19.610001,19.66,19.610001,19.66,2000,19.66
2016-10-26,19.58,19.610001,19.540001,19.559999,1400,19.559999
2016-10-25,19.700001,19.700001,19.639999,19.68,6800,19.68
2016-10-24,19.719999,19.75,19.65,19.709999,10700,19.709999
2016-10-21,19.73,19.74,19.66,19.700001,6300,19.700001
2016-10-20,19.690001,19.809999,19.690001,19.799999,1700,19.799999
2016-10-19,19.780001,19.780001,19.67,19.74,2400,19.74
2016-10-18,19.68,19.68,19.68,19.68,4000,19.68
2016-10-17,19.450001,19.51,19.43,19.43,4600,19.43
2016-10-14,19.57,19.610001,19.549999,19.610001,3300,19.610001
2016-10-13,19.360001,19.620001,19.360001,19.620001,900,19.620001
2016-10-12,19.700001,19.709999,19.620001,19.66,2900,19.66
2016-10-11,19.940001,19.959999,19.700001,19.77,26200,19.77
2016-10-10,19.98,20.15,19.98,20.07,9500,20.07
2016-10-07,19.91,19.99,19.90,19.959999,1600,19.959999
2016-10-06,20.049999,20.129999,20.049999,20.129999,1500,20.129999
2016-10-05,20.309999,20.309999,20.309999,20.309999,1200,20.309999
2016-10-04,20.27,20.27,20.110001,20.110001,1700,20.110001
2016-10-03,20.040001,20.059999,20.040001,20.059999,400,20.059999
2016-09-30,20.02,20.219999,20.02,20.17,4900,20.17
2016-09-29,20.07,20.07,20.030001,20.07,2200,20.07
2016-09-28,20.15,20.280001,20.08,20.280001,2900,20.280001
2016-09-27,20.10,20.10,20.10,20.10,1000,20.10
2016-09-26,20.129999,20.129999,20.07,20.07,800,20.07
2016-09-23,20.25,20.32,20.25,20.280001,1100,20.280001
2016-09-22,20.50,20.610001,20.50,20.559999,2700,20.559999
2016-09-21,20.040001,20.040001,20.040001,20.040001,300,20.040001
2016-09-20,19.959999,19.959999,19.91,19.91,1000,19.91
2016-09-19,19.959999,19.969999,19.790001,19.85,4500,19.85
2016-09-16,19.860001,19.860001,19.68,19.700001,2000,19.700001
2016-09-15,19.959999,20.190001,19.92,20.15,3600,20.010999
2016-09-14,20.00,20.00,20.00,20.00,300,19.862034
2016-09-13,20.290001,20.290001,20.01,20.02,2800,19.881897
2016-09-12,20.299999,20.370001,20.26,20.370001,1400,20.229483
2016-09-09,20.450001,20.450001,20.32,20.32,3300,20.179827
2016-09-08,20.610001,20.74,20.610001,20.700001,8500,20.557206
2016-09-07,20.82,20.82,20.67,20.67,2900,20.527413
2016-09-06,20.76,20.76,20.59,20.700001,9500,20.557206
2016-09-02,20.700001,20.700001,20.52,20.60,3700,20.457896
2016-09-01,20.27,20.299999,20.27,20.299999,2500,20.159964
2016-08-31,20.41,20.41,20.18,20.23,12100,20.090447
2016-08-30,20.360001,20.379999,20.32,20.33,12800,20.189758
2016-08-29,20.299999,20.360001,20.27,20.309999,8200,20.169895
2016-08-26,20.469999,20.469999,20.190001,20.23,3200,20.090447
2016-08-25,20.40,20.40,20.40,20.40,000,20.259275
2016-08-24,20.40,20.41,20.40,20.40,2800,20.259275
2016-08-23,20.48,20.51,20.43,20.43,900,20.289068
2016-08-22,20.32,20.379999,20.32,20.379999,5600,20.239412
2016-08-19,20.43,20.43,20.27,20.34,1200,20.199689
2016-08-18,20.50,20.50,20.40,20.440001,10500,20.299
2016-08-17,20.440001,20.440001,20.299999,20.41,3600,20.269206
2016-08-16,20.389999,20.40,20.360001,20.389999,1100,20.249343
2016-08-15,20.33,20.379999,20.33,20.379999,1700,20.239412
2016-08-12,20.280001,20.290001,20.24,20.280001,2800,20.140103
2016-08-11,20.299999,20.389999,20.299999,20.34,1400,20.199689
2016-08-10,20.26,20.26,20.16,20.16,4600,20.02093
2016-08-09,20.07,20.24,20.07,20.16,6000,20.02093
2016-08-08,20.01,20.120001,20.01,20.09,1900,19.951414
2016-08-05,20.00,20.059999,20.00,20.059999,800,19.92162
2016-08-04,19.99,20.02,19.959999,19.99,8400,19.852103
2016-08-03,19.950001,19.950001,19.809999,19.860001,102900,19.723001
2016-08-02,19.90,19.940001,19.889999,19.940001,6000,19.802449
2016-08-01,20.219999,20.219999,19.99,19.99,3600,19.852103
2016-07-29,20.120001,20.219999,20.059999,20.209999,3100,20.070585
2016-07-28,20.08,20.08,19.889999,20.02,7800,19.881897
2016-07-27,20.18,20.18,19.93,20.049999,3400,19.911689
