Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,63.400002,64.599998,63.200001,63.299999,231000,63.299999
2016-11-30,64.099998,64.199997,63.400002,63.450001,156500,63.450001
2016-11-29,64.400002,64.599998,63.599998,63.75,131400,63.75
2016-11-28,64.849998,64.900002,64.199997,64.400002,212200,64.180003
2016-11-25,64.50,65.400002,64.25,65.050003,97000,64.827784
2016-11-23,64.800003,64.949997,64.300003,64.349998,184800,64.130171
2016-11-22,64.900002,64.900002,63.709999,64.50,196500,64.27966
2016-11-21,65.199997,65.300003,64.400002,64.599998,161300,64.379317
2016-11-18,66.199997,66.199997,64.199997,65.199997,177300,64.977266
2016-11-17,65.400002,66.300003,65.300003,65.900002,216300,65.674879
2016-11-16,65.550003,66.349998,63.400002,66.300003,115200,66.073514
2016-11-15,65.900002,66.099998,64.400002,65.550003,277000,65.326076
2016-11-14,64.949997,67.599998,64.25,65.900002,315100,65.674879
2016-11-11,62.75,64.050003,62.099998,63.849998,228000,63.631879
2016-11-10,61.349998,62.900002,60.450001,62.50,228800,62.286492
2016-11-09,58.849998,60.049999,58.299999,59.950001,126300,59.745204
2016-11-08,58.150002,58.950001,58.150002,58.700001,76800,58.499474
2016-11-07,58.900002,58.950001,58.150002,58.450001,131300,58.250328
2016-11-04,57.799999,58.150002,57.150002,57.950001,130400,57.752037
2016-11-03,57.299999,57.950001,57.049999,57.849998,111300,57.652376
2016-11-02,55.700001,57.50,54.849998,57.200001,179000,57.004599
2016-11-01,55.700001,56.00,54.50,54.650002,94200,54.463311
2016-10-31,55.25,55.849998,54.950001,55.599998,103900,55.410062
2016-10-28,54.950001,55.450001,54.400002,55.25,73100,55.061259
2016-10-27,55.549999,55.599998,54.50,54.900002,75400,54.712456
2016-10-26,55.849998,56.049999,55.599998,55.650002,77500,55.459894
2016-10-25,55.900002,56.049999,55.549999,55.950001,54500,55.758869
2016-10-24,56.099998,56.349998,55.650002,55.950001,83000,55.758869
2016-10-21,56.00,56.400002,55.150002,55.75,109900,55.559551
2016-10-20,57.700001,57.700001,56.349998,56.450001,172400,56.257161
2016-10-19,57.799999,58.049999,57.380001,57.950001,100100,57.752037
2016-10-18,58.00,58.049999,57.400002,57.799999,100000,57.602547
2016-10-17,57.700001,57.900002,57.549999,57.799999,77500,57.602547
2016-10-14,57.59,57.860001,57.360001,57.689999,86400,57.492923
2016-10-13,57.290001,57.59,56.799999,57.50,91100,57.303573
2016-10-12,57.169998,57.91,57.169998,57.470001,58500,57.273677
2016-10-11,57.560001,57.630001,56.970001,57.16,71000,56.964734
2016-10-10,56.919998,57.919998,56.720001,57.830002,176700,57.632448
2016-10-07,56.32,57.209999,56.32,56.889999,74100,56.695656
2016-10-06,56.93,56.93,56.130001,56.400002,115400,56.207332
2016-10-05,56.50,57.02,56.50,56.790001,188700,56.595999
2016-10-04,55.549999,56.68,54.970001,56.509998,188200,56.316953
2016-10-03,56.470001,56.720001,55.540001,55.75,77300,55.559551
2016-09-30,56.18,56.689999,55.82,56.419998,103400,56.227261
2016-09-29,56.18,56.860001,55.98,56.099998,127400,55.908354
2016-09-28,55.630001,56.59,55.400002,56.48,102700,56.287057
2016-09-27,55.299999,55.610001,55.18,55.490002,107100,55.300441
2016-09-26,55.990002,55.990002,55.240002,55.34,85200,55.150952
2016-09-23,56.650002,56.650002,55.939999,55.939999,83200,55.748901
2016-09-22,56.16,56.939999,55.759998,56.889999,72700,56.695656
2016-09-21,55.59,56.360001,55.240002,56.119999,73200,55.928286
2016-09-20,55.57,56.07,55.540001,55.540001,62200,55.35027
2016-09-19,55.93,56.25,54.91,55.50,158200,55.310405
2016-09-16,56.18,56.400002,55.84,55.98,373400,55.788765
2016-09-15,55.450001,56.060001,55.400002,56.060001,67000,55.868494
2016-09-14,56.00,56.310001,55.330002,55.43,147900,55.240645
2016-09-13,55.91,56.25,55.619999,55.93,147400,55.738937
2016-09-12,55.84,56.41,55.419998,56.369999,80300,56.177432
2016-09-09,56.619999,56.950001,55.73,55.73,108100,55.539619
2016-09-08,57.200001,57.450001,56.919998,57.00,117100,56.805281
2016-09-07,56.82,57.34,56.630001,57.290001,124700,57.094291
2016-09-06,56.57,56.75,56.16,56.639999,111500,56.44651
2016-09-02,56.73,57.139999,56.049999,56.709999,168000,56.516271
2016-09-01,56.709999,56.790001,55.860001,56.639999,125400,56.44651
2016-08-31,57.009998,57.369999,56.400002,56.740002,160900,56.546171
2016-08-30,56.939999,57.25,56.779999,57.150002,125100,56.95477
2016-08-29,56.700001,57.959999,56.700001,57.009998,74000,56.815245
2016-08-26,56.759998,57.02,56.330002,56.700001,81700,56.506307
2016-08-25,56.50,56.889999,56.32,56.740002,79300,56.546171
2016-08-24,55.93,56.66,55.830002,56.560001,183600,56.366786
2016-08-23,55.560001,56.060001,55.560001,55.970001,94000,55.778801
2016-08-22,55.84,56.00,55.330002,55.639999,123000,55.449926
2016-08-19,55.509998,56.029999,55.439999,55.759998,158600,55.569515
2016-08-18,55.369999,55.52,54.939999,55.48,120400,55.290473
2016-08-17,55.009998,55.50,54.700001,55.310001,111000,55.121056
2016-08-16,54.799999,55.310001,54.529999,54.950001,137400,54.762285
2016-08-15,54.75,55.099998,54.580002,55.02,70100,54.832045
2016-08-12,54.529999,54.98,54.400002,54.869999,110900,54.682556
2016-08-11,54.939999,54.98,54.169998,54.549999,140100,54.36365
2016-08-10,54.75,55.09,54.52,54.880001,83600,54.473275
2016-08-09,54.59,54.939999,54.59,54.84,64200,54.433571
2016-08-08,54.310001,55.360001,54.150002,54.77,131600,54.36409
2016-08-05,54.549999,54.59,54.130001,54.470001,129600,54.066314
2016-08-04,54.470001,55.389999,54.02,54.259998,128900,53.857868
2016-08-03,55.48,57.650002,53.91,54.150002,383500,53.748686
2016-08-02,51.549999,52.02,51.330002,51.540001,154800,51.158029
2016-08-01,52.040001,52.380001,51.540001,51.709999,78000,51.326767
2016-07-29,52.830002,52.830002,51.650002,51.889999,109900,51.505433
2016-07-28,52.50,53.080002,52.27,52.700001,171400,52.309431
2016-07-27,52.349998,52.900002,52.330002,52.630001,62600,52.239951
2016-07-26,52.369999,52.990002,52.02,52.34,81800,51.952099
2016-07-25,52.290001,52.66,52.169998,52.23,120800,51.842914
2016-07-22,51.950001,52.610001,51.93,52.150002,81300,51.763508
2016-07-21,51.77,51.889999,51.189999,51.75,190800,51.366471
2016-07-20,52.150002,52.919998,51.77,52.00,154100,51.614619
2016-07-19,52.349998,52.389999,51.810001,51.990002,169800,51.604694
2016-07-18,52.529999,53.00,52.07,52.25,134900,51.862766
2016-07-15,53.290001,53.34,52.50,52.810001,152000,52.418617
2016-07-14,53.220001,53.490002,52.810001,53.02,135100,52.62706
2016-07-13,52.599998,53.32,52.41,53.040001,115200,52.646912
2016-07-12,52.310001,52.73,51.959999,52.549999,132400,52.160542
2016-07-11,51.900002,52.470001,51.860001,51.880001,135600,51.495509
2016-07-08,52.27,52.299999,51.759998,52.290001,154000,51.90247
2016-07-07,52.18,52.27,51.720001,51.939999,113000,51.555062
2016-07-06,52.00,52.459999,51.650002,52.02,187200,51.634471
2016-07-05,52.07,52.400002,51.75,52.290001,160900,51.90247
2016-07-01,51.950001,52.740002,51.900002,52.200001,182000,51.813137
2016-06-30,50.48,52.02,50.43,51.900002,163500,51.515361
2016-06-29,50.330002,50.84,50.130001,50.490002,147500,50.115811
2016-06-28,49.650002,50.18,49.50,49.810001,139100,49.44085
2016-06-27,50.110001,50.32,49.099998,49.349998,284800,48.984257
2016-06-24,50.50,51.18,49.82,50.560001,423800,50.185292
2016-06-23,51.200001,52.110001,50.889999,51.650002,121500,51.267214
2016-06-22,50.779999,51.09,50.509998,50.700001,129800,50.324254
2016-06-21,50.880001,50.880001,50.389999,50.639999,113300,50.264697
2016-06-20,51.240002,51.59,50.689999,50.720001,124300,50.344106
2016-06-17,51.599998,51.599998,50.57,50.759998,282900,50.383807
2016-06-16,51.00,51.68,50.970001,51.43,158700,51.048843
2016-06-15,52.419998,52.849998,51.439999,51.450001,92100,51.068695
2016-06-14,52.360001,52.509998,51.900002,52.16,70400,51.773433
2016-06-13,53.130001,53.580002,52.459999,52.59,75000,52.200246
2016-06-10,53.689999,53.830002,53.27,53.52,88800,53.123354
