Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,27.450001,27.719999,26.950001,27.299999,5700,27.299999
2016-11-30,27.549999,27.75,27.10,27.299999,4400,27.299999
2016-11-29,27.25,27.65,27.00,27.450001,8100,27.450001
2016-11-28,27.799999,27.799999,27.08,27.15,8500,27.15
2016-11-25,27.799999,27.950001,27.450001,27.950001,4000,27.950001
2016-11-23,27.950001,28.00,27.65,27.950001,4000,27.950001
2016-11-22,28.00,28.00,27.799999,27.799999,12200,27.799999
2016-11-21,27.75,28.00,27.700001,27.799999,6400,27.799999
2016-11-18,27.799999,27.85,27.450001,27.85,2900,27.85
2016-11-17,27.299999,27.799999,27.049999,27.799999,1200,27.799999
2016-11-16,27.00,27.50,26.90,27.40,9400,27.40
2016-11-15,27.700001,28.00,26.50,27.50,4900,27.50
2016-11-14,28.75,28.75,27.200001,27.50,20500,27.50
2016-11-11,27.10,28.65,26.700001,28.65,10500,28.65
2016-11-10,26.40,27.299999,25.959999,27.299999,8100,27.299999
2016-11-09,26.00,26.549999,25.309999,26.549999,8000,26.549999
2016-11-08,26.02,26.15,25.950001,26.00,4800,26.00
2016-11-07,25.60,26.00,25.60,25.950001,3500,25.950001
2016-11-04,25.450001,25.450001,25.01,25.25,6900,25.25
2016-11-03,25.700001,25.799999,25.50,25.50,2800,25.50
2016-11-02,25.85,25.93,25.75,25.799999,6800,25.799999
2016-11-01,26.200001,26.209999,25.76,25.90,12600,25.90
2016-10-31,26.10,26.299999,26.00,26.15,3800,26.15
2016-10-28,26.459999,27.26,26.08,26.41,7000,26.41
2016-10-27,26.530001,26.700001,26.139999,26.139999,5500,26.139999
2016-10-26,26.60,26.889999,26.559999,26.77,2800,26.77
2016-10-25,26.76,26.780001,26.540001,26.540001,3200,26.540001
2016-10-24,27.02,27.02,26.700001,26.85,7000,26.85
2016-10-21,26.889999,27.07,26.76,26.799999,2300,26.799999
2016-10-20,27.00,27.08,26.73,27.01,1200,27.01
2016-10-19,26.90,27.280001,26.90,27.129999,10200,27.129999
2016-10-18,26.719999,26.870001,26.719999,26.870001,2600,26.870001
2016-10-17,26.780001,26.809999,26.73,26.809999,1100,26.809999
2016-10-14,26.73,27.049999,26.73,26.82,3500,26.82
2016-10-13,26.98,26.98,26.73,26.73,1800,26.73
2016-10-12,26.73,26.799999,26.73,26.73,1600,26.73
2016-10-11,26.84,26.84,26.719999,26.73,4300,26.73
2016-10-10,26.709999,27.66,26.709999,26.93,4000,26.93
2016-10-07,26.700001,26.799999,26.700001,26.709999,5700,26.709999
2016-10-06,26.700001,26.82,26.68,26.75,8500,26.75
2016-10-05,27.030001,27.030001,26.74,26.84,5400,26.84
2016-10-04,26.91,27.780001,26.68,26.790001,6600,26.790001
2016-10-03,26.91,27.35,26.85,27.00,3300,27.00
2016-09-30,27.16,27.379999,26.76,26.860001,9100,26.860001
2016-09-29,27.120001,27.469999,26.950001,26.950001,4500,26.950001
2016-09-28,26.809999,27.15,26.76,26.98,15400,26.98
2016-09-27,27.25,27.27,26.860001,26.98,4000,26.92
2016-09-26,27.16,27.209999,27.059999,27.120001,2500,27.05969
2016-09-23,27.07,27.889999,27.07,27.67,6600,27.608466
2016-09-22,27.15,27.50,26.85,27.18,4200,27.119556
2016-09-21,27.059999,27.629999,26.82,27.01,12300,26.949934
2016-09-20,27.50,27.93,26.83,27.67,12500,27.608466
2016-09-19,27.370001,27.790001,26.719999,27.34,8100,27.2792
2016-09-16,26.809999,27.51,26.809999,27.360001,21800,27.299156
2016-09-15,26.65,26.91,26.60,26.74,6000,26.680534
2016-09-14,26.719999,26.889999,26.50,26.700001,14400,26.640624
2016-09-13,27.700001,27.93,26.57,26.65,9300,26.590734
2016-09-12,27.65,28.110001,27.60,28.07,10300,28.007576
2016-09-09,27.690001,27.92,27.65,27.65,8700,27.58851
2016-09-08,27.700001,28.00,27.700001,27.889999,6700,27.827976
2016-09-07,27.84,28.08,27.709999,27.799999,9100,27.738176
2016-09-06,28.049999,28.110001,27.709999,27.950001,7900,27.887844
2016-09-02,28.110001,28.16,27.99,28.16,1700,28.097376
2016-09-01,27.77,28.110001,27.74,27.950001,9800,27.887844
2016-08-31,28.190001,28.280001,27.93,28.08,3700,28.017554
2016-08-30,28.030001,28.389999,28.01,28.18,9200,28.117332
2016-08-29,28.15,28.26,28.08,28.139999,3300,28.07742
2016-08-26,28.379999,28.40,28.110001,28.200001,2600,28.137288
2016-08-25,28.389999,28.389999,28.09,28.200001,2400,28.137288
2016-08-24,28.25,28.40,28.02,28.35,5100,28.286954
2016-08-23,28.200001,28.40,27.74,28.40,7400,28.336842
2016-08-22,28.43,28.43,28.120001,28.33,6100,28.266998
2016-08-19,28.030001,28.610001,28.030001,28.379999,12400,28.316886
2016-08-18,28.190001,28.33,27.780001,28.01,12000,27.94771
2016-08-17,28.309999,28.50,28.09,28.23,4700,28.16722
2016-08-16,28.66,28.66,27.950001,28.49,15200,28.426642
2016-08-15,28.690001,28.690001,27.950001,28.32,13000,28.25702
2016-08-12,28.040001,28.50,27.90,28.16,5100,28.097376
2016-08-11,28.540001,28.690001,27.90,27.969999,13300,27.907798
2016-08-10,28.809999,28.809999,28.299999,28.59,9100,28.52642
2016-08-09,28.549999,28.75,28.309999,28.74,6700,28.676086
2016-08-08,28.74,29.799999,28.549999,28.559999,9500,28.496486
2016-08-05,28.90,28.959999,28.549999,28.74,12300,28.676086
2016-08-04,29.60,29.60,28.90,29.18,4900,29.115108
2016-08-03,28.57,28.76,28.559999,28.76,13900,28.696042
2016-08-02,28.629999,28.940001,28.530001,28.59,20400,28.52642
2016-08-01,29.23,29.74,28.799999,28.98,13300,28.915552
2016-07-29,30.00,30.00,29.50,29.58,4000,29.514218
2016-07-28,30.00,30.02,29.92,29.92,2100,29.853463
2016-07-27,30.07,30.10,29.959999,29.99,6700,29.923307
2016-07-26,29.90,30.059999,29.709999,29.90,2900,29.833507
2016-07-25,30.129999,30.129999,29.76,29.82,4400,29.753685
2016-07-22,29.85,30.09,29.799999,29.969999,9900,29.903351
2016-07-21,30.030001,30.030001,29.85,29.860001,1900,29.793596
2016-07-20,29.700001,30.08,29.700001,30.00,7700,29.933285
2016-07-19,29.02,30.00,29.02,29.85,9800,29.783618
2016-07-18,29.309999,29.790001,28.92,29.75,23700,29.68384
2016-07-15,30.040001,30.040001,29.549999,29.58,5900,29.514218
2016-07-14,29.85,30.02,29.85,30.02,5700,29.953241
2016-07-13,29.66,30.059999,29.66,29.870001,7400,29.803574
2016-07-12,30.40,31.049999,29.65,29.75,28200,29.68384
2016-07-11,30.26,31.190001,30.209999,30.35,14000,30.282507
2016-07-08,29.639999,30.67,29.60,30.629999,13700,30.561883
2016-07-07,29.709999,30.559999,29.200001,29.33,12800,29.264774
2016-07-06,29.76,30.25,28.42,29.98,12800,29.913329
2016-07-05,29.90,30.15,29.50,29.940001,13800,29.873418
2016-07-01,30.41,31.950001,30.23,30.43,17900,30.362329
2016-06-30,28.67,30.35,28.52,30.25,15400,30.182729
2016-06-29,28.09,28.790001,27.889999,28.790001,11500,28.725976
2016-06-28,27.959999,28.52,27.719999,27.940001,12600,27.877866
2016-06-27,29.08,29.08,27.77,27.90,16600,27.778087
2016-06-24,27.66,30.76,27.66,29.57,69000,29.44079
2016-06-23,30.129999,30.370001,28.309999,28.860001,30000,28.733893
2016-06-22,31.059999,31.360001,29.73,29.879999,9100,29.749435
2016-06-21,31.75,32.040001,30.690001,31.030001,12900,30.894411
