Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,4.38,4.50,4.25,4.30,49300,4.30
2016-11-30,4.32,4.44,4.30,4.37,103400,4.37
2016-11-29,4.38,4.43,4.30,4.34,53100,4.34
2016-11-28,4.33,4.58,4.30,4.33,39600,4.33
2016-11-25,4.43,4.53,4.35,4.42,24200,4.42
2016-11-23,4.50,4.58,4.36,4.48,29700,4.48
2016-11-22,4.53,4.63,4.41,4.51,201000,4.51
2016-11-21,4.38,4.50,4.29,4.47,20000,4.47
2016-11-18,4.35,4.39,4.23,4.35,48600,4.35
2016-11-17,4.30,4.51,4.30,4.41,19800,4.41
2016-11-16,4.32,4.38,4.24,4.38,17200,4.38
2016-11-15,4.49,4.53,4.29,4.34,20900,4.34
2016-11-14,4.52,4.59,4.41,4.55,28200,4.55
2016-11-11,4.06,4.48,4.05,4.46,70900,4.46
2016-11-10,4.11,4.24,3.87,4.18,27000,4.18
2016-11-09,3.80,4.07,3.80,4.06,38700,4.06
2016-11-08,3.86,4.02,3.86,3.90,19400,3.90
2016-11-07,3.91,3.98,3.80,3.89,25000,3.89
2016-11-04,3.86,3.92,3.80,3.84,24300,3.84
2016-11-03,3.81,3.90,3.77,3.83,16700,3.83
2016-11-02,3.96,3.96,3.75,3.78,25200,3.78
2016-11-01,3.97,3.98,3.93,3.94,11600,3.94
2016-10-31,3.95,4.03,3.93,3.99,24100,3.99
2016-10-28,4.03,4.10,3.87,3.98,54800,3.98
2016-10-27,4.27,4.27,4.10,4.14,26300,4.14
2016-10-26,4.37,4.41,4.25,4.29,30300,4.29
2016-10-25,4.41,4.45,4.35,4.41,29400,4.41
2016-10-24,4.48,4.48,4.35,4.44,19700,4.44
2016-10-21,4.36,4.41,4.30,4.41,16000,4.41
2016-10-20,4.40,4.44,4.37,4.40,86400,4.40
2016-10-19,4.37,4.45,4.34,4.44,182400,4.44
2016-10-18,4.38,4.42,4.35,4.39,36900,4.39
2016-10-17,4.31,4.37,4.28,4.36,19500,4.36
2016-10-14,4.31,4.40,4.30,4.35,24900,4.35
2016-10-13,4.44,4.44,4.35,4.37,16900,4.37
2016-10-12,4.43,4.52,4.42,4.49,11800,4.49
2016-10-11,4.48,4.54,4.41,4.47,20400,4.47
2016-10-10,4.44,4.54,4.44,4.52,16200,4.52
2016-10-07,4.47,4.51,4.38,4.47,31100,4.47
2016-10-06,4.40,4.54,4.40,4.51,36900,4.51
2016-10-05,4.37,4.46,4.31,4.45,24800,4.45
2016-10-04,4.55,4.55,4.39,4.41,16200,4.41
2016-10-03,4.58,4.65,4.53,4.58,28900,4.58
2016-09-30,4.51,4.70,4.47,4.70,41700,4.70
2016-09-29,4.52,4.57,4.50,4.53,24300,4.53
2016-09-28,4.63,4.66,4.53,4.58,26500,4.58
2016-09-27,4.52,4.74,4.52,4.70,27800,4.70
2016-09-26,4.72,4.72,4.54,4.57,24500,4.57
2016-09-23,4.92,4.92,4.76,4.78,14100,4.78
2016-09-22,4.90,4.91,4.86,4.89,8000,4.89
2016-09-21,4.91,4.92,4.69,4.92,20800,4.92
2016-09-20,4.85,4.99,4.85,4.88,14700,4.88
2016-09-19,4.61,4.82,4.61,4.81,17600,4.81
2016-09-16,4.61,4.66,4.48,4.62,326900,4.62
2016-09-15,4.74,4.74,4.47,4.50,60100,4.50
2016-09-14,4.75,4.75,4.64,4.64,22400,4.64
2016-09-13,4.89,4.89,4.70,4.76,38700,4.76
2016-09-12,4.89,4.90,4.78,4.87,57800,4.87
2016-09-09,4.95,4.95,4.76,4.86,36000,4.86
2016-09-08,4.92,4.95,4.85,4.95,46600,4.95
2016-09-07,4.87,4.89,4.77,4.83,35200,4.83
2016-09-06,4.86,4.97,4.73,4.83,40000,4.83
2016-09-02,4.70,4.94,4.65,4.80,38300,4.80
2016-09-01,4.55,4.78,4.54,4.77,37800,4.77
2016-08-31,4.58,4.60,4.45,4.57,25100,4.57
2016-08-30,4.51,4.59,4.48,4.54,15000,4.54
2016-08-29,4.56,4.58,4.54,4.58,10000,4.58
2016-08-26,4.58,4.64,4.56,4.56,8100,4.56
2016-08-25,4.59,4.63,4.58,4.60,13100,4.60
2016-08-24,4.74,4.76,4.60,4.62,8400,4.62
2016-08-23,4.75,4.78,4.70,4.76,9400,4.76
2016-08-22,4.74,4.75,4.70,4.74,7500,4.74
2016-08-19,4.79,4.79,4.74,4.74,25200,4.74
2016-08-18,4.79,4.79,4.68,4.79,42200,4.79
2016-08-17,4.79,4.79,4.75,4.78,11700,4.78
2016-08-16,4.76,4.80,4.69,4.77,16700,4.77
2016-08-15,4.89,4.89,4.70,4.82,36200,4.82
2016-08-12,4.72,4.84,4.65,4.80,42500,4.80
2016-08-11,4.44,4.66,4.44,4.62,15700,4.62
2016-08-10,4.80,4.80,4.52,4.56,18800,4.56
2016-08-09,4.42,4.73,4.42,4.71,11500,4.71
2016-08-08,4.46,4.60,4.43,4.46,7800,4.46
2016-08-05,4.49,4.65,4.46,4.58,26500,4.58
2016-08-04,4.71,4.71,4.48,4.50,12900,4.50
2016-08-03,4.60,4.60,4.45,4.57,20400,4.57
2016-08-02,4.72,4.72,4.51,4.51,11800,4.51
2016-08-01,4.71,4.74,4.58,4.65,12100,4.65
2016-07-29,4.68,4.87,4.68,4.83,37800,4.83
2016-07-28,4.84,4.84,4.46,4.74,12700,4.74
2016-07-27,4.83,4.87,4.67,4.78,15500,4.78
2016-07-26,4.80,4.87,4.74,4.83,12200,4.83
2016-07-25,4.80,4.80,4.54,4.73,16300,4.73
2016-07-22,4.98,4.98,4.74,4.85,17800,4.85
2016-07-21,5.01,5.01,4.85,4.94,23400,4.94
2016-07-20,4.92,4.97,4.80,4.96,21000,4.96
2016-07-19,4.95,4.95,4.82,4.86,16400,4.86
2016-07-18,4.96,4.96,4.79,4.90,7900,4.90
2016-07-15,4.89,4.90,4.80,4.90,20800,4.90
2016-07-14,4.95,4.95,4.84,4.89,14000,4.89
2016-07-13,4.93,4.94,4.61,4.89,15000,4.89
2016-07-12,4.90,5.06,4.87,4.96,43300,4.96
2016-07-11,4.92,5.00,4.86,4.93,20700,4.93
2016-07-08,4.72,4.93,4.72,4.89,52800,4.89
2016-07-07,4.64,4.86,4.60,4.72,18700,4.72
2016-07-06,4.79,4.80,4.66,4.78,48300,4.78
2016-07-05,4.88,4.88,4.56,4.80,101300,4.80
2016-07-01,5.10,5.10,4.85,4.96,50400,4.96
2016-06-30,4.97,5.04,4.71,5.00,46600,5.00
2016-06-29,4.88,5.07,4.88,4.95,49900,4.95
2016-06-28,4.86,4.90,4.81,4.87,62100,4.87
2016-06-27,4.70,4.91,4.55,4.86,83700,4.86
2016-06-24,4.44,4.66,4.38,4.64,1631800,4.64
2016-06-23,4.42,4.62,4.42,4.49,50500,4.49
2016-06-22,4.66,4.66,4.32,4.47,19000,4.47
2016-06-21,4.50,4.68,4.50,4.66,16100,4.66
2016-06-20,4.94,4.94,4.36,4.45,100100,4.45
2016-06-17,5.47,5.50,4.80,4.80,327900,4.80
2016-06-16,5.24,5.49,5.00,5.48,142000,5.48
2016-06-15,5.10,5.42,4.82,5.42,100300,5.42
2016-06-14,5.09,5.15,4.92,5.05,98100,5.05
2016-06-13,4.64,5.07,4.58,5.03,177500,5.03
2016-06-10,4.36,4.74,4.32,4.64,42700,4.64
2016-06-09,4.32,4.32,4.32,4.32,100,4.32
2016-06-08,4.31,4.31,4.30,4.30,200,4.30
2016-06-07,4.23,4.45,4.23,4.42,67300,4.42
2016-06-06,4.08,4.27,4.08,4.24,5800,4.24
2016-06-03,4.16,4.29,4.14,4.27,14800,4.27
2016-06-02,4.15,4.17,4.14,4.16,35200,4.16
2016-06-01,4.15,4.15,4.01,4.15,14500,4.15
2016-05-31,4.15,4.17,4.11,4.17,19400,4.17
2016-05-27,4.14,4.15,4.11,4.15,39100,4.15
2016-05-26,4.10,4.16,4.10,4.15,55100,4.15
2016-05-25,4.15,4.15,4.12,4.14,24600,4.14
2016-05-24,4.18,4.18,4.07,4.14,32800,4.14
2016-05-23,4.11,4.20,3.96,4.12,37400,4.12
2016-05-20,4.15,4.17,4.03,4.17,6000,4.17
2016-05-19,4.02,4.17,3.85,4.17,4800,4.17
2016-05-18,4.10,4.16,4.04,4.12,43400,4.12
2016-05-17,4.14,4.14,4.00,4.12,14300,4.12
2016-05-16,4.12,4.17,4.10,4.14,33100,4.14
2016-05-13,4.05,4.15,4.04,4.04,24700,4.04
2016-05-12,4.17,4.17,4.10,4.10,17400,4.10
2016-05-11,4.19,4.20,4.11,4.11,14100,4.11
2016-05-10,4.00,4.10,3.95,4.06,54900,4.06
2016-05-09,3.81,3.85,3.81,3.85,3300,3.85
2016-05-06,3.87,3.95,3.80,3.82,21000,3.82
2016-05-05,3.90,3.95,3.90,3.95,20000,3.95
2016-05-04,3.99,3.99,3.85,3.90,61500,3.90
