Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.00,3.52,3.00,3.10,2200,3.10
2016-11-30,4.10,4.10,1.41,1.50,9900,1.50
2016-11-29,4.24,4.25,4.10,4.10,1800,4.10
2016-11-28,4.00,4.24,4.00,4.24,600,4.24
2016-11-25,4.23,4.23,4.23,4.23,100,4.23
2016-11-23,4.23,4.23,4.23,4.23,500,4.23
2016-11-22,4.00,4.00,4.00,4.00,1500,4.00
2016-11-21,4.23,4.23,4.23,4.23,700,4.23
2016-11-18,4.00,4.00,4.00,4.00,000,4.00
2016-11-17,3.71,4.00,3.71,4.00,1000,4.00
2016-11-16,4.50,4.50,4.50,4.50,000,4.50
2016-11-15,4.50,4.50,4.50,4.50,000,4.50
2016-11-14,4.50,4.50,4.50,4.50,000,4.50
2016-11-11,4.50,4.50,4.50,4.50,200,4.50
2016-11-10,4.50,4.50,4.50,4.50,000,4.50
2016-11-09,4.50,4.50,4.50,4.50,000,4.50
2016-11-08,4.50,4.50,4.50,4.50,200,4.50
2016-11-07,4.50,4.50,4.50,4.50,000,4.50
2016-11-04,4.50,4.50,4.50,4.50,000,4.50
2016-11-03,4.50,4.50,4.50,4.50,200,4.50
2016-11-02,4.75,4.75,3.00,3.00,7000,3.00
2016-11-01,4.18,4.75,4.18,4.75,700,4.75
2016-10-31,4.25,4.25,4.25,4.25,000,4.25
2016-10-28,4.25,4.25,4.25,4.25,000,4.25
2016-10-27,4.25,4.25,4.25,4.25,000,4.25
2016-10-26,4.25,4.25,4.25,4.25,400,4.25
2016-10-25,3.86,3.86,3.76,3.76,600,3.76
2016-10-24,3.75,3.75,3.75,3.75,000,3.75
2016-10-21,3.75,3.75,3.75,3.75,000,3.75
2016-10-20,3.75,3.75,3.75,3.75,000,3.75
2016-10-19,3.78,3.78,3.75,3.75,300,3.75
2016-10-18,3.78,3.78,3.78,3.78,000,3.78
2016-10-17,3.78,3.78,3.78,3.78,000,3.78
2016-10-14,3.78,3.78,3.78,3.78,000,3.78
2016-10-13,3.78,3.78,3.78,3.78,000,3.78
2016-10-12,3.78,3.78,3.78,3.78,000,3.78
2016-10-11,3.78,3.78,3.78,3.78,200,3.78
2016-10-10,4.00,4.00,4.00,4.00,000,4.00
2016-10-07,4.00,4.00,4.00,4.00,300,4.00
2016-10-06,4.00,4.00,4.00,4.00,700,4.00
2016-10-05,3.90,3.90,3.90,3.90,000,3.90
2016-10-04,3.90,3.90,3.90,3.90,200,3.90
2016-10-03,4.09,4.09,3.98,3.98,200,3.98
2016-09-30,4.50,4.50,4.50,4.50,100,4.50
2016-09-29,3.90,3.90,3.90,3.90,800,3.90
2016-09-28,4.00,4.00,4.00,4.00,1300,4.00
2016-09-27,4.25,4.25,4.25,4.25,000,4.25
2016-09-26,4.25,4.25,4.25,4.25,200,4.25
2016-09-23,4.15,4.15,4.15,4.15,100,4.15
