Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,31.40,31.40,30.50,30.950001,13700,30.950001
2016-11-30,31.25,31.25,30.50,31.15,14600,31.15
2016-11-29,31.65,31.90,31.00,31.200001,14800,30.96
2016-11-28,30.90,32.299999,30.85,31.049999,11100,30.811152
2016-11-25,30.35,31.200001,30.299999,31.200001,1500,30.96
2016-11-23,30.65,31.25,30.65,31.15,10100,30.910383
2016-11-22,30.60,31.049999,30.200001,30.85,24900,30.612692
2016-11-21,30.85,30.85,30.299999,30.65,9200,30.414229
2016-11-18,30.25,30.85,29.65,30.50,38200,30.265384
2016-11-17,30.15,30.299999,28.690001,30.15,29800,29.918076
2016-11-16,30.25,30.40,29.950001,30.25,11300,30.017307
2016-11-15,30.450001,30.60,29.90,30.25,12800,30.017307
2016-11-14,30.299999,30.90,29.75,30.35,21500,30.116538
2016-11-11,28.60,30.60,28.41,30.35,47000,30.116538
2016-11-10,28.549999,29.25,28.25,28.700001,26900,28.479231
2016-11-09,27.75,28.549999,27.25,28.40,19600,28.181537
2016-11-08,27.10,27.700001,27.10,27.65,5100,27.437307
2016-11-07,27.10,27.35,26.90,27.35,5600,27.139615
2016-11-04,27.049999,27.15,26.799999,26.799999,6800,26.593845
2016-11-03,27.049999,27.15,26.90,27.15,3500,26.941153
2016-11-02,26.950001,27.10,26.799999,26.950001,11100,26.742692
2016-11-01,27.049999,27.40,26.950001,26.950001,9500,26.742692
2016-10-31,27.549999,27.549999,26.780001,27.049999,12400,26.841922
2016-10-28,27.950001,28.00,27.35,27.60,14500,27.387692
2016-10-27,27.700001,27.90,27.65,27.75,27500,27.536538
2016-10-26,27.60,27.950001,27.60,27.65,3600,27.437307
2016-10-25,27.35,27.75,27.35,27.549999,4500,27.338075
2016-10-24,27.049999,27.60,26.950001,27.35,8100,27.139615
2016-10-21,26.90,27.35,26.41,27.15,7500,26.941153
2016-10-20,27.799999,27.85,27.75,27.75,1800,27.536538
2016-10-19,27.940001,27.950001,27.51,27.75,7800,27.536538
2016-10-18,27.85,27.85,27.450001,27.60,4800,27.387692
2016-10-17,27.90,27.90,27.799999,27.799999,4200,27.586152
2016-10-14,27.879999,28.469999,27.74,27.809999,6200,27.596076
2016-10-13,28.08,28.08,27.75,27.76,8400,27.546461
2016-10-12,27.83,28.18,27.82,28.129999,19100,27.913614
2016-10-11,28.15,28.15,27.75,27.870001,14200,27.655615
2016-10-10,27.49,28.17,27.49,28.110001,8700,27.893769
2016-10-07,27.52,28.030001,27.34,27.450001,5400,27.238846
2016-10-06,27.59,27.73,27.360001,27.610001,10600,27.397615
2016-10-05,27.309999,27.99,27.309999,27.549999,11800,27.338075
2016-10-04,27.389999,27.68,27.25,27.299999,8300,27.089998
2016-10-03,27.780001,28.209999,27.25,27.43,7600,27.218999
2016-09-30,27.540001,28.16,27.51,27.950001,12500,27.735
2016-09-29,27.940001,28.10,27.67,27.77,6100,27.556384
