Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,47.599998,48.509998,47.529999,48.07,246400,48.07
2016-11-30,48.119999,48.470001,46.68,47.700001,128700,47.700001
2016-11-29,47.639999,48.240002,47.259998,47.759998,234800,47.759998
2016-11-28,48.380001,48.459999,46.52,47.639999,257000,47.639999
2016-11-25,48.040001,48.459999,47.209999,48.419998,63900,48.419998
2016-11-23,47.509998,48.00,47.470001,47.93,128300,47.93
2016-11-22,47.200001,47.709999,46.869999,47.689999,249700,47.689999
2016-11-21,46.93,47.119999,45.84,47.049999,245000,47.049999
2016-11-18,46.900002,47.220001,45.98,46.98,183300,46.98
2016-11-17,46.360001,47.32,46.32,46.900002,253900,46.900002
2016-11-16,46.07,46.23,45.68,46.060001,200900,46.060001
2016-11-15,46.439999,46.439999,45.27,46.23,224000,46.23
2016-11-14,46.450001,47.139999,45.84,46.369999,308900,46.369999
2016-11-11,45.720001,46.799999,45.369999,45.93,393200,45.93
2016-11-10,43.560001,45.98,43.07,45.75,413800,45.75
2016-11-09,41.279999,43.27,41.02,43.16,501700,43.16
2016-11-08,41.529999,41.98,41.110001,41.689999,123900,41.689999
2016-11-07,41.560001,41.970001,41.349998,41.740002,177500,41.740002
2016-11-04,40.080002,41.349998,39.91,40.799999,199800,40.799999
2016-11-03,40.27,40.470001,39.880001,39.959999,134600,39.959999
2016-11-02,40.060001,40.720001,39.959999,40.25,239600,40.25
2016-11-01,40.73,40.919998,39.959999,40.07,186000,40.07
2016-10-31,40.369999,40.77,40.029999,40.75,264200,40.75
2016-10-28,40.389999,40.959999,40.259998,40.369999,185000,40.369999
2016-10-27,40.450001,40.509998,40.049999,40.400002,153900,40.400002
2016-10-26,40.150002,40.799999,40.119999,40.400002,362200,40.400002
2016-10-25,41.389999,41.389999,40.360001,40.450001,194400,40.450001
2016-10-24,41.490002,41.849998,41.490002,41.549999,173300,41.549999
2016-10-21,41.919998,42.02,41.029999,41.169998,286000,41.169998
2016-10-20,42.860001,43.119999,42.349998,42.400002,240300,42.275002
2016-10-19,43.310001,43.419998,42.779999,43.049999,256300,42.923083
2016-10-18,44.50,44.50,43.279999,43.290001,241500,43.162377
2016-10-17,44.18,44.360001,43.880001,44.00,157900,43.870283
2016-10-14,44.240002,44.299999,43.869999,43.900002,114700,43.77058
2016-10-13,44.18,44.369999,43.82,43.91,138500,43.780549
2016-10-12,44.540001,44.82,44.32,44.490002,345600,44.35884
2016-10-11,45.93,45.93,44.560001,44.669998,153900,44.538306
2016-10-10,45.66,46.459999,45.66,45.939999,99800,45.804563
2016-10-07,46.560001,46.560001,45.380001,45.470001,227300,45.335951
2016-10-06,45.50,46.740002,45.25,46.689999,215800,46.552352
2016-10-05,45.509998,45.82,45.189999,45.509998,156200,45.37583
2016-10-04,44.98,45.599998,44.98,45.279999,193400,45.146509
2016-10-03,44.380001,45.139999,44.09,44.98,238200,44.847394
2016-09-30,44.419998,44.990002,44.220001,44.689999,313400,44.558248
2016-09-29,44.240002,44.889999,43.939999,44.34,259400,44.209281
2016-09-28,43.91,44.32,43.740002,44.150002,214400,44.019843
2016-09-27,43.639999,44.23,43.41,43.849998,275600,43.720724
2016-09-26,44.009998,44.139999,43.299999,43.77,267200,43.640962
2016-09-23,44.080002,44.459999,43.990002,44.139999,223400,44.00987
2016-09-22,44.310001,44.48,43.939999,44.25,380400,44.119546
2016-09-21,44.07,44.43,43.66,44.07,310000,43.940077
2016-09-20,44.75,44.75,43.740002,43.810001,365800,43.680845
2016-09-19,44.759998,45.00,44.080002,44.490002,321300,44.35884
2016-09-16,43.490002,44.700001,43.029999,44.32,874700,44.18934
2016-09-15,49.00,49.349998,42.209999,43.279999,2492100,43.152405
2016-09-14,44.869999,46.18,44.169998,46.110001,480900,45.974063
2016-09-13,45.599998,45.630001,44.400002,44.459999,432800,44.328926
2016-09-12,44.919998,46.07,44.540001,45.900002,205600,45.764683
2016-09-09,47.619999,47.68,45.099998,45.110001,278300,44.977012
2016-09-08,48.450001,48.740002,47.98,48.189999,124800,48.047929
2016-09-07,47.889999,48.599998,47.619999,48.529999,150000,48.386927
2016-09-06,48.720001,48.720001,47.779999,48.299999,121800,48.157606
2016-09-02,47.93,48.66,47.700001,48.490002,139000,48.347048
2016-09-01,48.299999,48.799999,46.23,47.810001,387700,47.669052
2016-08-31,48.93,48.970001,47.810001,48.400002,167100,48.257313
2016-08-30,48.849998,49.18,48.68,49.169998,227500,49.02504
2016-08-29,48.16,49.049999,48.16,49.02,149100,48.875484
2016-08-26,48.279999,48.50,47.470001,47.970001,191500,47.828581
2016-08-25,48.060001,48.439999,47.799999,48.389999,163700,48.247341
2016-08-24,49.040001,49.040001,48.16,48.310001,130000,48.167578
2016-08-23,48.700001,49.259998,48.619999,48.880001,115600,48.735898
2016-08-22,48.110001,48.59,47.540001,48.529999,129900,48.386927
2016-08-19,47.09,48.299999,46.93,48.110001,198700,47.968167
2016-08-18,46.900002,47.360001,46.82,47.349998,135200,47.210406
2016-08-17,46.330002,47.380001,46.00,46.970001,267400,46.831529
2016-08-16,47.34,47.34,46.450001,46.459999,150200,46.32303
2016-08-15,46.880001,47.779999,46.880001,47.43,132900,47.290172
2016-08-12,46.950001,47.240002,46.389999,46.880001,77200,46.741794
2016-08-11,46.869999,47.400002,46.700001,46.93,118600,46.791646
2016-08-10,47.07,47.450001,46.34,46.93,155400,46.791646
2016-08-09,47.18,47.790001,46.849998,47.049999,109100,46.911291
2016-08-08,47.419998,47.77,47.02,47.299999,132400,47.160554
2016-08-05,46.560001,47.709999,46.48,47.490002,155500,47.349996
2016-08-04,47.27,47.299999,46.25,46.450001,134600,46.313061
2016-08-03,46.130001,46.959999,45.639999,46.939999,167500,46.801615
2016-08-02,46.830002,47.029999,45.709999,46.139999,253100,46.003974
2016-08-01,47.00,47.349998,45.880001,46.830002,225600,46.691942
2016-07-29,47.68,47.68,46.720001,46.75,394700,46.612176
2016-07-28,48.139999,48.220001,47.700001,47.77,123400,47.629169
2016-07-27,47.900002,48.360001,47.580002,48.049999,230200,47.908343
2016-07-26,46.84,47.799999,46.709999,47.599998,192000,47.459669
2016-07-25,46.75,47.080002,46.599998,46.91,120200,46.771704
2016-07-22,47.48,47.860001,46.77,46.830002,185500,46.691942
2016-07-21,47.970001,48.18,47.169998,47.400002,254000,47.260261
2016-07-20,47.509998,48.02,46.91,47.91,243800,47.768756
2016-07-19,48.009998,48.009998,47.150002,47.290001,205800,47.150585
2016-07-18,47.43,48.119999,47.189999,47.91,303100,47.768756
2016-07-15,46.959999,47.57,46.790001,47.330002,286900,47.190468
2016-07-14,48.080002,48.459999,46.290001,46.73,347100,46.592235
2016-07-13,46.50,47.540001,46.259998,47.419998,453300,47.280199
2016-07-12,46.02,46.439999,44.029999,46.049999,872200,45.914239
2016-07-11,46.73,46.950001,45.91,46.630001,290000,46.492531
2016-07-08,46.439999,47.279999,46.349998,46.509998,222900,46.372882
2016-07-07,46.400002,46.700001,45.240002,46.060001,350300,45.799579
2016-07-06,45.689999,46.380001,45.580002,46.110001,295800,45.849296
2016-07-05,46.150002,46.529999,45.919998,46.150002,240000,45.88907
2016-07-01,46.220001,48.189999,46.220001,46.52,444500,46.256977
2016-06-30,45.23,46.400002,44.540001,46.349998,428300,46.087937
2016-06-29,43.950001,45.389999,43.549999,45.240002,402600,44.984216
2016-06-28,42.540001,43.540001,42.540001,43.299999,287400,43.055182
2016-06-27,42.790001,43.50,41.689999,42.049999,350800,41.812249
2016-06-24,43.740002,45.009998,42.790001,43.59,389500,43.343543
2016-06-23,45.240002,45.369999,43.080002,45.330002,1201400,45.073707
2016-06-22,43.419998,44.740002,41.48,41.50,547900,41.26536
2016-06-21,43.93,44.209999,43.209999,43.330002,239100,43.085015
2016-06-20,44.349998,44.849998,43.77,43.779999,228600,43.532468
2016-06-17,43.639999,44.09,43.060001,43.790001,336500,43.542413
2016-06-16,43.299999,43.560001,42.66,43.50,143500,43.254052
2016-06-15,43.84,44.139999,43.349998,43.349998,148000,43.104899
2016-06-14,43.689999,44.150002,43.290001,43.639999,209500,43.39326
2016-06-13,44.52,44.98,43.709999,43.869999,154600,43.621959
2016-06-10,45.25,45.77,44.639999,44.779999,170700,44.526814
2016-06-09,45.799999,46.439999,45.59,45.810001,115200,45.550993
2016-06-08,45.509998,46.330002,45.060001,46.18,162900,45.9189
2016-06-07,45.639999,46.209999,45.139999,45.400002,179400,45.143311
2016-06-06,44.919998,45.720001,44.75,45.50,262200,45.242744
2016-06-03,45.029999,45.25,44.369999,44.799999,142700,44.546701
2016-06-02,44.939999,45.200001,44.490002,45.18,271200,44.924554
2016-06-01,43.860001,45.259998,43.860001,45.049999,310500,44.795288
