Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,2.93,2.94,2.71,2.846,12400,2.846
2016-11-30,3.20,3.20,3.20,3.20,4000,3.20
2016-11-29,3.43,3.43,3.288,3.288,700,3.288
2016-11-28,3.37,3.38,3.33,3.33,1700,3.33
2016-11-25,3.381,3.381,3.381,3.381,500,3.381
2016-11-23,3.39,3.39,3.39,3.39,000,3.39
2016-11-22,3.39,3.39,3.39,3.39,200,3.39
2016-11-21,3.38,3.44,3.31,3.44,3400,3.44
2016-11-18,3.56,3.56,3.56,3.56,600,3.56
2016-11-17,3.50,3.50,3.45,3.46,1800,3.46
2016-11-16,3.552,3.552,3.552,3.552,000,3.552
2016-11-15,3.556,3.575,3.552,3.552,1000,3.552
2016-11-14,3.74,3.85,3.52,3.65,15500,3.65
2016-11-11,3.78,3.78,3.65,3.73,3100,3.73
2016-11-10,3.62,3.865,3.539,3.80,9300,3.80
2016-11-09,3.82,3.87,3.48,3.56,22800,3.56
2016-11-08,3.86,4.14,3.76,3.76,2500,3.76
2016-11-07,3.84,3.95,3.78,3.95,2200,3.95
2016-11-04,4.09,4.10,4.00,4.10,1700,4.10
2016-11-03,4.10,4.10,4.10,4.10,100,4.10
2016-11-02,4.06,4.16,4.06,4.11,3900,4.11
2016-11-01,4.13,4.15,4.10,4.15,4100,4.15
2016-10-31,4.23,4.24,4.191,4.191,2400,4.191
2016-10-28,4.026,4.30,4.02,4.30,8400,4.30
2016-10-27,4.18,4.20,4.00,4.06,12900,4.06
2016-10-26,4.16,4.28,3.96,4.28,4300,4.28
2016-10-25,4.16,4.16,4.16,4.16,100,4.16
2016-10-24,3.84,4.079,3.84,4.04,18900,4.04
2016-10-21,3.85,3.862,3.68,3.862,7100,3.862
2016-10-20,3.96,3.97,3.85,3.85,6600,3.85
2016-10-19,4.05,4.10,3.96,4.10,2800,4.10
2016-10-18,4.12,4.29,4.03,4.23,4800,4.23
2016-10-17,4.21,4.30,4.07,4.19,6600,4.19
2016-10-14,4.25,4.46,4.12,4.22,2300,4.22
2016-10-13,4.35,4.37,4.03,4.32,13500,4.32
2016-10-12,4.42,4.42,4.37,4.40,1400,4.40
2016-10-11,4.30,4.46,4.30,4.41,2800,4.41
2016-10-10,4.50,4.50,4.35,4.40,10100,4.40
2016-10-07,4.58,4.61,4.50,4.61,2500,4.61
2016-10-06,4.55,4.55,4.46,4.54,8600,4.54
2016-10-05,4.55,4.57,4.50,4.57,11900,4.57
2016-10-04,4.60,4.63,4.57,4.63,4300,4.63
2016-10-03,4.608,4.608,4.43,4.585,4600,4.585
2016-09-30,4.70,4.70,4.57,4.60,11000,4.60
2016-09-29,4.58,4.58,4.37,4.54,7500,4.54
2016-09-28,4.50,4.64,4.452,4.64,5100,4.64
2016-09-27,4.42,4.48,4.40,4.48,7100,4.48
2016-09-26,4.49,4.49,4.39,4.44,6900,4.44
2016-09-23,4.45,4.53,4.38,4.53,4200,4.53
2016-09-22,4.50,4.51,4.39,4.49,6800,4.49
2016-09-21,4.56,4.56,4.402,4.50,12800,4.50
2016-09-20,4.66,4.66,4.51,4.65,7500,4.65
2016-09-19,4.70,4.76,4.69,4.76,13900,4.76
2016-09-16,4.49,4.65,4.46,4.52,16600,4.52
2016-09-15,4.53,4.53,4.46,4.46,1900,4.46
2016-09-14,4.61,4.61,4.43,4.53,15600,4.53
2016-09-13,4.65,4.65,4.58,4.61,5200,4.61
2016-09-12,4.51,4.61,4.50,4.61,5700,4.61
2016-09-09,4.55,4.57,4.42,4.434,47900,4.434
2016-09-08,4.64,4.68,4.63,4.63,10300,4.63
2016-09-07,4.55,4.63,4.46,4.63,4300,4.63
2016-09-06,4.67,4.67,4.49,4.59,32500,4.59
2016-09-02,4.40,4.43,4.24,4.43,15600,4.43
2016-09-01,4.42,4.44,4.31,4.40,23100,4.40
2016-08-31,4.61,4.64,4.45,4.47,20600,4.47
2016-08-30,4.73,4.73,4.65,4.71,2700,4.71
2016-08-29,4.71,4.77,4.655,4.77,6300,4.77
2016-08-26,4.64,4.82,4.63,4.82,1700,4.82
2016-08-25,4.692,4.75,4.692,4.74,5800,4.74
2016-08-24,4.90,4.90,4.69,4.76,19100,4.76
2016-08-23,4.94,4.94,4.745,4.79,17200,4.79
2016-08-22,4.58,4.65,4.434,4.64,24800,4.64
2016-08-19,4.30,4.60,4.30,4.59,26000,4.59
2016-08-18,4.73,4.73,4.30,4.39,40700,4.39
2016-08-17,4.73,4.81,4.70,4.81,22200,4.81
2016-08-16,4.93,5.05,4.86,4.89,10100,4.89
2016-08-15,5.00,5.00,4.83,4.99,14700,4.99
2016-08-12,4.829,5.19,4.829,5.19,5100,5.19
2016-08-11,5.18,5.18,5.04,5.04,3900,5.04
2016-08-10,5.25,5.25,4.94,5.00,20000,5.00
2016-08-09,5.22,5.27,5.15,5.20,81800,5.20
2016-08-08,4.81,4.99,4.80,4.96,34300,4.96
2016-08-05,4.99,4.99,4.55,4.70,24300,4.70
2016-08-04,4.89,4.91,4.63,4.63,25800,4.63
2016-08-03,5.10,5.10,4.71,4.90,78000,4.90
2016-08-02,5.25,5.25,5.01,5.10,54500,5.10
2016-08-01,5.25,5.36,5.15,5.30,172000,5.30
