Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,16.129999,16.139999,16.00,16.040001,1751700,16.040001
2016-11-30,16.10,16.10,16.00,16.040001,1645700,16.040001
2016-11-29,16.01,16.040001,15.93,16.02,1552300,16.02
2016-11-28,16.23,16.24,15.92,15.95,1772500,15.95
2016-11-25,15.83,16.24,15.81,16.24,1820200,16.24
2016-11-23,15.80,15.80,15.72,15.76,786000,15.76
2016-11-22,15.80,15.87,15.76,15.78,2046700,15.78
2016-11-21,15.78,15.88,15.66,15.73,4283800,15.73
2016-11-18,15.70,15.72,15.57,15.70,2716000,15.70
2016-11-17,15.56,15.68,15.53,15.64,2119600,15.64
2016-11-16,15.50,15.57,15.47,15.52,1475400,15.52
2016-11-15,15.41,15.58,15.38,15.49,1916400,15.49
2016-11-14,15.53,15.53,15.42,15.47,3070500,15.47
2016-11-11,15.50,15.56,15.44,15.49,1358000,15.49
2016-11-10,15.54,15.68,15.49,15.53,2746800,15.53
2016-11-09,15.02,15.54,15.01,15.41,2738400,15.41
2016-11-08,15.26,15.29,15.21,15.25,1727200,15.25
2016-11-07,15.39,15.40,15.18,15.26,1552300,15.26
2016-11-04,15.21,15.39,15.20,15.27,2294700,15.27
2016-11-03,15.19,15.30,15.10,15.22,2587900,15.22
2016-11-02,15.12,15.27,15.05,15.23,2211100,15.23
2016-11-01,15.30,15.33,15.13,15.16,2266300,15.16
2016-10-31,15.48,15.49,15.28,15.30,1372800,15.30
2016-10-28,15.46,15.52,15.38,15.48,1967400,15.48
2016-10-27,15.53,15.56,15.36,15.39,2254500,15.39
2016-10-26,15.58,15.59,15.42,15.55,3171800,15.55
2016-10-25,15.43,15.66,15.40,15.63,2892500,15.63
2016-10-24,15.44,15.48,15.39,15.44,1425100,15.44
2016-10-21,15.30,15.43,15.22,15.34,1266100,15.34
2016-10-20,15.37,15.37,15.23,15.30,1880600,15.30
2016-10-19,15.29,15.41,15.23,15.40,1256900,15.40
2016-10-18,15.16,15.31,15.16,15.23,1737300,15.23
2016-10-17,15.20,15.31,15.16,15.16,2642500,15.16
2016-10-14,15.42,15.50,15.13,15.24,2615000,15.24
2016-10-13,15.35,15.42,15.22,15.37,1345800,15.37
2016-10-12,15.33,15.50,15.31,15.42,874600,15.42
2016-10-11,15.47,15.48,15.30,15.34,1725600,15.34
2016-10-10,15.50,15.55,15.46,15.48,878800,15.48
2016-10-07,15.47,15.51,15.41,15.50,840800,15.50
2016-10-06,15.53,15.55,15.44,15.44,1700100,15.44
2016-10-05,15.54,15.62,15.54,15.54,2008000,15.54
2016-10-04,15.56,15.59,15.41,15.54,2260200,15.54
2016-10-03,15.55,15.60,15.48,15.54,3387300,15.54
2016-09-30,15.61,15.64,15.50,15.50,2604200,15.50
2016-09-29,15.54,15.65,15.46,15.46,2165000,15.46
2016-09-28,15.50,15.55,15.33,15.53,1849900,15.53
2016-09-27,15.49,15.50,15.39,15.50,1722600,15.50
2016-09-26,15.51,15.56,15.38,15.44,1370100,15.44
2016-09-23,15.46,15.57,15.46,15.57,1808100,15.57
2016-09-22,15.68,15.74,15.46,15.55,2440400,15.55
2016-09-21,15.59,15.74,15.48,15.57,1944300,15.57
2016-09-20,15.60,15.72,15.53,15.58,2163400,15.58
2016-09-19,15.52,15.77,15.47,15.54,2024700,15.54
2016-09-16,15.43,15.60,15.30,15.44,2609500,15.44
2016-09-15,15.28,15.61,15.26,15.50,2562800,15.50
2016-09-14,15.35,15.41,15.22,15.27,2015500,15.27
2016-09-13,15.47,15.58,15.30,15.36,4704800,15.36
2016-09-12,15.77,15.95,15.58,15.87,3719400,15.49
