Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.55,3.65,3.55,3.55,15400,3.55
2016-11-30,3.60,3.60,3.50,3.50,14500,3.50
2016-11-29,3.60,3.65,3.55,3.55,19600,3.55
2016-11-28,3.65,3.65,3.55,3.55,6000,3.55
2016-11-25,3.65,3.65,3.60,3.65,6400,3.65
2016-11-23,3.55,3.65,3.50,3.65,39200,3.65
2016-11-22,3.50,3.55,3.45,3.55,14800,3.55
2016-11-21,3.50,3.50,3.45,3.45,5900,3.45
2016-11-18,3.50,3.50,3.35,3.50,16700,3.50
2016-11-17,3.45,3.50,3.43,3.50,15900,3.50
2016-11-16,3.40,3.45,3.40,3.45,6300,3.45
2016-11-15,3.40,3.45,3.35,3.45,13400,3.45
2016-11-14,3.30,3.40,3.28,3.40,15000,3.40
2016-11-11,3.29,3.30,3.25,3.30,24800,3.30
2016-11-10,3.15,3.30,3.15,3.30,24200,3.30
2016-11-09,3.15,3.25,3.10,3.25,3800,3.25
2016-11-08,3.15,3.25,3.15,3.15,4200,3.15
2016-11-07,3.25,3.25,3.15,3.25,5200,3.25
2016-11-04,3.25,3.25,3.15,3.15,2400,3.15
2016-11-03,3.28,3.30,3.15,3.20,29600,3.20
2016-11-02,3.30,3.30,3.29,3.30,5500,3.285
2016-11-01,3.21,3.30,3.21,3.30,13300,3.285
2016-10-31,3.30,3.30,3.20,3.30,3400,3.285
2016-10-28,3.25,3.28,3.25,3.28,2100,3.265091
2016-10-27,3.30,3.30,3.27,3.29,600,3.275045
2016-10-26,3.24,3.30,3.24,3.30,1900,3.285
2016-10-25,3.25,3.31,3.25,3.30,1400,3.285
2016-10-24,3.29,3.31,3.22,3.31,1500,3.294955
2016-10-21,3.26,3.27,3.26,3.26,16100,3.245182
2016-10-20,3.31,3.31,3.31,3.31,000,3.294955
2016-10-19,3.29,3.32,3.29,3.31,800,3.294955
2016-10-18,3.19,3.34,3.19,3.32,19200,3.304909
2016-10-17,3.32,3.32,3.23,3.30,6700,3.285
2016-10-14,3.29,3.32,3.28,3.31,10500,3.294955
2016-10-13,3.27,3.31,3.26,3.26,4400,3.245182
2016-10-12,3.31,3.31,3.29,3.31,6100,3.294955
2016-10-11,3.29,3.29,3.29,3.29,3300,3.275045
2016-10-10,3.29,3.29,3.28,3.28,500,3.265091
2016-10-07,3.29,3.29,3.26,3.27,10800,3.255136
2016-10-06,3.25,3.28,3.25,3.28,1700,3.265091
2016-10-05,3.26,3.31,3.25,3.25,13400,3.235227
2016-10-04,3.32,3.32,3.26,3.26,900,3.245182
2016-10-03,3.32,3.32,3.27,3.27,1200,3.255136
2016-09-30,3.27,3.32,3.26,3.32,2500,3.304909
2016-09-29,3.23,3.33,3.23,3.32,13000,3.304909
2016-09-28,3.29,3.33,3.24,3.24,2100,3.225273
2016-09-27,3.31,3.33,3.31,3.33,500,3.314864
2016-09-26,3.26,3.31,3.20,3.28,21300,3.265091
2016-09-23,3.27,3.29,3.27,3.29,2000,3.275045
2016-09-22,3.27,3.34,3.25,3.25,13300,3.235227
2016-09-21,3.34,3.34,3.32,3.33,2900,3.314864
2016-09-20,3.29,3.34,3.29,3.34,1900,3.324818
2016-09-19,3.32,3.34,3.30,3.31,5500,3.294955
2016-09-16,3.28,3.33,3.25,3.33,9000,3.314864
2016-09-15,3.33,3.33,3.27,3.30,1600,3.285
2016-09-14,3.26,3.32,3.26,3.32,3600,3.304909
2016-09-13,3.26,3.33,3.25,3.31,5400,3.294955
2016-09-12,3.22,3.31,3.19,3.31,8900,3.294955
2016-09-09,3.24,3.28,3.22,3.24,38100,3.225273
2016-09-08,3.19,3.30,3.19,3.27,28300,3.255136
2016-09-07,3.20,3.30,3.20,3.24,21300,3.225273
2016-09-06,3.21,3.28,3.20,3.28,39500,3.265091
2016-09-02,3.18,3.21,3.18,3.18,32500,3.165546
2016-09-01,3.20,3.20,3.18,3.19,11500,3.1755
2016-08-31,3.19,3.20,3.15,3.17,11100,3.155591
2016-08-30,3.18,3.20,3.15,3.19,14900,3.1755
2016-08-29,3.19,3.19,3.16,3.18,12900,3.165546
2016-08-26,3.19,3.19,3.15,3.16,16500,3.145636
2016-08-25,3.15,3.19,3.15,3.19,74300,3.1755
2016-08-24,3.15,3.19,3.15,3.18,3700,3.165546
2016-08-23,3.18,3.19,3.14,3.14,7800,3.125727
2016-08-22,3.19,3.19,3.15,3.17,12300,3.155591
2016-08-19,3.15,3.20,3.14,3.15,12900,3.135682
2016-08-18,3.15,3.20,3.13,3.19,22300,3.1755
2016-08-17,3.24,3.24,3.13,3.18,10300,3.165546
2016-08-16,3.16,3.23,3.12,3.17,9200,3.155591
2016-08-15,3.15,3.21,3.12,3.15,38900,3.135682
2016-08-12,3.18,3.23,3.15,3.15,57800,3.135682
2016-08-11,3.20,3.23,3.14,3.20,32700,3.185455
2016-08-10,3.15,3.20,3.15,3.16,14300,3.145636
2016-08-09,3.18,3.18,3.10,3.17,33500,3.155591
2016-08-08,3.12,3.20,3.11,3.19,66400,3.1755
2016-08-05,3.13,3.13,3.10,3.10,5400,3.085909
2016-08-04,3.10,3.14,3.10,3.13,2200,3.115773
2016-08-03,3.10,3.14,3.09,3.14,44100,3.110796
2016-08-02,3.10,3.15,3.09,3.10,53300,3.071167
2016-08-01,3.09,3.14,3.09,3.10,9500,3.071167
2016-07-29,3.10,3.15,3.10,3.11,2300,3.081074
2016-07-28,3.08,3.15,3.08,3.14,4300,3.110796
2016-07-27,3.10,3.15,3.10,3.11,6000,3.081074
2016-07-26,3.15,3.15,3.08,3.14,14500,3.110796
2016-07-25,3.09,3.14,3.08,3.11,5900,3.081074
2016-07-22,3.13,3.14,3.13,3.13,5200,3.100889
2016-07-21,3.11,3.13,3.10,3.13,3600,3.100889
2016-07-20,3.08,3.13,3.08,3.13,8200,3.100889
2016-07-19,3.01,3.11,3.01,3.11,22600,3.081074
2016-07-18,3.01,3.04,3.01,3.04,4000,3.011725
2016-07-15,3.05,3.08,3.02,3.03,4800,3.001818
2016-07-14,3.05,3.10,3.01,3.06,10800,3.031539
2016-07-13,3.02,3.08,3.01,3.08,15100,3.051353
2016-07-12,3.05,3.09,3.01,3.03,34100,3.001818
2016-07-11,3.02,3.06,3.02,3.03,125200,3.001818
2016-07-08,3.02,3.08,3.00,3.02,131900,2.991911
2016-07-07,3.01,3.08,3.01,3.08,4800,3.051353
2016-07-06,3.03,3.08,3.02,3.04,4500,3.011725
2016-07-05,3.09,3.09,3.00,3.04,18700,3.011725
2016-07-01,3.09,3.09,3.02,3.02,7500,2.991911
2016-06-30,3.03,3.06,2.99,3.02,26800,2.991911
2016-06-29,3.05,3.05,3.03,3.05,2300,3.021632
2016-06-28,3.09,3.09,3.00,3.05,11500,3.021632
2016-06-27,3.07,3.13,3.00,3.01,7200,2.982004
2016-06-24,3.05,3.14,3.02,3.11,5600,3.081074
2016-06-23,3.09,3.15,3.08,3.08,7500,3.051353
2016-06-22,3.12,3.15,3.08,3.08,5500,3.051353
2016-06-21,3.12,3.14,3.12,3.14,700,3.110796
2016-06-20,3.09,3.23,3.07,3.18,5600,3.150423
2016-06-17,3.08,3.14,3.08,3.09,8400,3.06126
2016-06-16,3.14,3.15,3.14,3.15,200,3.120702
2016-06-15,3.09,3.16,3.08,3.16,1600,3.130609
2016-06-14,3.15,3.16,3.15,3.15,400,3.120702
2016-06-13,3.11,3.16,3.11,3.16,1200,3.130609
2016-06-10,3.16,3.16,3.16,3.16,400,3.130609
2016-06-09,3.13,3.16,3.11,3.16,4300,3.130609
2016-06-08,3.18,3.18,3.18,3.18,000,3.150423
2016-06-07,3.09,3.19,3.09,3.18,1200,3.150423
2016-06-06,3.06,3.19,3.05,3.15,900,3.120702
2016-06-03,3.14,3.14,3.08,3.08,12800,3.051353
2016-06-02,3.19,3.25,3.17,3.17,9200,3.140516
2016-06-01,3.20,3.20,3.20,3.20,400,3.170237
2016-05-31,3.15,3.23,3.12,3.21,7200,3.180144
2016-05-27,3.28,3.28,3.06,3.12,19900,3.090981
2016-05-26,3.08,3.34,3.08,3.27,16700,3.239586
2016-05-25,3.12,3.13,3.06,3.10,47600,3.071167
2016-05-24,3.14,3.15,3.04,3.10,51300,3.071167
2016-05-23,3.06,3.12,3.05,3.12,17300,3.090981
2016-05-20,3.09,3.11,3.01,3.02,2800,2.991911
2016-05-19,3.07,3.07,3.03,3.03,5100,3.001818
2016-05-18,3.03,3.09,3.02,3.04,2000,3.011725
2016-05-17,3.09,3.09,3.01,3.02,7400,2.991911
2016-05-16,3.05,3.10,3.04,3.04,1100,3.011725
2016-05-13,3.02,3.05,3.00,3.04,6200,3.011725
2016-05-12,3.01,3.05,3.01,3.01,3800,2.982004
2016-05-11,3.01,3.06,3.01,3.03,13000,3.001818
2016-05-10,3.06,3.08,3.04,3.04,10500,3.011725
2016-05-09,3.03,3.11,3.00,3.00,26800,2.972098
2016-05-06,3.06,3.10,3.00,3.07,17700,3.041446
2016-05-05,3.16,3.16,3.03,3.10,9400,3.071167
2016-05-04,3.05,3.25,3.02,3.25,61700,3.209865
2016-05-03,2.99,3.05,2.99,3.05,25800,3.012335
2016-05-02,3.06,3.07,3.01,3.02,15300,2.982706
2016-04-29,3.02,3.05,3.02,3.05,1100,3.012335
