Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,26.530001,26.530001,26.530001,26.530001,400,26.530001
2016-11-30,26.17,26.25,26.129999,26.200001,400,26.200001
2016-11-29,26.129999,26.139999,26.129999,26.139999,300,26.139999
2016-11-28,26.50,27.08,26.25,26.34,8100,26.34
2016-11-25,27.469999,27.469999,26.440001,26.440001,6300,26.440001
2016-11-23,26.549999,26.549999,26.40,26.40,1200,26.40
2016-11-22,26.40,26.60,26.26,26.309999,5700,26.309999
2016-11-21,26.27,26.27,26.27,26.27,000,26.27
2016-11-18,26.629999,26.700001,25.700001,26.27,7300,26.27
2016-11-17,26.799999,26.799999,26.290001,26.65,4700,26.65
2016-11-16,26.85,26.85,26.809999,26.809999,1200,26.809999
2016-11-15,26.299999,27.08,25.92,26.57,15700,26.57
2016-11-14,26.60,27.00,26.15,26.700001,31100,26.700001
2016-11-11,26.60,26.60,26.60,26.60,700,26.60
2016-11-10,27.42,27.42,26.50,26.52,2100,26.52
2016-11-09,26.60,26.60,26.60,26.60,100,26.60
2016-11-08,26.540001,26.629999,26.540001,26.629999,700,26.629999
2016-11-07,26.65,26.690001,26.57,26.68,3800,26.68
2016-11-04,27.01,27.01,26.299999,26.65,11100,26.65
2016-11-03,27.040001,27.09,26.76,26.76,3800,26.76
2016-11-02,27.10,27.110001,27.10,27.110001,600,27.110001
2016-11-01,26.91,27.280001,26.559999,27.110001,9400,27.110001
2016-10-31,26.65,26.90,26.50,26.50,16600,26.50
2016-10-28,26.809999,27.02,26.65,26.950001,20600,26.950001
2016-10-27,26.67,27.42,26.67,26.73,16800,26.73
2016-10-26,26.50,26.549999,26.190001,26.549999,13900,26.549999
2016-10-25,26.68,26.690001,26.639999,26.639999,4600,26.639999
2016-10-24,26.709999,26.790001,26.68,26.76,1300,26.76
2016-10-21,26.940001,26.99,26.65,26.66,5100,26.66
2016-10-20,26.620001,27.15,26.620001,27.15,12800,27.15
2016-10-19,26.90,26.92,26.889999,26.889999,3000,26.889999
2016-10-18,26.65,26.65,26.65,26.65,300,26.65
2016-10-17,26.65,26.65,26.65,26.65,000,26.65
2016-10-14,26.65,26.65,26.65,26.65,000,26.65
2016-10-13,26.65,26.65,26.65,26.65,800,26.65
2016-10-12,27.99,27.99,27.99,27.99,000,27.99
2016-10-11,27.99,27.99,27.99,27.99,300,27.99
2016-10-10,26.700001,26.700001,26.700001,26.700001,500,26.700001
2016-10-07,26.639999,26.639999,26.639999,26.639999,000,26.639999
2016-10-06,26.639999,26.639999,26.639999,26.639999,000,26.639999
2016-10-05,26.60,26.639999,26.60,26.639999,300,26.639999
2016-10-04,28.00,28.00,28.00,28.00,000,28.00
2016-10-03,28.00,28.00,28.00,28.00,300,28.00
2016-09-30,27.18,27.18,27.18,27.18,000,27.18
2016-09-29,27.18,27.18,27.18,27.18,000,27.18
2016-09-28,27.18,27.18,27.18,27.18,000,27.18
2016-09-27,27.18,27.18,27.18,27.18,000,27.18
2016-09-26,27.18,27.18,27.18,27.18,000,26.652
2016-09-23,26.90,27.18,26.90,27.18,1000,26.652
2016-09-22,27.110001,27.110001,26.83,26.85,1500,26.328411
2016-09-21,27.139999,27.139999,27.139999,27.139999,1100,26.612776
2016-09-20,27.299999,27.299999,27.07,27.07,3400,26.544137
2016-09-19,27.200001,27.200001,27.200001,27.200001,000,26.671612
2016-09-16,27.200001,27.200001,27.200001,27.200001,000,26.671612
2016-09-15,26.67,27.74,26.629999,27.200001,800,26.671612
2016-09-14,27.200001,27.200001,27.200001,27.200001,000,26.671612
2016-09-13,27.200001,27.200001,27.200001,27.200001,000,26.671612
2016-09-12,27.25,27.25,27.200001,27.200001,400,26.671612
2016-09-09,27.15,27.15,27.08,27.08,500,26.553943
2016-09-08,27.049999,27.049999,27.049999,27.049999,000,26.524525
2016-09-07,27.049999,27.049999,27.049999,27.049999,000,26.524525
2016-09-06,27.049999,27.049999,27.049999,27.049999,100,26.524525
2016-09-02,27.299999,27.299999,27.299999,27.299999,200,26.769668
2016-09-01,26.950001,26.950001,26.950001,26.950001,300,26.426469
2016-08-31,26.790001,26.790001,26.790001,26.790001,000,26.269577
2016-08-30,26.82,26.82,26.77,26.790001,700,26.269577
2016-08-29,27.049999,27.049999,27.00,27.00,300,26.475497
2016-08-26,26.940001,26.940001,26.940001,26.940001,300,26.416663
2016-08-25,27.00,27.02,26.940001,26.940001,6400,26.416663
2016-08-24,27.139999,27.139999,27.129999,27.129999,200,26.602971
2016-08-23,27.16,27.16,27.16,27.16,200,26.632388
2016-08-22,27.139999,27.139999,27.139999,27.139999,000,26.612776
2016-08-19,27.139999,27.139999,27.139999,27.139999,100,26.612776
2016-08-18,27.120001,27.15,27.120001,27.15,9900,26.622582
2016-08-17,27.01,27.01,27.01,27.01,000,26.485303
2016-08-16,27.15,27.15,27.01,27.01,400,26.485303
2016-08-15,27.15,27.15,27.15,27.15,500,26.622582
2016-08-12,27.299999,27.299999,27.01,27.110001,8400,26.58336
2016-08-11,27.25,27.25,26.99,26.99,7600,26.465691
2016-08-10,27.200001,27.200001,27.120001,27.120001,1300,26.593166
2016-08-09,27.10,27.10,27.10,27.10,000,26.573554
2016-08-08,27.299999,27.299999,27.10,27.10,8900,26.573554
2016-08-05,27.25,27.35,27.129999,27.200001,4300,26.671612
2016-08-04,27.25,27.25,27.25,27.25,400,26.72064
2016-08-03,27.43,27.43,27.200001,27.200001,7700,26.671612
2016-08-02,27.50,27.59,27.139999,27.18,5900,26.652
2016-08-01,27.200001,27.50,27.190001,27.25,22200,26.72064
2016-07-29,26.90,27.389999,26.90,27.02,25400,26.495109
2016-07-28,27.389999,27.389999,26.940001,27.07,12800,26.544137
2016-07-27,26.799999,28.33,26.799999,27.33,22400,26.799086
2016-07-26,26.73,27.719999,26.73,26.780001,28500,26.259771
2016-07-25,26.85,26.85,26.66,26.85,6700,26.328411
2016-07-22,26.85,26.85,26.85,26.85,000,26.328411
2016-07-21,26.85,26.85,26.85,26.85,000,26.328411
2016-07-20,26.85,26.85,26.85,26.85,000,26.328411
2016-07-19,27.059999,27.18,26.809999,26.85,1600,26.328411
2016-07-18,27.41,27.41,26.799999,26.799999,2800,26.279381
2016-07-15,27.709999,27.709999,27.040001,27.040001,1200,26.514721
2016-07-14,27.00,27.00,26.85,26.85,400,26.328411
2016-07-13,27.23,27.23,27.23,27.23,000,26.701028
2016-07-12,27.780001,27.780001,26.74,27.23,1300,26.701028
2016-07-11,27.17,27.40,27.01,27.08,6800,26.553943
2016-07-08,27.040001,27.90,26.92,27.290001,5800,26.759864
2016-07-07,27.50,27.50,27.50,27.50,000,26.965784
2016-07-06,27.50,27.50,27.50,27.50,000,26.965784
2016-07-05,27.50,27.50,27.50,27.50,000,26.965784
2016-07-01,27.50,27.50,27.50,27.50,400,26.965784
2016-06-30,27.10,27.950001,27.10,27.93,600,27.387431
2016-06-29,27.00,27.00,27.00,27.00,300,26.475497
2016-06-28,27.040001,27.040001,27.00,27.00,1700,26.475497
2016-06-27,27.129999,27.129999,27.129999,27.129999,400,26.602971
2016-06-24,27.639999,27.639999,27.639999,27.639999,000,26.585321
2016-06-23,27.639999,27.690001,27.639999,27.639999,700,26.585321
2016-06-22,27.450001,27.450001,27.450001,27.450001,300,26.402572
2016-06-21,27.450001,27.450001,27.450001,27.450001,000,26.402572
2016-06-20,27.40,27.629999,27.40,27.450001,1000,26.402572
2016-06-17,27.799999,27.799999,27.799999,27.799999,400,26.739215
2016-06-16,27.00,27.00,27.00,27.00,100,25.969742
2016-06-15,27.110001,27.110001,27.110001,27.110001,000,26.075545
2016-06-14,27.40,27.40,27.110001,27.110001,200,26.075545
2016-06-13,27.40,27.40,27.40,27.40,500,26.354479
2016-06-10,27.00,27.00,27.00,27.00,1200,25.969742
2016-06-09,27.07,27.07,27.059999,27.059999,200,26.027452
2016-06-08,27.43,27.50,27.25,27.25,3200,26.210203
2016-06-07,27.950001,27.950001,27.950001,27.950001,000,26.883493
2016-06-06,27.950001,27.950001,27.950001,27.950001,000,26.883493
2016-06-03,27.950001,27.950001,27.950001,27.950001,300,26.883493
2016-06-02,27.959999,27.959999,27.959999,27.959999,000,26.89311
2016-06-01,27.959999,27.959999,27.959999,27.959999,000,26.89311
2016-05-31,27.959999,27.959999,27.959999,27.959999,000,26.89311
2016-05-27,27.959999,27.959999,27.959999,27.959999,100,26.89311
2016-05-26,28.01,28.01,28.01,28.01,000,26.941203
2016-05-25,28.01,28.01,28.01,28.01,900,26.941203
2016-05-24,27.950001,27.950001,27.950001,27.950001,400,26.883493
2016-05-23,27.950001,27.950001,27.950001,27.950001,2500,26.883493
2016-05-20,28.15,28.15,26.82,27.02,800,25.988979
2016-05-19,28.25,28.25,28.25,28.25,500,27.172045
2016-05-18,28.200001,28.25,28.200001,28.25,600,27.172045
2016-05-17,27.75,27.75,27.629999,27.629999,400,26.575702
2016-05-16,28.200001,28.200001,28.200001,28.200001,000,27.123954
2016-05-13,28.200001,28.200001,28.200001,28.200001,000,27.123954
2016-05-12,28.200001,28.200001,28.200001,28.200001,100,27.123954
2016-05-11,28.02,28.200001,28.02,28.200001,1700,27.123954
2016-05-10,28.16,28.16,28.16,28.16,000,27.085479
2016-05-09,28.26,28.309999,28.16,28.16,1600,27.085479
2016-05-06,28.280001,28.280001,28.26,28.280001,2000,27.200901
2016-05-05,28.209999,28.26,28.209999,28.26,2500,27.181664
2016-05-04,28.35,28.35,28.35,28.35,000,27.26823
2016-05-03,28.35,28.35,28.35,28.35,000,27.26823
2016-05-02,28.360001,28.40,28.299999,28.35,2500,27.26823
2016-04-29,28.440001,28.450001,28.26,28.280001,3000,27.200901
2016-04-28,28.35,28.35,28.33,28.34,1100,27.258611
2016-04-27,28.49,28.49,28.49,28.49,000,27.402887
2016-04-26,28.719999,28.719999,28.16,28.49,1400,27.402887
2016-04-25,28.15,28.15,28.15,28.15,100,27.07586
2016-04-22,28.50,28.50,28.50,28.50,200,27.412506
2016-04-21,28.42,28.42,28.379999,28.379999,600,27.297084
2016-04-20,28.370001,28.370001,28.370001,28.370001,000,27.287467
2016-04-19,28.370001,28.370001,28.370001,28.370001,000,27.287467
2016-04-18,28.50,28.50,28.370001,28.370001,1000,27.287467
2016-04-15,28.530001,28.73,28.530001,28.73,400,27.633729
2016-04-14,28.629999,28.67,28.629999,28.67,1000,27.576019
2016-04-13,28.620001,28.65,28.620001,28.65,4200,27.556781
2016-04-12,28.610001,28.940001,28.51,28.51,10200,27.422124
2016-04-11,28.719999,28.719999,28.709999,28.709999,200,27.614492
2016-04-08,28.60,28.870001,28.60,28.73,700,27.633729
2016-04-07,28.75,28.75,28.52,28.58,2500,27.489453
2016-04-06,28.620001,28.620001,28.40,28.40,2800,27.316321
2016-04-05,28.65,28.77,28.52,28.559999,20500,27.470216
2016-04-04,28.620001,28.959999,28.379999,28.610001,25300,27.518309
2016-04-01,27.00,28.99,26.99,28.68,49100,27.585637
2016-03-31,27.540001,27.57,26.84,27.00,17900,25.969742
2016-03-30,28.02,28.02,28.02,28.02,300,26.950822
2016-03-29,28.17,28.17,28.01,28.01,600,26.941203
2016-03-28,28.219999,28.360001,27.959999,27.98,4600,26.912347
2016-03-24,27.93,27.93,27.93,27.93,000,26.356403
2016-03-23,28.08,28.370001,27.93,27.93,8900,26.356403
2016-03-22,28.00,28.32,27.959999,27.98,2500,26.403585
2016-03-21,27.99,27.99,27.99,27.99,100,26.413022
2016-03-18,28.059999,28.059999,28.059999,28.059999,000,26.479078
2016-03-17,27.60,28.10,27.50,28.059999,5500,26.479078
2016-03-16,27.60,27.60,27.60,27.60,000,26.044996
2016-03-15,27.60,27.60,27.60,27.60,000,26.044996
