Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,66.360001,68.050003,66.360001,67.029999,237900,67.029999
2016-11-30,67.650002,67.650002,66.160004,66.300003,120500,66.300003
2016-11-29,66.849998,67.260002,66.260002,66.900002,161800,66.900002
2016-11-28,68.059998,68.599998,66.690002,67.010002,246100,67.010002
2016-11-25,66.220001,67.709999,65.889999,67.709999,110100,67.709999
2016-11-23,64.309998,65.910004,64.00,65.849998,271000,65.849998
2016-11-22,63.799999,64.290001,63.389999,64.18,233300,64.18
2016-11-21,64.010002,65.139999,63.220001,63.470001,307800,63.470001
2016-11-18,65.949997,65.949997,63.869999,63.98,219700,63.98
2016-11-17,67.169998,67.93,65.629997,65.699997,215900,65.699997
2016-11-16,65.93,67.18,65.720001,67.07,104200,67.07
2016-11-15,66.129997,66.800003,65.209999,66.519997,162600,66.519997
2016-11-14,64.629997,67.139999,64.510002,66.089996,193700,66.089996
2016-11-11,63.25,64.339996,62.02,64.110001,234700,64.110001
2016-11-10,64.860001,65.57,63.009998,63.220001,342400,63.220001
2016-11-09,59.580002,65.559998,59.580002,64.459999,628200,64.459999
2016-11-08,55.470001,56.290001,54.720001,55.509998,131500,55.509998
2016-11-07,56.00,56.040001,54.869999,55.560001,119600,55.46
2016-11-04,54.189999,55.529999,53.990002,54.849998,66100,54.751275
2016-11-03,54.59,54.970001,52.860001,54.259998,61400,54.162337
2016-11-02,54.860001,55.189999,53.610001,54.369999,135400,54.272139
2016-11-01,55.459999,56.799999,54.25,55.029999,223000,54.930951
2016-10-31,54.310001,55.689999,54.25,55.360001,131700,55.260359
2016-10-28,53.939999,54.900002,53.939999,54.299999,68900,54.202266
2016-10-27,53.919998,53.919998,53.18,53.790001,78000,53.693185
2016-10-26,53.98,54.700001,52.080002,53.529999,194800,53.433651
2016-10-25,57.849998,58.23,54.610001,54.880001,314400,54.781224
2016-10-24,59.689999,60.990002,59.689999,60.27,146200,60.161522
2016-10-21,58.75,59.73,58.32,59.619999,70300,59.51269
2016-10-20,59.580002,60.369999,58.900002,59.209999,50600,59.103428
2016-10-19,59.130001,60.700001,58.59,59.93,119600,59.822133
2016-10-18,59.689999,59.689999,58.369999,59.099998,61700,58.993625
2016-10-17,58.98,59.360001,58.50,58.849998,36600,58.744075
2016-10-14,58.52,59.610001,58.52,58.889999,55800,58.784004
2016-10-13,57.740002,58.560001,57.25,58.110001,109400,58.005409
2016-10-12,58.360001,58.689999,56.25,58.330002,61800,58.225015
2016-10-11,58.799999,58.990002,57.790001,57.990002,65000,57.885627
2016-10-10,58.799999,59.740002,58.50,58.810001,55800,58.70415
2016-10-07,59.48,59.490002,58.259998,58.290001,61400,58.185086
2016-10-06,58.59,59.400002,57.43,59.259998,58100,59.153337
2016-10-05,59.07,59.580002,58.689999,58.75,119100,58.644257
2016-10-04,59.23,60.00,58.529999,58.57,89500,58.464581
2016-10-03,59.349998,60.02,59.150002,59.279999,98900,59.173302
2016-09-30,59.41,60.110001,59.07,59.869999,111000,59.76224
2016-09-29,59.240002,59.939999,58.330002,58.98,97400,58.873843
2016-09-28,57.889999,59.349998,57.889999,59.349998,95700,59.243176
2016-09-27,57.52,58.18,56.82,58.040001,75300,57.935536
2016-09-26,57.790001,58.52,57.509998,57.59,76800,57.486345
2016-09-23,58.799999,58.799999,57.93,58.049999,82500,57.945516
2016-09-22,58.740002,59.439999,58.459999,59.07,155400,58.963681
2016-09-21,56.389999,58.34,56.389999,58.220001,130700,58.115212
2016-09-20,56.950001,56.950001,55.060001,56.450001,129600,56.348397
2016-09-19,56.490002,57.110001,56.02,56.84,70100,56.737695
2016-09-16,56.84,56.860001,55.700001,56.41,301600,56.308469
2016-09-15,55.43,56.810001,54.939999,56.77,88200,56.667821
2016-09-14,55.599998,56.130001,55.139999,55.540001,124600,55.440035
2016-09-13,55.580002,56.360001,55.27,55.59,142700,55.489945
2016-09-12,55.259998,56.360001,55.209999,56.220001,109300,56.118812
2016-09-09,57.18,57.18,55.290001,55.330002,109700,55.230414
2016-09-08,58.189999,58.400002,57.200001,57.43,130600,57.326633
2016-09-07,59.119999,59.119999,57.790001,58.169998,163100,58.065299
2016-09-06,58.98,59.73,58.790001,59.23,116300,59.123393
2016-09-02,58.889999,59.32,58.07,58.869999,128900,58.76404
2016-09-01,58.98,58.98,58.09,58.529999,98400,58.424652
2016-08-31,59.740002,59.970001,58.709999,58.790001,68400,58.684186
2016-08-30,59.950001,60.00,59.66,59.98,64900,59.872043
2016-08-29,59.889999,60.259998,59.709999,59.990002,78800,59.882027
2016-08-26,60.119999,60.439999,59.330002,59.970001,157700,59.862062
2016-08-25,59.990002,60.290001,59.23,59.990002,96000,59.882027
2016-08-24,60.00,60.470001,59.549999,59.970001,129200,59.862062
2016-08-23,59.709999,62.490002,59.709999,60.200001,159500,60.091648
2016-08-22,59.080002,59.75,58.630001,59.580002,169100,59.472765
2016-08-19,58.790001,59.740002,58.66,59.16,164500,59.053519
2016-08-18,58.099998,58.900002,57.599998,58.790001,123600,58.684186
2016-08-17,58.349998,58.549999,57.150002,57.889999,116500,57.785804
2016-08-16,58.459999,58.57,57.650002,58.360001,138400,58.25496
2016-08-15,57.66,58.619999,57.619999,58.57,124300,58.464581
2016-08-12,58.959999,59.360001,57.650002,57.73,142600,57.626092
2016-08-11,58.700001,59.709999,58.41,59.00,133400,58.893807
2016-08-10,58.52,58.93,57.610001,58.759998,191000,58.654237
2016-08-09,59.970001,60.299999,58.41,58.529999,97300,58.424652
2016-08-08,60.119999,60.119999,59.57,59.799999,69100,59.592546
2016-08-05,59.509998,60.380001,58.889999,60.119999,120500,59.911436
2016-08-04,59.529999,60.200001,59.119999,59.299999,101200,59.094281
2016-08-03,59.82,60.540001,59.43,59.669998,97100,59.462996
2016-08-02,60.529999,61.419998,59.700001,59.720001,79900,59.512826
2016-08-01,60.16,60.84,59.23,60.549999,210800,60.339945
2016-07-29,60.599998,61.099998,60.02,60.279999,150500,60.070881
2016-07-28,61.50,62.00,60.490002,60.849998,99900,60.638903
2016-07-27,60.810001,62.75,60.43,62.080002,308000,61.86464
2016-07-26,57.009998,61.150002,55.290001,60.18,729900,59.971229
2016-07-25,53.669998,53.91,52.380001,52.50,395700,52.317872
2016-07-22,54.709999,55.169998,53.689999,53.799999,204200,53.613361
2016-07-21,55.02,56.18,54.470001,54.919998,118800,54.729475
2016-07-20,54.709999,55.200001,54.150002,55.099998,142800,54.908851
2016-07-19,56.00,56.099998,52.560001,54.490002,331200,54.30097
2016-07-18,57.360001,58.150002,57.110001,57.669998,97400,57.469935
2016-07-15,57.849998,58.040001,56.849998,57.619999,119800,57.420109
2016-07-14,58.099998,58.599998,57.299999,57.529999,108000,57.330421
2016-07-13,58.669998,58.869999,57.34,57.77,140400,57.56959
2016-07-12,58.389999,59.00,57.549999,58.57,223100,58.366814
2016-07-11,58.490002,59.630001,57.869999,58.830002,89300,58.625914
2016-07-08,57.48,58.57,57.459999,58.040001,145200,57.838654
2016-07-07,55.43,57.360001,55.43,57.209999,154000,57.011531
2016-07-06,53.990002,55.66,51.73,55.049999,164000,54.859025
2016-07-05,56.049999,56.52,55.00,55.52,152700,55.327395
2016-07-01,55.990002,56.830002,55.990002,56.439999,97700,56.244202
2016-06-30,55.060001,56.150002,54.400002,56.150002,212500,55.955211
2016-06-29,53.98,54.889999,53.540001,54.799999,99500,54.609892
2016-06-28,54.470001,54.720001,53.27,53.439999,102700,53.254609
2016-06-27,54.740002,55.540001,53.00,53.639999,190800,53.453916
2016-06-24,54.689999,56.66,53.34,55.549999,452600,55.35729
2016-06-23,56.119999,57.509998,55.950001,57.169998,124600,56.971669
2016-06-22,56.189999,56.220001,55.310001,55.529999,80200,55.337359
2016-06-21,55.939999,56.330002,55.369999,55.900002,90400,55.706078
2016-06-20,55.84,56.389999,55.549999,55.689999,113200,55.496804
2016-06-17,55.389999,55.869999,54.529999,55.23,141500,55.038401
2016-06-16,54.59,55.34,54.049999,55.220001,77700,55.028437
2016-06-15,54.450001,55.860001,54.450001,55.040001,129800,54.849061
2016-06-14,54.09,54.639999,53.650002,54.099998,120300,53.91232
2016-06-13,54.560001,55.32,54.23,54.310001,77400,54.121594
2016-06-10,54.900002,55.290001,53.610001,54.790001,94200,54.599928
2016-06-09,55.43,55.439999,54.849998,55.27,135500,55.078263
2016-06-08,54.400002,56.380001,54.400002,55.939999,144300,55.745937
2016-06-07,54.52,54.84,54.060001,54.330002,134500,54.141525
2016-06-06,54.23,54.57,53.93,54.369999,118600,54.181383
2016-06-03,54.110001,54.240002,53.43,53.860001,153300,53.673154
2016-06-02,53.490002,54.099998,53.25,54.09,76900,53.902356
2016-06-01,53.34,53.77,52.66,53.529999,96900,53.344297
2016-05-31,53.360001,53.990002,53.029999,53.34,111300,53.154958
2016-05-27,53.130001,53.419998,52.380001,53.09,161900,52.905825
2016-05-26,53.279999,53.740002,52.950001,53.27,71600,53.085201
2016-05-25,53.889999,54.200001,52.990002,53.119999,137900,52.93572
2016-05-24,52.16,53.869999,51.93,53.799999,170400,53.613361
2016-05-23,51.419998,52.310001,51.119999,51.880001,90400,51.700024
2016-05-20,51.189999,51.580002,50.860001,51.490002,172200,51.311377
