Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,28.280001,28.280001,28.280001,28.280001,000,28.280001
2016-11-30,28.280001,28.280001,28.280001,28.280001,000,28.280001
2016-11-29,28.280001,28.280001,28.280001,28.280001,500,28.280001
2016-11-28,27.360001,27.360001,27.360001,27.360001,000,27.360001
2016-11-25,27.360001,27.360001,27.360001,27.360001,000,27.360001
2016-11-23,27.84,27.84,27.360001,27.360001,700,27.360001
2016-11-22,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-11-21,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-11-18,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-11-17,28.610001,28.610001,28.610001,28.610001,000,28.610001
2016-11-16,28.610001,28.610001,28.610001,28.610001,700,28.610001
2016-11-15,29.26,29.26,29.26,29.26,000,29.26
2016-11-14,27.00,29.26,27.00,29.26,400,29.26
2016-11-11,27.58,27.58,27.58,27.58,000,27.58
2016-11-10,27.24,27.58,27.24,27.58,400,27.58
2016-11-09,27.65,27.65,27.65,27.65,000,27.65
2016-11-08,27.65,27.65,27.65,27.65,000,27.65
2016-11-07,27.65,27.65,27.65,27.65,000,27.65
2016-11-04,27.65,27.65,27.65,27.65,000,27.65
2016-11-03,27.65,27.65,27.65,27.65,000,27.65
2016-11-02,27.65,27.65,27.65,27.65,000,27.65
2016-11-01,27.65,27.65,27.65,27.65,000,27.65
2016-10-31,27.65,27.65,27.65,27.65,000,27.65
2016-10-28,27.65,27.65,27.65,27.65,000,27.65
2016-10-27,27.65,27.65,27.65,27.65,000,27.65
2016-10-26,27.65,27.65,27.65,27.65,000,27.65
2016-10-25,27.65,27.65,27.65,27.65,000,27.65
2016-10-24,27.65,27.65,27.65,27.65,000,27.65
2016-10-21,27.65,27.65,27.65,27.65,000,27.65
2016-10-20,27.65,27.65,27.65,27.65,000,27.65
2016-10-19,27.65,27.65,27.65,27.65,000,27.65
2016-10-18,27.65,27.65,27.65,27.65,000,27.65
2016-10-17,27.65,27.65,27.65,27.65,000,27.65
2016-10-14,28.57,28.57,27.65,27.65,300,27.65
2016-10-13,27.450001,27.450001,27.299999,27.299999,1100,27.299999
2016-10-12,27.459999,27.459999,27.459999,27.459999,400,27.459999
2016-10-11,27.57,27.57,27.57,27.57,000,27.57
2016-10-10,27.57,27.57,27.57,27.57,000,27.57
2016-10-07,27.50,27.57,27.50,27.57,1900,27.57
2016-10-06,27.610001,27.610001,27.610001,27.610001,000,27.610001
2016-10-05,27.610001,27.610001,27.610001,27.610001,000,27.610001
2016-10-04,27.610001,27.610001,27.610001,27.610001,000,27.610001
2016-10-03,27.610001,27.610001,27.610001,27.610001,000,27.610001
2016-09-30,27.610001,27.610001,27.610001,27.610001,000,27.610001
2016-09-29,27.610001,27.610001,27.610001,27.610001,300,27.610001
2016-09-28,27.01,28.66,27.01,28.66,1400,28.66
2016-09-27,28.51,28.51,28.51,28.51,500,28.060001
2016-09-26,27.809999,27.809999,27.809999,27.809999,000,27.371049
2016-09-23,27.809999,27.809999,27.809999,27.809999,000,27.371049
2016-09-22,27.809999,27.809999,27.809999,27.809999,500,27.371049
2016-09-21,27.459999,27.459999,27.459999,27.459999,000,27.026573
2016-09-20,27.459999,27.459999,27.459999,27.459999,000,27.026573
2016-09-19,27.459999,27.459999,27.459999,27.459999,000,27.026573
2016-09-16,27.459999,27.459999,27.459999,27.459999,000,27.026573
2016-09-15,27.459999,27.459999,27.459999,27.459999,100,27.026573
2016-09-14,27.719999,28.49,27.719999,27.969999,3300,27.528523
2016-09-13,27.559999,27.780001,27.559999,27.780001,300,27.341524
2016-09-12,27.459999,28.190001,27.450001,28.190001,500,27.745052
2016-09-09,27.450001,27.450001,27.450001,27.450001,000,27.016733
2016-09-08,27.450001,27.450001,27.450001,27.450001,000,27.016733
2016-09-07,27.450001,27.450001,27.450001,27.450001,000,27.016733
2016-09-06,27.450001,27.450001,27.450001,27.450001,000,27.016733
2016-09-02,27.450001,27.450001,27.450001,27.450001,300,27.016733
2016-09-01,27.51,27.51,27.51,27.51,000,27.075785
2016-08-31,27.41,27.51,27.40,27.51,400,27.075785
2016-08-30,27.40,27.40,27.40,27.40,000,26.967521
2016-08-29,27.40,27.40,27.40,27.40,000,26.967521
2016-08-26,27.40,27.40,27.40,27.40,000,26.967521
2016-08-25,27.40,27.40,27.40,27.40,800,26.967521
2016-08-24,27.280001,27.280001,27.280001,27.280001,000,26.849416
2016-08-23,27.280001,27.280001,27.280001,27.280001,400,26.849416
2016-08-22,27.67,27.67,27.67,27.67,000,27.233259
2016-08-19,27.67,27.67,27.67,27.67,100,27.233259
2016-08-18,28.549999,28.549999,28.549999,28.549999,000,28.099369
2016-08-17,28.549999,28.549999,28.549999,28.549999,000,28.099369
2016-08-16,27.58,28.549999,27.450001,28.549999,2300,28.099369
2016-08-15,27.469999,27.469999,27.469999,27.469999,500,27.036415
2016-08-12,27.51,27.51,27.40,27.40,1100,26.967521
2016-08-11,27.50,27.50,27.50,27.50,000,27.065943
2016-08-10,27.50,27.50,27.50,27.50,1000,27.065943
2016-08-09,27.549999,27.549999,27.549999,27.549999,000,27.115153
2016-08-08,27.18,27.549999,27.18,27.549999,1400,27.115153
2016-08-05,27.58,27.58,27.35,27.35,400,26.918311
2016-08-04,28.65,28.65,28.65,28.65,000,28.197791
2016-08-03,28.68,28.68,26.790001,28.65,2200,28.197791
2016-08-02,27.17,27.17,27.17,27.17,000,26.741151
2016-08-01,27.17,27.17,27.17,27.17,000,26.741151
2016-07-29,27.17,27.17,27.17,27.17,000,26.741151
2016-07-28,27.17,27.17,27.17,27.17,000,26.741151
2016-07-27,27.00,27.799999,27.00,27.17,9300,26.741151
2016-07-26,27.040001,27.040001,27.040001,27.040001,000,26.613204
2016-07-25,27.049999,27.799999,26.98,27.040001,14700,26.613204
2016-07-22,27.18,27.18,27.18,27.18,100,26.750994
2016-07-21,26.92,26.92,26.92,26.92,000,26.495097
2016-07-20,26.82,27.450001,26.77,26.92,8200,26.495097
2016-07-19,27.02,27.299999,27.02,27.25,1200,26.819889
2016-07-18,27.040001,27.93,27.040001,27.93,1800,27.489156
2016-07-15,27.049999,27.530001,27.00,27.00,5500,26.573835
2016-07-14,26.85,27.65,26.85,27.200001,15100,26.770679
2016-07-13,26.809999,26.809999,26.809999,26.809999,000,26.386833
2016-07-12,26.809999,26.809999,26.809999,26.809999,300,26.386833
2016-07-11,26.90,26.90,26.809999,26.83,400,26.406518
2016-07-08,27.00,27.00,26.99,26.99,1000,26.563992
2016-07-07,26.940001,26.940001,26.940001,26.940001,000,26.514782
2016-07-06,26.940001,26.940001,26.940001,26.940001,000,26.514782
2016-07-05,26.98,27.700001,26.93,26.940001,11800,26.514782
2016-07-01,26.75,26.75,26.75,26.75,200,26.327781
2016-06-30,26.629999,26.629999,26.629999,26.629999,000,26.209674
2016-06-29,27.15,27.15,26.629999,26.629999,3600,26.209674
2016-06-28,27.48,27.48,27.00,27.00,5600,26.573835
2016-06-27,27.450001,27.48,27.450001,27.48,300,26.60336
2016-06-24,27.40,27.40,27.40,27.40,000,26.525912
2016-06-23,27.299999,27.40,27.280001,27.40,700,26.525912
2016-06-22,27.15,27.15,27.15,27.15,000,26.283887
2016-06-21,27.50,27.50,27.15,27.15,900,26.283887
2016-06-20,27.540001,27.540001,27.540001,27.540001,200,26.661447
2016-06-17,27.50,27.50,27.50,27.50,000,26.622722
2016-06-16,27.50,27.50,27.40,27.50,500,26.622722
2016-06-15,28.42,28.549999,28.42,28.549999,500,27.639226
2016-06-14,27.450001,27.49,27.40,27.40,300,26.525912
2016-06-13,29.93,29.93,29.93,29.93,900,28.975203
2016-06-10,26.790001,26.790001,26.790001,26.790001,1200,25.935373
2016-06-09,26.75,26.75,26.75,26.75,000,25.896648
2016-06-08,26.75,26.75,26.75,26.75,1400,25.896648
2016-06-07,26.75,26.75,26.75,26.75,500,25.896648
2016-06-06,27.16,27.16,27.16,27.16,000,26.293569
2016-06-03,26.84,27.200001,26.84,27.16,3600,26.293569
2016-06-02,27.889999,27.889999,27.889999,27.889999,000,27.00028
2016-06-01,27.889999,27.889999,27.889999,27.889999,000,27.00028
2016-05-31,27.889999,27.889999,27.889999,27.889999,800,27.00028
2016-05-27,27.139999,27.139999,27.139999,27.139999,000,26.274206
2016-05-26,27.139999,27.139999,27.139999,27.139999,400,26.274206
2016-05-25,26.950001,27.969999,26.950001,27.00,1500,26.138673
2016-05-24,26.950001,26.969999,26.75,26.75,3900,25.896648
2016-05-23,26.74,26.950001,26.74,26.950001,500,26.090269
2016-05-20,26.950001,26.950001,26.629999,26.629999,400,25.780476
2016-05-19,26.940001,27.610001,26.940001,27.610001,400,26.729214
2016-05-18,27.139999,27.18,26.709999,26.709999,1600,25.857923
2016-05-17,27.00,27.17,26.799999,27.17,700,26.30325
2016-05-16,27.00,27.85,26.700001,27.299999,3800,26.429102
2016-05-13,26.65,26.65,26.65,26.65,000,25.799838
