Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,20.190001,20.290001,19.59,19.790001,24200,19.790001
2016-11-30,20.16,20.290001,19.90,20.15,17300,20.15
2016-11-29,20.17,20.26,20.07,20.16,13700,20.16
2016-11-28,20.549999,20.549999,20.049999,20.07,21700,20.07
2016-11-25,20.959999,20.959999,20.60,20.60,7000,20.60
2016-11-23,20.129999,20.92,19.969999,20.82,38200,20.82
2016-11-22,19.60,20.110001,19.43,20.040001,42800,20.040001
2016-11-21,18.85,19.67,18.85,19.66,48100,19.66
2016-11-18,19.209999,19.622,18.93,18.99,52300,18.99
2016-11-17,19.50,19.58,19.139999,19.139999,23900,19.139999
2016-11-16,18.959999,19.58,18.91,19.27,80600,19.27
2016-11-15,19.10,19.620001,18.700001,18.950001,57600,18.950001
2016-11-14,20.309999,20.309999,18.780001,19.129999,130900,19.129999
2016-11-11,18.85,21.024,18.85,20.110001,101200,20.110001
2016-11-10,17.120001,19.02,17.076,18.92,104200,18.92
2016-11-09,17.209999,17.209999,16.780001,17.030001,62800,17.030001
2016-11-08,16.917999,17.24,16.77,17.190001,41400,17.190001
2016-11-07,16.780001,17.00,16.780001,16.91,23900,16.91
2016-11-04,16.92,16.93,16.52,16.57,35900,16.57
2016-11-03,16.700001,16.83,16.60,16.700001,16200,16.700001
2016-11-02,16.73,17.08,16.545,16.57,35400,16.57
2016-11-01,16.950001,16.950001,16.620001,16.690001,21600,16.690001
2016-10-31,16.93,17.16,16.780001,16.950001,40300,16.950001
2016-10-28,17.01,17.10,16.92,16.969999,11100,16.969999
2016-10-27,17.290001,17.305,16.90,16.99,39200,16.99
2016-10-26,17.24,17.50,17.200001,17.25,89100,17.25
2016-10-25,17.35,17.450001,17.18,17.24,70800,17.24
2016-10-24,17.450001,17.629999,17.280001,17.459999,26500,17.459999
2016-10-21,17.09,17.48,17.09,17.43,39800,17.43
2016-10-20,17.200001,17.200001,17.10,17.17,15100,17.17
2016-10-19,16.870001,17.27,16.73,17.16,34400,17.16
2016-10-18,17.030001,17.040001,16.809999,16.879999,37200,16.879999
2016-10-17,16.83,16.98,16.68,16.91,28500,16.91
2016-10-14,16.969999,17.15,16.700001,16.82,69600,16.82
2016-10-13,16.98,16.98,16.77,16.83,77800,16.83
2016-10-12,17.370001,17.40,17.02,17.02,19700,17.02
2016-10-11,17.530001,17.530001,17.23,17.290001,45700,17.290001
2016-10-10,17.690001,17.700001,17.540001,17.59,15100,17.59
2016-10-07,17.42,17.610001,17.25,17.549999,46200,17.549999
2016-10-06,17.389999,17.629999,17.26,17.469999,18000,17.469999
2016-10-05,17.50,17.639999,17.40,17.49,38000,17.49
2016-10-04,17.530001,17.82,17.459999,17.48,152400,17.48
2016-10-03,17.40,17.559999,17.299999,17.50,50600,17.50
2016-09-30,17.040001,17.58,16.93,17.450001,74500,17.450001
2016-09-29,17.27,17.34,17.01,17.049999,47200,17.049999
2016-09-28,17.43,17.49,17.299999,17.32,43300,17.32
2016-09-27,17.09,17.41,17.00,17.379999,18200,17.379999
2016-09-26,17.26,17.26,17.030001,17.049999,104700,17.049999
2016-09-23,17.48,17.52,17.33,17.34,19800,17.34
2016-09-22,17.620001,17.620001,17.379999,17.51,67100,17.51
2016-09-21,17.280001,17.639999,17.280001,17.50,56500,17.50
2016-09-20,17.24,17.509001,16.823999,17.32,31700,17.32
2016-09-19,17.42,17.42,16.93,17.219999,61300,17.219999
2016-09-16,17.58,17.67,17.00,17.200001,178600,17.200001
2016-09-15,17.200001,17.469999,17.00,17.459999,11900,17.459999
2016-09-14,17.24,17.295,17.049999,17.16,25200,17.16
2016-09-13,17.17,17.360001,16.84,17.15,52400,17.15
2016-09-12,17.01,17.27,16.92,17.27,23100,17.27
2016-09-09,17.32,17.32,16.98,16.99,27900,16.99
2016-09-08,17.389999,17.487,17.209999,17.379999,44000,17.379999
2016-09-07,17.58,17.58,17.200001,17.40,44200,17.40
2016-09-06,17.17,17.60,17.049999,17.559999,29100,17.559999
2016-09-02,16.940001,17.139999,16.879999,17.110001,47800,17.110001
2016-09-01,16.75,16.99,16.559999,16.90,47700,16.90
2016-08-31,16.83,17.00,16.700001,16.809999,57400,16.809999
2016-08-30,16.719999,17.00,16.700001,16.90,28300,16.90
2016-08-29,17.00,17.120001,16.620001,16.780001,87900,16.780001
2016-08-26,16.99,17.040001,16.719999,16.92,29400,16.92
2016-08-25,16.950001,17.00,16.75,16.91,97600,16.91
2016-08-24,17.011999,17.011999,16.700001,16.879999,79000,16.879999
2016-08-23,16.959999,17.08,16.879999,16.889999,91200,16.889999
2016-08-22,16.83,17.10,16.76,16.85,127600,16.85
2016-08-19,16.690001,16.795,16.559999,16.73,49900,16.73
2016-08-18,16.959999,16.959999,16.57,16.68,106500,16.68
2016-08-17,16.76,16.959999,16.725,16.799999,66000,16.799999
2016-08-16,16.870001,16.969999,16.58,16.889999,87700,16.889999
2016-08-15,16.700001,16.879999,16.700001,16.77,64900,16.77
2016-08-12,16.66,16.700001,16.50,16.610001,27900,16.610001
2016-08-11,16.639999,16.77,16.485001,16.59,79300,16.59
2016-08-10,16.10,16.530001,15.98,16.51,59300,16.51
2016-08-09,16.17,16.49,15.70,15.98,146300,15.98
2016-08-08,16.15,16.280001,16.030001,16.08,60300,16.08
2016-08-05,16.23,16.23,16.02,16.07,58200,16.07
2016-08-04,16.299999,16.299999,16.02,16.09,75900,16.09
2016-08-03,16.219999,16.40,16.186001,16.25,26400,16.25
2016-08-02,16.459999,16.575001,16.139999,16.17,72200,16.17
2016-08-01,16.60,16.610001,16.41,16.549999,59600,16.549999
2016-07-29,16.51,16.60,16.290001,16.49,39900,16.49
2016-07-28,16.530001,16.540001,16.25,16.450001,66300,16.450001
2016-07-27,16.459999,16.610001,16.34,16.51,98000,16.51
2016-07-26,16.25,16.48,16.25,16.34,179200,16.34
2016-07-25,16.125,16.40,16.040001,16.200001,108900,16.200001
2016-07-22,15.99,16.325001,15.96,16.17,27000,16.17
2016-07-21,16.059999,16.18,16.00,16.040001,69600,16.040001
2016-07-20,16.16,16.16,15.93,16.110001,78000,16.110001
2016-07-19,15.89,16.089001,15.85,16.00,13800,16.00
2016-07-18,15.99,16.00,15.815,15.95,30500,15.95
2016-07-15,16.09,16.120001,15.88,15.97,40000,15.97
2016-07-14,16.25,16.25,15.845,15.99,49900,15.99
2016-07-13,16.049999,16.226,15.90,15.93,75500,15.93
2016-07-12,16.09,16.280001,16.049999,16.08,57700,16.08
2016-07-11,15.57,16.10,15.567,16.10,71100,16.10
2016-07-08,15.28,15.62,15.28,15.49,29200,15.49
2016-07-07,14.98,15.30,14.98,15.26,208000,15.26
2016-07-06,15.26,15.26,14.97,15.01,82100,15.01
2016-07-05,15.36,15.38,15.19,15.30,43900,15.30
2016-07-01,14.99,15.48,14.99,15.37,78500,15.37
2016-06-30,14.60,15.08,14.42,15.04,232500,15.04
2016-06-29,14.36,14.68,14.27,14.50,334400,14.50
2016-06-28,14.76,15.00,14.23,14.27,215500,14.27
2016-06-27,15.30,15.30,14.60,14.71,192400,14.71
2016-06-24,15.28,15.86,15.27,15.34,974300,15.34
2016-06-23,15.84,16.243,15.66,15.80,172700,15.80
2016-06-22,15.53,16.049999,15.43,15.79,113900,15.79
2016-06-21,15.34,15.55,15.26,15.42,114800,15.42
2016-06-20,15.06,15.45,15.06,15.38,71600,15.38
2016-06-17,15.44,15.56,14.99,15.01,606500,15.01
2016-06-16,15.26,15.68,14.97,15.40,293000,15.40
2016-06-15,14.78,15.15,14.72,15.04,125300,15.04
2016-06-14,14.99,14.99,14.66,14.79,95600,14.79
2016-06-13,15.36,15.40,14.87,14.89,136200,14.89
2016-06-10,15.35,15.48,15.22,15.34,106800,15.34
2016-06-09,15.52,15.605,15.32,15.49,104500,15.49
2016-06-08,15.47,15.55,15.29,15.43,131000,15.43
2016-06-07,15.33,15.43,15.20,15.36,85400,15.36
2016-06-06,15.58,15.65,15.31,15.44,183800,15.44
2016-06-03,15.55,15.75,15.40,15.51,148700,15.51
2016-06-02,15.44,15.83,15.44,15.83,154400,15.83
2016-06-01,15.50,15.83,15.46,15.81,220500,15.81
