Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,12.23,12.30,12.20,12.25,3600,12.25
2016-11-30,12.20,12.35,12.02,12.10,9500,12.10
2016-11-29,12.24,12.45,12.05,12.05,8900,12.05
2016-11-28,12.20,12.25,12.00,12.25,5200,12.25
2016-11-25,12.35,12.45,12.05,12.20,8000,12.20
2016-11-23,12.05,12.55,12.05,12.30,15300,12.30
2016-11-22,12.25,12.30,12.20,12.20,4500,12.20
2016-11-21,12.35,12.50,12.15,12.25,23800,12.25
2016-11-18,12.25,12.31,12.00,12.25,12400,12.25
2016-11-17,12.15,12.15,12.00,12.14,6000,12.14
2016-11-16,12.15,12.20,12.09,12.10,4700,12.10
2016-11-15,12.05,12.20,12.05,12.20,26800,12.20
2016-11-14,11.60,12.15,11.45,12.05,68500,12.05
2016-11-11,11.40,11.50,11.33,11.45,4000,11.45
2016-11-10,11.37,11.50,11.35,11.49,10400,11.49
2016-11-09,11.25,11.75,11.25,11.40,3200,11.40
2016-11-08,11.25,11.40,11.25,11.25,6300,11.25
2016-11-07,11.25,11.35,11.25,11.30,9300,11.30
2016-11-04,11.45,11.55,11.30,11.30,11100,11.30
2016-11-03,11.60,11.65,11.60,11.60,2200,11.60
2016-11-02,11.50,11.75,11.50,11.67,9100,11.67
2016-11-01,11.75,11.80,11.45,11.65,11800,11.65
2016-10-31,11.90,11.90,11.80,11.80,5200,11.80
2016-10-28,12.00,12.00,11.83,11.95,12100,11.95
2016-10-27,11.80,11.91,11.74,11.90,5000,11.76
2016-10-26,11.70,11.78,11.58,11.60,7100,11.46353
2016-10-25,11.55,11.75,11.40,11.63,10700,11.493177
2016-10-24,11.50,11.70,11.50,11.65,5900,11.512941
2016-10-21,11.73,11.75,11.52,11.52,2100,11.384471
2016-10-20,11.75,11.75,11.75,11.75,300,11.611765
2016-10-19,11.55,11.75,11.55,11.75,6800,11.611765
2016-10-18,11.70,11.70,11.56,11.65,11900,11.512941
2016-10-17,11.40,11.65,11.40,11.65,5700,11.512941
2016-10-14,11.34,11.34,11.34,11.34,800,11.206588
2016-10-13,11.27,11.50,11.24,11.24,7600,11.107764
2016-10-12,11.49,11.50,11.30,11.35,21000,11.216471
2016-10-11,11.50,11.50,11.25,11.44,500,11.305411
2016-10-10,11.17,11.38,11.15,11.38,4600,11.246118
2016-10-07,11.38,11.38,11.17,11.17,800,11.038588
2016-10-06,11.31,11.44,11.31,11.41,1900,11.275765
2016-10-05,11.34,11.73,11.34,11.50,6900,11.364706
2016-10-04,11.44,11.47,11.15,11.34,4100,11.206588
2016-10-03,11.21,11.40,11.01,11.31,7500,11.176942
2016-09-30,11.09,11.29,11.08,11.25,9600,11.117647
2016-09-29,11.10,11.10,10.95,10.98,5300,10.850823
2016-09-28,11.09,11.10,11.01,11.06,7700,10.929883
2016-09-27,11.04,11.10,10.91,11.01,1800,10.880471
2016-09-26,11.01,11.18,11.00,11.10,7500,10.969412
2016-09-23,11.00,11.25,11.00,11.18,6100,11.048471
2016-09-22,10.99,11.15,10.99,11.02,3300,10.890353
2016-09-21,11.04,11.05,11.04,11.05,600,10.92
2016-09-20,10.92,11.05,10.92,11.05,1800,10.92
2016-09-19,10.97,11.22,10.96,10.96,24000,10.831059
2016-09-16,10.82,10.97,10.82,10.92,7900,10.791529
2016-09-15,10.79,10.99,10.65,10.89,4800,10.761883
2016-09-14,10.88,10.91,10.75,10.75,9300,10.623529
2016-09-13,10.94,11.00,10.89,10.91,2800,10.781647
2016-09-12,10.88,11.00,10.88,10.91,2100,10.781647
2016-09-09,11.05,11.10,10.89,10.89,8800,10.761883
2016-09-08,11.03,11.21,11.03,11.10,8900,10.969412
2016-09-07,11.20,11.30,11.06,11.07,13400,10.939764
2016-09-06,11.05,11.18,11.05,11.06,5600,10.929883
2016-09-02,11.06,11.22,10.88,11.03,18700,10.900235
2016-09-01,11.03,11.03,10.91,10.98,11900,10.850823
2016-08-31,11.05,11.08,11.01,11.08,4900,10.949647
2016-08-30,11.02,11.07,10.97,11.02,1500,10.890353
2016-08-29,11.00,11.00,10.96,11.00,6600,10.870588
2016-08-26,10.90,11.07,10.85,10.86,15300,10.732235
2016-08-25,10.97,11.04,10.85,10.95,9600,10.821176
2016-08-24,11.00,11.10,10.92,10.92,3200,10.791529
2016-08-23,11.12,11.13,11.00,11.00,4500,10.870588
2016-08-22,10.99,11.11,10.85,11.08,9000,10.949647
2016-08-19,10.89,11.00,10.87,10.97,6000,10.840941
2016-08-18,10.73,10.89,10.73,10.87,2900,10.742118
2016-08-17,10.74,10.78,10.70,10.75,4700,10.623529
2016-08-16,10.77,10.79,10.64,10.69,7700,10.564235
2016-08-15,10.73,10.89,10.66,10.75,9300,10.623529
2016-08-12,10.66,10.87,10.65,10.69,9800,10.564235
2016-08-11,10.70,10.85,10.64,10.80,12600,10.672941
2016-08-10,10.69,10.76,10.69,10.72,5100,10.593883
2016-08-09,10.76,10.77,10.65,10.72,15200,10.593883
2016-08-08,10.69,10.74,10.68,10.73,14700,10.603764
2016-08-05,10.64,10.69,10.59,10.62,5800,10.495059
2016-08-04,10.70,10.70,10.65,10.65,1200,10.524706
2016-08-03,10.62,10.69,10.62,10.66,3200,10.534588
2016-08-02,10.66,10.70,10.60,10.66,14100,10.534588
2016-08-01,10.57,10.65,10.56,10.65,14000,10.524706
2016-07-29,10.60,10.60,10.55,10.57,11300,10.445647
2016-07-28,10.53,10.60,10.52,10.58,15700,10.455529
2016-07-27,10.60,10.62,10.51,10.62,7800,10.356706
2016-07-26,10.54,10.61,10.52,10.55,6300,10.288441
2016-07-25,10.52,10.60,10.52,10.60,2100,10.337202
2016-07-22,10.74,10.74,10.55,10.59,7100,10.32745
2016-07-21,10.60,10.60,10.51,10.51,1000,10.249433
2016-07-20,10.57,10.60,10.54,10.56,2800,10.298194
2016-07-19,10.60,10.61,10.58,10.59,11600,10.32745
2016-07-18,10.60,10.61,10.60,10.60,2100,10.337202
2016-07-15,10.60,10.62,10.51,10.62,4200,10.356706
2016-07-14,10.55,10.59,10.43,10.59,6900,10.32745
2016-07-13,10.57,10.60,10.51,10.60,13500,10.337202
2016-07-12,10.50,10.57,10.47,10.56,2800,10.298194
2016-07-11,10.52,10.52,10.39,10.41,5100,10.151912
2016-07-08,10.44,10.51,10.35,10.50,6300,10.239681
2016-07-07,10.24,10.44,10.24,10.43,5400,10.171416
2016-07-06,10.20,10.42,10.20,10.21,1900,9.956871
2016-07-05,10.23,10.25,10.18,10.18,3500,9.927615
2016-07-01,10.35,10.35,10.25,10.25,1200,9.995879
2016-06-30,10.20,10.32,10.20,10.24,7400,9.986126
