Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,33.849998,34.450001,33.849998,34.349998,54700,34.349998
2016-11-30,33.50,33.900002,33.389999,33.650002,118400,33.650002
2016-11-29,33.00,33.50,33.00,33.299999,42000,33.299999
2016-11-28,33.349998,33.349998,32.799999,33.049999,82900,33.049999
2016-11-25,33.150002,33.50,33.150002,33.349998,23300,33.349998
2016-11-23,32.50,33.099998,32.200001,32.900002,72000,32.900002
2016-11-22,31.10,32.50,31.10,32.299999,285800,32.299999
2016-11-21,32.099998,32.099998,31.65,31.85,29100,31.85
2016-11-18,31.40,32.200001,30.950001,32.00,67400,32.00
2016-11-17,31.00,31.40,30.950001,31.40,47200,31.40
2016-11-16,30.65,30.90,30.00,30.90,54600,30.90
2016-11-15,30.75,30.950001,30.450001,30.65,50100,30.65
2016-11-14,31.15,31.90,30.799999,31.00,53600,31.00
2016-11-11,29.90,31.35,28.879999,30.90,144400,30.90
2016-11-10,28.90,29.950001,28.35,29.75,74700,29.75
2016-11-09,27.85,28.90,27.75,28.75,79300,28.75
2016-11-08,27.85,28.00,27.60,27.75,33900,27.75
2016-11-07,27.75,28.00,27.50,28.00,116600,28.00
2016-11-04,27.00,27.40,27.00,27.25,103300,27.25
2016-11-03,27.25,27.25,26.90,27.15,50000,27.15
2016-11-02,27.35,27.40,27.049999,27.049999,45800,27.049999
2016-11-01,27.50,27.60,27.299999,27.35,45900,27.35
2016-10-31,28.00,28.15,27.50,27.549999,68000,27.549999
2016-10-28,27.60,28.299999,27.450001,28.049999,90600,28.049999
2016-10-27,27.60,28.00,27.450001,27.65,62900,27.65
2016-10-26,27.75,27.780001,27.450001,27.549999,41800,27.549999
2016-10-25,28.299999,28.299999,27.65,27.75,29900,27.75
2016-10-24,28.00,28.299999,27.950001,28.00,66800,28.00
2016-10-21,27.950001,28.10,27.85,28.00,24600,28.00
2016-10-20,28.00,28.200001,27.799999,28.15,14000,28.15
2016-10-19,28.15,28.15,27.90,27.950001,42700,27.950001
2016-10-18,28.15,28.299999,28.00,28.15,19300,27.919999
2016-10-17,28.15,28.35,28.00,28.00,16900,27.771225
2016-10-14,28.219999,28.66,28.049999,28.309999,65900,28.078691
2016-10-13,28.110001,28.18,28.00,28.040001,71300,27.810899
2016-10-12,28.48,28.57,28.23,28.27,13100,28.039019
2016-10-11,28.469999,28.58,28.290001,28.41,45200,28.177875
2016-10-10,28.469999,28.76,28.42,28.49,39300,28.257221
2016-10-07,28.60,28.60,28.25,28.40,57400,28.167956
2016-10-06,28.50,28.639999,28.389999,28.59,34100,28.356404
2016-10-05,28.60,28.719999,28.51,28.530001,38100,28.296895
2016-10-04,28.549999,28.74,28.43,28.530001,22900,28.296895
2016-10-03,28.41,28.469999,28.25,28.459999,28000,28.227465
2016-09-30,28.52,28.879999,28.52,28.59,52000,28.356404
2016-09-29,28.90,28.98,28.440001,28.440001,31200,28.20763
2016-09-28,28.83,29.040001,28.690001,28.98,64300,28.743217
2016-09-27,28.690001,29.08,28.68,28.889999,85700,28.653952
2016-09-26,28.629999,28.93,28.40,28.629999,79600,28.396076
2016-09-23,28.75,28.90,28.620001,28.790001,84200,28.554771
2016-09-22,28.90,28.90,28.66,28.75,145500,28.515097
2016-09-21,28.950001,29.00,28.57,28.60,74000,28.366323
2016-09-20,29.299999,29.299999,28.85,28.889999,43400,28.653952
2016-09-19,29.030001,29.51,29.030001,29.10,119700,28.862238
2016-09-16,29.48,29.67,28.77,29.02,357900,28.782891
2016-09-15,29.190001,29.75,29.15,29.360001,65900,29.120113
2016-09-14,29.15,29.58,29.15,29.299999,46700,29.060602
2016-09-13,29.469999,29.469999,29.110001,29.280001,68300,29.040767
2016-09-12,29.639999,29.719999,29.33,29.690001,71300,29.447417
2016-09-09,29.610001,29.870001,29.610001,29.629999,141800,29.387906
2016-09-08,29.93,30.040001,29.700001,29.799999,52700,29.556517
2016-09-07,29.549999,30.030001,29.549999,29.92,86300,29.675537
2016-09-06,29.42,29.77,29.42,29.57,92600,29.328397
2016-09-02,29.59,29.77,29.40,29.52,84800,29.278806
2016-09-01,29.959999,29.959999,29.24,29.52,34800,29.278806
2016-08-31,30.00,30.16,29.379999,29.809999,52300,29.566436
2016-08-30,30.110001,30.110001,29.83,29.90,34500,29.6557
2016-08-29,29.780001,30.040001,29.73,29.809999,26300,29.566436
