Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,9.85,9.94,9.80,9.93,1071800,9.93
2016-11-30,9.78,9.88,9.76,9.77,1080000,9.77
2016-11-29,9.76,9.81,9.69,9.72,835700,9.72
2016-11-28,9.91,9.93,9.70,9.74,1088100,9.74
2016-11-25,9.88,9.92,9.85,9.89,385900,9.89
2016-11-23,9.85,9.94,9.80,9.87,1324000,9.87
2016-11-22,9.79,9.85,9.70,9.83,1014100,9.83
2016-11-21,9.70,9.74,9.66,9.73,773200,9.73
2016-11-18,9.67,9.88,9.67,9.85,1459900,9.690001
2016-11-17,10.09,10.09,9.63,9.64,1814300,9.483412
2016-11-16,9.65,9.80,9.64,9.74,1282500,9.581787
2016-11-15,9.67,9.75,9.56,9.75,1193100,9.591625
2016-11-14,9.50,9.78,9.36,9.68,1607600,9.522762
2016-11-11,9.30,9.47,9.21,9.45,2366800,9.296497
2016-11-10,9.23,9.55,9.12,9.29,2889500,9.139097
2016-11-09,8.78,9.20,8.74,9.14,2090300,8.991533
2016-11-08,8.68,8.80,8.60,8.80,1089700,8.657056
2016-11-07,8.54,8.66,8.47,8.66,835600,8.51933
2016-11-04,8.42,8.53,8.37,8.41,1540100,8.273391
2016-11-03,8.46,8.50,8.36,8.37,835700,8.234041
2016-11-02,8.59,8.59,8.44,8.45,661900,8.312741
2016-11-01,9.36,9.36,8.54,8.58,1230900,8.44063
2016-10-31,8.67,8.67,8.56,8.59,1537300,8.450467
2016-10-28,8.87,8.87,8.59,8.63,1513800,8.489818
2016-10-27,8.96,8.98,8.80,8.87,1247300,8.725919
2016-10-26,8.96,9.01,8.83,8.96,958300,8.814457
2016-10-25,9.21,9.21,8.85,8.92,561500,8.775107
2016-10-24,8.99,9.01,8.88,8.94,646300,8.794781
2016-10-21,8.80,8.95,8.80,8.91,801400,8.765269
2016-10-20,8.96,8.98,8.84,8.88,749500,8.735757
2016-10-19,8.90,8.98,8.84,8.95,866500,8.804619
2016-10-18,8.84,8.89,8.78,8.85,862100,8.706244
2016-10-17,8.89,8.93,8.72,8.75,973200,8.607868
2016-10-14,8.82,8.88,8.72,8.88,906300,8.735757
2016-10-13,8.78,8.78,8.64,8.75,939800,8.607868
2016-10-12,8.87,8.91,8.80,8.83,664400,8.686569
2016-10-11,9.02,9.06,8.88,8.89,1480600,8.745594
2016-10-10,8.98,9.07,8.93,9.06,1850700,8.912833
2016-10-07,8.71,8.91,8.65,8.90,2681900,8.755431
2016-10-06,8.64,8.70,8.52,8.70,1029100,8.55868
2016-10-05,8.56,8.64,8.50,8.64,1596800,8.499655
2016-10-04,8.67,8.67,8.52,8.56,1077600,8.420955
2016-10-03,8.75,8.75,8.60,8.68,1038100,8.539006
2016-09-30,8.77,8.81,8.53,8.75,1931700,8.607868
2016-09-29,8.94,8.95,8.79,8.79,801100,8.647218
