Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,9.00,9.00,8.75,8.95,207500,8.95
2016-11-30,9.05,9.05,8.95,8.95,100800,8.95
2016-11-29,8.95,9.10,8.95,9.00,94200,9.00
2016-11-28,9.05,9.05,8.75,8.90,273200,8.90
2016-11-25,8.70,9.00,8.70,9.00,86400,9.00
2016-11-23,8.70,8.80,8.55,8.75,254900,8.75
2016-11-22,8.65,8.75,8.60,8.75,147100,8.75
2016-11-21,8.80,8.80,8.55,8.70,147600,8.70
2016-11-18,8.80,8.90,8.60,8.70,350600,8.70
2016-11-17,8.40,8.95,8.38,8.80,244300,8.80
2016-11-16,8.40,8.40,8.25,8.40,81000,8.40
2016-11-15,8.45,8.45,8.30,8.40,96000,8.345
2016-11-14,8.60,8.65,8.35,8.45,246000,8.394672
2016-11-11,8.40,8.55,8.30,8.40,248600,8.345
2016-11-10,8.45,8.60,8.15,8.35,192900,8.295328
2016-11-09,7.85,8.35,7.81,8.30,98300,8.245655
2016-11-08,7.85,7.95,7.75,7.80,31300,7.748929
2016-11-07,7.90,7.95,7.75,7.95,47300,7.897946
2016-11-04,7.75,7.90,7.70,7.75,39400,7.699256
2016-11-03,7.85,7.85,7.70,7.70,68700,7.649583
2016-11-02,7.80,7.95,7.80,7.80,77400,7.748929
2016-11-01,7.90,8.05,7.70,7.85,112800,7.798601
2016-10-31,7.70,8.05,7.55,7.80,196000,7.748929
2016-10-28,7.80,7.80,7.65,7.75,55200,7.699256
2016-10-27,7.90,7.90,7.80,7.80,39500,7.748929
2016-10-26,7.95,7.95,7.80,7.85,70300,7.798601
2016-10-25,8.00,8.10,7.80,7.95,44500,7.897946
2016-10-24,8.00,8.10,7.95,7.95,96900,7.897946
2016-10-21,7.85,8.10,7.85,7.95,54600,7.897946
2016-10-20,7.55,8.15,7.55,7.90,79100,7.848274
2016-10-19,7.80,8.05,7.75,8.05,132700,7.997292
2016-10-18,7.75,7.85,7.75,7.80,24000,7.748929
2016-10-17,7.95,7.95,7.65,7.75,22300,7.699256
2016-10-14,7.74,7.81,7.70,7.78,36600,7.72906
2016-10-13,7.77,7.91,7.67,7.69,74300,7.639649
2016-10-12,7.88,8.00,7.88,7.95,30200,7.897946
2016-10-11,7.95,7.97,7.88,7.90,44700,7.848274
2016-10-10,7.88,7.97,7.88,7.94,31700,7.888012
2016-10-07,7.87,7.91,7.80,7.84,37300,7.788667
2016-10-06,7.85,7.95,7.79,7.90,41200,7.848274
2016-10-05,7.78,7.88,7.71,7.85,98400,7.798601
2016-10-04,7.78,7.87,7.73,7.75,39600,7.699256
2016-10-03,7.65,7.79,7.53,7.77,124000,7.719125
2016-09-30,7.69,7.72,7.65,7.68,154100,7.629714
2016-09-29,7.75,7.75,7.62,7.65,49500,7.599911
2016-09-28,7.75,7.78,7.65,7.75,53300,7.699256
2016-09-27,7.75,7.76,7.70,7.75,102800,7.699256
2016-09-26,7.83,7.87,7.70,7.72,242200,7.669452
2016-09-23,7.81,7.93,7.81,7.90,76100,7.848274
2016-09-22,7.68,7.86,7.63,7.85,243000,7.798601
2016-09-21,7.69,7.70,7.54,7.66,118400,7.609845
2016-09-20,7.72,7.74,7.64,7.69,36300,7.639649
2016-09-19,7.65,7.73,7.65,7.66,36500,7.609845
2016-09-16,7.64,7.66,7.58,7.63,195800,7.580042
2016-09-15,7.59,7.65,7.56,7.64,38900,7.589976
2016-09-14,7.57,7.67,7.56,7.59,74400,7.540304
2016-09-13,7.71,7.72,7.58,7.65,36300,7.599911
2016-09-12,7.72,7.79,7.63,7.77,46500,7.719125
