Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,8.45,8.85,8.35,8.65,49100,8.65
2016-11-30,8.32,8.40,8.29,8.40,10400,8.40
2016-11-29,8.10,8.35,8.10,8.35,17900,8.35
2016-11-28,8.20,8.20,8.05,8.05,10400,8.05
2016-11-25,8.06,8.18,8.06,8.15,2800,8.15
2016-11-23,8.15,8.20,8.10,8.15,6300,8.15
2016-11-22,8.15,8.25,8.10,8.20,5200,8.20
2016-11-21,8.20,8.20,8.05,8.15,22300,8.15
2016-11-18,7.90,8.25,7.90,8.25,23500,8.25
2016-11-17,7.95,8.00,7.95,7.95,14900,7.95
2016-11-16,8.00,8.00,7.95,8.00,11600,8.00
2016-11-15,7.80,8.00,7.80,8.00,35700,8.00
2016-11-14,7.50,7.85,7.50,7.85,29000,7.85
2016-11-11,7.35,7.55,7.35,7.55,29700,7.55
2016-11-10,7.35,7.45,7.30,7.40,14700,7.40
2016-11-09,7.20,7.35,7.20,7.35,21800,7.35
2016-11-08,7.25,7.35,7.25,7.25,15100,7.25
2016-11-07,7.29,7.35,7.26,7.35,2800,7.35
2016-11-04,7.35,7.35,7.25,7.25,2800,7.25
2016-11-03,7.23,7.30,7.20,7.25,6200,7.25
2016-11-02,7.30,7.30,7.00,7.20,34100,7.20
2016-11-01,7.35,7.35,7.20,7.30,73000,7.30
2016-10-31,7.25,7.35,7.25,7.30,16100,7.30
2016-10-28,7.35,7.35,7.30,7.30,4600,7.30
2016-10-27,7.26,7.35,7.25,7.35,1600,7.35
2016-10-26,7.30,7.35,7.25,7.35,10500,7.35
2016-10-25,7.20,7.35,7.20,7.30,15000,7.30
2016-10-24,7.35,7.35,7.30,7.30,19100,7.30
2016-10-21,7.32,7.32,7.20,7.30,12500,7.30
2016-10-20,7.15,7.40,7.15,7.35,38600,7.35
2016-10-19,7.15,7.20,7.15,7.20,20100,7.20
2016-10-18,7.15,7.20,7.15,7.20,2300,7.20
2016-10-17,7.15,7.20,7.15,7.20,2000,7.20
2016-10-14,7.21,7.21,7.16,7.19,18300,7.19
2016-10-13,7.21,7.21,7.17,7.17,4400,7.17
2016-10-12,7.20,7.20,7.19,7.20,6200,7.20
2016-10-11,7.20,7.20,7.18,7.18,4800,7.18
2016-10-10,7.20,7.21,7.18,7.21,11200,7.21
2016-10-07,7.16,7.21,7.16,7.21,18600,7.21
2016-10-06,7.21,7.21,7.20,7.20,200,7.20
2016-10-05,7.18,7.21,7.17,7.20,18300,7.20
2016-10-04,7.20,7.20,7.17,7.17,11200,7.17
2016-10-03,7.20,7.20,7.17,7.19,1300,7.19
2016-09-30,7.30,7.30,7.19,7.20,20900,7.20
2016-09-29,7.19,7.41,7.19,7.30,180800,7.27
2016-09-28,7.19,7.24,7.15,7.18,33100,7.150493
2016-09-27,7.17,7.18,7.16,7.18,8200,7.150493
2016-09-26,7.19,7.21,7.17,7.18,12900,7.150493
2016-09-23,7.20,7.23,7.18,7.20,8600,7.170411
2016-09-22,7.20,7.22,7.19,7.19,13600,7.160452
2016-09-21,7.17,7.22,7.16,7.19,15500,7.160452
2016-09-20,7.10,7.19,7.10,7.17,76900,7.140535
2016-09-19,7.10,7.16,7.10,7.12,228900,7.09074
2016-09-16,7.15,7.16,7.14,7.15,22400,7.120617
2016-09-15,7.00,7.21,7.00,7.14,24200,7.110658
2016-09-14,6.93,7.04,6.92,7.02,24400,6.991151
2016-09-13,6.87,6.93,6.87,6.88,5000,6.851726
2016-09-12,6.85,6.90,6.85,6.89,9900,6.861685
2016-09-09,6.84,6.87,6.81,6.87,15600,6.841767
2016-09-08,6.85,6.85,6.83,6.85,3100,6.821849
2016-09-07,6.80,6.89,6.80,6.81,7900,6.782014
2016-09-06,6.75,6.78,6.74,6.76,48600,6.73222
2016-09-02,6.76,6.76,6.75,6.75,10200,6.72226
2016-09-01,6.75,6.76,6.75,6.75,12000,6.72226
2016-08-31,6.75,6.77,6.70,6.70,38200,6.672466
2016-08-30,6.82,6.82,6.67,6.72,17000,6.692384
2016-08-29,6.80,6.83,6.80,6.80,2100,6.772055
2016-08-26,6.75,6.81,6.75,6.81,2600,6.782014
2016-08-25,6.72,6.75,6.72,6.75,2000,6.72226
2016-08-24,6.76,6.76,6.68,6.75,12100,6.72226
2016-08-23,6.82,6.82,6.75,6.76,2100,6.73222
2016-08-22,6.80,6.84,6.73,6.76,9100,6.73222
2016-08-19,6.76,6.83,6.76,6.82,2100,6.791973
2016-08-18,6.75,6.79,6.65,6.75,63000,6.72226
