Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,16.40,16.50,15.40,15.65,62400,15.65
2016-11-30,16.299999,16.49,16.200001,16.35,35200,16.35
2016-11-29,16.25,16.35,16.030001,16.15,71000,16.15
2016-11-28,16.10,16.65,16.00,16.450001,41600,16.450001
2016-11-25,16.85,17.190001,16.299999,16.450001,42400,16.450001
2016-11-23,15.60,16.85,15.60,16.75,85600,16.75
2016-11-22,15.75,15.90,15.30,15.75,95500,15.75
2016-11-21,15.25,15.88,15.20,15.70,129300,15.70
2016-11-18,15.20,15.25,14.85,15.20,68000,15.20
2016-11-17,15.15,15.25,15.00,15.20,58900,15.20
2016-11-16,14.90,15.25,14.51,15.20,38000,15.20
2016-11-15,15.00,15.05,14.40,14.90,40800,14.90
2016-11-14,15.00,15.25,14.60,15.00,137400,15.00
2016-11-11,12.95,14.95,12.55,14.80,161900,14.80
2016-11-10,12.85,13.10,12.75,13.00,96000,13.00
2016-11-09,12.10,12.70,12.10,12.70,75100,12.70
2016-11-08,12.15,12.35,11.95,12.20,31400,12.20
2016-11-07,12.55,12.85,11.95,12.25,81500,12.25
2016-11-04,11.50,12.55,11.50,12.35,94000,12.35
2016-11-03,10.35,11.55,10.30,11.50,47600,11.50
2016-11-02,10.55,10.60,10.30,10.30,28800,10.30
2016-11-01,10.75,10.90,10.25,10.45,42400,10.45
2016-10-31,10.60,11.10,10.20,10.85,54100,10.85
2016-10-28,9.80,10.55,9.80,10.06,91400,10.06
2016-10-27,9.99,9.99,9.81,9.85,74500,9.85
2016-10-26,10.00,10.07,9.82,9.89,42700,9.89
2016-10-25,10.03,10.22,9.89,10.15,89600,10.15
2016-10-24,10.07,10.15,9.88,10.07,71600,10.07
2016-10-21,10.15,10.16,9.96,10.03,21600,10.03
2016-10-20,10.22,10.35,9.95,10.33,22600,10.33
2016-10-19,10.12,10.32,9.89,10.19,16700,10.19
2016-10-18,10.18,10.18,9.81,9.92,34000,9.92
2016-10-17,10.13,10.13,9.96,10.01,19800,10.01
2016-10-14,10.21,10.21,9.90,10.05,47900,10.05
2016-10-13,10.11,10.21,9.89,10.07,49100,10.07
2016-10-12,10.29,10.29,9.94,10.24,48600,10.24
2016-10-11,10.49,10.49,10.12,10.14,26100,10.14
2016-10-10,10.55,10.95,10.44,10.53,94400,10.53
2016-10-07,10.42,10.50,10.10,10.41,43900,10.41
2016-10-06,10.61,10.72,10.29,10.40,25800,10.40
2016-10-05,10.50,10.88,10.06,10.61,96300,10.61
2016-10-04,10.81,10.81,10.14,10.41,79900,10.41
2016-10-03,10.71,11.21,10.36,10.80,66300,10.80
2016-09-30,10.50,10.74,10.50,10.66,27900,10.66
2016-09-29,10.87,10.87,10.39,10.44,26400,10.44
2016-09-28,10.17,10.96,10.17,10.87,79800,10.87
2016-09-27,10.03,10.30,9.98,10.20,27900,10.18
