Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,21.709999,21.99,21.709999,21.99,2700,21.99
2016-11-30,21.709999,21.709999,21.709999,21.709999,100,21.709999
2016-11-29,22.00,22.360001,21.10,21.51,21800,21.51
2016-11-28,22.01,22.780001,21.92,22.00,3700,22.00
2016-11-25,22.030001,22.030001,22.030001,22.030001,000,22.030001
2016-11-23,21.76,22.030001,21.75,22.030001,1800,22.030001
2016-11-22,21.07,22.00,21.07,21.50,7400,21.50
2016-11-21,21.799999,21.84,20.99,21.030001,24500,21.030001
2016-11-18,22.030001,22.030001,21.49,21.709999,18000,21.709999
2016-11-17,22.10,22.26,22.00,22.00,6700,22.00
2016-11-16,22.60,22.610001,21.780001,21.790001,14500,21.790001
2016-11-15,22.370001,22.76,22.370001,22.549999,6200,22.549999
2016-11-14,22.91,22.91,22.530001,22.530001,2500,22.530001
2016-11-11,22.50,22.719999,22.50,22.709999,2300,22.709999
2016-11-10,22.82,22.82,22.82,22.82,000,22.82
2016-11-09,23.00,23.00,22.82,22.82,1400,22.692
2016-11-08,22.969999,22.969999,22.969999,22.969999,200,22.841158
2016-11-07,22.73,22.73,22.73,22.73,000,22.602505
2016-11-04,22.73,22.73,22.73,22.73,500,22.602505
2016-11-03,22.370001,22.370001,22.370001,22.370001,200,22.244525
2016-11-02,22.98,22.98,22.98,22.98,000,22.851103
2016-11-01,22.98,22.98,22.98,22.98,100,22.851103
2016-10-31,22.98,23.00,22.84,22.99,7300,22.861047
2016-10-28,22.98,23.00,22.98,23.00,5700,22.870991
2016-10-27,22.99,23.00,22.99,23.00,500,22.870991
2016-10-26,22.84,23.10,22.84,23.08,3600,22.950542
2016-10-25,22.940001,23.280001,22.82,22.82,8100,22.692
2016-10-24,22.790001,22.90,22.74,22.74,5700,22.612449
2016-10-21,22.32,22.68,22.32,22.68,1600,22.552786
2016-10-20,22.700001,22.73,22.49,22.60,18500,22.473235
2016-10-19,22.889999,22.889999,22.540001,22.58,6800,22.453347
2016-10-18,23.110001,23.290001,22.51,22.540001,14900,22.413572
2016-10-17,22.82,23.00,22.77,23.00,4800,22.870991
2016-10-14,22.969999,23.00,22.809999,22.959999,3800,22.831214
2016-10-13,22.969999,22.969999,22.969999,22.969999,800,22.841158
2016-10-12,22.82,22.82,22.82,22.82,200,22.692
2016-10-11,22.99,22.99,22.969999,22.98,1200,22.72382
2016-10-10,22.73,22.75,22.67,22.67,4500,22.417277
2016-10-07,22.75,22.75,22.370001,22.690001,12700,22.437054
2016-10-06,22.57,22.75,22.559999,22.620001,3400,22.367835
2016-10-05,22.58,22.91,22.58,22.91,3100,22.654601
2016-10-04,22.51,22.51,22.50,22.50,1900,22.249172
2016-10-03,22.67,23.00,22.52,22.719999,1200,22.466719
2016-09-30,22.299999,22.84,22.299999,22.84,7000,22.585382
2016-09-29,23.190001,23.190001,22.120001,22.26,42400,22.011848
2016-09-28,22.719999,23.25,22.49,22.99,5000,22.733709
2016-09-27,22.85,22.85,22.50,22.700001,11000,22.446943
2016-09-26,22.950001,22.950001,22.440001,22.799999,12000,22.545827
2016-09-23,23.00,23.00,22.950001,22.950001,2500,22.694156
2016-09-22,23.049999,23.049999,22.610001,22.950001,4000,22.694156
2016-09-21,23.18,23.24,23.00,23.00,3700,22.743598
2016-09-20,22.85,23.25,22.799999,22.93,4700,22.674379
2016-09-19,23.17,23.18,22.799999,22.860001,12400,22.605159
2016-09-16,22.559999,23.25,22.50,22.799999,1500,22.545827
2016-09-15,22.370001,22.85,22.370001,22.610001,5400,22.357946
2016-09-14,23.049999,23.049999,22.200001,22.84,5100,22.585382
2016-09-13,23.00,23.00,22.700001,23.00,2600,22.743598
2016-09-12,22.60,22.60,22.59,22.59,500,22.211595
2016-09-09,22.68,22.68,22.25,22.25,2600,21.87729
2016-09-08,22.67,22.85,22.67,22.85,1100,22.46724
2016-09-07,22.620001,23.18,22.60,22.60,10900,22.221428
2016-09-06,23.25,23.280001,22.700001,22.700001,18800,22.319753
2016-09-02,23.26,23.33,23.25,23.25,14600,22.860539
2016-09-01,23.23,23.360001,23.190001,23.25,11700,22.860539
2016-08-31,23.110001,23.209999,23.110001,23.200001,1600,22.811378
2016-08-30,23.10,23.469999,23.10,23.299999,11200,22.909701
2016-08-29,23.860001,23.98,23.24,23.25,12800,22.860539
2016-08-26,23.299999,24.42,23.10,23.389999,31700,22.998194
2016-08-25,23.09,23.360001,23.00,23.25,41500,22.860539
2016-08-24,23.15,23.24,22.719999,22.719999,23900,22.339417
2016-08-23,22.99,23.15,22.860001,23.10,24800,22.713052
2016-08-22,22.860001,23.00,22.85,23.00,5600,22.614727
