Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,23.00,23.48,23.00,23.469999,54600,23.469999
2016-11-30,22.59,23.030001,22.48,22.85,67400,22.85
2016-11-29,22.360001,22.51,22.24,22.40,56600,22.40
2016-11-28,22.450001,22.450001,22.25,22.25,78700,22.25
2016-11-25,22.25,22.629999,22.25,22.469999,9700,22.469999
2016-11-23,21.93,22.41,21.93,22.25,38400,22.25
2016-11-22,21.48,22.17,21.48,22.01,32600,22.01
2016-11-21,21.139999,21.49,20.940001,21.48,44600,21.48
2016-11-18,20.67,21.24,20.00,21.16,86000,21.16
2016-11-17,20.50,20.99,19.93,20.700001,26300,20.700001
2016-11-16,20.26,20.48,20.00,20.360001,73000,20.360001
2016-11-15,19.91,20.49,19.91,20.32,52500,20.32
2016-11-14,20.360001,20.77,20.25,20.51,51000,20.51
2016-11-11,19.49,20.48,19.309999,20.26,90600,20.26
2016-11-10,19.450001,19.74,19.280001,19.60,52700,19.60
2016-11-09,18.83,19.35,18.200001,19.299999,52700,19.299999
2016-11-08,18.440001,18.98,18.200001,18.85,27200,18.85
2016-11-07,17.799999,18.280001,17.60,18.09,66700,18.09
2016-11-04,17.389999,17.65,17.34,17.440001,67000,17.440001
2016-11-03,17.35,17.50,17.32,17.440001,29700,17.440001
2016-11-02,17.33,17.82,17.25,17.34,14400,17.34
2016-11-01,17.870001,18.030001,17.65,17.65,12300,17.65
2016-10-31,17.82,17.950001,17.67,17.860001,25900,17.74
2016-10-28,18.469999,18.469999,17.690001,17.84,23600,17.720134
2016-10-27,18.530001,18.65,18.16,18.200001,12300,18.077716
2016-10-26,18.799999,19.299999,18.360001,18.360001,18600,18.236641
2016-10-25,18.10,18.469999,18.049999,18.32,144300,18.196909
2016-10-24,18.27,18.610001,17.620001,18.049999,86800,17.928722
2016-10-21,18.32,18.43,18.190001,18.290001,20800,18.167112
2016-10-20,18.58,18.58,18.139999,18.40,21400,18.276371
2016-10-19,18.450001,18.639999,18.34,18.379999,11200,18.256505
2016-10-18,18.450001,18.719999,17.639999,18.33,41700,18.206842
2016-10-17,18.10,18.469999,18.040001,18.450001,45600,18.326036
2016-10-14,18.40,18.40,18.08,18.33,44800,18.206842
2016-10-13,18.67,18.67,18.32,18.379999,9600,18.256505
2016-10-12,18.969999,18.99,18.709999,18.84,4300,18.713415
2016-10-11,19.09,19.139999,18.719999,18.719999,12000,18.594221
2016-10-10,18.969999,19.10,18.940001,19.07,8300,18.94187
2016-10-07,18.51,18.99,18.51,18.879999,18300,18.753146
2016-10-06,18.469999,18.74,18.41,18.68,5800,18.554491
2016-10-05,18.59,18.74,18.41,18.66,76500,18.534625
2016-10-04,18.33,18.459999,17.92,18.32,88000,18.196909
2016-10-03,18.73,18.73,18.23,18.290001,10600,18.167112
2016-09-30,18.299999,18.870001,18.299999,18.76,19400,18.633953
2016-09-29,18.48,18.48,18.16,18.209999,10700,18.087647
2016-09-28,18.200001,18.459999,18.040001,18.43,18700,18.30617
2016-09-27,18.08,18.299999,17.959999,18.24,12200,18.117446
2016-09-26,18.540001,18.540001,18.01,18.07,19700,17.948589
2016-09-23,18.75,18.76,18.58,18.629999,9800,18.504825
2016-09-22,18.65,18.82,18.639999,18.74,26200,18.614087
2016-09-21,18.610001,18.690001,18.549999,18.67,11400,18.544558
2016-09-20,18.60,18.68,18.43,18.52,12800,18.395566
2016-09-19,18.360001,18.639999,18.360001,18.540001,21300,18.415432
2016-09-16,18.15,18.50,18.049999,18.389999,54800,18.266438
2016-09-15,17.99,18.15,17.99,18.129999,13000,18.008185
2016-09-14,17.91,18.190001,17.91,17.959999,16500,17.839327
2016-09-13,18.030001,18.120001,17.889999,17.91,27300,17.789664
2016-09-12,18.18,18.299999,18.049999,18.17,22000,18.047917
2016-09-09,18.299999,18.440001,18.200001,18.299999,55900,18.177043
2016-09-08,18.219999,18.450001,18.200001,18.41,27000,18.286304
2016-09-07,18.01,18.42,18.01,18.219999,27300,18.09758
2016-09-06,18.209999,18.26,17.73,17.99,76100,17.869126
2016-09-02,18.110001,18.309999,17.889999,18.299999,29300,18.177043
2016-09-01,18.190001,18.190001,17.950001,18.08,23100,17.958522
2016-08-31,18.25,18.299999,18.120001,18.23,30100,18.107513
2016-08-30,18.200001,18.26,18.120001,18.209999,34800,18.087647
2016-08-29,18.110001,18.190001,18.07,18.15,8300,18.028051
2016-08-26,18.18,18.219999,18.02,18.129999,5900,18.008185
2016-08-25,18.07,18.219999,17.99,18.209999,19000,18.087647
2016-08-24,17.809999,18.10,17.809999,18.030001,28000,17.908858
2016-08-23,17.889999,18.200001,17.809999,17.84,21500,17.720134
2016-08-22,17.98,18.07,17.84,17.90,15900,17.779731
2016-08-19,18.040001,18.07,17.85,17.879999,19800,17.759865
2016-08-18,17.98,18.040001,17.870001,18.01,24100,17.888992
2016-08-17,18.07,18.07,17.92,17.92,9600,17.799597
2016-08-16,17.809999,18.049999,17.77,17.969999,18300,17.84926
2016-08-15,18.01,18.040001,17.84,17.879999,19400,17.759865
2016-08-12,18.08,18.219999,17.90,17.92,47800,17.799597
2016-08-11,17.99,18.219999,17.950001,18.16,18500,18.037984
2016-08-10,17.969999,18.10,17.85,18.059999,20600,17.938656
2016-08-09,18.09,18.200001,17.959999,18.059999,25200,17.938656
2016-08-08,18.17,18.23,17.91,17.950001,26100,17.829396
2016-08-05,17.76,18.219999,17.59,18.139999,18000,18.018118
2016-08-04,17.49,17.719999,17.32,17.60,16900,17.481747
2016-08-03,17.629999,17.629999,17.360001,17.49,23100,17.372486
2016-08-02,17.92,18.00,17.48,17.51,46300,17.392352
