Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,26.35,26.700001,26.299999,26.700001,13700,26.700001
2016-11-30,26.85,27.00,26.450001,26.50,19300,26.50
2016-11-29,27.50,27.700001,26.60,26.75,30500,26.75
2016-11-28,26.549999,27.549999,26.549999,27.40,14100,27.40
2016-11-25,26.75,26.799999,26.530001,26.799999,7700,26.799999
2016-11-23,26.65,26.75,26.40,26.65,14200,26.65
2016-11-22,26.549999,26.75,26.40,26.65,18300,26.65
2016-11-21,26.35,26.60,26.09,26.60,16800,26.60
2016-11-18,26.40,26.700001,26.15,26.450001,19100,26.450001
2016-11-17,26.549999,26.85,26.40,26.60,11300,26.34
2016-11-16,26.049999,26.50,25.60,26.40,24300,26.141954
2016-11-15,26.25,26.82,26.00,26.049999,20800,25.795375
2016-11-14,26.799999,26.90,26.40,26.700001,47800,26.439023
2016-11-11,25.75,26.85,25.549999,26.799999,43000,26.538044
2016-11-10,24.10,26.10,24.10,25.75,40200,25.498308
2016-11-09,23.60,23.950001,23.60,23.90,49000,23.66639
2016-11-08,23.700001,23.799999,23.65,23.75,19900,23.517857
2016-11-07,23.75,23.870001,23.700001,23.799999,69800,23.567367
2016-11-04,23.549999,23.90,23.50,23.799999,14800,23.567367
2016-11-03,24.65,24.65,23.450001,23.450001,30900,23.22079
2016-11-02,24.75,24.950001,24.299999,24.35,14100,24.111993
2016-11-01,24.60,24.90,24.48,24.75,19100,24.508082
2016-10-31,24.450001,24.700001,24.40,24.60,15700,24.359549
2016-10-28,24.75,24.75,24.40,24.50,6100,24.260526
2016-10-27,24.799999,24.799999,24.50,24.50,19200,24.260526
2016-10-26,25.35,25.40,24.75,24.799999,10200,24.557593
2016-10-25,25.450001,25.450001,25.200001,25.200001,4900,24.953685
2016-10-24,25.50,25.549999,25.33,25.50,12500,25.250752
2016-10-21,25.25,25.25,25.129999,25.200001,7400,24.953685
2016-10-20,25.40,25.450001,25.15,25.35,9700,25.102218
2016-10-19,25.50,25.50,25.25,25.450001,11800,25.201241
2016-10-18,25.40,25.65,25.200001,25.450001,8000,25.201241
2016-10-17,25.35,25.65,25.299999,25.40,12200,25.151729
2016-10-14,25.700001,25.75,25.299999,25.299999,6600,25.052706
2016-10-13,25.50,25.83,25.35,25.549999,11300,25.300262
2016-10-12,24.950001,25.200001,24.950001,25.15,28100,24.904172
2016-10-11,25.00,25.049999,24.90,24.950001,18600,24.706128
2016-10-10,25.15,25.15,24.85,25.00,19500,24.755639
2016-10-07,24.879999,25.17,24.879999,24.98,9900,24.735834
2016-10-06,25.049999,25.049999,24.74,24.809999,15000,24.567495
2016-10-05,25.24,25.25,25.120001,25.120001,19200,24.874467
2016-10-04,25.42,25.57,25.09,25.18,19200,24.93388
2016-10-03,25.620001,25.620001,25.18,25.299999,20100,25.052706
2016-09-30,25.719999,25.82,25.540001,25.629999,17200,25.37948
2016-09-29,25.75,25.90,25.450001,25.450001,19500,25.201241
2016-09-28,25.639999,25.93,25.639999,25.780001,17100,25.528015
2016-09-27,25.620001,25.959999,25.620001,25.90,8900,25.646841
2016-09-26,26.01,26.01,25.639999,25.709999,11800,25.458698
2016-09-23,26.18,26.219999,26.02,26.02,12900,25.765669
2016-09-22,26.049999,26.32,25.98,26.280001,45300,26.023128
2016-09-21,25.85,26.059999,25.799999,25.99,25800,25.735962
2016-09-20,26.129999,26.559999,25.950001,25.99,21700,25.735962
2016-09-19,26.17,26.290001,26.049999,26.09,36100,25.834985
2016-09-16,26.200001,26.309999,26.059999,26.129999,42800,25.874593
2016-09-15,26.129999,26.16,26.040001,26.10,13000,25.844887
2016-09-14,26.00,26.15,25.870001,26.129999,34300,25.874593
2016-09-13,26.209999,26.40,25.76,26.030001,47200,25.775572
2016-09-12,26.040001,26.32,25.84,26.309999,22700,26.052834
2016-09-09,26.00,26.219999,25.950001,26.18,31900,25.924105
2016-09-08,26.129999,26.27,25.950001,26.120001,14500,25.864692
2016-09-07,25.379999,26.110001,25.379999,26.049999,58700,25.795375
2016-09-06,25.25,25.52,25.24,25.34,23800,25.092316
2016-09-02,25.40,25.60,25.200001,25.25,29500,25.003195
2016-09-01,25.33,25.35,25.059999,25.25,22800,25.003195
2016-08-31,25.309999,25.379999,25.16,25.24,43700,24.993293
2016-08-30,25.25,25.299999,25.190001,25.219999,32100,24.973488
2016-08-29,25.860001,25.860001,25.219999,25.23,28900,24.98339
2016-08-26,25.549999,25.73,25.360001,25.459999,14300,25.211142
2016-08-25,25.530001,25.610001,25.40,25.52,25500,25.270557
2016-08-24,25.809999,25.84,25.43,25.530001,25100,25.280459
2016-08-23,26.16,26.540001,25.82,25.83,10400,25.577526
2016-08-22,26.190001,26.35,25.75,25.969999,14200,25.716157
2016-08-19,26.129999,26.559999,25.68,25.98,26300,25.726059
2016-08-18,26.32,26.32,26.049999,26.27,17100,25.755767
2016-08-17,26.48,26.48,26.110001,26.27,13400,25.755767
2016-08-16,26.57,26.57,26.379999,26.469999,19000,25.951851
2016-08-15,26.99,27.139999,26.58,26.700001,20400,26.17735
2016-08-12,26.65,27.09,26.65,26.85,32900,26.324413
2016-08-11,26.799999,26.879999,26.65,26.67,24000,26.147936
2016-08-10,27.01,27.01,26.68,26.74,23000,26.216566
2016-08-09,26.799999,27.139999,26.799999,26.90,28700,26.373434
2016-08-08,26.950001,27.17,26.59,26.780001,19900,26.255784
2016-08-05,26.74,27.00,26.700001,26.75,30400,26.22637
2016-08-04,26.620001,26.84,26.549999,26.58,22500,26.059698
2016-08-03,26.629999,26.74,26.41,26.459999,43900,25.942046
2016-08-02,26.559999,26.700001,26.27,26.440001,18200,25.922439
2016-08-01,26.59,27.25,26.26,26.450001,20200,25.932244
2016-07-29,26.309999,26.68,26.23,26.49,30900,25.97146
2016-07-28,26.709999,27.120001,26.51,26.610001,23100,26.089111
2016-07-27,26.709999,26.83,26.459999,26.60,33700,26.079307
2016-07-26,26.459999,26.74,26.33,26.57,29300,26.049894
2016-07-25,26.59,26.610001,26.32,26.389999,21500,25.873417
2016-07-22,26.24,26.690001,26.17,26.42,34100,25.90283
2016-07-21,26.139999,26.25,26.02,26.139999,31900,25.62831
