Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,38.889999,39.50,38.889999,39.48,44900,39.48
2016-11-30,38.849998,39.400002,38.450001,38.950001,68900,38.950001
2016-11-29,38.450001,39.380001,38.369999,38.75,56400,38.75
2016-11-28,38.689999,38.84,38.27,38.50,83800,38.50
2016-11-25,39.02,39.299999,38.779999,38.959999,21600,38.959999
2016-11-23,38.75,39.200001,38.720001,39.00,51200,39.00
2016-11-22,38.43,38.919998,37.900002,38.889999,50600,38.889999
2016-11-21,38.560001,38.880001,37.73,38.25,58200,38.25
2016-11-18,37.830002,38.549999,37.82,38.470001,94200,38.470001
2016-11-17,38.009998,38.259998,37.77,38.049999,50000,38.049999
2016-11-16,37.48,38.169998,37.16,38.060001,70000,38.060001
2016-11-15,37.50,37.810001,36.950001,37.48,78600,37.48
2016-11-14,37.41,38.110001,37.040001,37.779999,86000,37.779999
2016-11-11,35.889999,37.18,35.040001,36.970001,159400,36.970001
2016-11-10,35.07,36.630001,34.830002,35.830002,122600,35.830002
2016-11-09,33.549999,34.84,33.450001,34.799999,95200,34.799999
2016-11-08,33.50,33.720001,33.349998,33.459999,59700,33.459999
2016-11-07,33.200001,33.57,32.75,33.50,68600,33.50
2016-11-04,32.900002,33.040001,32.68,32.75,50100,32.75
2016-11-03,32.880001,33.009998,32.639999,32.93,43600,32.93
2016-11-02,33.009998,33.009998,32.50,32.68,43900,32.68
2016-11-01,33.02,33.57,32.630001,32.990002,76500,32.990002
2016-10-31,33.099998,33.459999,32.889999,33.02,120500,33.02
2016-10-28,33.150002,33.290001,32.900002,33.130001,47100,33.130001
2016-10-27,33.380001,33.400002,33.049999,33.150002,121500,33.150002
2016-10-26,32.619999,33.720001,32.599998,33.18,180700,33.18
2016-10-25,32.00,32.689999,30.610001,32.50,126900,32.50
2016-10-24,31.030001,31.23,30.68,31.00,25000,31.00
2016-10-21,30.540001,30.98,30.50,30.85,32900,30.85
2016-10-20,30.60,30.809999,30.32,30.790001,25000,30.790001
2016-10-19,30.34,30.67,30.219999,30.58,29200,30.58
2016-10-18,30.42,30.870001,30.08,30.190001,34600,30.190001
2016-10-17,30.16,30.219999,29.879999,30.16,26700,30.16
2016-10-14,29.93,30.280001,29.530001,30.040001,57000,30.040001
2016-10-13,29.74,29.969999,29.49,29.700001,96800,29.700001
2016-10-12,29.92,30.27,29.629999,30.17,51400,29.97
2016-10-11,29.790001,29.93,29.639999,29.799999,67900,29.602452
2016-10-10,29.73,30.059999,29.73,29.790001,29200,29.59252
2016-10-07,30.01,30.030001,29.629999,29.74,44300,29.54285
2016-10-06,30.25,30.25,29.959999,30.02,45600,29.820995
2016-10-05,30.32,30.709999,30.25,30.27,76800,30.069337
2016-10-04,31.24,31.370001,30.309999,30.32,58700,30.119005
2016-10-03,31.969999,32.169998,31.049999,31.24,106700,31.032906
2016-09-30,46.920001,48.00,46.789999,47.739999,109500,31.615683
2016-09-29,47.270001,47.49,46.85,46.98,97600,31.112376
2016-09-28,46.86,47.499999,46.749999,47.41,60700,31.397143
