Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,69.769997,70.639999,69.540001,70.07,24600,70.07
2016-11-30,70.610001,71.459999,69.739998,70.00,25000,69.770001
2016-11-29,71.209999,71.209999,69.970001,70.650002,22300,70.417866
2016-11-28,70.610001,71.690002,69.57,70.970001,52900,70.736815
2016-11-25,71.809998,72.00,69.239998,70.690002,19600,70.457736
2016-11-23,71.75,71.849998,71.120003,71.669998,75700,71.434512
2016-11-22,72.449997,72.449997,70.389999,71.75,89400,71.514251
2016-11-21,70.349998,72.269997,69.540001,72.209999,21200,71.972738
2016-11-18,68.830002,70.779999,67.75,70.349998,30500,70.118849
2016-11-17,67.300003,69.080002,67.00,68.809998,58900,68.583908
2016-11-16,65.50,67.50,64.610001,67.300003,56000,67.078875
2016-11-15,64.849998,65.699997,64.019997,65.50,40600,65.284786
2016-11-14,62.950001,65.480003,59.759998,64.519997,43500,64.308003
2016-11-11,58.799999,63.130001,58.099998,62.950001,57000,62.743166
2016-11-10,57.950001,58.990002,56.599998,58.91,22100,58.716439
2016-11-09,55.43,57.50,55.220001,57.50,30100,57.311072
2016-11-08,54.869999,55.849998,54.82,55.580002,11100,55.397382
2016-11-07,54.25,55.52,53.720001,54.93,23700,54.749516
2016-11-04,53.50,54.709999,53.130001,54.07,14700,53.892342
2016-11-03,53.84,53.93,53.599998,53.82,8900,53.643163
2016-11-02,53.68,53.720001,53.360001,53.549999,16000,53.37405
2016-11-01,53.959999,53.959999,53.41,53.470001,15000,53.294315
2016-10-31,54.169998,54.23,53.709999,53.860001,14000,53.683032
2016-10-28,54.400002,54.73,53.549999,54.220001,15300,54.04185
2016-10-27,54.669998,54.669998,52.689999,53.66,13700,53.483689
2016-10-26,55.959999,55.959999,54.130001,54.349998,29200,54.17142
2016-10-25,56.009998,56.150002,55.509998,55.950001,12900,55.766166
2016-10-24,55.439999,56.419998,55.419998,56.00,18700,55.816
2016-10-21,54.110001,55.73,54.009998,54.849998,14500,54.669778
2016-10-20,55.00,55.00,53.77,54.75,27500,54.570108
2016-10-19,54.09,54.869999,54.09,54.470001,10200,54.291029
2016-10-18,54.439999,54.669998,53.799999,53.889999,16800,53.712933
2016-10-17,53.599998,54.599998,53.599998,54.119999,8400,53.942177
2016-10-14,54.360001,54.810001,53.619999,54.290001,16800,54.11162
2016-10-13,54.330002,54.450001,53.759998,53.950001,9100,53.772737
2016-10-12,54.110001,55.00,54.110001,54.669998,17000,54.490369
2016-10-11,54.919998,55.209999,54.209999,54.240002,14200,54.061785
2016-10-10,55.09,55.48,54.610001,55.369999,19000,55.188069
2016-10-07,55.349998,55.630001,54.59,54.709999,21200,54.530238
2016-10-06,55.220001,55.59,54.380001,55.130001,14400,54.94886
2016-10-05,54.470001,55.669998,54.450001,55.400002,21300,55.217973
2016-10-04,54.360001,55.099998,54.09,54.419998,20600,54.24119
2016-10-03,56.529999,56.529999,54.16,54.43,17200,54.251159
2016-09-30,55.549999,56.900002,55.360001,56.650002,22700,56.463866
2016-09-29,55.41,55.970001,55.169998,55.549999,28400,55.367478
2016-09-28,55.310001,55.66,54.720001,55.50,24100,55.317643
2016-09-27,54.25,55.48,54.25,55.00,32000,54.819286
2016-09-26,54.16,54.59,54.16,54.25,39000,54.07175
2016-09-23,54.84,55.110001,54.439999,54.709999,27300,54.530238
2016-09-22,54.00,55.52,54.00,55.279999,21800,55.098365
2016-09-21,53.41,54.080002,52.900002,54.009998,28500,53.832537
2016-09-20,53.09,53.619999,52.810001,53.150002,37800,52.975366
2016-09-19,53.049999,53.349998,52.75,53.099998,19400,52.925527
2016-09-16,54.080002,55.509998,52.82,53.080002,58000,52.905597
2016-09-15,54.130001,54.349998,53.709999,53.849998,15500,53.673063
2016-09-14,54.77,55.240002,53.650002,53.779999,19900,53.603294
2016-09-13,55.91,56.09,54.900002,55.169998,15800,54.988726
2016-09-12,56.150002,56.650002,54.889999,56.560001,18300,56.374162
2016-09-09,56.169998,56.68,56.080002,56.110001,17500,55.92564
2016-09-08,57.060001,57.080002,56.73,56.919998,27000,56.732976
2016-09-07,56.759998,57.349998,56.630001,56.889999,17900,56.703076
2016-09-06,57.880001,57.889999,56.599998,56.779999,28300,56.593436
2016-09-02,57.130001,57.959999,57.130001,57.93,8200,57.739659
2016-09-01,57.709999,57.740002,56.68,57.029999,17200,56.842615
2016-08-31,57.639999,58.639999,57.240002,57.25,40300,57.061893
2016-08-30,57.060001,57.889999,56.950001,57.650002,25400,57.241302
2016-08-29,57.099998,58.349998,56.720001,57.73,24400,57.320733
2016-08-26,58.619999,58.630001,56.830002,57.110001,58200,56.70513
2016-08-25,57.00,58.490002,55.23,58.389999,28700,57.976054
2016-08-24,56.68,57.470001,56.439999,57.369999,19900,56.963285
2016-08-23,54.950001,56.93,54.950001,56.889999,27200,56.486688
2016-08-22,54.630001,54.900002,54.50,54.810001,18300,54.421436
2016-08-19,54.549999,54.950001,52.740002,54.939999,26400,54.550512
2016-08-18,53.349998,54.57,53.130001,54.470001,21600,54.083846
2016-08-17,53.639999,53.639999,53.029999,53.119999,12900,52.743414
2016-08-16,52.919998,53.790001,52.57,53.619999,20600,53.23987
2016-08-15,52.669998,53.650002,52.09,53.369999,12400,52.991642
2016-08-12,52.419998,53.700001,52.419998,52.779999,9100,52.405825
2016-08-11,52.970001,53.23,52.560001,52.799999,13400,52.425683
2016-08-10,53.00,53.02,52.639999,52.82,11000,52.445542
2016-08-09,53.389999,53.900002,53.380001,53.52,11500,53.14058
2016-08-08,53.290001,53.860001,52.900002,53.68,14500,53.299446
2016-08-05,52.040001,53.240002,51.810001,53.09,16400,52.713628
2016-08-04,51.650002,52.59,51.32,51.98,8900,51.611497
2016-08-03,51.080002,51.52,50.82,51.439999,10000,51.075324
2016-08-02,52.139999,52.139999,50.880001,51.07,12400,50.707948
2016-08-01,52.400002,52.50,51.470001,51.810001,23700,51.442704
2016-07-29,53.00,53.00,51.900002,51.970001,17800,51.601569
2016-07-28,53.07,53.07,50.709999,52.82,16800,52.445542
2016-07-27,52.650002,53.50,52.57,53.00,10100,52.624266
2016-07-26,52.400002,53.02,50.810001,52.900002,12600,52.524977
2016-07-25,53.650002,53.990002,52.110001,52.43,33900,52.058307
2016-07-22,53.41,54.240002,53.41,54.130001,28300,53.746256
2016-07-21,53.82,54.150002,53.00,53.200001,17100,52.822849
2016-07-20,54.27,54.639999,53.330002,54.150002,13400,53.766115
2016-07-19,54.119999,54.619999,53.860001,54.279999,20300,53.895191
2016-07-18,53.119999,54.450001,53.119999,54.139999,15100,53.756184
2016-07-15,53.959999,53.959999,52.52,53.400002,17400,53.021432
2016-07-14,54.59,54.59,53.330002,53.48,19300,53.100863
2016-07-13,53.580002,54.310001,53.00,54.18,27400,53.795901
2016-07-12,52.59,53.799999,52.060001,53.599998,24600,53.220011
2016-07-11,51.34,52.630001,51.220001,52.549999,23100,52.177456
2016-07-08,51.290001,52.220001,51.290001,52.049999,22000,51.681
2016-07-07,50.790001,51.110001,50.380001,50.82,10600,50.459721
2016-07-06,51.16,51.34,49.549999,50.919998,58200,50.55901
2016-07-05,50.869999,51.900002,50.290001,51.610001,21600,51.244121
2016-07-01,50.470001,51.650002,50.470001,51.389999,19800,51.025679
2016-06-30,50.73,51.720001,50.299999,51.700001,24300,51.333483
2016-06-29,50.459999,50.830002,50.060001,50.330002,21200,49.973197
2016-06-28,50.810001,51.060001,49.240002,49.939999,44600,49.585958
2016-06-27,51.119999,51.400002,50.110001,50.32,64600,49.963265
2016-06-24,48.759998,51.68,48.509998,51.669998,137100,51.303693
2016-06-23,50.560001,51.029999,50.25,50.68,20200,50.320714
2016-06-22,50.990002,51.18,49.830002,49.93,14600,49.576031
2016-06-21,50.939999,51.380001,50.150002,51.00,17000,50.638445
2016-06-20,50.529999,51.25,50.529999,50.970001,19300,50.608659
2016-06-17,50.41,50.41,49.279999,49.889999,42400,49.536313
2016-06-16,49.48,50.470001,49.48,50.240002,15500,49.883834
2016-06-15,50.810001,50.810001,49.650002,49.759998,20800,49.407234
2016-06-14,50.860001,51.73,50.060001,50.400002,26600,50.0427
2016-06-13,50.970001,51.50,49.950001,50.830002,38100,50.469652
2016-06-10,49.549999,52.759998,49.150002,50.98,67100,50.618586
2016-06-09,49.860001,50.599998,49.48,49.82,27400,49.46681
2016-06-08,49.389999,50.32,48.880001,50.310001,19600,49.953338
2016-06-07,49.00,49.68,48.880001,49.169998,15700,48.821416
2016-06-06,48.959999,49.73,48.419998,49.540001,27700,49.188796
2016-06-03,48.720001,48.939999,48.189999,48.919998,18100,48.573189
2016-06-02,47.669998,48.990002,47.669998,48.860001,16800,48.513617
2016-06-01,47.610001,48.759998,47.509998,48.619999,25900,48.275316
2016-05-31,48.560001,48.560001,47.66,48.049999,49500,47.490917
2016-05-27,47.630001,48.59,47.549999,48.349998,28700,47.787426
2016-05-26,48.50,48.759998,47.43,47.48,11200,46.92755
2016-05-25,49.400002,50.240002,48.43,48.59,13700,48.024635
2016-05-24,48.630001,49.810001,47.900002,49.450001,34800,48.874629
2016-05-23,46.900002,47.619999,46.900002,47.57,20400,47.016503
2016-05-20,46.689999,47.790001,46.689999,47.509998,20800,46.957199
2016-05-19,46.869999,47.43,46.060001,46.43,19600,45.889768
