Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,14.08,14.23,13.52,13.78,375400,13.78
2016-11-30,13.47,14.41,13.25,14.19,841200,14.19
2016-11-29,13.22,13.60,13.02,13.42,283400,13.42
2016-11-28,13.31,13.39,13.07,13.36,239300,13.36
2016-11-25,13.20,13.33,13.07,13.32,54200,13.32
2016-11-23,13.12,13.34,13.03,13.25,250400,13.25
2016-11-22,12.98,13.20,12.94,13.18,221000,13.18
2016-11-21,12.90,12.98,12.82,12.92,179800,12.92
2016-11-18,12.78,12.90,12.65,12.85,246500,12.85
2016-11-17,12.69,12.87,12.27,12.79,333600,12.79
2016-11-16,12.55,13.00,12.50,12.87,403200,12.87
2016-11-15,12.40,12.74,12.29,12.55,364100,12.55
2016-11-14,11.00,12.49,11.00,12.26,675100,12.26
2016-11-11,10.32,10.98,10.25,10.86,501900,10.86
2016-11-10,10.30,10.52,9.71,10.29,403500,10.29
2016-11-09,10.10,10.43,9.88,10.20,467000,10.20
2016-11-08,10.39,10.40,9.73,10.26,239100,10.26
2016-11-07,9.67,9.93,9.60,9.69,206700,9.69
2016-11-04,9.58,9.81,9.53,9.55,110600,9.55
2016-11-03,9.62,9.92,9.55,9.57,65300,9.57
2016-11-02,9.80,9.89,9.57,9.58,81300,9.58
2016-11-01,9.88,10.06,9.81,9.82,121400,9.82
2016-10-31,10.13,10.15,9.81,9.90,166800,9.90
2016-10-28,10.27,10.27,10.09,10.12,65900,10.12
2016-10-27,10.34,10.37,10.17,10.21,53500,10.21
2016-10-26,10.50,10.63,10.33,10.35,64000,10.35
2016-10-25,10.49,10.64,10.43,10.57,86900,10.57
2016-10-24,10.61,10.75,10.50,10.60,72300,10.60
2016-10-21,10.46,10.64,10.38,10.51,35500,10.51
2016-10-20,10.51,10.68,10.44,10.54,148400,10.54
2016-10-19,10.56,10.73,10.27,10.57,55400,10.57
2016-10-18,10.68,10.76,10.54,10.56,54900,10.56
2016-10-17,10.65,10.71,10.55,10.65,54200,10.65
2016-10-14,10.59,10.82,10.47,10.64,95400,10.64
2016-10-13,10.56,10.71,10.43,10.53,105300,10.53
2016-10-12,10.75,10.96,10.73,10.80,135400,10.80
2016-10-11,10.83,10.85,10.70,10.72,112700,10.72
2016-10-10,10.88,10.97,10.78,10.87,92100,10.87
2016-10-07,10.89,10.89,10.68,10.77,105900,10.77
2016-10-06,10.98,11.03,10.71,10.83,111800,10.83
2016-10-05,11.14,11.24,10.99,11.01,77500,11.01
2016-10-04,11.23,11.26,11.00,11.07,76000,11.07
2016-10-03,11.30,11.45,11.09,11.15,120700,11.15
