Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.86,4.05,3.32,3.56,41100,3.56
2016-11-30,3.53,3.81,3.31,3.81,16100,3.81
2016-11-29,3.98,4.07,3.40,3.49,23200,3.49
2016-11-28,3.96,4.10,3.96,4.00,6500,4.00
2016-11-25,4.20,4.20,4.05,4.07,9100,4.07
2016-11-23,4.22,4.39,3.96,4.22,34000,4.22
2016-11-22,3.90,4.26,3.90,4.22,24500,4.22
2016-11-21,4.20,4.50,3.91,4.03,23700,4.03
2016-11-18,5.85,6.16,4.11,4.20,99700,4.20
2016-11-17,4.08,7.69,3.75,6.48,538500,6.48
2016-11-16,3.11,4.05,3.11,3.77,60300,3.77
2016-11-15,3.67,3.90,3.12,3.17,50200,3.17
2016-11-14,3.50,4.10,3.04,3.56,86200,3.56
2016-11-11,3.68,4.12,3.50,3.50,32300,3.50
2016-11-10,3.22,3.65,3.22,3.65,26700,3.65
2016-11-09,3.00,3.45,2.80,3.30,71700,3.30
2016-11-08,2.84,3.15,2.29,2.93,113700,2.93
2016-11-07,1.95,2.86,1.93,2.39,78500,2.39
2016-11-04,1.92,1.92,1.90,1.92,1400,1.92
2016-11-03,1.87,2.00,1.87,1.92,1000,1.92
2016-11-02,1.91,1.92,1.86,1.90,3900,1.90
2016-11-01,1.91,1.97,1.91,1.91,11500,1.91
2016-10-31,2.25,2.28,1.91,1.91,14300,1.91
2016-10-28,2.45,2.45,2.22,2.26,11500,2.26
2016-10-27,1.66,2.90,1.66,2.38,61700,2.38
2016-10-26,0.21,0.23,0.21,0.21,21000,2.10
2016-10-25,0.20,0.23,0.20,0.22,62800,2.20
2016-10-24,0.20,0.22,0.20,0.22,27800,2.20
2016-10-21,0.20,0.23,0.18,0.21,202900,2.10
2016-10-20,0.20,0.22,0.20,0.20,42900,2.00
2016-10-19,0.22,0.23,0.20,0.21,58200,2.10
2016-10-18,0.21,0.24,0.21,0.22,12900,2.20
2016-10-17,0.20,0.24,0.20,0.21,19400,2.10
