Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,60.009998,60.98,58.599998,59.080002,669900,59.080002
2016-11-30,60.529999,60.66,59.709999,59.709999,409000,59.709999
2016-11-29,60.07,60.889999,60.07,60.34,487700,60.265001
2016-11-28,60.849998,61.369999,59.740002,60.02,447200,59.945399
2016-11-25,60.939999,61.50,60.619999,60.75,247700,60.674492
2016-11-23,60.75,61.139999,60.25,60.84,396100,60.76438
2016-11-22,59.650002,60.889999,59.439999,60.799999,703900,60.724429
2016-11-21,59.380001,59.959999,58.970001,59.43,496300,59.356133
2016-11-18,58.849998,59.48,58.41,58.849998,906000,58.776852
2016-11-17,58.73,59.849998,58.259998,59.009998,587700,58.936653
2016-11-16,58.330002,59.18,58.00,58.73,501400,58.657002
2016-11-15,57.25,58.830002,57.119999,58.48,736300,58.407313
2016-11-14,55.709999,57.52,55.709999,57.220001,1123700,57.14888
2016-11-11,53.939999,55.509998,53.50,55.43,560100,55.361104
2016-11-10,55.59,55.939999,53.900002,53.939999,585000,53.872955
2016-11-09,54.049999,55.669998,53.790001,55.220001,629400,55.151366
2016-11-08,54.810001,55.490002,53.73,54.889999,539700,54.821775
2016-11-07,52.00,55.029999,51.259998,54.880001,1036800,54.811789
2016-11-04,50.00,51.200001,49.91,50.77,386500,50.706897
2016-11-03,49.900002,50.84,49.790001,49.830002,526000,49.768066
2016-11-02,51.360001,51.450001,49.68,49.720001,719600,49.658202
2016-11-01,55.150002,55.849998,50.75,51.57,1193200,51.505902
2016-10-31,51.57,52.25,51.400002,51.599998,558200,51.535863
2016-10-28,51.00,52.27,51.00,51.470001,413200,51.406027
2016-10-27,53.400002,53.400002,50.880001,51.139999,604400,51.076436
2016-10-26,53.43,53.869999,52.68,53.200001,327300,53.133877
2016-10-25,54.50,54.630001,53.48,53.669998,532600,53.60329
2016-10-24,53.41,54.77,53.41,54.610001,394200,54.542124
2016-10-21,53.139999,53.860001,52.740002,52.990002,660000,52.924139
2016-10-20,52.869999,53.50,52.66,53.279999,549000,53.213775
2016-10-19,52.25,53.189999,52.040001,53.119999,302000,53.053974
2016-10-18,52.389999,52.529999,52.049999,52.240002,334200,52.175071
2016-10-17,51.689999,52.07,51.439999,51.900002,234300,51.835493
2016-10-14,52.139999,52.200001,51.419998,51.580002,195200,51.515891
2016-10-13,51.639999,51.939999,51.029999,51.799999,359900,51.735615
2016-10-12,51.610001,52.330002,51.509998,51.959999,308300,51.895416
2016-10-11,52.490002,52.50,50.970001,51.459999,237100,51.396038
2016-10-10,52.290001,52.849998,52.02,52.529999,229500,52.464707
2016-10-07,52.150002,52.16,51.16,51.869999,391900,51.805528
2016-10-06,52.029999,52.029999,51.259998,51.919998,253500,51.855465
2016-10-05,51.779999,52.18,51.709999,52.029999,370600,51.965329
2016-10-04,52.07,52.16,51.23,51.52,411500,51.455964
2016-10-03,52.869999,53.029999,52.200001,52.299999,377900,52.234994
2016-09-30,52.880001,53.310001,52.799999,52.860001,438400,52.794299
2016-09-29,52.919998,53.459999,52.560001,52.650002,552900,52.584561
2016-09-28,52.290001,52.970001,52.130001,52.919998,531900,52.854222
2016-09-27,51.189999,52.299999,51.189999,52.189999,377100,52.12513
2016-09-26,51.00,51.610001,50.720001,51.119999,247800,51.05646
2016-09-23,51.860001,51.939999,51.02,51.060001,158600,50.996537
2016-09-22,51.939999,52.169998,51.52,51.790001,463600,51.725629
2016-09-21,50.150002,51.869999,50.150002,51.66,569100,51.59579
2016-09-20,50.189999,50.389999,49.889999,49.91,282800,49.847965
2016-09-19,49.919998,50.639999,49.73,49.950001,268600,49.887916
2016-09-16,49.84,49.84,49.23,49.57,454000,49.508387
2016-09-15,48.709999,50.369999,48.630001,49.98,312500,49.917878
2016-09-14,48.259998,48.880001,48.139999,48.700001,269000,48.63947
2016-09-13,48.860001,48.889999,47.860001,48.029999,297200,47.970301
2016-09-12,47.299999,48.639999,47.25,48.59,366100,48.529606
2016-09-09,49.290001,49.790001,47.799999,48.040001,279000,47.98029
2016-09-08,50.150002,50.150002,49.52,49.599998,186200,49.538349
2016-09-07,49.75,51.060001,49.57,50.110001,352500,50.047717
2016-09-06,50.450001,50.669998,49.540001,49.720001,250400,49.658202
2016-09-02,50.599998,51.139999,50.150002,50.490002,376600,50.427246
2016-09-01,49.849998,50.619999,49.549999,50.330002,282900,50.267445
2016-08-31,49.490002,50.07,49.450001,49.759998,273700,49.69815
2016-08-30,50.099998,50.57,49.810001,50.080002,166000,49.942847
2016-08-29,50.290001,50.459999,50.040001,50.18,216400,50.042572
2016-08-26,49.720001,50.630001,49.720001,50.189999,400000,50.052543
2016-08-25,49.619999,50.080002,49.619999,49.93,354900,49.793256
2016-08-24,50.119999,50.169998,49.619999,49.860001,229100,49.723448
2016-08-23,49.889999,50.27,49.599998,50.18,385500,50.042572
2016-08-22,49.799999,50.040001,49.419998,49.68,193900,49.543941
2016-08-19,49.849998,50.369999,49.450001,50.00,352000,49.863064
2016-08-18,49.610001,50.009998,49.200001,49.869999,232000,49.733419
2016-08-17,49.810001,49.860001,49.169998,49.700001,310800,49.563887
2016-08-16,50.290001,50.400002,49.889999,49.93,166600,49.793256
2016-08-15,50.009998,50.580002,50.009998,50.310001,183900,50.172217
2016-08-12,50.139999,50.220001,49.639999,49.970001,222400,49.833148
2016-08-11,49.98,50.619999,49.82,50.049999,384400,49.912927
2016-08-10,49.540001,49.970001,49.389999,49.939999,323500,49.803227
2016-08-09,49.389999,49.740002,49.23,49.43,250100,49.294626
2016-08-08,49.32,49.77,49.029999,49.23,633800,49.095173
2016-08-05,48.970001,49.869999,48.860001,49.450001,421500,49.314571
2016-08-04,48.439999,49.029999,48.040001,48.790001,428800,48.656379
2016-08-03,48.970001,49.189999,47.049999,48.540001,1239500,48.407064
2016-08-02,51.50,53.450001,48.470001,48.939999,2899600,48.805966
2016-08-01,45.360001,45.740002,44.919998,45.32,861600,45.195881
2016-07-29,44.48,45.360001,44.380001,45.169998,373600,45.04629
2016-07-28,44.799999,44.849998,44.139999,44.68,323500,44.557635
2016-07-27,44.00,45.029999,43.93,44.860001,416900,44.737142
2016-07-26,43.549999,43.950001,43.380001,43.880001,175900,43.759826
2016-07-25,43.709999,44.040001,43.529999,43.610001,232800,43.490565
2016-07-22,43.540001,43.990002,43.200001,43.68,188500,43.560373
2016-07-21,43.73,44.00,43.369999,43.43,197100,43.311058
