Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,14.35,14.73,14.01,14.71,24600,14.71
2016-11-30,14.67,14.67,14.27,14.31,31700,14.31
2016-11-29,14.60,14.71,14.51,14.55,17500,14.55
2016-11-28,14.40,14.72,14.40,14.55,43700,14.55
2016-11-25,14.70,14.70,14.29,14.47,33500,14.47
2016-11-23,14.51,14.69,14.48,14.61,16600,14.61
2016-11-22,14.29,14.52,14.29,14.51,21200,14.51
2016-11-21,14.01,14.28,14.01,14.28,13500,14.28
2016-11-18,14.09,14.11,13.54,14.03,54400,14.03
2016-11-17,14.10,14.30,14.00,14.14,65400,14.14
2016-11-16,14.03,14.12,13.97,14.06,34500,14.06
2016-11-15,13.97,14.11,13.91,14.05,33800,14.05
2016-11-14,13.94,14.26,13.86,13.98,42600,13.98
2016-11-11,13.50,13.89,13.50,13.86,63500,13.86
2016-11-10,13.42,13.62,13.21,13.49,46800,13.49
2016-11-09,13.01,13.34,12.99,13.34,39700,13.34
2016-11-08,12.93,13.30,12.92,13.01,46000,13.01
2016-11-07,13.01,13.08,12.95,13.05,29900,12.995
2016-11-04,12.75,13.11,12.75,13.08,25400,13.024873
2016-11-03,12.71,12.75,12.60,12.73,12900,12.676348
2016-11-02,12.61,12.70,12.58,12.64,18500,12.586728
2016-11-01,12.65,12.80,12.60,12.61,28500,12.556854
2016-10-31,12.84,12.84,12.65,12.65,48300,12.596685
2016-10-28,12.79,12.99,12.65,12.68,10500,12.626559
2016-10-27,12.84,12.84,12.66,12.75,34900,12.696264
2016-10-26,13.01,13.01,12.76,12.77,23000,12.71618
2016-10-25,13.03,13.19,13.00,13.05,12700,12.995
2016-10-24,12.89,13.06,12.85,13.03,8900,12.975084
2016-10-21,12.72,12.88,12.72,12.85,9700,12.795843
2016-10-20,12.71,12.85,12.51,12.80,35000,12.746054
2016-10-19,12.76,12.84,12.70,12.81,101300,12.756012
2016-10-18,12.68,12.84,12.59,12.77,10100,12.71618
2016-10-17,12.65,12.71,12.65,12.67,13200,12.616601
2016-10-14,12.70,12.73,12.65,12.66,12600,12.606643
2016-10-13,12.66,12.83,12.65,12.67,13800,12.616601
2016-10-12,12.72,12.73,12.56,12.69,19400,12.636517
2016-10-11,12.68,12.69,12.55,12.56,33900,12.507065
2016-10-10,12.67,12.76,12.62,12.67,103600,12.616601
2016-10-07,12.69,12.71,12.61,12.66,13500,12.606643
2016-10-06,12.73,12.87,12.65,12.69,10400,12.636517
2016-10-05,12.65,12.73,12.65,12.71,11500,12.656433
2016-10-04,12.69,12.70,12.54,12.58,23900,12.52698
2016-10-03,12.78,12.80,12.61,12.66,13000,12.606643
2016-09-30,12.68,12.94,12.65,12.88,22000,12.825716
2016-09-29,12.75,12.75,12.63,12.66,17400,12.606643
2016-09-28,12.68,12.83,12.68,12.74,17500,12.686306
2016-09-27,12.75,12.94,12.54,12.77,44400,12.71618
2016-09-26,12.88,12.90,12.68,12.70,12300,12.646475
2016-09-23,12.92,12.96,12.85,12.88,20600,12.825716
2016-09-22,13.00,13.11,12.91,13.02,19000,12.965127
2016-09-21,13.16,13.16,12.93,13.10,18300,13.044789
2016-09-20,13.23,13.23,13.04,13.12,13100,13.064705
2016-09-19,13.14,13.20,13.11,13.19,7200,13.134409
2016-09-16,13.11,13.26,13.03,13.11,39200,13.054746
2016-09-15,13.00,13.22,13.00,13.03,18500,12.975084
2016-09-14,12.90,13.05,12.90,13.01,16300,12.955168
2016-09-13,12.99,13.13,12.69,12.90,48400,12.845631
2016-09-12,12.81,13.03,12.74,12.86,91300,12.8058
2016-09-09,13.10,13.10,12.84,12.84,27100,12.785885
2016-09-08,13.07,13.23,13.04,13.05,17400,12.995
2016-09-07,13.07,13.21,13.02,13.10,24500,13.044789
2016-09-06,13.08,13.14,13.04,13.09,19100,13.034831
2016-09-02,13.14,13.15,13.04,13.13,7100,13.074663
2016-09-01,13.20,13.20,13.05,13.15,11000,13.094578
2016-08-31,13.30,13.31,13.12,13.15,16700,13.094578
2016-08-30,13.10,13.37,13.10,13.30,12900,13.243946
2016-08-29,13.12,13.38,12.92,13.09,10300,13.034831
2016-08-26,13.36,13.98,12.97,13.20,14900,13.144367
2016-08-25,13.18,13.36,13.14,13.33,10800,13.27382
2016-08-24,13.05,13.19,12.90,13.15,35600,13.094578
2016-08-23,13.18,13.18,12.99,13.06,13400,13.004958
2016-08-22,13.14,13.14,13.03,13.07,9500,13.014915
2016-08-19,13.52,13.52,13.09,13.12,30400,13.064705
2016-08-18,13.55,13.59,13.36,13.50,11900,13.443103
2016-08-17,13.40,13.69,13.18,13.31,7600,13.253904
2016-08-16,13.18,13.49,13.17,13.43,38500,13.373398
2016-08-15,13.46,13.46,13.17,13.18,15600,13.124452
2016-08-12,13.46,13.54,13.40,13.46,26000,13.403272
2016-08-11,13.43,13.53,13.32,13.51,21400,13.453061
2016-08-10,13.30,13.58,13.15,13.37,35400,13.313651
2016-08-09,13.14,13.28,13.13,13.25,15300,13.194157
2016-08-08,13.33,13.37,13.18,13.20,17700,13.094578
2016-08-05,13.12,13.47,13.12,13.39,13400,13.283061
2016-08-04,13.14,13.15,13.05,13.12,21400,13.015217
2016-08-03,13.07,13.23,13.05,13.10,6800,12.995377
2016-08-02,13.11,13.19,13.05,13.11,15900,13.005297
2016-08-01,13.10,13.24,13.01,13.10,27100,12.995377
2016-07-29,13.15,13.16,13.01,13.04,65600,12.935856
2016-07-28,13.17,13.31,13.03,13.21,17200,13.104499
2016-07-27,13.25,13.32,13.03,13.28,17400,13.173939
2016-07-26,13.07,13.36,13.07,13.28,113200,13.173939
2016-07-25,13.42,13.47,13.29,13.33,20400,13.22354
2016-07-22,13.41,13.51,13.36,13.40,15600,13.292981
2016-07-21,13.20,13.38,13.05,13.32,33100,13.21362
2016-07-20,13.01,13.49,13.01,13.21,21400,13.104499
2016-07-19,13.48,13.57,13.20,13.40,21900,13.292981
2016-07-18,13.63,13.67,13.08,13.46,11400,13.352502
2016-07-15,13.79,13.81,13.48,13.66,23700,13.550904
2016-07-14,13.80,13.95,12.76,13.75,27700,13.640186
2016-07-13,13.24,13.81,13.04,13.76,48000,13.650106
2016-07-12,13.18,13.20,13.07,13.18,29500,13.074738
2016-07-11,13.04,13.23,13.04,13.16,15300,13.054898
2016-07-08,13.05,13.24,12.97,13.19,25200,13.084658
2016-07-07,13.01,13.07,12.90,12.97,139900,12.866416
2016-07-06,13.04,13.09,12.85,13.01,20600,12.906096
2016-07-05,13.09,13.21,12.96,13.06,24300,12.955697
2016-07-01,13.23,13.25,12.88,13.10,18900,12.995377
2016-06-30,13.14,13.29,12.92,13.28,105800,13.173939
2016-06-29,12.92,13.04,12.86,13.04,23800,12.935856
2016-06-28,12.84,12.92,12.68,12.86,106700,12.757293
2016-06-27,12.86,12.90,12.78,12.85,46500,12.747374
2016-06-24,12.72,12.97,12.36,12.92,163400,12.816815
2016-06-23,13.10,13.14,12.98,13.02,28200,12.916016
2016-06-22,12.98,13.04,12.86,12.99,32000,12.886255
2016-06-21,13.05,13.09,12.89,12.94,16500,12.836654
2016-06-20,13.16,13.25,13.03,13.07,15500,12.965616
2016-06-17,13.21,13.21,13.05,13.06,58400,12.955697
2016-06-16,13.17,13.25,13.03,13.23,18700,13.124338
2016-06-15,13.44,13.47,13.16,13.21,12400,13.104499
2016-06-14,13.00,13.23,12.96,13.19,94400,13.084658
2016-06-13,13.06,13.11,12.98,13.06,21000,12.955697
