Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,9.89,9.89,9.79,9.84,294700,9.84
2016-11-30,9.93,9.95,9.82,9.89,305600,9.89
2016-11-29,9.98,9.99,9.86,9.93,222600,9.93
2016-11-28,9.97,10.03,9.88,9.94,322200,9.94
2016-11-25,9.95,10.01,9.89,9.94,102300,9.94
2016-11-23,10.00,10.03,9.90,9.90,272200,9.90
2016-11-22,9.95,10.00,9.94,9.98,257400,9.98
2016-11-21,9.73,9.93,9.73,9.92,250300,9.92
2016-11-18,9.70,9.81,9.70,9.73,201500,9.73
2016-11-17,9.73,9.78,9.70,9.72,207100,9.72
2016-11-16,9.63,9.80,9.63,9.78,343200,9.78
2016-11-15,9.54,9.68,9.50,9.65,255700,9.65
2016-11-14,9.53,9.55,9.37,9.50,312600,9.50
2016-11-11,9.47,9.58,9.40,9.49,272600,9.49
2016-11-10,9.62,9.66,9.46,9.50,468000,9.50
2016-11-09,9.61,9.74,9.50,9.68,324500,9.68
2016-11-08,9.67,9.71,9.57,9.65,249400,9.65
2016-11-07,9.60,9.75,9.55,9.73,270500,9.73
2016-11-04,9.51,9.65,9.46,9.57,330400,9.475
2016-11-03,9.65,9.65,9.55,9.56,362400,9.4651
2016-11-02,9.74,9.80,9.57,9.66,634000,9.564106
2016-11-01,9.90,9.90,9.70,9.75,603100,9.653213
2016-10-31,9.88,9.90,9.84,9.89,264500,9.791824
2016-10-28,9.97,9.99,9.87,9.91,364000,9.811625
2016-10-27,10.04,10.05,9.93,9.93,268200,9.831427
2016-10-26,10.08,10.10,10.00,10.06,239000,9.960136
2016-10-25,10.08,10.11,10.05,10.08,191900,9.979937
2016-10-24,10.12,10.16,10.06,10.06,151200,9.960136
2016-10-21,10.03,10.13,10.00,10.11,122100,10.009639
2016-10-20,10.06,10.07,10.01,10.03,85400,9.930433
2016-10-19,9.93,10.10,9.93,10.06,233800,9.960136
2016-10-18,9.97,10.01,9.88,9.93,207800,9.831427
2016-10-17,10.13,10.15,9.86,9.89,346800,9.791824
2016-10-14,10.16,10.22,10.10,10.11,268700,10.009639
2016-10-13,10.00,10.09,9.96,10.06,321900,9.960136
2016-10-12,10.04,10.07,9.98,10.03,270600,9.930433
2016-10-11,10.16,10.16,10.03,10.09,310700,9.989838
2016-10-10,10.11,10.16,10.08,10.13,284900,10.029441
2016-10-07,10.20,10.25,10.06,10.11,439400,10.009639
2016-10-06,10.32,10.32,10.10,10.20,483600,10.098746
2016-10-05,10.39,10.44,10.34,10.38,290600,10.182903
2016-10-04,10.36,10.39,10.29,10.37,312700,10.173092
2016-10-03,10.33,10.40,10.28,10.37,203800,10.173092
2016-09-30,10.37,10.41,10.32,10.33,373600,10.133852
2016-09-29,10.49,10.50,10.27,10.32,284300,10.124042
2016-09-28,10.44,10.50,10.40,10.47,132500,10.271194
2016-09-27,10.38,10.49,10.36,10.49,207600,10.290814
