Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,15.10,15.32,14.88,15.17,58500,15.17
2016-11-30,15.36,15.53,15.08,15.12,170600,15.12
2016-11-29,15.25,15.51,15.17,15.31,103800,15.31
2016-11-28,15.30,15.57,15.02,15.33,317400,15.33
2016-11-25,15.10,15.31,15.04,15.30,37300,15.30
2016-11-23,14.85,15.25,14.713,15.21,126800,15.21
2016-11-22,15.08,15.08,14.87,14.97,26800,14.97
2016-11-21,14.97,15.10,14.95,15.00,156200,15.00
2016-11-18,14.99,14.99,14.81,14.96,69200,14.96
2016-11-17,14.30,14.89,14.30,14.88,54200,14.88
2016-11-16,14.10,14.29,13.93,14.24,84900,14.24
2016-11-15,13.39,14.53,13.24,14.09,79000,14.09
2016-11-14,13.72,13.77,13.25,13.45,137000,13.45
2016-11-11,13.82,13.88,13.38,13.58,65700,13.58
2016-11-10,14.30,14.30,13.71,13.85,81300,13.85
2016-11-09,13.97,14.47,13.89,14.19,38100,14.19
2016-11-08,15.09,15.10,13.82,14.33,135800,14.33
2016-11-07,14.84,14.84,14.54,14.55,59000,14.55
2016-11-04,14.75,14.83,14.55,14.56,58300,14.56
2016-11-03,14.805,14.805,14.62,14.65,47700,14.65
2016-11-02,14.67,14.87,14.55,14.71,64000,14.71
2016-11-01,15.12,15.12,14.50,14.58,81300,14.58
2016-10-31,15.05,15.16,14.96,15.02,43200,15.02
2016-10-28,14.975,15.38,14.95,14.98,46400,14.98
2016-10-27,15.03,15.03,14.77,14.94,78000,14.94
2016-10-26,15.10,15.13,15.00,15.02,24700,15.02
2016-10-25,15.04,15.60,14.97,15.07,113400,15.07
2016-10-24,15.22,15.36,15.14,15.18,52500,15.18
2016-10-21,15.07,15.37,15.06,15.31,33400,15.31
2016-10-20,15.66,15.66,15.08,15.18,54700,15.18
2016-10-19,15.81,15.85,15.51,15.56,50300,15.56
2016-10-18,15.22,15.85,15.22,15.77,53500,15.77
2016-10-17,15.08,15.28,14.85,15.22,51700,15.22
2016-10-14,15.11,15.33,14.80,15.00,99900,15.00
2016-10-13,15.67,15.74,15.00,15.00,54400,15.00
2016-10-12,15.37,15.57,15.27,15.48,60100,15.48
2016-10-11,15.95,16.280001,15.57,15.64,73000,15.64
2016-10-10,15.57,16.25,15.57,16.15,52300,16.15
2016-10-07,16.030001,16.309,15.755,15.95,65000,15.95
2016-10-06,15.55,16.690001,15.37,16.120001,184600,16.120001
2016-10-05,16.129999,16.34,15.50,15.64,146400,15.64
2016-10-04,15.98,16.094999,15.70,16.040001,58800,16.040001
2016-10-03,15.90,15.90,15.53,15.75,90900,15.75
2016-09-30,15.70,15.86,15.55,15.80,76000,15.80
2016-09-29,15.55,15.79,15.51,15.66,73600,15.66
2016-09-28,15.72,15.89,15.61,15.65,97100,15.65
2016-09-27,15.11,16.620001,15.11,15.64,61100,15.64
2016-09-26,15.08,15.44,14.94,15.40,42800,15.40
2016-09-23,15.10,15.37,15.01,15.15,56800,15.15
2016-09-22,15.00,15.22,14.96,15.13,68900,15.13
2016-09-21,15.12,15.165,14.75,14.97,87700,14.97
2016-09-20,14.98,15.15,14.95,15.06,52600,15.06
2016-09-19,14.90,15.05,14.83,15.01,151300,15.01
2016-09-16,14.90,14.99,14.59,14.87,377600,14.87
2016-09-15,15.05,15.05,14.76,14.97,313800,14.97
2016-09-14,15.00,15.25,14.81,14.99,457700,14.99
2016-09-13,14.99,15.001,14.80,14.98,106900,14.98
2016-09-12,14.98,15.00,14.81,14.92,155900,14.92
2016-09-09,14.86,14.95,14.65,14.91,219500,14.91
2016-09-08,15.00,15.00,14.76,14.83,101300,14.83
2016-09-07,15.00,15.00,14.86,14.94,80700,14.94
2016-09-06,14.86,15.027,14.80,14.98,162700,14.98
2016-09-02,15.00,15.00,14.76,14.93,229900,14.93
2016-09-01,14.90,15.06,14.19,14.97,121300,14.97
2016-08-31,14.54,14.88,13.71,14.79,76600,14.79
2016-08-30,14.54,14.61,14.176,14.60,387500,14.60
2016-08-29,13.70,14.40,13.53,14.36,162300,14.36
2016-08-26,13.38,13.58,13.16,13.56,195000,13.56
2016-08-25,12.67,13.31,12.48,13.23,108500,13.23
2016-08-24,12.10,12.76,11.915,12.61,343800,12.61
2016-08-23,13.27,13.47,12.13,12.29,339100,12.29
2016-08-22,13.23,13.91,13.15,13.50,271500,13.50
2016-08-19,12.95,13.21,12.93,13.17,266500,13.17
2016-08-18,12.75,13.25,12.672,12.89,120300,12.89
2016-08-17,13.34,13.34,12.71,12.80,136700,12.80
2016-08-16,12.95,13.24,12.90,12.93,72600,12.93
2016-08-15,12.77,13.29,12.60,13.00,194500,13.00
2016-08-12,13.00,13.00,12.60,12.72,171000,12.72
2016-08-11,12.80,13.16,12.71,12.88,158100,12.88
2016-08-10,13.03,13.25,12.72,12.99,210600,12.99
2016-08-09,13.62,13.74,12.95,13.07,320200,13.07
2016-08-08,13.91,14.08,13.13,13.65,310600,13.65
2016-08-05,14.00,14.00,13.49,13.84,189500,13.84
2016-08-04,14.02,14.797,13.26,13.80,299600,13.80
2016-08-03,13.87,14.15,13.76,13.93,415100,13.93
2016-08-02,14.00,14.23,13.76,13.98,224900,13.98
2016-08-01,13.99,14.32,13.93,14.08,127900,14.08
2016-07-29,13.95,14.415,13.76,14.10,213400,14.10
2016-07-28,13.95,14.85,13.53,14.27,317900,14.27
2016-07-27,13.49,14.30,12.86,14.10,1005200,14.10
2016-07-26,13.29,13.52,12.65,13.21,779900,13.21
2016-07-25,13.60,13.75,12.53,13.00,892400,13.00
2016-07-22,12.00,15.00,12.00,13.53,1392900,13.53
