Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,10.37,10.40,10.30,10.31,195100,10.31
2016-11-30,10.42,10.47,10.40,10.42,277200,10.42
2016-11-29,10.39,10.47,10.37,10.44,215600,10.44
2016-11-28,10.41,10.46,10.38,10.43,156800,10.43
2016-11-25,10.44,10.49,10.35,10.40,148000,10.40
2016-11-23,10.48,10.53,10.40,10.41,226600,10.41
2016-11-22,10.39,10.53,10.39,10.51,296100,10.51
2016-11-21,10.36,10.49,10.35,10.46,152000,10.46
2016-11-18,10.36,10.39,10.31,10.38,102500,10.38
2016-11-17,10.41,10.42,10.32,10.39,168700,10.39
2016-11-16,10.15,10.43,10.15,10.43,317900,10.43
2016-11-15,10.04,10.20,9.98,10.19,197600,10.19
2016-11-14,10.01,10.05,9.91,10.04,333800,10.04
2016-11-11,10.10,10.10,9.95,10.02,443200,10.02
2016-11-10,10.25,10.27,10.00,10.05,199800,10.05
2016-11-09,10.01,10.21,10.00,10.15,231200,10.15
2016-11-08,10.13,10.19,10.06,10.12,222500,10.12
2016-11-07,10.14,10.21,10.08,10.18,246400,10.18
2016-11-04,10.09,10.18,10.05,10.07,155500,9.97
2016-11-03,10.21,10.31,10.08,10.11,175000,10.009602
2016-11-02,10.39,10.39,10.18,10.24,260500,10.138312
2016-11-01,10.51,10.53,10.33,10.39,158100,10.286823
2016-10-31,10.54,10.56,10.43,10.47,165900,10.366028
2016-10-28,10.61,10.75,10.50,10.50,128500,10.39573
2016-10-27,10.76,10.83,10.58,10.58,180100,10.474935
2016-10-26,10.79,10.82,10.71,10.72,219100,10.613545
2016-10-25,10.81,10.84,10.75,10.76,186500,10.653148
2016-10-24,10.87,10.95,10.81,10.82,132300,10.712552
2016-10-21,10.80,10.86,10.76,10.80,135800,10.692751
2016-10-20,10.85,10.88,10.76,10.81,94100,10.702652
2016-10-19,10.79,10.90,10.73,10.82,125200,10.712552
2016-10-18,10.86,10.86,10.70,10.74,168200,10.633346
2016-10-17,10.89,10.95,10.75,10.76,241600,10.653148
2016-10-14,10.94,10.99,10.88,10.88,192000,10.771956
2016-10-13,10.85,10.93,10.75,10.87,187900,10.762055
2016-10-12,10.87,10.94,10.81,10.93,160400,10.82146
2016-10-11,10.87,10.96,10.75,10.92,264200,10.811559
2016-10-10,10.86,10.95,10.84,10.90,193300,10.791757
2016-10-07,10.94,10.99,10.82,10.84,198100,10.732354
2016-10-06,11.09,11.09,10.91,10.95,253800,10.841261
2016-10-05,11.13,11.33,11.07,11.22,432000,11.009573
2016-10-04,11.00,11.15,10.98,11.09,302600,10.882011
2016-10-03,11.00,11.07,10.94,11.01,222900,10.803511
2016-09-30,10.98,11.09,10.94,11.01,222200,10.803511
2016-09-29,11.17,11.21,10.96,10.97,214500,10.764262
2016-09-28,11.09,11.21,11.06,11.21,102200,10.99976
2016-09-27,10.98,11.11,10.96,11.09,152500,10.882011
2016-09-26,11.07,11.08,10.94,10.94,167400,10.734824
2016-09-23,11.18,11.19,11.07,11.10,185700,10.891824
2016-09-22,11.15,11.23,11.11,11.18,125600,10.970323
2016-09-21,11.05,11.11,10.97,11.08,140900,10.872198
2016-09-20,11.07,11.11,11.02,11.03,111100,10.823136
2016-09-19,11.09,11.14,11.01,11.05,135700,10.842761
2016-09-16,10.93,11.07,10.92,11.07,196400,10.862386
2016-09-15,11.00,11.09,10.93,10.95,303700,10.744636
2016-09-14,10.90,11.06,10.90,11.00,208900,10.793699
2016-09-13,10.97,11.04,10.82,10.92,310100,10.715199
2016-09-12,10.79,11.08,10.63,11.00,331700,10.793699
2016-09-09,11.15,11.22,10.78,10.82,384700,10.617074
2016-09-08,11.28,11.32,11.17,11.21,224600,10.99976
2016-09-07,11.32,11.39,11.26,11.38,160300,11.068448
2016-09-06,11.26,11.34,11.24,11.31,198600,11.000364
2016-09-02,11.20,11.30,11.20,11.25,131800,10.942007
2016-09-01,11.19,11.25,11.15,11.16,197300,10.85447
2016-08-31,11.27,11.30,11.13,11.15,271000,10.844744
2016-08-30,11.35,11.43,11.26,11.28,159600,10.971185
2016-08-29,11.45,11.47,11.34,11.37,188400,11.058721
2016-08-26,11.32,11.44,11.31,11.41,197000,11.097626
2016-08-25,11.32,11.36,11.30,11.32,110800,11.01009
2016-08-24,11.38,11.40,11.30,11.37,138700,11.058721
2016-08-23,11.33,11.37,11.32,11.36,115900,11.048995
2016-08-22,11.32,11.33,11.25,11.27,162300,10.96146
2016-08-19,11.35,11.36,11.28,11.33,155000,11.019816
2016-08-18,11.30,11.43,11.26,11.41,145800,11.097626
2016-08-17,11.31,11.32,11.26,11.28,173900,10.971185
2016-08-16,11.19,11.30,11.19,11.27,222700,10.96146
2016-08-15,11.19,11.24,11.15,11.23,218700,10.922554
2016-08-12,11.15,11.18,11.07,11.12,138600,10.815566
2016-08-11,11.06,11.20,11.04,11.12,241900,10.815566
2016-08-10,11.13,11.14,11.03,11.06,381900,10.757209
2016-08-09,11.11,11.18,11.08,11.13,133000,10.825292
2016-08-08,11.23,11.25,11.05,11.13,219200,10.825292
2016-08-05,11.22,11.34,11.22,11.30,159200,10.893376
2016-08-04,11.19,11.23,11.17,11.20,132900,10.796974
2016-08-03,11.14,11.24,11.12,11.17,198800,10.768054
2016-08-02,11.35,11.39,11.10,11.15,207900,10.748773
2016-08-01,11.45,11.46,11.33,11.35,153500,10.941577
2016-07-29,11.49,11.49,11.37,11.44,238900,11.028337
2016-07-28,11.41,11.50,11.40,11.49,220600,11.076538
2016-07-27,11.48,11.48,11.30,11.39,252000,10.980137
2016-07-26,11.27,11.31,11.20,11.25,144800,10.845175
2016-07-25,11.35,11.36,11.22,11.24,214000,10.835534
2016-07-22,11.26,11.34,11.23,11.34,133000,10.931936
2016-07-21,11.26,11.33,11.20,11.27,147400,10.864456
2016-07-20,11.06,11.31,11.06,11.27,358800,10.864456
2016-07-19,11.06,11.09,11.01,11.04,122400,10.642732
2016-07-18,10.91,11.13,10.91,11.07,301000,10.671652
2016-07-15,10.95,11.06,10.89,10.92,202900,10.52705
2016-07-14,11.01,11.04,10.85,10.95,278800,10.55597
2016-07-13,11.14,11.20,10.96,11.00,243900,10.604171
2016-07-12,10.94,11.22,10.92,11.16,330400,10.758413
2016-07-11,10.90,11.05,10.86,10.94,412900,10.54633
