Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,30.68,30.709999,30.530001,30.610001,9700,30.610001
2016-11-30,30.870001,30.870001,30.579,30.669001,18600,30.669001
2016-11-29,30.469999,30.76,30.469999,30.719999,17500,30.719999
2016-11-28,30.49,30.51,30.434,30.450001,16700,30.450001
2016-11-25,30.629999,30.65,30.629999,30.65,800,30.65
2016-11-23,30.370001,30.438999,30.370001,30.438999,5200,30.438999
2016-11-22,30.549999,30.67,30.462,30.561001,5700,30.561001
2016-11-21,30.358999,30.440001,30.332001,30.414,3600,30.414
2016-11-18,30.288,30.309999,30.254999,30.299999,7800,30.299999
2016-11-17,30.549999,30.549999,30.440001,30.459999,2100,30.459999
2016-11-16,30.42,30.469999,30.33,30.33,1100,30.33
2016-11-15,30.559999,30.65,30.559999,30.65,4700,30.65
2016-11-14,30.559999,30.610001,30.365,30.385,1700,30.333
2016-11-11,30.719999,30.746,30.612,30.612,900,30.559611
2016-11-10,30.77,31.01,30.74,30.879999,2200,30.827152
2016-11-09,30.797001,31.108,30.797001,30.969999,3200,30.916998
2016-11-08,31.08,31.290001,31.08,31.290001,2700,31.236452
2016-11-07,30.93,31.08,30.93,31.025,18200,30.971904
2016-11-04,30.709999,30.82,30.709999,30.771,3700,30.718339
2016-11-03,30.969999,31.040001,30.92,31.009001,2500,30.955933
2016-11-02,31.040001,31.040001,30.99,30.99,1800,30.936964
2016-11-01,31.209999,31.24,31.15,31.239,6700,31.185539
2016-10-31,31.209,31.32,31.195999,31.259001,5400,31.205505
2016-10-28,31.259001,31.259001,31.259001,31.259001,300,31.205505
2016-10-27,31.281,31.309999,31.16,31.209999,14800,31.156587
2016-10-26,31.371,31.409,31.289,31.308001,14800,31.254421
2016-10-25,31.370001,31.370001,31.370001,31.370001,000,31.316315
2016-10-24,31.370001,31.370001,31.370001,31.370001,000,31.316315
2016-10-21,31.25,31.370001,31.198999,31.370001,23500,31.316315
2016-10-20,31.49,31.51,31.35,31.469999,5400,31.416143
2016-10-19,31.50,31.50,31.50,31.50,000,31.446092
2016-10-18,31.360001,31.540001,31.360001,31.50,2400,31.446092
2016-10-17,31.104,31.104,31.104,31.104,500,30.971905
2016-10-14,31.399,31.399,31.302,31.302,800,31.169064
2016-10-13,30.934,31.23,30.916,31.23,5100,31.097369
2016-10-12,31.18,31.226,31.111,31.211,1900,31.078451
2016-10-11,31.17,31.219999,31.120001,31.216,700,31.083429
2016-10-10,31.393999,31.393999,31.393999,31.393999,000,31.260672
2016-10-07,31.82,31.82,31.393999,31.393999,4800,31.260672
2016-10-06,31.73,31.836,31.690001,31.809999,27500,31.674906
2016-10-05,32.049999,32.049999,32.02,32.044998,2100,31.908907
2016-10-04,32.119999,32.119999,31.82,31.92,8100,31.784439
2016-10-03,32.02,32.02,32.009998,32.009998,400,31.874055
2016-09-30,32.23,32.23,32.00,32.139999,19400,32.003504
2016-09-29,32.200001,32.25,31.74,31.91,18000,31.774482
2016-09-28,32.080002,32.25,31.90,32.200001,4600,32.063251
2016-09-27,31.975,31.975,31.975,31.975,300,31.839206
2016-09-26,31.951,31.951,31.84,31.84,1500,31.704779
2016-09-23,32.220001,32.259998,32.139999,32.200001,5800,32.063251
2016-09-22,32.48,32.57,32.330002,32.380001,29300,32.242487
2016-09-21,31.99,32.099998,31.290001,32.099998,7000,31.963673
2016-09-20,31.950001,31.950001,31.709999,31.709999,2300,31.57533
2016-09-19,31.82,31.91,31.60,31.68,6300,31.545459
2016-09-16,31.559999,31.58,31.48,31.48,8400,31.346307
2016-09-15,31.57,31.879999,31.57,31.85,7500,31.714737
2016-09-14,31.440001,31.610001,31.440001,31.49,4900,31.356265
2016-09-13,31.57,31.57,31.35,31.370001,2300,31.236776
2016-09-12,31.83,32.169998,31.799999,32.139,1700,32.002509
2016-09-09,32.34,32.34,31.93,32.009998,9700,31.874055
2016-09-08,32.630001,32.700001,32.630001,32.689999,51000,32.551168
2016-09-07,32.93,32.950001,32.50,32.529999,23700,32.391847
2016-09-06,32.844002,33.029999,32.844002,32.987,900,32.613901
2016-09-02,32.470001,32.700001,32.470001,32.648998,2600,32.279723
2016-09-01,32.175999,32.311001,32.175999,32.275002,6100,31.909956
2016-08-31,32.123001,32.123001,31.969999,31.983999,2200,31.622246
2016-08-30,32.223999,32.223999,32.040001,32.041,3000,31.678602
2016-08-29,32.220001,32.220001,32.16,32.18,1000,31.81603
2016-08-26,32.601002,32.601002,31.98,31.98,10100,31.618291
2016-08-25,32.41,32.41,32.333,32.352001,2700,31.986085
2016-08-24,32.41,32.41,32.41,32.41,000,32.043428
2016-08-23,32.50,32.501999,32.41,32.41,600,32.043428
2016-08-22,32.099998,32.25,32.099998,32.23,9400,31.865463
2016-08-19,32.139999,32.41,32.139999,32.27,15800,31.905012
2016-08-18,32.330002,32.330002,32.330002,32.330002,100,31.964335
2016-08-17,32.459999,32.459999,32.290001,32.424999,900,32.058258
2016-08-16,32.459,32.459,32.459,32.459,100,32.091873
2016-08-15,32.759998,32.810001,32.560001,32.611,157600,32.161082
2016-08-12,32.720001,32.759998,32.59,32.59,6600,32.140372
2016-08-11,32.540001,32.540001,32.540001,32.540001,000,32.091063
2016-08-10,32.540001,32.540001,32.537998,32.540001,400,32.091063
2016-08-09,32.119999,32.50,32.119999,32.450001,4000,32.002304
2016-08-08,32.089001,32.23,32.084,32.216,4700,31.771531
2016-08-05,32.00,32.00,31.99,32.00,800,31.558512
2016-08-04,31.75,31.75,31.75,31.75,2900,31.311961
2016-08-03,31.739,31.739,31.736,31.736,300,31.298154
2016-08-02,31.940001,31.940001,31.940001,31.940001,400,31.49934
2016-08-01,31.83,31.83,31.83,31.83,200,31.390857
2016-07-29,31.969999,32.169998,31.969999,32.138,2100,31.694608
2016-07-28,32.049999,32.049999,31.799999,31.879999,3100,31.440166
2016-07-27,31.701,31.701,31.701,31.701,300,31.263637
2016-07-26,31.76,31.76,31.48,31.67,3800,31.233065
2016-07-25,31.482,31.490999,31.389999,31.490999,9800,31.056533
2016-07-22,31.309999,31.51,31.309999,31.51,1300,31.075272
2016-07-21,31.584999,31.584999,31.495001,31.50,2600,31.06541
2016-07-20,31.24,31.57,31.24,31.549999,5900,31.114719
2016-07-19,31.52,31.52,31.360001,31.360001,500,30.927342
2016-07-18,31.59,31.60,31.59,31.60,17000,31.150223
2016-07-15,31.424999,31.50,31.370001,31.440001,7700,30.9925
2016-07-14,31.573,31.684,31.573,31.684,5400,31.233027
2016-07-13,31.299999,31.299999,31.299999,31.299999,000,30.854492
2016-07-12,31.110001,31.625999,31.110001,31.299999,149100,30.854492
2016-07-11,32.344002,32.344002,30.808001,30.808001,4400,30.369496
2016-07-08,29.950001,29.950001,29.950001,29.950001,000,29.523708
2016-07-07,29.91,29.950001,29.889999,29.950001,900,29.523708
2016-07-06,30.169001,30.169001,30.169001,30.169001,100,29.739591
2016-07-05,30.58,30.58,30.169001,30.169001,5400,29.739591
2016-07-01,31.040001,31.23,30.878,31.23,8500,30.785488
