Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,28.360001,28.405001,28.16,28.219999,22500,28.219999
2016-11-30,28.50,28.50,28.27,28.280001,9700,28.280001
2016-11-29,28.370001,28.48,28.370001,28.43,3400,28.43
2016-11-28,28.281,28.309999,28.261999,28.299999,5500,28.299999
2016-11-25,28.219999,28.360001,28.219999,28.34,3600,28.34
2016-11-23,28.120001,28.25,28.120001,28.24,24000,28.24
2016-11-22,28.139999,28.349001,28.139999,28.305,7000,28.305
2016-11-21,28.24,28.25,28.17,28.209999,24800,28.209999
2016-11-18,28.209999,28.209999,28.00,28.035,6400,28.035
2016-11-17,27.83,28.26,27.83,28.17,25400,28.17
2016-11-16,28.09,28.09,28.00,28.01,7100,28.01
2016-11-15,28.07,28.219999,28.059999,28.17,18800,28.17
2016-11-14,28.306999,28.306999,28.032,28.15,3600,28.062
2016-11-11,28.370001,28.370001,28.280001,28.32,1100,28.231469
2016-11-10,28.709999,28.709999,28.415001,28.528999,6700,28.439815
2016-11-09,28.700001,28.790001,28.584,28.790001,2600,28.700001
2016-11-08,28.790001,28.98,28.790001,28.950001,1300,28.859501
2016-11-07,28.83,28.84,28.743,28.83,3800,28.739875
2016-11-04,28.48,28.603001,28.440001,28.440001,1700,28.351095
2016-11-03,28.950001,28.950001,28.709999,28.75,17900,28.660125
2016-11-02,28.959,28.959,28.75,28.809999,2800,28.719937
2016-11-01,29.209999,29.209999,28.85,28.940001,55100,28.849532
2016-10-31,28.969999,29.055,28.969999,29.040001,91200,28.949219
2016-10-28,28.976,29.054001,28.976,29.00,8900,28.909344
2016-10-27,29.034,29.049999,28.940001,28.940001,11800,28.849532
2016-10-26,29.120001,29.129,28.959999,28.99,15500,28.899375
2016-10-25,29.09,29.132999,29.09,29.107,1000,29.016009
2016-10-24,29.309999,29.309999,29.139999,29.17,8900,29.078812
2016-10-21,29.120001,29.198999,29.120001,29.198999,2200,29.107721
2016-10-20,29.290001,29.309999,29.216999,29.299999,2300,29.208405
2016-10-19,29.40,29.40,29.319,29.370001,6900,29.278188
2016-10-18,29.211,29.292,29.17,29.17,25100,29.078812
2016-10-17,29.030001,29.030001,28.870001,28.916,16400,28.825606
2016-10-14,29.129999,29.129999,29.073,29.110001,2500,29.019
2016-10-13,28.90,29.110001,28.90,29.059999,2200,28.969155
2016-10-12,29.110001,29.110001,28.954,29.056,4500,28.965168
2016-10-11,29.139999,29.18,28.98,29.07,14400,28.979124
2016-10-10,29.551001,29.551001,29.476999,29.51,5600,29.417749
2016-10-07,29.43,29.43,29.245001,29.365999,5300,29.274199
2016-10-06,29.74,29.74,29.50,29.624001,5700,29.531393
2016-10-05,29.757999,29.809999,29.757999,29.790001,5900,29.696875
2016-10-04,29.83,29.83,29.67,29.702999,9900,29.610145
2016-10-03,30.040001,30.040001,29.757,29.83,5900,29.736749
2016-09-30,30.091999,30.091999,29.799999,29.90,217100,29.80653
2016-09-29,29.98,30.09,29.75,29.879999,77400,29.786592
2016-09-28,29.799999,31.82,29.799999,30.179001,149700,30.084659
2016-09-27,29.59,29.799999,29.59,29.709999,1900,29.617123
2016-09-26,29.65,29.65,29.65,29.65,300,29.557311
2016-09-23,30.129999,30.129999,29.865999,29.908001,9300,29.814506
2016-09-22,30.139999,30.278999,30.108999,30.108999,4600,30.014876
2016-09-21,29.642,29.690001,29.549999,29.665001,11200,29.572266
2016-09-20,29.462999,29.514,29.381001,29.381001,4200,29.289153
2016-09-19,29.441999,29.441999,29.313999,29.313999,800,29.222361
2016-09-16,29.153,29.153,29.132,29.132,900,29.040931
2016-09-15,29.360001,29.540001,29.284,29.540001,4900,29.447656
2016-09-14,29.32,29.337999,29.177999,29.200001,14500,29.108719
2016-09-13,29.41,29.458,29.198,29.458,4600,29.365912
2016-09-12,29.299999,30.049999,29.299999,29.75,12200,29.656999
2016-09-09,29.719999,29.749001,29.549999,29.559999,12800,29.467592
2016-09-08,30.26,30.26,30.09,30.17,7800,30.075686
2016-09-07,30.379999,30.389999,30.120001,30.165001,40700,30.070703
2016-09-06,30.309999,30.360001,30.284,30.298,2600,30.107586
2016-09-02,30.059999,30.118999,30.01,30.118999,37800,29.92971
2016-09-01,29.67,29.806,29.67,29.77,6900,29.582905
2016-08-31,29.50,29.664,29.50,29.530001,3500,29.344413
2016-08-30,29.60,29.65,29.60,29.632,3600,29.445771
2016-08-29,29.50,29.67,29.355,29.66,2800,29.473595
2016-08-26,29.931,30.030001,29.49,29.51,2200,29.324538
2016-08-25,29.875999,29.875999,29.790001,29.794001,5100,29.606754
2016-08-24,29.92,29.969999,29.92,29.969999,400,29.781646
2016-08-23,30.120001,30.120001,29.674999,29.674999,1400,29.4885
2016-08-22,29.700001,29.826,29.58,29.799999,12500,29.612715
2016-08-19,29.743,29.743,29.58,29.66,2400,29.473595
2016-08-18,29.872,29.879999,29.85,29.879999,15300,29.692212
2016-08-17,29.709999,29.861,29.709999,29.861,500,29.673332
2016-08-16,30.030001,30.030001,29.799999,29.839001,2900,29.651471
2016-08-15,29.951,29.951,29.90,29.945,2100,29.756804
2016-08-12,29.804001,29.804001,29.780001,29.790001,3200,29.602779
2016-08-11,29.902,29.955999,29.83,29.84,4200,29.652464
2016-08-10,29.695999,29.733,29.695999,29.733,400,29.546136
2016-08-09,29.629999,29.636999,29.555,29.555,1600,29.369256
2016-08-08,29.32,29.409,29.291,29.291,1600,29.106915
2016-08-05,29.299,29.364,29.233,29.364,3000,29.179456
2016-08-04,29.200001,29.200001,29.104,29.120001,700,28.93699
2016-08-03,29.139999,29.139999,28.98,29.063999,5300,28.88134
2016-08-02,29.443001,29.443001,29.247999,29.285999,1900,29.101945
2016-08-01,29.434999,29.434999,29.34,29.42,600,29.235104
2016-07-29,29.503,29.503,29.469999,29.469999,1200,29.284789
2016-07-28,29.27,29.459,29.27,29.370001,5100,29.185419
2016-07-27,29.360001,29.361,29.360001,29.360001,1200,29.175481
2016-07-26,29.419001,29.419001,29.365,29.368999,1400,29.184424
2016-07-25,29.312,29.33,29.309999,29.33,17200,29.145669
2016-07-22,29.530001,29.530001,29.264999,29.320999,1800,29.136725
2016-07-21,29.330999,29.375,29.330999,29.375,1200,29.190387
2016-07-20,29.381001,29.417999,29.34,29.35,1200,29.165544
2016-07-19,29.389,29.389,29.24,29.299999,7100,29.115857
2016-07-18,29.416,29.416,29.35,29.360001,14600,29.175481
2016-07-15,29.365,29.389999,29.35,29.389999,84600,29.205292
2016-07-14,29.372,29.414,29.35,29.40,2700,29.215229
2016-07-13,29.391001,29.391001,29.120001,29.290001,19100,29.105922
2016-07-12,29.299999,29.358,29.26,29.309999,163800,29.125795
2016-07-11,29.23,29.305,29.190001,29.219999,6900,29.03636
2016-07-08,29.120001,29.149,29.08,29.110001,3900,28.927053
2016-07-07,29.103001,29.110001,29.07,29.07,1500,28.887303
2016-07-06,29.02,29.08,26.07,29.030001,111000,28.847555
2016-07-05,29.200001,29.23,28.950001,29.098,8000,28.915127
2016-07-01,29.209999,29.25,29.209999,29.25,600,29.066172
2016-06-30,29.191999,29.221001,29.191999,29.221001,1200,29.037355
2016-06-29,28.754,28.892,28.754,28.844,1100,28.662724
2016-06-28,28.096001,28.096001,28.096001,28.096001,400,27.919425
2016-06-27,27.461,27.552999,27.35,27.35,39700,27.178113
2016-06-24,28.48,29.08,28.190001,28.23,10000,28.052582
2016-06-23,29.93,30.74,29.93,30.73,30900,30.53687
2016-06-22,30.00,30.073999,29.971001,29.993999,2100,29.805496
2016-06-21,30.006001,30.049999,30.006001,30.049999,1900,29.861144
2016-06-20,29.83,30.10,29.83,29.893999,3500,29.706124
2016-06-17,29.15,29.274,28.965,29.17,5400,28.986675
2016-06-16,28.67,28.860001,28.42,28.860001,2200,28.678624
2016-06-15,29.00,29.00,29.00,29.00,300,28.817743
2016-06-14,29.200001,29.200001,28.719999,28.856001,6700,28.674649
2016-06-13,29.549999,29.639999,29.469999,29.469999,1800,28.949906
2016-06-10,30.33,30.33,29.84,29.84,8200,29.313377
2016-06-09,30.750999,30.781,30.58,30.774,49000,30.230894
2016-06-08,31.186001,31.186001,31.08,31.08,1900,30.531493
2016-06-07,31.16,31.23,31.01,31.108999,7900,30.559981
2016-06-06,30.860001,30.959999,30.809999,30.870001,8700,30.3252
2016-06-03,30.57,30.57,30.57,30.57,000,30.030494
2016-06-02,30.427,30.57,30.375,30.57,7400,30.030494
2016-06-01,30.497,30.60,30.41,30.60,2000,30.059965
2016-05-31,30.674,30.674,30.40,30.469999,7300,29.932258
2016-05-27,30.625,30.65,30.52,30.533001,2000,29.994148
