Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.20,3.30,3.18,3.25,203800,3.25
2016-11-30,3.60,3.60,3.20,3.30,436900,3.30
2016-11-29,3.35,4.50,3.35,3.60,1207900,3.60
2016-11-28,3.50,3.50,3.45,3.45,66600,3.45
2016-11-25,3.45,3.55,3.40,3.50,51100,3.50
2016-11-23,3.30,3.53,3.15,3.45,279700,3.45
2016-11-22,3.15,3.45,3.10,3.40,274300,3.40
2016-11-21,3.40,3.50,3.30,3.40,99800,3.40
2016-11-18,3.45,3.50,3.40,3.50,73400,3.50
2016-11-17,3.50,3.55,3.35,3.45,108100,3.45
2016-11-16,3.35,3.49,3.30,3.45,194500,3.45
2016-11-15,3.50,3.70,3.30,3.35,385600,3.35
2016-11-14,3.80,3.80,3.40,3.50,204400,3.50
2016-11-11,3.85,3.95,3.67,3.75,228100,3.75
2016-11-10,3.90,3.95,3.65,3.80,132200,3.80
2016-11-09,3.55,3.93,3.40,3.90,192500,3.90
2016-11-08,4.05,4.20,3.45,3.70,434000,3.70
2016-11-07,3.20,4.15,3.20,3.85,756300,3.85
2016-11-04,3.36,3.69,2.90,2.95,542500,2.95
2016-11-03,3.70,3.90,3.55,3.85,194200,3.85
2016-11-02,3.65,3.80,3.55,3.65,142500,3.65
2016-11-01,3.75,3.77,3.45,3.60,153800,3.60
2016-10-31,3.85,4.25,3.75,3.80,332600,3.80
2016-10-28,3.70,3.95,3.65,3.85,276400,3.85
2016-10-27,3.45,3.70,3.45,3.65,216700,3.65
2016-10-26,3.40,3.55,3.35,3.40,121300,3.40
2016-10-25,3.40,3.45,3.30,3.40,89000,3.40
2016-10-24,3.65,3.75,3.40,3.45,95000,3.45
2016-10-21,3.40,3.65,3.40,3.60,115600,3.60
2016-10-20,3.75,3.75,3.35,3.45,147400,3.45
2016-10-19,3.50,3.55,3.20,3.45,204900,3.45
2016-10-18,3.70,3.82,3.40,3.50,281200,3.50
2016-10-17,3.60,3.65,3.35,3.35,100400,3.35
2016-10-14,3.83,3.94,3.53,3.64,180700,3.64
2016-10-13,4.02,4.02,3.70,3.81,584500,3.81
2016-10-12,4.01,4.09,3.82,3.95,281600,3.95
2016-10-11,4.19,4.30,4.01,4.04,117000,4.04
2016-10-10,4.33,4.33,4.06,4.21,146300,4.21
2016-10-07,4.28,4.40,3.99,4.23,265600,4.23
2016-10-06,4.48,4.60,4.27,4.33,224500,4.33
2016-10-05,4.69,4.85,4.47,4.55,443000,4.55
2016-10-04,5.01,5.10,4.62,4.66,424000,4.66
2016-10-03,5.15,5.25,5.01,5.05,520500,5.05
2016-09-30,5.06,5.13,5.02,5.09,229900,5.09
2016-09-29,5.17,5.26,5.00,5.10,230900,5.10
2016-09-28,5.01,5.25,4.97,5.20,169600,5.20
2016-09-27,5.01,5.20,4.90,5.03,152000,5.03
2016-09-26,5.01,5.57,4.81,5.10,100900,5.10
2016-09-21,5.70,5.81,5.16,5.34,861600,5.34
2016-09-20,5.28,5.69,5.15,5.61,839900,5.61
2016-09-15,6.13,6.14,5.64,5.83,387800,5.83
2016-09-14,5.71,6.22,5.71,6.08,387400,6.08
2016-09-13,5.92,5.92,5.50,5.79,245700,5.79
2016-09-08,5.21,5.53,5.21,5.50,248100,5.50
2016-09-07,4.99,5.48,4.99,5.32,419800,5.32
2016-09-06,4.79,5.09,4.72,5.02,187000,5.02
2016-09-01,4.81,4.85,4.69,4.76,52700,4.76
2016-08-31,4.85,4.92,4.78,4.86,54400,4.86
2016-08-30,4.94,4.95,4.86,4.91,18000,4.91
2016-08-29,4.86,4.99,4.85,4.95,30800,4.95
2016-08-26,4.85,5.00,4.85,4.90,82000,4.90
2016-08-25,4.81,4.93,4.78,4.89,16800,4.89
