Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,130.580002,134.970001,124.940002,126.959999,333900,126.959999
2016-11-30,134.029999,134.369995,130.309998,130.50,148100,130.50
2016-11-29,130.860001,133.850006,130.520004,132.990005,177700,132.990005
2016-11-28,132.720001,133.630005,131.339996,131.880005,172300,131.880005
2016-11-25,131.139999,134.199997,131.139999,133.399994,60200,133.399994
2016-11-23,131.990005,133.770004,131.169998,132.119995,154400,132.119995
2016-11-22,129.949997,131.690002,129.00,131.619995,152500,131.619995
2016-11-21,130.910004,131.559998,129.220001,129.979996,143800,129.979996
2016-11-18,129.259995,130.940002,128.610001,130.860001,132100,130.860001
2016-11-17,128.380005,130.320007,127.870003,129.100006,218500,129.100006
2016-11-16,126.940002,128.899994,126.730003,128.880005,232100,128.880005
2016-11-15,125.25,127.339996,125.160004,126.989998,238900,126.989998
2016-11-14,127.900002,127.980003,124.699997,126.32,194200,126.32
2016-11-11,120.699997,126.220001,120.699997,125.889999,246200,125.889999
2016-11-10,118.830002,121.82,117.349998,120.699997,443200,120.699997
2016-11-09,115.510002,120.50,115.00,120.349998,285100,120.349998
2016-11-08,116.690002,117.57,116.209999,116.57,182300,116.57
2016-11-07,117.470001,117.800003,116.160004,117.169998,218100,117.169998
2016-11-04,115.199997,118.370003,114.57,115.599998,302100,115.599998
2016-11-03,107.00,117.970001,107.00,114.57,715000,114.57
2016-11-02,101.690002,102.230003,100.010002,101.43,234100,101.43
2016-11-01,104.029999,104.949997,101.57,102.080002,209800,102.080002
2016-10-31,105.660004,106.57,103.629997,104.120003,234500,104.120003
2016-10-28,105.68,106.75,103.650002,105.68,123700,105.68
2016-10-27,106.120003,106.75,105.00,105.620003,118000,105.620003
2016-10-26,105.730003,106.650002,104.169998,105.510002,91400,105.510002
2016-10-25,108.370003,108.830002,105.480003,105.970001,112700,105.970001
2016-10-24,105.07,106.879997,104.50,106.830002,125100,106.830002
2016-10-21,102.309998,104.75,101.790001,104.559998,126600,104.559998
2016-10-20,102.709999,104.080002,102.029999,103.139999,163000,103.139999
2016-10-19,103.459999,103.540001,102.489998,103.269997,188500,103.269997
2016-10-18,104.519997,106.989998,103.050003,103.080002,178300,103.080002
2016-10-17,104.510002,105.889999,103.699997,103.699997,93600,103.699997
2016-10-14,105.669998,106.849998,104.779999,104.849998,151500,104.849998
2016-10-13,108.57,108.57,105.459999,105.82,140000,105.82
2016-10-12,110.389999,110.50,108.800003,108.970001,123900,108.970001
2016-10-11,111.980003,111.980003,109.370003,110.559998,132500,110.559998
2016-10-10,111.709999,113.089996,111.540001,112.050003,68100,112.050003
2016-10-07,113.830002,113.830002,110.25,111.110001,172800,111.110001
2016-10-06,108.669998,113.699997,108.419998,113.370003,348800,113.370003
2016-10-05,109.410004,109.93,108.760002,108.959999,161700,108.959999
2016-10-04,109.589996,110.699997,108.300003,108.889999,111300,108.889999
2016-10-03,110.599998,111.290001,109.089996,109.730003,117000,109.730003
2016-09-30,109.379997,112.239998,108.93,110.540001,175000,110.540001
2016-09-29,110.410004,110.410004,108.830002,109.260002,68900,109.260002
2016-09-28,111.120003,111.309998,110.00,110.690002,76600,110.690002
2016-09-27,111.029999,111.540001,110.360001,110.690002,62500,110.690002
2016-09-26,110.599998,112.400002,110.120003,110.790001,131300,110.790001
2016-09-23,110.910004,111.389999,109.989998,110.970001,252200,110.970001
2016-09-22,111.00,111.970001,110.129997,111.629997,229100,111.629997
2016-09-21,107.610001,110.519997,106.110001,110.510002,197500,110.510002
2016-09-20,107.18,107.18,105.839996,106.949997,115200,106.949997
2016-09-19,104.900002,107.470001,104.900002,106.360001,202400,106.360001
2016-09-16,105.199997,105.209999,103.839996,104.699997,319900,104.699997
2016-09-15,101.709999,105.160004,101.330002,104.800003,110100,104.800003
2016-09-14,101.959999,102.739998,101.239998,101.540001,112700,101.540001
2016-09-13,102.989998,103.190002,101.519997,101.800003,124900,101.800003
2016-09-12,101.800003,103.730003,101.419998,103.440002,116900,103.440002
2016-09-09,105.260002,105.260002,102.339996,102.580002,125000,102.580002
2016-09-08,106.220001,106.220001,105.089996,105.910004,65800,105.910004
2016-09-07,106.00,106.470001,104.639999,105.879997,122200,105.879997
2016-09-06,105.260002,105.849998,105.050003,105.839996,89800,105.839996
2016-09-02,106.739998,107.25,105.139999,105.720001,139300,105.720001
2016-09-01,105.410004,106.769997,104.900002,106.110001,140700,106.110001
2016-08-31,107.260002,107.260002,105.139999,105.18,131300,105.18
2016-08-30,106.93,107.669998,106.830002,107.459999,103200,107.459999
2016-08-29,107.50,108.169998,106.699997,107.260002,146600,107.260002
2016-08-26,108.43,109.290001,106.650002,107.699997,171100,107.699997
2016-08-25,108.519997,109.290001,107.50,108.379997,192400,108.379997
2016-08-24,111.040001,111.190002,109.220001,109.379997,181800,109.379997
2016-08-23,110.639999,111.800003,110.639999,110.980003,134600,110.980003
2016-08-22,111.489998,111.489998,109.360001,110.769997,101400,110.769997
2016-08-19,109.279999,112.089996,108.300003,111.449997,239100,111.449997
2016-08-18,108.400002,109.580002,108.400002,109.550003,140900,109.550003
2016-08-17,109.309998,109.919998,108.330002,108.959999,97500,108.959999
2016-08-16,109.160004,109.959999,107.730003,109.349998,136900,109.349998
2016-08-15,108.599998,109.699997,107.75,109.389999,245200,109.389999
2016-08-12,109.300003,109.300003,108.059998,108.599998,135800,108.599998
2016-08-11,108.489998,110.480003,108.489998,109.190002,296300,109.190002
2016-08-10,108.989998,109.400002,106.239998,108.489998,327800,108.489998
2016-08-09,105.709999,108.699997,105.629997,108.360001,380200,108.360001
2016-08-08,106.650002,106.650002,104.510002,105.470001,114800,105.470001
2016-08-05,106.50,107.120003,105.470001,105.870003,150300,105.870003
2016-08-04,105.629997,106.199997,105.160004,106.07,193800,106.07
2016-08-03,105.82,106.379997,105.120003,105.489998,246100,105.489998
2016-08-02,107.230003,107.50,105.610001,105.660004,201000,105.660004
2016-08-01,105.379997,107.720001,105.379997,107.099998,407900,107.099998
2016-07-29,103.75,107.150002,103.739998,106.050003,414300,106.050003
2016-07-28,102.00,105.00,100.150002,103.75,495600,103.75
2016-07-27,96.00,99.849998,95.830002,98.709999,586300,98.709999
2016-07-26,96.269997,96.970001,94.089996,95.739998,134600,95.739998
2016-07-25,96.339996,96.849998,95.75,95.849998,140500,95.849998
2016-07-22,93.690002,96.75,92.93,96.440002,257100,96.440002
2016-07-21,94.309998,97.589996,93.169998,93.459999,366500,93.459999
2016-07-20,94.18,94.43,93.019997,94.25,226700,94.25
2016-07-19,94.739998,95.199997,93.099998,93.589996,119500,93.589996
2016-07-18,94.099998,96.230003,94.099998,94.760002,85400,94.760002
2016-07-15,95.110001,95.110001,93.610001,94.559998,117900,94.559998
2016-07-14,96.050003,96.050003,94.32,94.389999,58800,94.389999
2016-07-13,95.550003,95.720001,94.709999,95.199997,137600,95.199997
2016-07-12,93.75,95.029999,93.239998,94.760002,96200,94.760002
2016-07-11,93.790001,94.32,92.93,93.029999,89500,93.029999
2016-07-08,91.339996,93.32,91.339996,93.010002,137700,93.010002
2016-07-07,90.300003,91.089996,90.18,90.410004,116000,90.410004
2016-07-06,88.610001,90.529999,88.559998,89.989998,114000,89.989998
2016-07-05,89.800003,90.910004,89.040001,89.43,136800,89.43
2016-07-01,91.779999,93.00,90.019997,90.50,94800,90.50
2016-06-30,87.949997,91.879997,87.220001,91.779999,318800,91.779999
2016-06-29,87.330002,88.50,86.739998,87.57,250000,87.57
2016-06-28,87.209999,87.940002,86.32,86.519997,274500,86.519997
2016-06-27,88.489998,88.980003,86.459999,86.620003,287700,86.620003
2016-06-24,89.470001,91.330002,88.00,89.379997,908700,89.379997
2016-06-23,92.959999,94.300003,92.309998,93.720001,158800,93.720001
2016-06-22,94.040001,94.339996,91.510002,92.029999,136600,92.029999
2016-06-21,93.900002,93.900002,93.059998,93.50,170800,93.50
2016-06-20,94.57,94.889999,93.709999,93.739998,129500,93.739998
2016-06-17,95.050003,95.050003,92.839996,93.370003,195200,93.370003
2016-06-16,93.57,94.919998,92.860001,94.82,78200,94.82
2016-06-15,94.599998,95.449997,93.660004,94.190002,77000,94.190002
2016-06-14,92.970001,94.440002,92.75,94.290001,116100,94.290001
2016-06-13,94.349998,95.040001,92.550003,93.239998,142200,93.239998
2016-06-10,95.309998,96.389999,91.50,94.50,174200,94.50
