Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,12.47,12.78,12.01,12.14,71900,12.14
2016-11-30,12.70,12.94,12.43,12.45,48800,12.45
2016-11-29,12.81,12.86,12.62,12.66,37100,12.66
2016-11-28,12.70,12.89,12.62,12.75,52000,12.75
2016-11-25,12.84,12.97,12.72,12.81,24200,12.81
2016-11-23,12.85,12.97,12.73,12.85,47400,12.85
2016-11-22,12.57,12.94,12.46,12.90,105600,12.90
2016-11-21,12.40,12.60,12.23,12.51,62000,12.51
2016-11-18,12.17,12.42,11.80,12.42,93300,12.42
2016-11-17,12.01,12.26,11.96,12.21,133200,12.21
2016-11-16,11.99,12.05,11.79,11.82,192600,11.82
2016-11-15,12.40,12.40,11.26,11.98,79300,11.92
2016-11-14,12.55,12.58,12.10,12.10,109800,12.039399
2016-11-11,11.60,12.41,11.44,12.38,167400,12.317997
2016-11-10,11.59,11.70,11.37,11.53,139300,11.472254
2016-11-09,11.10,11.52,11.06,11.50,202900,11.442404
2016-11-08,11.15,11.25,11.12,11.18,38800,11.124007
2016-11-07,11.21,11.26,11.06,11.23,63900,11.173756
2016-11-04,10.99,11.12,10.96,10.97,69200,10.915059
2016-11-03,10.91,11.10,10.85,10.98,76000,10.925008
2016-11-02,11.14,11.20,10.95,10.96,49500,10.905109
2016-11-01,11.19,11.24,10.99,11.12,67100,11.064307
2016-10-31,11.07,11.28,10.94,11.19,113900,11.133956
2016-10-28,11.36,11.36,10.83,11.09,72900,11.034458
2016-10-27,10.86,10.98,10.76,10.87,33100,10.815559
2016-10-26,10.95,10.98,10.77,10.80,53900,10.74591
2016-10-25,10.98,11.01,10.72,10.90,55500,10.845409
2016-10-24,10.86,11.11,10.86,11.03,35800,10.974758
2016-10-21,10.83,10.84,10.72,10.82,28200,10.765809
2016-10-20,10.90,11.01,10.75,10.93,32900,10.875259
2016-10-19,10.89,11.06,10.75,10.98,52400,10.925008
2016-10-18,11.04,11.11,10.89,10.89,39200,10.83546
2016-10-17,10.87,11.19,10.87,10.90,27800,10.845409
2016-10-14,11.01,11.17,10.89,11.14,32000,11.084207
2016-10-13,11.10,11.10,10.91,10.98,80100,10.925008
2016-10-12,11.37,11.52,11.20,11.27,38600,11.213556
2016-10-11,11.71,11.71,11.23,11.39,51200,11.332955
2016-10-10,11.67,11.72,11.60,11.65,171900,11.591652
2016-10-07,11.48,11.73,11.35,11.52,34700,11.462304
2016-10-06,11.66,11.70,11.47,11.63,33900,11.571753
2016-10-05,11.56,11.64,11.24,11.61,53300,11.551853
2016-10-04,11.47,11.66,11.46,11.54,44400,11.482204
2016-10-03,11.65,11.71,11.33,11.49,156500,11.432454
2016-09-30,11.64,11.81,11.42,11.74,63100,11.681202
2016-09-29,11.78,11.78,11.45,11.54,50100,11.482204
2016-09-28,11.59,11.71,11.38,11.66,44500,11.601603
2016-09-27,11.30,11.66,11.22,11.65,58500,11.591652
2016-09-26,11.42,11.47,11.23,11.35,51100,11.293156
2016-09-23,11.69,11.75,11.47,11.55,48300,11.492154
2016-09-22,11.60,11.75,11.49,11.74,79400,11.681202
2016-09-21,11.36,11.56,11.33,11.55,49900,11.492154
2016-09-20,11.32,11.45,11.27,11.35,67200,11.293156
2016-09-19,11.25,11.34,11.16,11.30,58200,11.243406
2016-09-16,11.11,11.23,10.95,11.14,286000,11.084207
2016-09-15,10.94,11.07,10.87,11.06,74900,11.004608
2016-09-14,10.90,11.10,10.77,10.94,139000,10.885208
2016-09-13,10.90,11.00,10.72,10.90,74600,10.845409
2016-09-12,10.91,11.04,10.87,11.01,50500,10.954858
2016-09-09,11.22,11.32,10.93,10.94,57500,10.885208
2016-09-08,11.24,11.39,11.15,11.36,61200,11.303105
2016-09-07,11.26,11.30,11.15,11.27,69700,11.213556
2016-09-06,11.25,11.27,11.03,11.27,91600,11.213556
2016-09-02,10.86,11.25,10.79,11.24,131900,11.183706
2016-09-01,10.86,11.13,10.70,10.87,74900,10.815559
2016-08-31,11.13,11.19,10.83,10.87,87500,10.815559
2016-08-30,10.78,11.25,10.78,11.16,85700,11.104107
2016-08-29,10.77,10.89,10.63,10.77,208900,10.716061
2016-08-26,10.90,11.02,10.67,10.78,63000,10.72601
2016-08-25,10.74,10.99,10.64,10.85,215300,10.79566
2016-08-24,10.70,10.90,10.61,10.72,64900,10.666311
2016-08-23,10.56,10.78,10.55,10.74,188500,10.626511
2016-08-22,10.57,10.60,10.49,10.52,96900,10.408836
2016-08-19,10.64,10.76,10.50,10.53,206900,10.41873
2016-08-18,10.67,10.86,10.56,10.65,45100,10.537462
2016-08-17,10.67,10.81,10.51,10.68,41500,10.567145
2016-08-16,10.59,10.99,10.48,10.70,82000,10.586933
2016-08-15,10.62,10.79,10.37,10.64,59000,10.527568
2016-08-12,10.51,10.64,10.39,10.54,56700,10.428624
2016-08-11,10.54,10.74,10.30,10.54,166900,10.428624
2016-08-10,10.51,10.92,10.23,10.50,47700,10.389047
2016-08-09,10.55,10.60,10.43,10.51,121100,10.398942
2016-08-08,10.65,10.72,10.46,10.50,140600,10.389047
2016-08-05,10.35,10.70,10.01,10.68,90900,10.567145
2016-08-04,10.47,10.67,10.23,10.31,60800,10.201055
2016-08-03,10.37,10.46,10.26,10.41,110400,10.299998
2016-08-02,10.59,10.68,10.33,10.34,182700,10.230738
2016-08-01,10.56,10.77,10.46,10.62,87200,10.507779
2016-07-29,11.02,11.02,10.29,10.56,112000,10.448413
2016-07-28,11.84,11.84,11.05,11.12,43700,11.002495
2016-07-27,11.37,11.66,11.07,11.41,41100,11.289431
2016-07-26,11.33,11.45,11.12,11.35,42700,11.230065
2016-07-25,11.26,11.42,10.97,11.35,31000,11.230065
2016-07-22,11.34,11.47,11.14,11.28,34700,11.160805
2016-07-21,11.53,11.54,11.24,11.35,100700,11.230065
2016-07-20,11.59,11.69,11.36,11.62,36100,11.497212
2016-07-19,11.65,11.79,11.50,11.57,44500,11.44774
2016-07-18,11.75,11.86,11.40,11.68,46600,11.556578
2016-07-15,11.83,11.85,11.25,11.73,58000,11.606049
2016-07-14,11.97,12.00,11.44,11.74,39900,11.615944
2016-07-13,11.68,11.92,11.66,11.89,66800,11.764359
2016-07-12,11.48,11.68,11.36,11.60,72800,11.477424
2016-07-11,11.48,11.62,11.32,11.35,95200,11.230065
2016-07-08,10.57,11.43,10.57,11.40,222300,11.279536
2016-07-07,10.51,10.70,10.38,10.44,58900,10.329681
2016-07-06,10.41,11.04,10.20,10.47,60100,10.359364
2016-07-05,10.63,11.11,10.50,10.52,70300,10.408836
2016-07-01,10.79,10.97,10.63,10.71,57600,10.596828
2016-06-30,10.53,11.40,10.53,10.85,69200,10.735349
2016-06-29,10.66,11.04,10.43,10.48,120200,10.369258
2016-06-28,10.66,10.86,10.51,10.52,101100,10.408836
2016-06-27,10.70,10.84,10.51,10.51,96600,10.398942
2016-06-24,10.94,11.31,10.49,10.92,210300,10.804609
2016-06-23,11.61,11.75,11.43,11.51,157800,11.388375
2016-06-22,11.59,11.84,11.41,11.42,32200,11.299326
2016-06-21,11.68,11.75,11.54,11.59,74900,11.467529
2016-06-20,11.48,11.91,11.38,11.64,50300,11.517001
2016-06-17,11.80,11.80,11.28,11.28,262100,11.160805
2016-06-16,11.90,11.96,11.72,11.82,62700,11.695098
2016-06-15,12.45,12.45,12.02,12.02,29000,11.892986
2016-06-14,12.13,12.48,12.10,12.46,44100,12.268969
2016-06-13,12.21,12.44,12.14,12.19,58000,12.003109
2016-06-10,12.06,12.31,11.95,12.26,31900,12.072036
2016-06-09,12.12,12.26,11.88,12.25,58600,12.062189
2016-06-08,12.10,12.28,12.05,12.20,40300,12.012955
2016-06-07,12.14,12.29,12.10,12.11,26600,11.924335
2016-06-06,12.09,12.25,11.99,12.20,57400,12.012955
2016-06-03,12.10,12.25,12.00,12.12,45000,11.934182
2016-06-02,11.88,12.13,11.82,12.12,98500,11.934182
2016-06-01,11.74,12.00,11.64,11.96,101300,11.776635
2016-05-31,11.93,12.00,11.76,11.80,76100,11.619088
2016-05-27,11.84,11.95,11.82,11.94,47500,11.756941
2016-05-26,11.94,11.98,11.68,11.80,28300,11.619088
2016-05-25,11.99,12.03,11.77,11.84,56400,11.658475
2016-05-24,11.50,12.05,11.50,12.03,61500,11.845562
2016-05-23,11.32,11.48,11.29,11.47,55800,11.294148
2016-05-20,11.05,11.39,11.05,11.34,69000,11.166141
2016-05-19,10.97,11.04,10.81,10.97,29700,10.801814
2016-05-18,10.97,11.23,10.97,11.09,26100,10.919974
2016-05-17,11.33,11.46,10.91,11.00,126800,10.831353
2016-05-16,11.30,11.50,11.26,11.40,45100,11.22522
2016-05-13,11.28,11.31,11.25,11.25,66000,11.077521
2016-05-12,11.27,11.46,11.24,11.31,101600,11.136601
2016-05-11,11.28,11.31,11.23,11.25,55500,11.077521
2016-05-10,11.27,11.47,11.25,11.33,32800,11.156294
2016-05-09,11.29,11.35,11.25,11.26,53700,11.087367
2016-05-06,11.25,11.39,11.25,11.36,79500,11.185834
2016-05-05,11.25,11.52,11.24,11.25,42300,11.077521
2016-05-04,11.24,11.31,11.22,11.23,58200,11.057827
2016-05-03,11.58,11.63,11.26,11.30,42100,11.126754
2016-05-02,11.61,11.97,11.51,11.71,104800,11.530468
2016-04-29,11.36,11.62,11.30,11.56,68700,11.382768
2016-04-28,11.61,11.63,11.27,11.39,92200,11.215374
2016-04-27,11.53,11.72,11.48,11.69,38300,11.510774
2016-04-26,11.25,11.57,11.21,11.54,85500,11.363074
2016-04-25,11.48,11.59,11.12,11.18,75800,11.008594
2016-04-22,11.28,11.70,11.28,11.55,87200,11.372921
2016-04-21,11.22,11.45,11.20,11.31,75200,11.136601
2016-04-20,11.37,11.46,11.21,11.25,58400,11.077521
2016-04-19,10.90,11.39,10.90,11.38,48800,11.205528
2016-04-18,11.12,11.14,10.79,10.86,78400,10.693499
2016-04-15,11.20,11.33,11.10,11.10,45300,10.929821
2016-04-14,11.30,11.35,11.14,11.27,58500,11.097214
2016-04-13,11.15,11.50,11.04,11.40,92800,11.22522
2016-04-12,11.28,11.45,11.03,11.15,71300,10.979053
2016-04-11,11.53,11.74,11.28,11.28,53400,11.10706
2016-04-08,11.33,11.51,11.32,11.49,51700,11.313841
2016-04-07,11.27,11.36,11.16,11.22,258400,11.047981
2016-04-06,11.44,11.48,11.04,11.45,54700,11.274454
2016-04-05,11.50,11.69,11.27,11.38,73800,11.205528
2016-04-04,12.00,12.00,11.63,11.64,55600,11.461542
2016-04-01,11.77,12.12,11.77,12.02,38700,11.835716
2016-03-31,12.07,12.24,11.87,11.88,69700,11.697862
2016-03-30,12.20,12.60,11.97,12.11,98000,11.924335
2016-03-29,11.52,12.20,11.48,12.17,96500,11.983416
2016-03-28,11.56,11.64,11.37,11.59,53400,11.412308
2016-03-24,11.61,11.61,11.31,11.50,57100,11.323688
2016-03-23,12.14,12.16,11.61,11.64,51500,11.461542
2016-03-22,12.11,12.25,11.95,12.18,62500,11.993263
2016-03-21,11.95,12.17,11.95,12.13,80500,11.944029
2016-03-18,11.74,12.04,11.73,12.01,212000,11.825869
2016-03-17,11.35,11.67,11.31,11.62,79500,11.441848
2016-03-16,11.29,11.46,11.20,11.41,59000,11.235067
2016-03-15,11.60,11.60,11.24,11.33,71400,11.156294
2016-03-14,11.48,11.74,11.30,11.61,77000,11.432001
2016-03-11,11.37,11.51,11.26,11.48,94500,11.303994
2016-03-10,11.77,11.78,11.18,11.24,73800,11.067674
2016-03-09,11.55,11.83,11.41,11.69,40700,11.510774
2016-03-08,11.55,11.78,11.48,11.53,61400,11.353227
2016-03-07,11.63,12.00,11.57,11.66,77300,11.481234
2016-03-04,12.00,12.21,11.65,11.74,56300,11.560008
2016-03-03,11.74,12.17,11.74,12.00,69600,11.816022
2016-03-02,11.73,11.89,11.55,11.77,104500,11.589549
2016-03-01,11.52,11.88,11.48,11.79,38700,11.609241
2016-02-29,11.60,12.51,11.38,11.41,97600,11.235067
2016-02-26,11.71,12.02,11.52,11.64,78600,11.461542
2016-02-25,11.91,11.91,11.59,11.76,61000,11.520622
2016-02-24,11.66,11.98,11.46,11.97,69700,11.726348
2016-02-23,11.95,12.07,11.35,11.75,106300,11.510825
2016-02-22,11.63,12.12,11.63,11.94,106900,11.696957
2016-02-19,11.71,11.95,11.61,11.63,110000,11.393268
2016-02-18,11.49,11.98,11.49,11.72,61900,11.481436
2016-02-17,12.06,12.35,11.32,11.42,94700,11.187543
2016-02-16,11.39,12.02,11.31,12.01,72500,11.765533
2016-02-12,11.65,11.90,11.07,11.32,100900,11.089578
2016-02-11,11.09,11.34,10.97,11.27,57600,11.040596
2016-02-10,11.61,11.83,11.25,11.25,69800,11.021003
2016-02-09,11.49,11.90,11.34,11.57,106800,11.334489
2016-02-08,11.23,11.66,11.18,11.60,45300,11.363879
2016-02-05,11.83,11.83,11.25,11.33,86500,11.099375
2016-02-04,11.71,11.98,11.70,11.87,43800,11.628383
2016-02-03,11.98,12.12,10.87,11.68,51500,11.442251
2016-02-02,12.08,12.28,11.71,11.79,56200,11.550011
2016-02-01,12.14,12.31,11.72,12.19,62200,11.941869
2016-01-29,11.79,12.14,11.79,12.11,143200,11.863497
2016-01-28,11.85,11.98,11.71,11.76,43000,11.520622
2016-01-27,11.75,11.82,11.45,11.69,65800,11.452046
2016-01-26,11.57,11.95,11.57,11.76,66600,11.520622
2016-01-25,11.66,11.77,11.18,11.45,53300,11.216932
2016-01-22,11.66,11.76,11.31,11.74,47700,11.501029
2016-01-21,11.62,11.67,11.34,11.48,79500,11.246321
2016-01-20,11.15,11.61,11.00,11.55,87600,11.314897
2016-01-19,11.49,11.49,11.01,11.25,98800,11.021003
2016-01-15,11.15,11.38,11.00,11.37,140800,11.13856
2016-01-14,11.18,11.58,11.14,11.42,83700,11.187543
2016-01-13,11.67,11.69,10.99,11.08,88600,10.854463
2016-01-12,11.60,11.66,11.38,11.64,123500,11.403065
2016-01-11,11.26,11.53,11.22,11.52,81300,11.285508
2016-01-08,11.34,11.39,10.96,11.19,146300,10.962224
2016-01-07,11.35,11.41,11.25,11.30,110700,11.069985
2016-01-06,11.38,11.54,11.34,11.51,102600,11.275711
2016-01-05,11.48,11.65,11.44,11.51,108800,11.275711
2016-01-04,11.93,11.93,11.24,11.43,147400,11.197339
2015-12-31,12.69,12.69,12.04,12.07,65600,11.824311
