Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,16.43,16.65,16.280001,16.41,61800,16.41
2016-11-30,16.49,16.60,16.309999,16.33,29500,16.33
2016-11-29,16.469999,16.50,16.280001,16.43,31300,16.43
2016-11-28,16.50,16.50,16.33,16.41,43100,16.41
2016-11-25,16.60,16.65,16.459999,16.540001,28400,16.540001
2016-11-23,16.610001,16.73,16.52,16.67,50400,16.67
2016-11-22,16.58,16.700001,16.50,16.67,46500,16.67
2016-11-21,16.50,16.559999,16.360001,16.549999,38600,16.549999
2016-11-18,16.33,16.57,16.27,16.540001,58500,16.540001
2016-11-17,16.459999,16.50,16.15,16.389999,30800,16.389999
2016-11-16,16.299999,16.41,16.120001,16.40,31100,16.40
2016-11-15,16.26,16.469999,15.64,16.33,41300,16.27
2016-11-14,16.309999,16.549999,16.25,16.290001,83700,16.230148
2016-11-11,16.02,16.299999,16.00,16.25,154400,16.190294
2016-11-10,15.79,16.139999,15.56,16.01,115200,15.951176
2016-11-09,15.49,15.81,15.42,15.80,84000,15.741948
2016-11-08,15.62,15.64,15.42,15.45,30900,15.393233
2016-11-07,15.51,15.65,15.37,15.60,81900,15.542683
2016-11-04,15.56,15.60,15.38,15.38,49400,15.323491
2016-11-03,15.48,15.58,15.15,15.49,108300,15.433086
2016-11-02,15.40,15.42,15.19,15.21,35600,15.154115
2016-11-01,15.31,15.48,15.31,15.36,66400,15.303564
2016-10-31,15.16,15.30,15.15,15.29,69500,15.233821
2016-10-28,15.30,15.30,15.00,15.06,19200,15.004667
2016-10-27,15.00,15.10,14.99,15.07,33700,15.014629
2016-10-26,15.01,15.13,14.91,14.92,24000,14.865181
2016-10-25,15.17,15.17,15.01,15.05,18400,14.994703
2016-10-24,15.17,15.27,15.12,15.16,24200,15.104299
2016-10-21,14.97,15.12,14.97,15.10,12600,15.04452
2016-10-20,15.10,15.15,14.97,15.05,26000,14.994703
2016-10-19,15.03,15.12,15.03,15.08,24400,15.024593
