Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,22.57,23.43,22.540001,23.389999,258000,23.389999
2016-11-30,22.67,22.74,22.379999,22.42,214100,22.42
2016-11-29,22.27,22.629999,22.200001,22.459999,425100,22.459999
2016-11-28,22.49,22.49,22.049999,22.15,283900,22.15
2016-11-25,22.34,22.48,22.280001,22.33,77300,22.33
2016-11-23,22.389999,22.50,22.129999,22.32,228500,22.32
2016-11-22,21.870001,22.309999,21.629999,22.309999,191300,22.309999
2016-11-21,21.90,21.90,21.559999,21.709999,154100,21.709999
2016-11-18,21.59,21.870001,21.280001,21.780001,186500,21.780001
2016-11-17,21.389999,21.860001,21.33,21.540001,262200,21.540001
2016-11-16,21.25,21.530001,20.950001,21.43,273700,21.43
2016-11-15,21.209999,21.35,20.059999,21.26,278500,21.26
2016-11-14,20.98,21.93,20.290001,21.299999,571800,21.299999
2016-11-11,19.700001,21.030001,19.66,20.90,607600,20.90
2016-11-10,19.43,20.18,19.43,19.77,591000,19.77
2016-11-09,18.75,19.299999,18.01,19.16,555400,19.16
2016-11-08,18.549999,18.75,18.549999,18.59,258300,18.59
2016-11-07,18.52,18.700001,18.360001,18.67,175300,18.67
2016-11-04,18.139999,18.41,18.030001,18.219999,131000,18.219999
2016-11-03,18.32,18.42,18.110001,18.190001,121900,18.190001
2016-11-02,18.51,18.51,18.209999,18.24,179800,18.24
2016-11-01,18.68,18.91,18.42,18.51,163400,18.51
2016-10-31,18.40,18.76,18.200001,18.68,275400,18.68
2016-10-28,18.610001,18.639999,18.299999,18.370001,105200,18.370001
2016-10-27,18.59,18.74,18.41,18.540001,200000,18.540001
2016-10-26,18.66,18.82,18.52,18.530001,108100,18.530001
2016-10-25,18.940001,18.940001,18.65,18.76,155600,18.76
2016-10-24,18.85,18.959999,18.719999,18.85,229300,18.85
2016-10-21,18.709999,18.790001,18.60,18.639999,197000,18.639999
2016-10-20,18.75,19.08,18.68,18.790001,159400,18.790001
2016-10-19,18.35,18.74,18.35,18.68,311400,18.68
2016-10-18,18.18,18.34,17.82,18.26,316700,18.26
2016-10-17,18.07,18.08,17.719999,17.77,80100,17.77
2016-10-14,18.07,18.299999,17.92,18.00,180700,18.00
2016-10-13,18.040001,18.040001,17.73,17.93,326300,17.93
2016-10-12,18.110001,18.24,18.02,18.120001,79100,18.120001
2016-10-11,18.309999,18.40,17.950001,18.059999,78300,18.059999
2016-10-10,18.09,18.280001,18.09,18.26,243900,18.26
2016-10-07,18.08,18.120001,17.82,18.049999,141500,18.049999
2016-10-06,18.049999,18.09,17.860001,18.059999,156200,18.059999
2016-10-05,17.709999,18.10,17.469999,17.99,317400,17.99
2016-10-04,17.57,17.780001,17.559999,17.74,120900,17.74
2016-10-03,17.709999,17.75,17.09,17.58,135300,17.58
2016-09-30,17.66,17.99,17.57,17.73,222500,17.73
2016-09-29,17.83,18.08,17.530001,17.549999,275100,17.549999
2016-09-28,17.690001,18.040001,17.690001,17.889999,257700,17.889999
2016-09-27,17.450001,17.690001,17.23,17.58,328600,17.58
2016-09-26,17.74,17.74,17.450001,17.469999,77500,17.469999
2016-09-23,17.90,18.00,17.790001,17.85,78100,17.85
2016-09-22,18.07,18.07,17.120001,17.950001,113200,17.950001
2016-09-21,17.77,18.110001,17.75,17.98,260300,17.98
2016-09-20,17.549999,17.790001,17.549999,17.77,100500,17.77
2016-09-19,17.48,17.629999,17.41,17.549999,102100,17.549999
2016-09-16,17.629999,17.629999,17.299999,17.459999,241100,17.459999
2016-09-15,17.43,17.59,17.27,17.58,71100,17.58
2016-09-14,17.83,17.860001,17.440001,17.48,113600,17.48
2016-09-13,17.76,17.870001,17.09,17.780001,246500,17.780001
2016-09-12,18.030001,18.219999,17.67,18.00,139800,17.96
2016-09-09,18.09,18.26,18.02,18.02,135800,17.979956
2016-09-08,18.15,18.27,18.10,18.209999,154300,18.169532
2016-09-07,17.940001,18.24,17.940001,18.23,122000,18.189488
2016-09-06,18.08,18.110001,17.889999,18.01,102200,17.969978
2016-09-02,18.040001,18.219999,18.01,18.139999,89800,18.099688
2016-09-01,17.940001,18.08,17.74,18.059999,107700,18.019866
2016-08-31,17.969999,18.10,17.809999,17.98,176200,17.940044
2016-08-30,17.620001,18.040001,17.620001,18.040001,119700,17.999912
2016-08-29,17.65,17.870001,17.60,17.65,99000,17.610777
2016-08-26,17.540001,17.780001,17.540001,17.700001,65000,17.660667
2016-08-25,17.469999,17.68,17.370001,17.559999,136300,17.520977
2016-08-24,17.58,17.639999,17.49,17.559999,81000,17.520977
2016-08-23,17.50,17.719999,17.50,17.530001,88500,17.491045
2016-08-22,17.48,17.639999,17.440001,17.52,167800,17.481067
2016-08-19,17.790001,17.790001,17.48,17.50,227100,17.461111
2016-08-18,17.52,17.870001,17.00,17.860001,177400,17.820311
2016-08-17,17.59,17.65,17.42,17.540001,99400,17.501023
2016-08-16,17.57,17.68,17.43,17.59,333300,17.550911
2016-08-15,16.959999,17.66,16.959999,17.66,334300,17.620755
2016-08-12,16.790001,16.959999,16.68,16.959999,116700,16.92231
2016-08-11,16.82,16.93,16.75,16.91,105100,16.872422
2016-08-10,16.799999,16.93,16.58,16.809999,195900,16.772644
2016-08-09,16.65,16.83,16.65,16.790001,83100,16.75269
2016-08-08,16.889999,16.940001,16.639999,16.67,65800,16.632955
2016-08-05,16.51,16.889999,16.32,16.879999,167800,16.842488
2016-08-04,16.41,16.52,16.379999,16.40,59600,16.363555
2016-08-03,16.40,16.549999,16.379999,16.49,64300,16.453355
2016-08-02,16.450001,16.59,16.360001,16.450001,183400,16.413445
