Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,54.360001,55.25,53.830002,54.580002,37500,54.580002
2016-11-30,56.009998,56.220001,54.130001,54.52,45100,54.52
2016-11-29,55.639999,56.630001,55.639999,56.34,23700,56.34
2016-11-28,55.50,56.549999,55.32,56.139999,29600,55.857001
2016-11-25,54.16,55.849998,54.16,55.700001,15800,55.41922
2016-11-23,56.25,56.869999,53.279999,54.009998,56100,53.737737
2016-11-22,55.169998,57.41,55.09,56.830002,70700,56.543525
2016-11-21,54.799999,54.860001,53.669998,54.860001,29700,54.583454
2016-11-18,54.439999,54.599998,54.009998,54.48,49500,54.205369
2016-11-17,53.299999,54.91,53.240002,54.27,41700,53.996428
2016-11-16,52.330002,53.759998,51.360001,53.610001,72900,53.339756
2016-11-15,52.650002,53.060001,52.240002,52.419998,33700,52.155752
2016-11-14,53.18,53.330002,51.68,52.540001,56700,52.27515
2016-11-11,50.34,54.32,50.00,53.16,87200,52.892023
2016-11-10,51.880001,51.880001,49.23,50.34,52300,50.086239
2016-11-09,50.73,51.970001,49.57,51.799999,32000,51.538878
2016-11-08,50.82,52.50,50.82,51.59,53900,51.329938
2016-11-07,50.419998,50.84,49.810001,50.75,26200,50.494172
2016-11-04,50.599998,50.790001,49.880001,49.880001,30300,49.628559
2016-11-03,50.77,51.209999,49.82,50.110001,44100,49.857399
2016-11-02,51.18,51.810001,50.41,50.970001,35700,50.713064
2016-11-01,52.220001,52.490002,51.330002,51.330002,26900,51.07125
2016-10-31,51.50,52.389999,51.139999,52.07,27000,51.807518
2016-10-28,51.00,51.610001,50.970001,51.290001,32800,51.031451
2016-10-27,50.91,51.200001,50.59,51.09,29300,50.832458
2016-10-26,51.470001,51.549999,50.959999,51.049999,21900,50.792659
2016-10-25,51.099998,52.240002,51.099998,51.639999,31800,51.379685
2016-10-24,50.869999,51.439999,50.869999,51.360001,19000,51.101098
2016-10-21,50.830002,51.099998,50.369999,50.610001,38500,50.354878
2016-10-20,51.32,51.869999,50.439999,51.18,29200,50.922005
2016-10-19,51.290001,51.790001,50.900002,51.23,19600,50.971752
2016-10-18,51.470001,52.00,50.759998,51.360001,23100,51.101098
2016-10-17,50.810001,51.50,50.799999,51.419998,17000,51.160793
2016-10-14,50.720001,51.240002,50.560001,50.759998,34200,50.50412
2016-10-13,50.389999,51.77,49.619999,50.889999,43000,50.633466
