Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,10.95,11.10,10.50,10.85,84300,10.85
2016-11-30,11.30,11.35,10.80,10.95,61500,10.95
2016-11-29,11.45,11.65,11.15,11.20,63500,11.20
2016-11-28,11.40,11.75,11.20,11.65,102800,11.65
2016-11-25,11.00,11.40,11.00,11.40,29100,11.40
2016-11-23,11.35,11.50,11.05,11.10,56300,11.10
2016-11-22,11.25,11.70,11.05,11.50,145000,11.50
2016-11-21,11.00,11.35,11.00,11.30,73400,11.30
2016-11-18,11.15,11.40,10.95,11.00,68900,11.00
2016-11-17,11.25,11.40,11.10,11.10,35200,11.10
2016-11-16,10.85,11.40,10.85,11.40,78400,11.40
2016-11-15,11.10,11.30,10.75,10.90,63400,10.90
2016-11-14,11.40,11.40,10.75,10.85,67200,10.85
2016-11-11,10.85,11.45,10.69,11.40,153400,11.40
2016-11-10,11.65,11.70,10.46,10.60,312800,10.60
2016-11-09,11.30,12.15,11.24,12.15,80300,12.15
2016-11-08,11.50,11.60,11.50,11.55,37800,11.55
2016-11-07,11.90,11.90,11.35,11.45,66200,11.45
2016-11-04,11.05,11.70,11.05,11.60,92900,11.60
2016-11-03,11.00,11.15,10.90,11.10,28000,11.10
2016-11-02,11.05,11.20,10.95,11.00,46100,11.00
2016-11-01,11.15,11.95,11.06,11.15,84500,11.15
2016-10-31,10.95,11.30,10.93,11.20,65600,11.20
2016-10-28,11.00,11.05,10.73,10.90,67300,10.90
2016-10-27,10.95,11.05,10.85,10.95,48200,10.95
2016-10-26,10.75,10.95,10.75,10.85,43000,10.85
2016-10-25,10.90,10.90,10.71,10.75,41700,10.75
2016-10-24,10.70,11.10,10.70,10.90,67600,10.90
2016-10-21,10.65,10.93,10.65,10.73,70200,10.73
2016-10-20,10.67,10.83,10.62,10.75,59900,10.75
2016-10-19,10.93,10.93,10.70,10.75,105300,10.75
2016-10-18,10.98,11.05,10.83,10.89,53400,10.89
