Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,16.15,16.299999,16.01,16.290001,81600,16.290001
2016-11-30,16.299999,16.299999,14.49,16.049999,25000,16.049999
2016-11-29,16.43,16.459999,16.18,16.200001,19300,16.200001
2016-11-28,16.280001,16.50,16.209999,16.360001,33900,16.360001
2016-11-25,16.09,16.450001,16.040001,16.42,54000,16.42
2016-11-23,16.00,16.18,15.96,16.059999,22200,16.059999
2016-11-22,16.18,16.200001,15.89,16.139999,18700,16.139999
2016-11-21,16.139999,16.139999,15.96,16.00,28300,16.00
2016-11-18,15.90,16.17,15.65,16.139999,46100,16.139999
2016-11-17,16.09,16.200001,15.90,16.08,24500,16.08
2016-11-16,16.049999,16.190001,16.049999,16.129999,28600,16.129999
2016-11-15,16.16,16.24,16.00,16.08,37400,16.08
2016-11-14,16.25,16.25,15.95,16.18,45200,16.18
2016-11-11,16.290001,16.299999,16.18,16.290001,40800,16.290001
2016-11-10,15.79,16.299999,15.67,16.219999,28800,16.219999
2016-11-09,15.05,15.64,15.05,15.64,19600,15.64
2016-11-08,15.21,15.31,15.07,15.18,21600,15.18
2016-11-07,15.05,15.20,14.91,15.18,40200,15.18
2016-11-04,14.73,14.86,14.70,14.75,40200,14.75
2016-11-03,14.69,14.84,14.67,14.69,8100,14.69
2016-11-02,15.02,15.06,14.74,14.76,29200,14.76
2016-11-01,15.02,15.12,14.91,14.94,11900,14.94
2016-10-31,15.04,15.12,15.00,15.05,22600,15.05
2016-10-28,15.63,15.63,14.96,15.11,18700,15.11
2016-10-27,15.71,15.99,15.40,15.64,13400,15.502001
2016-10-26,16.01,16.120001,15.66,15.70,7800,15.561471
2016-10-25,16.09,16.15,15.92,16.00,7600,15.858824
2016-10-24,15.75,16.26,15.75,16.059999,48700,15.918294
2016-10-21,15.79,15.79,15.56,15.59,14800,15.452442
2016-10-20,15.95,16.00,15.80,15.93,13200,15.789442
2016-10-19,15.69,16.030001,15.69,15.94,16200,15.799353
2016-10-18,15.96,16.02,15.76,15.98,9500,15.839
2016-10-17,15.90,15.97,15.84,15.88,13100,15.739883
2016-10-14,15.77,16.07,15.75,15.90,8400,15.759706
2016-10-13,15.81,16.040001,15.66,15.76,29100,15.620942
