Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,23.992001,23.992001,23.992001,23.992001,200,23.992001
2016-11-30,24.197001,24.299999,24.197001,24.299999,55500,24.225999
2016-11-29,24.290001,24.316999,24.24,24.24,3200,24.166183
2016-11-28,24.287001,24.309999,24.219999,24.309999,3700,24.235969
2016-11-25,24.291,24.291,24.291,24.291,000,24.217028
2016-11-23,24.308001,24.308001,24.291,24.291,3700,24.217028
2016-11-22,24.129999,24.252001,24.129999,24.215,2400,24.141259
2016-11-21,24.153999,24.26,24.09,24.10,1900,24.02661
2016-11-18,24.337999,24.337999,23.940001,23.940001,83400,23.867097
2016-11-17,24.18,24.32,24.040001,24.129999,46000,24.056517
2016-11-16,24.079,24.200001,24.062,24.200001,6300,24.126305
2016-11-15,23.950001,24.228001,23.945999,24.228001,19500,24.15422
2016-11-14,23.74,23.860001,23.610001,23.709999,27900,23.637796
2016-11-11,23.83,23.964001,23.639999,23.809999,6400,23.737492
2016-11-10,24.48,24.48,23.84,23.84,3300,23.767401
2016-11-09,24.725,24.725,24.540001,24.540001,700,24.46527
2016-11-08,24.90,24.969,24.879999,24.879999,4100,24.804233
2016-11-07,24.90,24.93,24.879999,24.879999,153700,24.804233
2016-11-04,24.791,24.799999,24.77,24.780001,38800,24.704539
2016-11-03,24.860001,24.90,24.73,24.73,4800,24.65469
2016-11-02,24.891001,24.950001,24.85,24.929001,12300,24.853086
2016-11-01,25.049999,25.049999,24.90,24.93,15300,24.854082
2016-10-31,25.049999,25.049999,25.049999,25.049999,4100,24.95577
2016-10-28,25.136,25.136,25.122,25.122,400,25.0275
2016-10-27,25.16,25.16,25.16,25.16,400,25.065357
2016-10-26,25.27,25.284,25.25,25.278999,1000,25.183909
2016-10-25,25.309999,25.389,25.309999,25.348,8600,25.252649
2016-10-24,25.33,25.379999,25.292999,25.325001,1500,25.229737
2016-10-21,25.08,25.299999,25.08,25.299999,2200,25.20483
2016-10-20,25.33,25.33,25.299999,25.299999,1100,25.20483
2016-10-19,25.261999,25.271999,25.261999,25.271999,1100,25.176935
2016-10-18,25.219999,25.226,25.17,25.226,4900,25.131108
2016-10-17,25.15,25.15,25.10,25.122,1900,25.0275
2016-10-14,25.219,25.219,25.139999,25.139999,1200,25.045432
2016-10-13,25.129999,25.209999,25.129999,25.139999,1000,25.045432
2016-10-12,25.09,25.187,25.07,25.187,2000,25.092256
2016-10-11,25.25,25.25,25.177999,25.177999,700,25.083289
2016-10-10,25.379999,25.379999,25.379999,25.379999,300,25.284529
2016-10-07,25.360001,25.379,25.360001,25.379,1800,25.283533
2016-10-06,25.389999,25.419001,25.372,25.41,1200,25.314416
2016-10-05,25.450001,25.450001,25.351999,25.447001,1700,25.351278
2016-10-04,25.587,25.599001,25.461,25.461,1900,25.365225
2016-10-03,25.629999,25.65,25.57,25.57,3700,25.473814
2016-09-30,25.77,25.77,25.73,25.73,800,25.510675
2016-09-29,25.82,25.82,25.719999,25.719999,1000,25.50076
2016-09-28,25.83,25.83,25.775,25.801001,2700,25.581071
2016-09-27,25.718,25.799,25.714001,25.799,2700,25.579088
2016-09-26,25.700001,25.700001,25.665001,25.665001,800,25.446231
2016-09-23,25.726,25.726,25.705999,25.719,2100,25.49977
2016-09-22,25.761999,25.77,25.75,25.76,21400,25.54042
2016-09-21,25.49,25.58,25.450001,25.52,28800,25.302466
2016-09-20,25.51,25.51,25.43,25.440001,7200,25.223148
2016-09-19,25.395,25.440001,25.33,25.41,5200,25.193403
2016-09-16,25.440001,25.440001,25.209999,25.360001,36800,25.14383
2016-09-15,25.290001,25.34,25.290001,25.301001,1400,25.085333
2016-09-14,25.16,25.16,25.16,25.16,000,24.945534
2016-09-13,25.190001,25.25,25.16,25.16,9200,24.945534
2016-09-12,25.360001,25.49,25.32,25.49,9800,25.272721
2016-09-09,25.51,25.51,25.41,25.41,1000,25.193403
2016-09-08,25.820999,25.858999,25.75,25.77,10600,25.550335
2016-09-07,25.896,25.896,25.799999,25.848,7200,25.62767
2016-09-06,25.85,25.889999,25.780001,25.860001,6300,25.639568
2016-09-02,25.75,25.75,25.60,25.719999,28000,25.50076
2016-09-01,25.75,25.818001,25.559999,25.709999,77600,25.490846
2016-08-31,25.809,25.809,25.73,25.780001,19400,25.56025
2016-08-30,25.889999,25.889999,25.690001,25.690001,9400,25.471017
2016-08-29,25.809999,25.889999,25.75,25.889999,4000,25.669311
2016-08-26,25.959999,26.040001,25.719999,25.77,12800,25.550335
2016-08-25,25.84,25.940001,25.84,25.91,30900,25.689141
2016-08-24,25.969999,25.969999,25.898001,25.958,10100,25.736733
2016-08-23,26.011,26.011,25.820999,25.940001,13000,25.718886
2016-08-22,25.827999,26.007999,25.827999,25.895,9800,25.67427
2016-08-19,26.16,26.16,25.780001,25.98,49000,25.758544
2016-08-18,26.08,26.08,25.91,26.059999,414100,25.837862
2016-08-17,25.950001,25.959999,25.888,25.940001,3800,25.718886
2016-08-16,26.10,26.10,25.639999,25.950001,223000,25.728801
2016-08-15,25.934999,25.969999,25.90,25.909,48800,25.688151
2016-08-12,26.059999,26.059999,25.877001,25.959999,1400,25.738714
2016-08-11,25.969999,25.969999,25.83,25.936001,4900,25.714921
2016-08-10,26.049999,26.049999,25.940001,26.049999,4600,25.827947
2016-08-09,25.916,25.950001,25.844999,25.870001,45000,25.649483
2016-08-08,25.790001,25.790001,25.790001,25.790001,000,25.570165
2016-08-05,25.690001,25.790001,25.690001,25.790001,300,25.570165
2016-08-04,25.84,25.878,25.68,25.82,5100,25.599908
2016-08-03,25.709,25.719,25.709,25.719,600,25.49977
2016-08-02,26.82,26.82,25.695,25.780001,8800,25.56025
2016-08-01,26.030001,26.030001,25.75,25.83,10000,25.609823
2016-07-29,25.959999,26.049999,25.959999,26.049999,1300,25.726817
2016-07-28,26.00,26.00,25.778999,25.789,4100,25.469055
2016-07-27,25.76,25.780001,25.708,25.76,4400,25.440416
2016-07-26,25.73,25.73,25.622,25.686001,11500,25.367334
2016-07-25,25.530001,25.67,25.530001,25.629999,4300,25.312027
2016-07-22,26.91,26.91,25.58,25.60,7800,25.282401
2016-07-21,25.646999,25.67,25.625,25.667999,18900,25.349556
2016-07-20,25.68,25.68,25.618,25.66,99700,25.341656
2016-07-19,25.690001,25.719999,25.66,25.709999,68700,25.391035
2016-07-18,25.799999,25.83,25.77,25.799999,13400,25.479919
2016-07-15,25.790001,25.799999,25.75,25.75,8700,25.43054
2016-07-14,25.84,25.84,25.834,25.834,3800,25.513497
2016-07-13,25.83,25.83,25.768,25.82,3100,25.499671
2016-07-12,25.82,25.82,25.73,25.799999,3800,25.479919
2016-07-11,25.84,25.84,25.794001,25.794001,24800,25.473994
2016-07-08,25.84,25.85,25.837999,25.837999,8700,25.517447
2016-07-07,25.76,25.77,25.735001,25.735001,2900,25.415726
2016-07-06,25.77,25.77,25.700001,25.75,6800,25.43054
2016-07-05,25.84,25.85,25.68,25.700001,9500,25.381161
2016-07-01,25.84,25.85,25.799999,25.82,11900,25.499671
2016-06-30,25.729,25.75,25.700001,25.75,2000,25.43054
2016-06-29,25.632999,25.700001,25.632999,25.700001,6400,25.381161
2016-06-28,25.52,25.58,25.52,25.559999,4000,25.242896
2016-06-27,25.51,25.51,25.360001,25.40,7800,25.084881
2016-06-24,24.40,25.504999,24.40,25.365,6500,25.050316
2016-06-23,25.629999,25.629999,25.60,25.60,5700,25.282401
2016-06-22,25.60,25.60,25.540001,25.559999,20200,25.242896
2016-06-21,25.459999,25.52,25.440001,25.52,15600,25.203393
2016-06-20,25.52,25.530001,25.50,25.517,9100,25.20043
2016-06-17,25.40,25.450001,25.364,25.450001,432600,25.134262
2016-06-16,25.339001,25.34,25.332001,25.34,1000,25.025626
2016-06-15,25.32,25.370001,25.313999,25.370001,9600,25.055255
2016-06-14,25.879999,25.879999,25.243,25.27,1900,24.956495
