Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,25.40,25.40,25.40,25.40,000,25.40
2016-11-30,25.40,25.40,25.40,25.40,4100,25.40
2016-11-29,25.58,25.60,25.58,25.60,6300,25.60
2016-11-28,25.504,25.577999,25.504,25.577999,800,25.577999
2016-11-25,25.341999,25.341999,25.341999,25.341999,000,25.341999
2016-11-23,25.341999,25.341999,25.341999,25.341999,200,25.341999
2016-11-22,25.378,25.440001,25.378,25.440001,7400,25.440001
2016-11-21,25.27,25.273001,25.25,25.273001,8300,25.273001
2016-11-18,25.169001,25.194,25.169001,25.187,3000,25.187
2016-11-17,25.16,25.219999,25.15,25.219999,3500,25.219999
2016-11-16,25.038,25.038,25.038,25.038,000,25.038
2016-11-15,25.038,25.038,25.038,25.038,300,25.038
2016-11-14,24.801001,24.801001,24.801001,24.801001,200,24.801001
2016-11-11,24.66,24.76,24.66,24.759001,7400,24.759001
2016-11-10,2.45,2.471,2.45,2.471,10800,2.471
2016-11-09,24.299999,24.757999,24.299999,24.757999,16500,24.757999
2016-11-08,24.57,24.59,24.57,24.58,8600,24.58
2016-11-07,24.40,24.49,24.40,24.469999,25300,24.469999
2016-11-04,24.09,24.139999,24.09,24.139999,5500,24.139999
2016-11-03,24.129999,24.129999,24.129999,24.129999,300,24.129999
2016-11-02,24.280001,24.280001,24.17,24.17,5400,24.17
2016-11-01,24.332001,24.332001,24.332001,24.332001,200,24.332001
2016-10-31,24.528999,24.540001,24.528999,24.540001,5500,24.540001
2016-10-28,24.559999,24.57,24.559999,24.57,6800,24.57
2016-10-27,24.57,24.57,24.57,24.57,400,24.57
2016-10-26,24.77,24.77,24.67,24.67,9500,24.67
2016-10-25,24.940001,24.940001,24.940001,24.940001,000,24.940001
2016-10-24,24.944,24.944,24.93,24.940001,900,24.940001
2016-10-21,24.860001,24.860001,24.85,24.85,4100,24.85
2016-10-20,24.959999,24.98,24.940001,24.940001,6500,24.940001
2016-10-19,25.10,25.10,25.10,25.10,300,25.10
2016-10-18,25.07,25.07,25.00,25.00,1300,25.00
2016-10-17,24.83,24.84,24.83,24.84,2600,24.84
2016-10-14,24.940001,24.940001,24.940001,24.940001,000,24.940001
2016-10-13,24.77,24.940001,24.77,24.940001,6400,24.940001
2016-10-12,24.98,25.040001,24.98,25.040001,5600,25.040001
2016-10-11,25.34,25.34,25.34,25.34,1000,25.34
2016-10-10,25.379999,25.379999,25.379999,25.379999,5100,25.379999
2016-10-07,25.24,25.253,25.120001,25.125,4800,25.125
2016-10-06,25.290001,25.371,25.290001,25.371,5900,25.371
2016-10-05,25.41,25.469999,25.41,25.43,5400,25.43
2016-10-04,25.482,25.50,25.476,25.50,1900,25.50
2016-10-03,25.465,25.530001,25.465,25.507999,1200,25.507999
2016-09-30,25.538,25.58,25.52,25.52,500,25.52
2016-09-29,25.50,25.50,25.50,25.50,5000,25.50
2016-09-28,25.559999,25.559999,25.559999,25.559999,5600,25.559999
2016-09-27,25.559999,25.559999,25.559999,25.559999,4100,25.559999
2016-09-26,25.60,25.60,25.559999,25.587,1800,25.587
2016-09-23,25.774,25.774,25.774,25.774,000,25.774
2016-09-22,25.700001,25.790001,25.700001,25.774,7900,25.774
2016-09-21,25.450001,25.530001,25.389999,25.530001,14900,25.530001
2016-09-20,25.450001,25.450001,25.424999,25.424999,5100,25.424999
2016-09-19,25.41,25.41,25.365,25.365,2300,25.365
2016-09-16,25.215,25.33,25.215,25.32,12100,25.32
2016-09-15,25.200001,25.200001,25.200001,25.200001,5000,25.189001
2016-09-14,25.219999,25.219999,25.18,25.18,15000,25.16901
2016-09-13,25.280001,25.280001,25.139999,25.17,10600,25.159014
2016-09-12,25.25,25.32,25.25,25.32,16400,25.308948
2016-09-09,25.34,25.34,25.32,25.32,5400,25.308948
2016-09-08,25.780001,25.780001,25.780001,25.780001,5000,25.768748
2016-09-07,25.780001,25.82,25.780001,25.82,5400,25.80873
2016-09-06,25.719999,25.76,25.719999,25.76,5500,25.748756
2016-09-02,25.690001,25.700001,25.690001,25.700001,10300,25.688783
2016-09-01,25.549999,25.549999,25.549999,25.549999,10000,25.538847
2016-08-31,25.620001,25.620001,25.620001,25.620001,000,25.608818
2016-08-30,25.620001,25.620001,25.620001,25.620001,5000,25.608818
2016-08-29,25.625,25.667999,25.625,25.667999,1600,25.656796
2016-08-26,25.719999,25.719999,25.50,25.50,7300,25.48887
2016-08-25,25.57,25.65,25.57,25.610001,15200,25.598822
2016-08-24,25.57,25.59,25.57,25.57,5300,25.558839
2016-08-23,25.68,25.700001,25.66,25.66,5300,25.6488
2016-08-22,25.561001,25.639999,25.561001,25.629999,5800,25.618812
2016-08-19,25.59,25.59,25.59,25.59,1200,25.578831
2016-08-18,25.610001,25.620001,25.60,25.620001,3900,25.608818
2016-08-17,25.51,25.51,25.51,25.51,000,25.498866
2016-08-16,25.530001,25.530001,25.51,25.51,4300,25.498866
2016-08-15,25.629999,25.66,25.629999,25.66,5100,25.6488
2016-08-12,25.620001,25.620001,25.559999,25.60,6200,25.588826
2016-08-11,25.620001,25.620001,25.620001,25.620001,200,25.608818
2016-08-10,25.59,25.59,25.58,25.58,1500,25.568835
2016-08-09,25.629999,25.629999,25.59,25.629999,2900,25.618812
2016-08-08,25.610001,25.610001,25.539,25.539,5400,25.527852
2016-08-05,25.610001,25.620001,25.587,25.60,5900,25.588826
2016-08-04,25.540001,25.540001,25.473,25.48,11600,25.468878
2016-08-03,25.43,25.455999,25.43,25.437,1400,25.425897
2016-08-02,25.50,25.50,25.493,25.493,400,25.481873
