Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,31.809999,32.950001,31.23,32.52,12100,32.52
2016-11-30,33.00,33.00,31.32,31.549999,6700,31.549999
2016-11-29,32.799999,33.09,30.709999,32.639999,13300,32.639999
2016-11-28,32.779999,33.540001,31.49,32.50,14700,32.50
2016-11-25,33.150002,33.150002,32.220001,32.889999,3200,32.889999
2016-11-23,33.450001,33.450001,30.48,33.139999,18600,33.139999
2016-11-22,33.099998,33.419998,32.50,33.389999,14500,33.389999
2016-11-21,33.25,33.25,32.549999,33.18,43000,33.18
2016-11-18,32.169998,33.400002,30.68,33.240002,24100,33.240002
2016-11-17,31.389999,32.400002,30.48,32.169998,21100,32.169998
2016-11-16,31.559999,32.00,30.280001,31.290001,16000,31.290001
2016-11-15,31.75,32.00,30.42,31.60,14500,31.60
2016-11-14,33.00,33.00,30.690001,32.119999,30900,32.119999
2016-11-11,28.59,33.619999,28.450001,32.540001,54800,32.540001
2016-11-10,27.50,29.99,26.98,28.60,25600,28.60
2016-11-09,27.15,28.00,26.799999,27.690001,18300,27.690001
2016-11-08,26.77,27.09,26.309999,27.09,4900,27.09
2016-11-07,26.790001,27.040001,25.68,27.040001,6500,26.91
2016-11-04,26.370001,27.190001,26.15,26.26,16200,26.13375
2016-11-03,26.42,26.42,25.549999,26.40,4500,26.273076
2016-11-02,26.190001,26.360001,25.77,25.77,5200,25.646106
2016-11-01,26.030001,26.120001,25.93,25.93,5900,25.805336
2016-10-31,26.450001,26.450001,25.35,26.10,11800,25.974519
2016-10-28,26.48,26.790001,26.200001,26.50,3000,26.372596
2016-10-27,26.879999,26.879999,25.809999,26.17,6900,26.044182
2016-10-26,26.93,26.93,26.58,26.59,5100,26.462163
2016-10-25,28.379999,28.450001,27.02,27.17,15400,27.039375
2016-10-24,28.00,28.52,27.799999,28.52,7200,28.382885
2016-10-21,27.809999,28.200001,27.809999,28.200001,1000,28.064423
2016-10-20,28.059999,28.200001,27.40,28.200001,3300,28.064423
2016-10-19,27.91,28.23,27.309999,28.23,3000,28.094278
2016-10-18,28.10,28.10,27.50,28.00,4000,27.865384
2016-10-17,28.059999,28.059999,27.26,27.73,4000,27.596682
2016-10-14,28.110001,28.40,27.860001,28.02,2200,27.885288
2016-10-13,27.73,28.49,27.639999,28.040001,10300,27.905193
2016-10-12,27.40,28.08,27.40,27.76,3600,27.626538
2016-10-11,27.690001,27.690001,26.99,27.40,11900,27.268268
2016-10-10,27.59,28.00,27.33,27.68,4600,27.546923
2016-10-07,26.639999,27.99,26.639999,27.40,9700,27.268268
2016-10-06,26.26,27.93,25.59,26.860001,8000,26.730865
2016-10-05,26.75,26.90,25.74,26.25,4300,26.123798
2016-10-04,27.200001,28.440001,26.67,26.809999,6700,26.681105
2016-10-03,27.780001,28.379999,26.67,27.200001,10500,27.069231
2016-09-30,27.58,28.18,27.25,28.00,15100,27.865384
2016-09-29,27.030001,27.76,26.360001,27.00,8000,26.870192
2016-09-28,26.879999,27.219999,26.469999,27.129999,12600,26.999566
2016-09-27,26.00,26.98,26.00,26.67,6400,26.541778
2016-09-26,26.440001,26.639999,25.68,25.809999,5200,25.685912
2016-09-23,26.620001,26.85,26.08,26.639999,4900,26.511922
2016-09-22,26.879999,26.99,25.90,26.75,6600,26.621394
2016-09-21,26.09,26.780001,25.610001,26.49,12700,26.362644
2016-09-20,25.82,26.24,25.82,26.02,3000,25.894904
2016-09-19,24.790001,25.950001,24.790001,25.780001,19200,25.656058
2016-09-16,24.280001,25.09,23.530001,24.940001,98000,24.820096
2016-09-15,24.889999,25.35,23.780001,24.16,35400,24.043846
2016-09-14,25.049999,25.33,24.98,25.040001,5100,24.919616
2016-09-13,26.00,26.00,24.969999,25.120001,8600,24.999231
2016-09-12,25.440001,25.52,23.959999,25.52,25000,25.397308
2016-09-09,25.950001,26.459999,25.209999,25.219999,11700,25.098749
2016-09-08,26.60,26.60,25.940001,26.24,7700,26.113845
2016-09-07,26.540001,26.98,26.360001,26.43,9000,26.302933
2016-09-06,27.00,27.02,25.889999,26.450001,11400,26.322837
2016-09-02,25.65,27.10,25.65,27.09,24500,26.959759
2016-09-01,25.299999,25.93,25.299999,25.73,15300,25.606297
2016-08-31,27.17,27.290001,24.82,24.83,66000,24.710624
2016-08-30,28.459999,30.809999,26.60,27.309999,147100,27.178701
2016-08-29,25.42,27.68,25.280001,27.09,64200,26.959759
2016-08-26,24.450001,25.50,24.280001,25.40,21300,25.277884
2016-08-25,23.75,24.530001,23.58,24.450001,15900,24.332452
2016-08-24,23.59,23.870001,23.07,23.84,5900,23.725384
2016-08-23,23.42,24.00,23.42,23.870001,9800,23.755241
2016-08-22,23.00,23.620001,23.00,23.42,46000,23.307403
2016-08-19,22.889999,23.00,22.889999,22.950001,13200,22.839664
2016-08-18,22.99,23.00,22.98,22.99,2600,22.879471
2016-08-17,23.00,23.00,22.809999,22.959999,2700,22.849614
2016-08-16,23.40,23.40,22.780001,22.889999,7100,22.779951
2016-08-15,22.82,23.639999,22.77,23.42,1800,23.307403
2016-08-12,23.360001,23.360001,22.719999,23.17,3400,23.058605
2016-08-11,22.74,23.700001,22.60,23.190001,3600,23.07851
2016-08-10,24.00,24.00,22.34,22.549999,15600,22.441585
2016-08-09,23.75,23.959999,23.75,23.959999,2900,23.844806
2016-08-08,23.82,23.969999,23.60,23.969999,2200,23.725383
