Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,38.400002,39.00,37.400002,38.799999,122000,38.799999
2016-11-30,38.950001,39.200001,38.23,38.400002,72100,38.400002
2016-11-29,38.849998,39.099998,38.450001,38.599998,133100,38.599998
2016-11-28,39.25,39.25,38.50,38.75,170300,38.75
2016-11-25,39.200001,39.450001,39.00,39.200001,27700,39.200001
2016-11-23,39.00,39.299999,38.799999,39.200001,66200,39.200001
2016-11-22,37.900002,38.950001,37.549999,38.849998,136300,38.849998
2016-11-21,39.049999,39.099998,37.50,37.900002,133100,37.900002
2016-11-18,37.650002,39.150002,37.490002,39.049999,213600,39.049999
2016-11-17,37.349998,38.00,37.200001,37.50,112800,37.50
2016-11-16,36.75,37.799999,36.400002,37.349998,210000,37.349998
2016-11-15,36.900002,37.349998,36.75,37.150002,99700,37.150002
2016-11-14,37.799999,38.549999,36.849998,37.349998,115700,37.349998
2016-11-11,35.599998,37.450001,35.599998,37.200001,119100,37.200001
2016-11-10,35.049999,36.150002,34.349998,35.650002,148700,35.650002
2016-11-09,33.400002,35.00,33.400002,34.849998,108100,34.849998
2016-11-08,33.299999,33.400002,32.900002,33.25,60000,33.25
2016-11-07,32.599998,33.450001,32.450001,33.299999,78200,33.299999
2016-11-04,32.650002,32.950001,32.25,32.25,66100,32.25
2016-11-03,32.700001,32.900002,32.349998,32.650002,82500,32.650002
2016-11-02,32.950001,32.950001,32.25,32.75,77600,32.75
2016-11-01,33.099998,33.349998,32.900002,32.950001,70800,32.950001
2016-10-31,32.650002,33.200001,32.549999,33.099998,87300,33.099998
2016-10-28,33.650002,33.650002,32.48,32.650002,91100,32.650002
2016-10-27,33.349998,33.599998,33.25,33.549999,57400,33.549999
2016-10-26,32.299999,33.50,32.299999,33.200001,127500,33.200001
2016-10-25,32.450001,32.599998,31.65,32.25,141900,32.25
2016-10-24,32.700001,33.349998,32.650002,33.049999,153700,33.049999
2016-10-21,32.25,32.700001,32.049999,32.349998,135900,32.349998
2016-10-20,32.75,32.849998,32.299999,32.400002,121300,32.400002
2016-10-19,32.400002,33.099998,32.200001,32.599998,153200,32.599998
2016-10-18,32.650002,32.700001,32.200001,32.450001,93900,32.450001
2016-10-17,32.900002,32.900002,32.25,32.50,80900,32.50
2016-10-14,32.610001,32.919998,32.419998,32.799999,103300,32.799999
2016-10-13,32.779999,32.779999,32.080002,32.27,113400,32.27
2016-10-12,32.490002,33.369999,32.27,32.75,258300,32.75
2016-10-11,31.82,32.349998,31.60,32.330002,87100,32.330002
2016-10-10,31.65,31.90,31.59,31.620001,49000,31.620001
2016-10-07,32.009998,32.150002,31.35,31.559999,81800,31.559999
2016-10-06,31.73,32.099998,31.48,32.07,140400,32.07
2016-10-05,31.190001,31.959999,31.17,31.700001,155300,31.700001
2016-10-04,30.959999,31.440001,30.940001,30.99,65200,30.99
2016-10-03,31.07,31.379999,30.93,31.00,42900,31.00
2016-09-30,31.32,31.540001,31.15,31.25,145300,31.25
2016-09-29,31.809999,31.959999,31.139999,31.17,45200,31.17
2016-09-28,31.370001,31.950001,31.35,31.90,54200,31.90
2016-09-27,31.120001,31.549999,30.690001,31.26,77300,31.26
2016-09-26,31.35,31.389999,31.190001,31.200001,43000,31.200001
2016-09-23,31.83,31.83,31.49,31.65,54800,31.65
2016-09-22,31.50,31.82,31.35,31.82,67300,31.82
2016-09-21,31.32,31.530001,31.059999,31.35,37500,31.35
2016-09-20,30.790001,31.299999,30.790001,31.23,36200,31.23
2016-09-19,30.719999,30.98,30.59,30.809999,42000,30.809999
2016-09-16,30.860001,30.90,30.50,30.73,92900,30.73
2016-09-15,30.77,31.08,30.65,30.76,21100,30.76
2016-09-14,31.200001,31.299999,30.809999,30.85,32100,30.85
2016-09-13,31.10,31.370001,30.90,31.209999,74400,31.209999
2016-09-12,31.17,31.469999,30.940001,31.469999,59400,31.359999
2016-09-09,31.49,31.82,31.219999,31.24,55000,31.130804
2016-09-08,31.559999,31.780001,31.459999,31.75,50800,31.639021
2016-09-07,31.00,31.719999,30.889999,31.67,139900,31.559301
2016-09-06,31.35,31.35,30.860001,31.01,83500,30.901608
2016-09-02,31.040001,31.25,30.940001,31.23,49000,31.120838
2016-09-01,30.85,31.08,30.309999,31.059999,51200,30.951432
2016-08-31,30.84,31.07,30.58,30.799999,90000,30.692341
2016-08-30,30.51,30.91,30.16,30.75,95000,30.642517
2016-08-29,30.41,30.629999,30.309999,30.40,39800,30.29374
2016-08-26,30.50,30.610001,30.120001,30.469999,60000,30.363495
2016-08-25,29.99,30.51,29.98,30.50,79900,30.39339
2016-08-24,29.889999,30.02,29.879999,29.99,36300,29.885173
2016-08-23,29.860001,30.059999,29.860001,29.90,62200,29.795487
2016-08-22,29.73,29.93,29.65,29.93,36800,29.825383
2016-08-19,30.00,30.049999,29.799999,29.889999,48800,29.785522
2016-08-18,29.809999,30.09,29.809999,30.01,69800,29.905103
2016-08-17,29.809999,30.01,29.68,30.00,42800,29.895138
2016-08-16,29.780001,30.129999,29.26,29.83,29900,29.725732
2016-08-15,29.58,30.09,29.440001,30.00,84200,29.895138
2016-08-12,29.76,30.299999,29.290001,29.639999,55900,29.536396
2016-08-11,30.08,30.15,29.83,29.950001,143100,29.845314
2016-08-10,30.540001,30.540001,29.93,30.07,93300,29.964893
2016-08-09,30.00,30.530001,30.00,30.530001,100000,30.423286
2016-08-08,30.700001,30.719999,29.84,30.00,49500,29.895138
2016-08-05,29.780001,30.66,29.780001,30.620001,99600,30.512972
2016-08-04,29.629999,29.879999,29.530001,29.74,143800,29.636047
2016-08-03,28.75,29.50,28.75,29.48,95600,29.376955
2016-08-02,28.76,28.84,28.59,28.73,90400,28.629577
2016-08-01,28.83,28.93,28.559999,28.780001,76500,28.679403
2016-07-29,28.07,29.01,28.07,28.76,108300,28.659473
2016-07-28,27.59,28.389999,27.57,28.26,83300,28.16122
2016-07-27,27.57,27.879999,27.57,27.639999,44300,27.543387
2016-07-26,27.27,27.66,27.26,27.620001,54000,27.523458
2016-07-25,27.370001,27.58,27.219999,27.25,50500,27.15475
2016-07-22,26.879999,27.690001,26.84,27.549999,105000,27.453701
2016-07-21,27.309999,27.309999,26.90,26.940001,75800,26.845835
2016-07-20,27.41,27.41,27.120001,27.27,57700,27.174681
2016-07-19,27.67,27.75,27.35,27.41,104900,27.314191
2016-07-18,27.799999,27.879999,27.67,27.719999,60700,27.623107
2016-07-15,27.75,27.90,27.49,27.74,59800,27.643038
2016-07-14,27.77,28.10,27.76,27.85,67600,27.752654
2016-07-13,27.700001,27.700001,27.43,27.549999,148600,27.453701
2016-07-12,27.299999,27.83,27.290001,27.75,142900,27.653003
2016-07-11,27.00,27.52,26.370001,27.299999,119000,27.204575
2016-07-08,26.940001,27.18,26.91,26.950001,67800,26.8558
2016-07-07,26.85,26.98,26.459999,26.709999,66700,26.616637
2016-07-06,26.959999,27.02,26.77,26.90,60500,26.805973
2016-07-05,27.370001,27.370001,27.030001,27.15,16900,27.0551
2016-07-01,27.450001,27.76,27.379999,27.450001,23600,27.354052
2016-06-30,27.459999,27.99,27.40,27.889999,51500,27.792513
2016-06-29,26.93,27.35,26.690001,27.290001,35600,27.194612
2016-06-28,26.360001,26.809999,26.360001,26.66,50300,26.566813
2016-06-27,26.049999,26.48,25.76,26.34,54900,26.247931
2016-06-24,26.66,27.33,26.49,26.540001,99700,26.447233
2016-06-23,27.620001,28.030001,27.309999,27.76,49300,27.662968
2016-06-22,27.629999,27.940001,27.290001,27.299999,27500,27.204575
2016-06-21,28.01,28.01,27.57,27.66,32800,27.563317
2016-06-20,27.49,28.24,27.440001,27.98,63300,27.882198
2016-06-17,27.440001,27.620001,27.139999,27.43,122700,27.334122
2016-06-16,27.129999,27.43,27.00,27.379999,47100,27.284295
2016-06-15,27.24,27.57,27.040001,27.280001,39400,27.184646
2016-06-14,26.639999,27.42,26.639999,27.280001,25500,27.184646
2016-06-13,27.40,27.66,27.16,27.24,31500,27.144785
2016-06-10,27.950001,27.950001,26.639999,27.559999,117000,27.364017
2016-06-09,28.40,28.40,27.68,28.07,47900,27.87039
2016-06-08,28.559999,28.66,28.42,28.459999,49100,28.257616
2016-06-07,28.790001,28.860001,28.32,28.530001,20900,28.32712
2016-06-06,28.67,29.059999,28.629999,28.77,36000,28.565413
2016-06-03,28.860001,28.950001,28.27,28.75,41400,28.545555
2016-06-02,28.860001,28.98,28.620001,28.950001,39100,28.744133
2016-06-01,28.60,29.00,28.60,28.98,40900,28.773919
2016-05-31,28.879999,28.950001,28.459999,28.60,41400,28.396622
2016-05-27,28.40,28.879999,28.32,28.879999,25600,28.67463
2016-05-26,28.280001,28.690001,27.93,28.459999,45300,28.257616
2016-05-25,27.950001,28.469999,27.73,28.25,53900,28.049111
2016-05-24,27.49,27.959999,27.280001,27.870001,72900,27.671814
2016-05-23,27.48,27.66,27.02,27.43,30200,27.234942
2016-05-20,27.16,27.57,27.16,27.49,35000,27.294515
2016-05-19,27.389999,27.58,26.76,27.00,24200,26.807999
2016-05-18,26.48,27.92,26.48,27.59,41200,27.393804
2016-05-17,27.52,27.559999,26.440001,26.58,51600,26.390986
2016-05-16,27.549999,28.09,27.43,27.65,82300,27.453377
2016-05-13,27.290001,27.790001,26.51,27.469999,92600,27.274657
2016-05-12,26.90,27.360001,26.809999,27.309999,36200,27.115794
2016-05-11,26.50,27.190001,26.219999,27.09,35700,26.89736
2016-05-10,26.60,26.639999,26.389999,26.620001,75300,26.430702
2016-05-09,26.690001,26.719999,26.450001,26.58,61600,26.390986
2016-05-06,26.85,27.690001,26.49,26.610001,60900,26.420773
2016-05-05,27.059999,27.799999,26.98,27.040001,27500,26.847716
2016-05-04,26.99,27.25,26.799999,27.10,29800,26.907289
2016-05-03,27.33,28.01,26.969999,27.25,35300,27.056222
2016-05-02,27.370001,28.200001,26.110001,27.58,62800,27.383875
2016-04-29,26.98,27.43,26.790001,27.370001,90700,27.175369
2016-04-28,27.40,27.799999,26.82,26.90,48800,26.70871
2016-04-27,26.860001,27.280001,26.60,27.23,39000,27.036363
2016-04-26,26.85,27.23,26.67,27.08,46100,26.88743
2016-04-25,26.50,26.780001,26.16,26.76,25700,26.569706
2016-04-22,26.35,26.83,26.35,26.799999,25200,26.609421
2016-04-21,26.52,26.860001,26.389999,26.43,28700,26.242053
2016-04-20,26.950001,27.129999,26.75,26.879999,22100,26.688852
2016-04-19,26.91,27.09,26.42,26.91,19600,26.718639
2016-04-18,26.51,26.870001,26.51,26.700001,35400,26.510134
2016-04-15,26.16,26.60,26.16,26.57,36200,26.381057
2016-04-14,25.040001,26.83,25.040001,26.290001,40500,26.103049
2016-04-13,25.60,26.549999,25.60,26.459999,34000,26.271839
2016-04-12,25.35,25.85,25.35,25.68,39400,25.497386
2016-04-11,25.50,25.969999,25.07,25.299999,40000,25.120088
2016-04-08,27.68,27.68,25.290001,25.50,29900,25.318666
2016-04-07,25.90,25.93,25.08,25.190001,80400,25.010871
2016-04-06,26.27,26.27,25.93,26.00,63200,25.815111
2016-04-05,26.639999,26.65,26.32,26.370001,53800,26.18248
2016-04-04,27.40,27.549999,26.83,26.950001,34200,26.758356
2016-04-01,26.950001,27.690001,26.77,27.469999,42900,27.274657
2016-03-31,27.360001,27.58,26.860001,27.040001,55200,26.847716
2016-03-30,27.10,27.450001,26.98,27.309999,29100,27.115794
2016-03-29,26.790001,27.280001,26.549999,27.18,36500,26.98672
2016-03-28,26.799999,27.15,26.59,26.92,27200,26.728568
2016-03-24,27.07,27.07,26.76,26.879999,21700,26.688852
2016-03-23,27.57,27.57,27.120001,27.23,30700,27.036363
2016-03-22,27.889999,27.98,27.440001,27.559999,26700,27.364017
2016-03-21,27.58,28.049999,27.360001,27.92,37700,27.721457
2016-03-18,27.85,28.42,27.52,27.58,95100,27.383875
2016-03-17,27.299999,27.85,26.92,27.709999,26600,27.51295
2016-03-16,27.82,27.889999,27.190001,27.379999,28200,27.185296
2016-03-15,28.02,28.030001,27.559999,27.629999,26500,27.433519
2016-03-14,28.309999,28.309999,27.90,28.059999,26500,27.860461
2016-03-11,28.07,28.33,27.790001,28.280001,34700,28.078898
2016-03-10,28.129999,28.190001,27.91,27.98,24000,27.691669
2016-03-09,28.16,28.379999,28.02,28.129999,28300,27.840123
2016-03-08,28.26,28.50,28.030001,28.120001,49600,27.830228
2016-03-07,28.00,28.690001,28.00,28.50,33500,28.206311
2016-03-04,28.25,28.25,27.85,28.129999,31200,27.840123
2016-03-03,27.91,28.25,27.74,28.15,56700,27.859918
2016-03-02,28.08,28.200001,27.77,28.00,61700,27.711464
