Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,107.400002,108.260002,106.32,108.040001,27600,108.040001
2016-11-30,108.440002,108.870003,106.860001,107.169998,28800,107.169998
2016-11-29,108.690002,109.220001,107.440002,107.839996,34200,107.839996
2016-11-28,108.900002,110.00,107.139999,108.260002,25200,108.260002
2016-11-25,108.470001,108.989998,107.910004,108.989998,9800,108.989998
2016-11-23,107.00,109.010002,105.620003,108.50,40000,108.50
2016-11-22,106.00,107.480003,105.93,107.019997,25600,107.019997
2016-11-21,106.900002,106.900002,105.669998,105.889999,22600,105.889999
2016-11-18,106.00,106.660004,105.379997,106.300003,27400,106.300003
2016-11-17,105.139999,105.970001,105.139999,105.709999,26800,105.709999
2016-11-16,105.199997,105.50,104.599998,104.629997,28100,104.629997
2016-11-15,105.68,106.00,103.589996,105.239998,36400,105.239998
2016-11-14,106.900002,106.900002,104.410004,105.849998,31000,105.849998
2016-11-11,104.620003,106.989998,102.32,106.540001,26700,106.540001
2016-11-10,103.730003,104.959999,101.080002,104.610001,28200,104.610001
2016-11-09,102.919998,103.900002,101.370003,103.480003,22400,103.480003
2016-11-08,102.099998,102.989998,100.830002,102.800003,26900,102.800003
2016-11-07,101.620003,102.870003,101.279999,101.779999,25500,101.779999
2016-11-04,101.309998,102.040001,100.940002,101.099998,31000,101.099998
2016-11-03,101.949997,102.690002,98.360001,101.419998,35500,101.419998
2016-11-02,103.239998,103.379997,101.419998,101.540001,17900,101.540001
2016-11-01,102.519997,103.32,102.089996,103.00,44400,103.00
2016-10-31,101.639999,102.860001,100.529999,102.389999,43700,102.389999
2016-10-28,103.230003,103.449997,101.040001,101.360001,29100,101.360001
2016-10-27,102.309998,102.309998,101.389999,101.889999,23600,101.889999
2016-10-26,102.199997,102.690002,101.739998,101.980003,41500,101.980003
2016-10-25,102.580002,102.599998,101.220001,102.599998,25900,102.599998
2016-10-24,102.470001,104.389999,101.779999,102.580002,23100,102.580002
2016-10-21,101.889999,102.440002,101.050003,102.260002,33100,102.260002
2016-10-20,103.480003,104.029999,100.489998,101.919998,37500,101.919998
2016-10-19,104.800003,105.120003,102.690002,103.040001,34500,103.040001
2016-10-18,103.82,104.980003,103.389999,104.720001,45400,104.720001
2016-10-17,103.110001,104.699997,102.559998,103.230003,36900,103.230003
2016-10-14,102.650002,103.800003,102.650002,103.040001,37400,103.040001
2016-10-13,101.599998,102.989998,101.239998,102.629997,32300,102.629997
2016-10-12,100.25,101.830002,99.669998,101.629997,24200,101.629997
2016-10-11,99.830002,100.480003,99.370003,100.139999,25500,100.139999
2016-10-10,100.370003,100.860001,99.769997,100.040001,41000,100.040001
2016-10-07,99.440002,100.68,99.440002,100.160004,16400,100.160004
2016-10-06,99.209999,99.410004,98.489998,99.389999,28500,99.389999
2016-10-05,99.839996,100.029999,99.010002,99.68,28900,99.68
2016-10-04,100.239998,100.239998,98.809998,99.709999,104300,99.709999
2016-10-03,101.879997,102.040001,99.400002,100.199997,99000,100.199997
2016-09-30,100.779999,102.309998,100.169998,102.07,76500,101.339999
2016-09-29,102.169998,102.279999,100.75,100.800003,28900,100.079085
2016-09-28,101.739998,102.709999,101.470001,101.849998,62700,101.121571
2016-09-27,100.620003,102.080002,100.540001,101.889999,42400,101.161286
2016-09-26,100.489998,101.169998,100.019997,100.379997,33100,99.662083
2016-09-23,101.389999,101.389999,100.370003,100.489998,24000,99.771297
2016-09-22,100.550003,101.949997,100.550003,101.339996,37700,100.615217
2016-09-21,99.300003,100.589996,98.970001,100.559998,34800,99.840796
2016-09-20,99.949997,99.949997,99.040001,99.099998,14600,98.391239
2016-09-19,98.480003,99.589996,98.370003,99.260002,28700,98.550098
2016-09-16,97.50,98.650002,96.010002,98.290001,212500,97.587035
2016-09-15,97.07,98.230003,96.82,97.779999,40400,97.08068
2016-09-14,98.910004,99.059998,97.00,97.080002,41600,96.385689
2016-09-13,99.050003,99.82,98.589996,98.910004,28000,98.202603
2016-09-12,99.099998,100.110001,98.099998,99.57,42000,98.857879
2016-09-09,101.010002,101.010002,99.190002,99.43,41400,98.718881
2016-09-08,102.32,102.32,101.260002,101.470001,47600,100.744292
2016-09-07,102.199997,103.360001,101.360001,102.139999,62000,101.409498
2016-09-06,103.690002,104.209999,101.919998,102.449997,38600,101.717279
2016-09-02,102.50,103.889999,102.389999,103.690002,27200,102.948416
2016-09-01,102.379997,102.480003,101.690002,102.480003,23200,101.74707
2016-08-31,101.879997,102.260002,100.669998,102.029999,51500,101.300284
2016-08-30,101.610001,102.099998,101.18,102.099998,23000,101.369783
2016-08-29,101.099998,101.959999,101.099998,101.720001,18800,100.992504
2016-08-26,100.75,102.440002,100.559998,100.769997,24300,100.049294
2016-08-25,99.080002,100.650002,99.080002,100.650002,29900,99.930157
2016-08-24,98.010002,99.349998,98.010002,99.129997,78700,98.421023
2016-08-23,99.00,99.00,98.019997,98.529999,19500,97.825316
2016-08-22,98.43,99.190002,97.730003,99.160004,20700,98.450815
2016-08-19,98.709999,98.949997,97.93,98.760002,9300,98.053674
2016-08-18,97.690002,98.949997,97.690002,98.879997,19000,98.172811
2016-08-17,98.07,98.940002,97.769997,97.989998,18000,97.289177
2016-08-16,98.559998,99.00,98.099998,98.120003,11700,97.418252
2016-08-15,98.970001,99.849998,98.269997,98.980003,17900,98.272102
2016-08-12,98.900002,99.480003,98.739998,99.209999,12300,98.500453
2016-08-11,99.419998,99.870003,98.57,99.339996,22500,98.629521
2016-08-10,99.260002,99.889999,98.18,99.099998,26800,98.391239
2016-08-09,97.870003,99.860001,97.870003,99.32,20200,98.609667
2016-08-08,98.889999,99.940002,96.419998,99.610001,20400,98.897594
2016-08-05,99.330002,99.940002,97.849998,99.300003,19800,98.589813
2016-08-04,98.889999,99.650002,98.889999,99.209999,18500,98.500453
2016-08-03,99.290001,99.790001,98.459999,98.900002,21900,98.192673
2016-08-02,98.32,99.900002,98.300003,99.550003,43400,98.838025
2016-08-01,97.690002,98.949997,97.440002,98.599998,34400,97.894815
2016-07-29,97.809998,98.699997,96.379997,97.690002,31900,96.991327
2016-07-28,97.860001,98.349998,97.129997,97.779999,18500,97.08068
2016-07-27,97.330002,98.209999,97.279999,97.949997,42600,97.249462
2016-07-26,97.610001,97.800003,96.830002,97.599998,18200,96.901967
2016-07-25,97.510002,98.089996,96.82,97.330002,18100,96.633901
2016-07-22,96.50,98.099998,96.50,97.690002,19400,96.991327
2016-07-21,96.669998,96.889999,96.18,96.75,19300,96.058048
2016-07-20,97.459999,97.669998,96.419998,96.68,16400,95.988549
2016-07-19,96.589996,97.199997,96.32,96.870003,16600,96.177192
2016-07-18,97.989998,97.989998,96.690002,97.040001,14700,96.345975
2016-07-15,97.860001,98.589996,97.150002,97.690002,33500,96.991327
2016-07-14,98.639999,98.639999,97.650002,97.879997,33700,97.179963
2016-07-13,98.120003,99.00,98.110001,98.459999,14900,97.755817
2016-07-12,99.050003,99.050003,98.019997,98.260002,19700,97.55725
2016-07-11,98.379997,99.059998,98.379997,98.839996,14600,98.133097
2016-07-08,97.949997,98.650002,97.360001,98.480003,34500,97.775678
2016-07-07,97.760002,97.949997,96.82,97.209999,14900,96.514757
2016-07-06,97.639999,98.279999,97.089996,97.660004,32800,96.961543
2016-07-05,97.790001,98.089996,96.629997,97.889999,37800,97.189894
2016-07-01,98.669998,99.220001,97.459999,97.739998,37800,97.040965
2016-06-30,97.739998,99.959999,97.739998,99.339996,101700,97.904739
2016-06-29,97.970001,98.970001,97.519997,97.809998,34200,96.396846
2016-06-28,96.089996,97.75,95.949997,97.309998,34100,95.90407
2016-06-27,96.230003,97.489998,95.339996,95.470001,42500,94.090658
2016-06-24,95.550003,97.629997,95.18,96.860001,185400,95.460574
2016-06-23,98.400002,98.790001,97.989998,98.480003,21900,97.057171
2016-06-22,97.470001,98.220001,97.110001,97.620003,48500,96.209596
2016-06-21,97.080002,98.889999,96.540001,97.260002,84800,95.854797
2016-06-20,94.510002,96.75,93.610001,96.50,44700,95.105775
2016-06-17,95.580002,95.580002,93.489998,93.709999,117000,92.356084
2016-06-16,94.699997,96.309998,94.50,95.400002,24200,94.021669
2016-06-15,95.959999,95.959999,94.440002,94.879997,46500,93.509178
2016-06-14,95.68,96.330002,94.839996,95.690002,27900,94.30748
2016-06-13,97.970001,97.970001,95.949997,96.129997,32900,94.741118
2016-06-10,97.989998,98.57,96.580002,97.82,32600,96.406703
2016-06-09,98.029999,98.790001,96.900002,98.400002,37200,96.978325
2016-06-08,98.169998,98.910004,94.360001,98.330002,20200,96.909337
2016-06-07,98.480003,99.379997,97.940002,98.339996,29700,96.919187
2016-06-06,98.830002,99.989998,98.080002,98.669998,34300,97.244421
2016-06-03,98.389999,99.629997,97.120003,98.889999,36500,97.461244
2016-06-02,98.650002,99.07,95.510002,98.830002,40900,97.402113
2016-06-01,97.919998,98.940002,97.739998,98.919998,33600,97.490809
2016-05-31,98.360001,98.360001,96.860001,97.900002,62200,96.485549
2016-05-27,96.870003,98.00,96.610001,97.709999,31300,96.298292
2016-05-26,97.25,97.339996,96.330002,97.18,54900,95.775951
2016-05-25,97.830002,97.900002,96.400002,96.93,46900,95.529563
2016-05-24,97.089996,97.669998,95.900002,97.230003,63700,95.825231
2016-05-23,97.199997,97.199997,96.290001,96.309998,26700,94.918518
2016-05-20,96.470001,97.110001,96.239998,96.919998,49600,95.519705
2016-05-19,95.93,97.019997,95.080002,95.849998,20100,94.465165
2016-05-18,95.25,96.980003,95.25,96.029999,30300,94.642564
2016-05-17,96.209999,96.830002,95.080002,95.440002,58300,94.061092
2016-05-16,96.940002,97.57,96.50,96.699997,38000,95.302882
2016-05-13,96.940002,97.25,96.489998,96.970001,34700,95.568986
2016-05-12,95.959999,97.290001,95.959999,97.120003,41800,95.71682
2016-05-11,95.870003,96.769997,95.529999,95.889999,39500,94.504588
2016-05-10,96.699997,96.959999,96.059998,96.160004,25800,94.770691
2016-05-09,94.589996,96.290001,94.589996,96.080002,36000,94.691845
2016-05-06,95.540001,95.82,94.199997,94.589996,35200,93.223367
2016-05-05,94.559998,95.980003,94.00,95.559998,54700,94.179354
2016-05-04,94.849998,95.209999,93.660004,94.82,58200,93.450047
2016-05-03,93.870003,95.150002,93.870003,94.959999,58700,93.588024
2016-05-02,94.790001,95.169998,93.940002,94.730003,40000,93.361351
2016-04-29,90.690002,94.660004,90.279999,94.389999,103000,93.02626
2016-04-28,93.650002,94.029999,91.129997,91.480003,39700,90.158307
2016-04-27,91.589996,93.970001,91.589996,93.07,46700,91.725331
2016-04-26,92.129997,93.480003,91.43,91.910004,25600,90.582095
2016-04-25,91.709999,91.779999,90.50,91.779999,19500,90.453968
2016-04-22,90.940002,92.580002,90.940002,91.779999,31000,90.453968
2016-04-21,94.00,94.00,90.75,90.949997,29200,89.635958
2016-04-20,94.139999,94.519997,93.389999,93.620003,42300,92.267388
2016-04-19,94.209999,94.82,93.519997,93.839996,58400,92.484203
2016-04-18,92.040001,93.82,92.040001,93.82,49300,92.464495
2016-04-15,92.440002,93.690002,90.779999,92.169998,44500,90.838333
2016-04-14,92.559998,93.080002,90.50,92.25,34000,90.917179
2016-04-13,91.910004,92.849998,91.279999,92.57,73400,91.232555
2016-04-12,91.209999,92.099998,90.779999,91.669998,41500,90.345557
2016-04-11,91.629997,91.769997,90.75,91.029999,35600,89.714804
2016-04-08,91.00,91.860001,90.57,91.370003,48800,90.049896
2016-04-07,91.300003,91.809998,90.209999,90.599998,27500,89.291016
2016-04-06,91.080002,92.139999,90.660004,91.809998,52800,90.483533
2016-04-05,92.230003,92.68,91.190002,91.260002,53100,89.941484
2016-04-04,93.32,93.32,92.040001,92.730003,81000,91.390247
2016-04-01,92.849998,94.019997,92.82,93.760002,53000,91.685914
2016-03-31,93.949997,94.660004,92.769997,92.989998,51600,90.932943
2016-03-30,94.230003,94.790001,93.43,94.160004,42200,92.077067
2016-03-29,92.82,93.910004,91.739998,93.629997,99100,91.558785
2016-03-28,92.010002,93.440002,91.540001,92.519997,69600,90.473339
2016-03-24,92.139999,92.559998,91.25,91.629997,75900,89.603027
2016-03-23,92.230003,93.059998,91.669998,92.25,65400,90.209315
2016-03-22,92.169998,93.550003,91.93,92.580002,71400,90.532016
2016-03-21,93.040001,93.470001,91.800003,92.150002,84400,90.111528
2016-03-18,92.410004,93.919998,91.209999,93.459999,361300,91.392547
2016-03-17,90.839996,92.860001,89.00,92.610001,70600,90.561352
2016-03-16,91.330002,91.330002,89.959999,90.690002,91300,88.683826
2016-03-15,89.839996,92.300003,89.379997,91.330002,80900,89.309668
2016-03-14,90.610001,90.870003,88.760002,90.18,118400,88.185106
2016-03-11,90.440002,91.800003,90.029999,91.190002,96900,89.172766
2016-03-10,90.790001,91.00,88.690002,90.029999,128200,88.038423
2016-03-09,91.190002,91.959999,89.779999,90.790001,122100,88.781613
2016-03-08,89.599998,91.330002,89.599998,90.809998,126000,88.801167
2016-03-07,95.349998,95.349998,89.07,89.919998,249700,87.930855
2016-03-04,96.57,96.849998,94.459999,96.260002,66200,94.130611
2016-03-03,95.610001,96.730003,94.800003,96.330002,81000,94.199062
2016-03-02,96.169998,96.400002,94.900002,95.580002,64000,93.465653
2016-03-01,94.18,96.82,93.580002,96.599998,84100,94.463086
2016-02-29,94.080002,95.440002,92.889999,94.010002,101300,91.930383
2016-02-26,99.139999,99.199997,93.300003,94.339996,121000,92.253078
2016-02-25,100.010002,100.879997,100.010002,100.529999,49100,98.306149
2016-02-24,98.730003,100.209999,98.349998,100.190002,37900,97.973674
2016-02-23,97.910004,99.82,97.910004,99.379997,72200,97.181587
2016-02-22,98.540001,98.599998,97.389999,97.910004,61400,95.744112
2016-02-19,98.139999,98.970001,97.309998,97.940002,59800,95.773447
2016-02-18,97.870003,98.610001,97.169998,98.139999,43400,95.96902
2016-02-17,98.489998,98.82,97.43,97.559998,72700,95.401848
2016-02-16,97.510002,98.889999,97.00,98.18,44700,96.008136
2016-02-12,95.720001,97.129997,95.220001,96.980003,47400,94.834684
