Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,14.00,14.30,13.20,13.30,17400,13.30
2016-11-30,13.95,14.15,13.53,13.75,13000,13.75
2016-11-29,14.00,14.05,13.70,13.80,5400,13.80
2016-11-28,14.20,14.20,13.75,13.95,15900,13.95
2016-11-25,14.20,14.20,14.05,14.10,5900,14.10
2016-11-23,14.50,14.70,13.85,14.20,21600,14.20
2016-11-22,14.00,14.55,13.23,14.45,26300,14.45
2016-11-21,13.90,14.28,13.45,14.00,36700,14.00
2016-11-18,13.70,14.05,13.30,14.00,18500,14.00
2016-11-17,13.80,13.80,12.11,13.65,13500,13.65
2016-11-16,13.65,13.90,12.80,13.80,10700,13.80
2016-11-15,13.30,13.95,13.30,13.65,22800,13.65
2016-11-14,12.90,13.40,12.55,13.40,14000,13.40
2016-11-11,12.70,13.00,12.00,12.80,51900,12.80
2016-11-10,12.10,12.95,12.05,12.90,22100,12.90
2016-11-09,12.15,12.35,11.34,12.25,27000,12.25
2016-11-08,12.20,12.25,12.05,12.10,17500,12.10
2016-11-07,12.40,12.40,12.15,12.25,13500,12.25
2016-11-04,12.35,12.53,11.95,12.15,32900,12.15
2016-11-03,12.30,12.30,12.05,12.05,19600,12.05
2016-11-02,11.80,12.60,11.35,12.25,22600,12.25
2016-11-01,12.30,12.50,11.30,12.40,18300,12.40
2016-10-31,12.30,12.45,12.05,12.15,17100,12.15
2016-10-28,12.80,12.80,12.00,12.30,29400,12.30
2016-10-27,12.40,13.07,12.40,12.70,19500,12.70
2016-10-26,12.25,12.40,12.20,12.25,7000,12.25
2016-10-25,12.45,12.45,12.22,12.35,4100,12.35
2016-10-24,12.40,12.45,12.06,12.35,3400,12.35
2016-10-21,12.05,12.35,12.05,12.35,2400,12.35
2016-10-20,12.30,12.30,12.05,12.20,2400,12.20
2016-10-19,12.15,12.40,12.15,12.30,6100,12.30
2016-10-18,12.40,12.40,12.20,12.30,4200,12.30
2016-10-17,12.15,12.28,12.15,12.25,2300,12.25
2016-10-14,12.25,12.30,12.01,12.20,7000,12.20
2016-10-13,11.99,12.35,11.90,12.25,12300,12.25
2016-10-12,12.20,12.35,12.20,12.25,3300,12.25
2016-10-11,12.20,12.20,12.05,12.10,7800,12.10
2016-10-10,12.25,12.35,12.20,12.30,26300,12.30
2016-10-07,12.54,12.54,12.20,12.24,6000,12.24
2016-10-06,12.29,12.36,11.67,12.32,12200,12.32
2016-10-05,12.20,12.46,12.16,12.35,51600,12.35
2016-10-04,12.32,12.48,12.29,12.38,7100,12.38
2016-10-03,12.62,12.77,12.62,12.73,5500,12.73
2016-09-30,12.73,12.79,12.39,12.76,9200,12.76
2016-09-29,12.37,12.88,12.36,12.77,9400,12.77
2016-09-28,12.79,12.80,12.53,12.72,11600,12.72
2016-09-27,12.48,12.74,12.37,12.67,15100,12.67
2016-09-26,12.78,12.84,12.63,12.66,9500,12.66
2016-09-23,12.61,12.80,12.54,12.78,9800,12.78
2016-09-22,12.52,12.76,12.41,12.63,5900,12.63
2016-09-21,12.80,12.80,12.31,12.52,6100,12.52
2016-09-20,12.80,12.80,12.59,12.72,3400,12.72
2016-09-19,12.39,12.80,12.39,12.78,8200,12.78
2016-09-16,12.13,12.50,11.77,12.43,27100,12.43
2016-09-15,12.14,12.14,11.64,12.06,10100,12.06
2016-09-14,11.89,12.39,11.89,12.12,3200,12.12
2016-09-13,12.07,12.25,12.01,12.17,10100,12.17
2016-09-12,12.01,12.29,11.88,12.24,9400,12.24
2016-09-09,12.51,12.51,11.92,12.01,16400,12.01
2016-09-08,12.69,12.70,12.49,12.51,8600,12.51
2016-09-07,12.49,12.98,12.46,12.78,11100,12.67
2016-09-06,12.29,12.46,12.20,12.39,4000,12.283357
2016-09-02,12.50,12.50,12.27,12.34,3100,12.233787
2016-09-01,12.04,12.47,11.89,12.45,14400,12.34284
2016-08-31,12.07,12.20,12.07,12.13,21700,12.025595
2016-08-30,12.31,12.31,12.15,12.15,5600,12.045422
2016-08-29,12.31,12.38,12.06,12.11,6200,12.005766
2016-08-26,12.00,12.65,12.00,12.10,8400,11.995853
2016-08-25,12.31,12.63,12.13,12.29,8600,12.184217
2016-08-24,12.56,12.56,12.20,12.30,12000,12.194132
2016-08-23,12.32,12.81,12.07,12.54,15100,12.432066
2016-08-22,12.17,12.27,12.13,12.24,8800,12.134648
2016-08-19,12.16,12.48,12.12,12.22,26100,12.11482
2016-08-18,11.34,12.27,11.34,12.14,13700,12.035509
2016-08-17,11.46,11.49,11.27,11.41,24400,11.311792
2016-08-16,11.39,11.68,11.16,11.50,14400,11.401017
2016-08-15,11.22,11.61,11.15,11.46,7000,11.361361
2016-08-12,11.40,11.55,11.29,11.45,7400,11.351447
2016-08-11,11.84,11.84,11.50,11.59,9100,11.490243
2016-08-10,11.53,11.78,11.53,11.76,11700,11.658779
2016-08-09,11.47,11.77,11.34,11.76,18600,11.658779
2016-08-08,11.32,11.50,11.32,11.49,8400,11.391103
2016-08-05,11.08,11.31,11.02,11.26,13000,11.163083
2016-08-04,10.78,11.03,10.62,11.01,10800,10.915235
2016-08-03,10.76,10.81,10.52,10.78,5900,10.687214
2016-08-02,10.70,10.79,10.70,10.72,7100,10.627731
2016-08-01,10.82,10.82,10.41,10.71,6000,10.617817
2016-07-29,10.10,10.75,10.10,10.73,15200,10.637644
2016-07-28,10.01,11.01,9.99,10.53,4900,10.439366
2016-07-27,10.51,10.55,10.37,10.53,9100,10.439366
2016-07-26,10.42,10.55,9.97,10.54,15200,10.44928
2016-07-25,10.58,10.58,10.42,10.45,7600,10.360054
2016-07-22,10.79,10.79,10.52,10.58,2400,10.488936
2016-07-21,10.90,10.98,10.75,10.82,3500,10.72687
2016-07-20,10.91,11.08,10.86,10.89,7200,10.796268
2016-07-19,10.87,11.04,10.80,10.86,6400,10.766525
2016-07-18,10.91,10.93,10.75,10.86,10100,10.766525
2016-07-15,11.17,11.17,10.26,10.86,27900,10.766525
2016-07-14,10.72,11.19,10.72,11.08,12000,10.984632
2016-07-13,10.05,10.74,10.01,10.67,22200,10.578161
2016-07-12,9.86,10.12,9.85,10.06,30500,9.973412
2016-07-11,9.80,9.90,9.79,9.82,34300,9.735477
2016-07-08,9.80,9.83,9.77,9.80,35100,9.71565
2016-07-07,9.90,9.92,9.75,9.79,22200,9.705735
2016-07-06,9.85,9.98,9.75,9.91,19700,9.824702
2016-07-05,10.00,10.10,9.97,9.97,17300,9.884186
2016-07-01,9.97,10.25,9.97,10.15,20000,10.062636
2016-06-30,10.25,10.30,10.13,10.24,19000,10.151862
2016-06-29,10.25,10.25,10.15,10.24,18300,10.151862
2016-06-28,9.99,10.26,9.95,10.23,49500,10.141948
2016-06-27,9.87,10.00,9.70,9.94,49100,9.854444
2016-06-24,9.88,10.17,9.70,9.80,188400,9.71565
2016-06-23,9.96,10.30,9.96,10.25,18600,10.161776
2016-06-22,10.10,10.25,10.02,10.02,7600,9.933756
2016-06-21,10.93,10.93,10.05,10.13,10800,10.042809
2016-06-20,10.02,10.25,10.02,10.20,10300,10.112206
2016-06-17,10.03,10.25,9.97,9.98,44300,9.8941
2016-06-16,10.01,10.99,9.96,10.00,8800,9.913928
2016-06-15,10.22,10.25,10.08,10.15,13000,10.062636
2016-06-14,10.27,10.31,9.87,10.17,20600,10.082465
2016-06-13,10.26,10.65,10.09,10.11,25000,10.022981
2016-06-10,10.23,10.55,10.16,10.22,18300,10.132035
2016-06-09,10.33,10.64,10.28,10.49,17900,10.39971
2016-06-08,10.21,10.46,10.09,10.38,22700,10.290657
2016-06-07,10.47,10.57,10.20,10.29,17700,10.092379
2016-06-06,10.90,10.90,10.45,10.48,24000,10.27873
2016-06-03,10.78,10.79,10.63,10.68,18500,10.474889
2016-06-02,11.22,11.22,10.72,10.79,13500,10.582776
2016-06-01,11.31,11.34,11.13,11.16,23800,10.94567
2016-05-31,11.32,11.44,11.12,11.37,11500,11.151637
2016-05-27,11.39,11.39,11.16,11.32,10300,11.102597
2016-05-26,11.34,11.49,11.30,11.34,6100,11.122214
2016-05-25,11.56,11.58,11.22,11.37,8900,11.151637
2016-05-24,11.00,11.48,10.95,11.46,16400,11.239909
2016-05-23,10.70,11.00,10.62,10.95,5500,10.739703
2016-05-20,10.46,10.70,10.45,10.68,11500,10.474889
2016-05-19,10.31,10.48,10.25,10.39,16200,10.190459
2016-05-18,10.39,10.60,10.35,10.36,9300,10.161034
2016-05-17,10.66,10.66,10.26,10.46,25000,10.259114
2016-05-16,10.61,10.71,10.56,10.62,8000,10.416041
2016-05-13,10.49,10.53,10.46,10.52,10600,10.317962
2016-05-12,10.68,10.68,10.55,10.55,23100,10.347386
2016-05-11,10.66,10.75,10.60,10.67,10000,10.465081
2016-05-10,10.80,10.86,10.45,10.66,18900,10.455273
2016-05-09,10.78,10.93,10.78,10.80,5400,10.592585
2016-05-06,11.05,11.28,10.71,10.77,58600,10.563161
2016-05-05,11.09,11.31,10.98,10.99,10700,10.778935
2016-05-04,11.60,11.60,11.20,11.24,15200,11.024134
2016-05-03,11.86,11.86,11.54,11.63,9900,11.406644
2016-05-02,12.00,12.00,11.85,11.93,11200,11.700883
2016-04-29,11.75,11.97,11.73,11.93,11100,11.700883
2016-04-28,12.02,12.02,11.75,11.75,9200,11.524339
2016-04-27,11.90,12.17,11.52,11.99,19700,11.75973
2016-04-26,11.34,11.91,11.33,11.90,16000,11.671458
2016-04-25,11.12,11.39,11.10,11.31,7400,11.09279
2016-04-22,11.05,11.20,11.00,11.16,20000,10.94567
2016-04-21,11.09,11.09,11.00,11.00,16400,10.788743
2016-04-20,10.97,11.22,10.95,11.00,12600,10.788743
2016-04-19,10.91,11.00,10.91,10.98,4100,10.769127
2016-04-18,10.85,11.00,10.77,10.90,23100,10.690663
2016-04-15,11.03,11.19,10.77,10.91,14000,10.700472
2016-04-14,11.29,11.90,10.83,11.06,23700,10.847591
2016-04-13,11.04,11.23,10.86,11.16,32800,10.94567
2016-04-12,10.82,11.27,10.77,10.96,23300,10.749512
2016-04-11,11.04,11.32,10.89,10.95,15200,10.739703
2016-04-08,11.04,11.23,10.91,10.96,10900,10.749512
2016-04-07,11.13,11.42,10.87,10.92,20900,10.71028
2016-04-06,11.21,11.67,11.00,11.22,23300,11.004518
2016-04-05,10.91,11.75,10.75,11.21,49500,10.99471
2016-04-04,11.71,11.86,10.90,11.05,22400,10.837783
2016-04-01,11.72,11.75,11.67,11.71,10500,11.485108
2016-03-31,11.83,12.00,11.67,11.77,14800,11.543956
2016-03-30,12.08,12.08,11.80,11.91,7700,11.681266
2016-03-29,11.94,12.34,11.62,12.00,23300,11.769538
2016-03-28,11.99,12.00,11.60,11.90,8600,11.671458
2016-03-24,12.11,12.20,11.93,11.97,9800,11.740115
2016-03-23,12.58,12.58,12.05,12.10,13100,11.867618
2016-03-22,12.63,12.75,12.51,12.62,3000,12.377631
2016-03-21,12.67,12.81,12.66,12.74,23600,12.495326
2016-03-18,12.57,12.77,12.17,12.60,45100,12.358015
2016-03-17,12.59,12.59,12.19,12.46,8300,12.220704
2016-03-16,12.73,12.95,12.48,12.58,11100,12.338399
2016-03-15,13.03,13.10,12.49,12.56,10000,12.318784
2016-03-14,12.78,13.27,12.52,12.73,15000,12.485518
2016-03-11,12.89,12.95,12.57,12.90,25100,12.652253
2016-03-10,12.48,13.00,12.12,12.88,38100,12.632638
2016-03-09,13.55,13.55,12.70,12.89,18200,12.534558
2016-03-08,13.71,13.71,13.30,13.39,18700,13.020771
2016-03-07,13.36,13.82,13.36,13.69,17000,13.312498
2016-03-04,13.60,13.64,13.26,13.30,11300,12.933252
2016-03-03,13.04,13.50,13.04,13.45,13200,13.079116
2016-03-02,12.89,13.11,12.89,13.10,14700,12.738768
2016-03-01,12.93,13.15,12.64,13.07,20200,12.709594
2016-02-29,12.60,12.69,12.53,12.60,15600,12.252555
2016-02-26,12.56,12.58,12.50,12.51,9700,12.165037
2016-02-25,12.40,12.52,11.88,12.43,9200,12.087243
2016-02-24,12.25,12.44,12.25,12.33,4300,11.99
2016-02-23,12.76,12.84,12.07,12.26,13300,11.921931
2016-02-22,12.24,12.40,12.10,12.26,13900,11.921931
2016-02-19,12.06,13.37,12.04,12.12,48800,11.785791
2016-02-18,11.68,12.03,11.68,12.02,7400,11.688549
2016-02-17,11.89,11.90,11.59,11.66,16100,11.338475
2016-02-16,11.16,11.59,10.98,11.55,16700,11.231509
2016-02-12,11.12,11.16,10.96,11.07,5200,10.764744
2016-02-11,11.18,11.18,10.93,11.04,13900,10.735572
2016-02-10,11.63,11.68,11.26,11.28,11600,10.968954
2016-02-09,11.48,11.89,10.97,11.31,11300,10.998127
2016-02-08,11.25,11.73,10.95,11.64,13900,11.319027
2016-02-05,12.05,12.09,11.30,11.30,28300,10.988403
2016-02-04,11.80,12.18,11.67,12.12,17600,11.785791
2016-02-03,12.03,12.31,11.79,12.10,15400,11.766343
2016-02-02,12.36,12.61,11.60,11.99,19400,11.659375
2016-02-01,12.14,12.88,11.75,12.51,17300,12.165037
2016-01-29,11.85,12.64,11.84,12.10,15900,11.766343
2016-01-28,12.87,13.32,11.82,11.83,12700,11.503787
2016-01-27,12.66,13.05,12.66,12.75,7800,12.398419
2016-01-26,12.94,13.10,12.72,13.03,11000,12.670697
2016-01-25,12.85,13.05,12.77,12.84,9300,12.485937
2016-01-22,13.03,13.03,12.59,12.94,16600,12.583179
2016-01-21,13.00,13.15,12.80,12.87,12400,12.515109
2016-01-20,12.55,13.00,12.32,12.95,27600,12.592903
2016-01-19,12.84,13.24,12.56,13.08,34000,12.719319
2016-01-15,12.80,13.15,12.56,12.71,29100,12.359522
2016-01-14,12.97,13.28,12.87,13.12,12700,12.758216
2016-01-13,12.15,13.39,12.15,12.98,46100,12.622076
2016-01-12,11.22,11.90,11.16,11.80,26100,11.474615
2016-01-11,11.57,11.75,11.50,11.52,66500,11.202336
2016-01-08,12.16,12.16,11.51,11.51,40600,11.192612
2016-01-07,12.51,12.51,12.03,12.15,12200,11.814963
2016-01-06,12.80,12.85,12.60,12.61,20300,12.262279
2016-01-05,13.10,13.10,12.80,12.86,18700,12.505385
2016-01-04,12.73,13.06,12.69,13.02,46000,12.660974
2015-12-31,13.19,13.36,13.19,13.25,20600,12.884631
2015-12-30,13.30,13.40,12.86,13.27,13400,12.90408
2015-12-29,13.02,13.46,13.02,13.35,18400,12.981874
2015-12-28,13.01,13.09,12.76,13.02,10600,12.660974
2015-12-24,13.24,13.36,13.03,13.18,12700,12.816562
2015-12-23,13.13,13.46,13.13,13.34,10800,12.972149
2015-12-22,13.00,13.45,12.84,13.15,16300,12.787388
2015-12-21,12.47,12.80,12.18,12.74,34200,12.388694
2015-12-18,12.15,12.48,12.10,12.34,44000,11.999724
2015-12-17,12.45,12.63,12.12,12.22,9100,11.883034
2015-12-16,12.24,12.45,12.07,12.44,8200,12.096966
2015-12-15,11.84,12.22,11.84,12.08,10500,11.746894
2015-12-14,11.83,12.01,11.71,11.88,23900,11.552409
