Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,54.09,54.09,54.09,54.09,100,54.09
2016-11-30,54.50,54.50,54.50,54.50,000,54.50
2016-11-29,54.169998,54.50,54.169998,54.50,400,54.50
2016-11-28,54.200001,54.200001,54.099998,54.150002,1100,54.150002
2016-11-25,54.320999,54.320999,54.320999,54.320999,000,54.320999
2016-11-23,54.320999,54.320999,54.320999,54.320999,000,54.320999
2016-11-22,54.205002,54.320999,54.205002,54.320999,500,54.320999
2016-11-21,54.080002,54.080002,54.080002,54.080002,400,54.080002
2016-11-18,53.950001,53.950001,53.807999,53.807999,700,53.807999
2016-11-17,54.416,54.416,54.368999,54.368999,300,54.368999
2016-11-16,54.18,54.18,54.099998,54.099998,500,54.099998
2016-11-15,54.360001,54.50,54.34,54.50,800,54.50
2016-11-14,54.439999,54.439999,54.150002,54.299999,2700,54.299999
2016-11-11,54.34,54.59,54.34,54.57,900,54.57
2016-11-10,55.07,55.07,55.07,55.07,000,55.07
2016-11-09,54.849998,55.169998,54.849998,55.07,4700,55.07
2016-11-08,54.838001,55.27,54.838001,55.00,6000,55.00
2016-11-07,54.856998,54.856998,54.856998,54.856998,200,54.856998
2016-11-04,54.52,54.52,54.220001,54.299999,17800,54.299999
2016-11-03,54.759998,54.759998,54.75,54.75,11100,54.75
2016-11-02,55.400002,55.400002,55.400002,55.400002,000,55.400002
2016-11-01,55.389999,55.400002,55.389999,55.400002,1300,55.400002
2016-10-31,55.380001,55.380001,55.373001,55.373001,700,55.373001
2016-10-28,55.299999,55.299999,55.299999,55.299999,300,55.299999
2016-10-27,55.400002,55.400002,55.400002,55.400002,200,55.400002
2016-10-26,55.470001,55.470001,55.450001,55.450001,1000,55.450001
2016-10-25,55.549999,55.599998,55.549999,55.599998,200,55.599998
2016-10-24,55.869999,55.869999,55.630001,55.667,1100,55.667
2016-10-21,55.50,55.759998,55.50,55.743999,2000,55.743999
2016-10-20,55.830002,55.830002,55.830002,55.830002,200,55.830002
2016-10-19,55.168999,55.168999,55.168999,55.168999,000,55.168999
2016-10-18,55.168999,55.168999,55.168999,55.168999,000,55.168999
2016-10-17,55.179001,55.18,55.168999,55.168999,900,55.168999
2016-10-14,55.290001,55.290001,55.290001,55.290001,500,55.290001
2016-10-13,54.959999,55.240002,54.959999,55.240002,1500,55.240002
2016-10-12,55.380001,55.380001,55.380001,55.380001,200,55.380001
2016-10-11,56.470001,56.470001,56.470001,56.470001,000,56.470001
2016-10-10,56.470001,56.470001,56.470001,56.470001,000,56.470001
2016-10-07,56.470001,56.470001,56.470001,56.470001,000,56.470001
2016-10-06,56.470001,56.470001,56.470001,56.470001,000,56.470001
2016-10-05,56.470001,56.470001,56.470001,56.470001,000,56.470001
2016-10-04,56.470001,56.470001,56.470001,56.470001,000,56.470001
2016-10-03,56.599998,56.599998,56.470001,56.470001,1100,56.470001
2016-09-30,56.439999,56.84,56.439999,56.84,2000,56.84
2016-09-29,56.82,56.82,56.419998,56.419998,2000,56.419998
2016-09-28,57.040001,57.040001,57.033001,57.033001,400,57.033001
2016-09-27,56.220001,56.220001,56.220001,56.220001,100,56.220001
2016-09-26,56.48,56.48,56.397999,56.397999,2100,56.397999
2016-09-23,56.959999,57.029999,56.959999,57.029999,3800,57.029999
2016-09-22,56.009998,56.009998,56.009998,56.009998,000,56.009998
2016-09-21,56.009998,56.009998,56.009998,56.009998,000,56.009998
2016-09-20,56.00,56.009998,56.00,56.009998,400,56.009998
2016-09-19,55.650002,55.650002,55.650002,55.650002,000,55.650002
2016-09-16,55.650002,55.650002,55.650002,55.650002,000,55.650002
2016-09-15,55.650002,55.650002,55.650002,55.650002,000,55.650002
2016-09-14,55.650002,55.650002,55.650002,55.650002,000,55.650002
2016-09-13,55.650002,55.650002,55.650002,55.650002,100,55.650002
2016-09-12,55.810001,55.810001,55.810001,55.810001,100,55.810001
2016-09-09,56.950001,56.950001,56.419998,56.419998,1800,56.419998
2016-09-08,56.950001,56.950001,56.950001,56.950001,000,56.950001
2016-09-07,56.950001,56.950001,56.950001,56.950001,100,56.950001
2016-09-06,56.950001,56.950001,56.950001,56.950001,100,56.950001
2016-09-02,56.950001,56.950001,56.950001,56.950001,300,56.950001
2016-09-01,56.459999,56.509998,56.259998,56.509998,1800,56.509998
2016-08-31,56.080002,56.080002,56.080002,56.080002,300,56.080002
2016-08-30,56.259998,56.259998,56.259998,56.259998,900,56.259998
2016-08-29,56.27,56.27,56.258999,56.259998,2600,56.259998
2016-08-26,56.540001,56.540001,56.540001,56.540001,000,56.540001
2016-08-25,56.540001,56.540001,56.540001,56.540001,100,56.540001
