Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,5.20,5.35,5.05,5.11,179100,5.11
2016-11-30,5.46,5.55,5.17,5.20,125500,5.20
2016-11-29,5.45,5.60,5.36,5.45,100300,5.45
2016-11-28,5.60,5.60,5.41,5.42,98400,5.42
2016-11-25,5.50,5.67,5.40,5.63,42400,5.63
2016-11-23,5.41,5.50,5.41,5.47,48400,5.47
2016-11-22,5.32,5.45,5.32,5.45,89500,5.45
2016-11-21,5.23,5.34,5.19,5.33,124100,5.33
2016-11-18,5.27,5.28,5.19,5.24,152800,5.24
2016-11-17,5.21,5.30,5.09,5.26,106000,5.26
2016-11-16,5.05,5.22,5.03,5.21,83200,5.21
2016-11-15,5.16,5.18,4.97,5.09,173800,5.09
2016-11-14,5.39,5.41,5.12,5.19,107900,5.19
2016-11-11,5.18,5.33,5.01,5.30,189800,5.30
2016-11-10,5.21,5.24,4.98,5.18,173700,5.18
2016-11-09,4.95,5.21,4.84,5.15,187200,5.15
2016-11-08,4.74,5.00,4.62,4.98,218600,4.98
2016-11-07,4.73,4.86,4.70,4.76,155600,4.76
2016-11-04,4.61,4.72,4.60,4.64,468700,4.64
2016-11-03,4.69,4.80,4.54,4.62,146100,4.62
2016-11-02,4.79,4.89,4.50,4.71,641200,4.71
2016-11-01,5.20,5.25,5.05,5.07,77300,5.07
2016-10-31,5.15,5.21,5.12,5.18,102700,5.18
2016-10-28,5.23,5.43,5.16,5.18,78900,5.18
2016-10-27,5.23,5.30,5.19,5.23,70400,5.23
2016-10-26,5.20,5.25,5.18,5.20,69600,5.20
2016-10-25,5.41,5.41,5.11,5.20,56700,5.20
2016-10-24,5.29,5.46,5.23,5.44,68300,5.44
2016-10-21,5.20,5.25,5.19,5.21,36700,5.21
2016-10-20,5.18,5.25,5.16,5.22,52700,5.22
2016-10-19,5.23,5.24,5.15,5.16,76400,5.16
2016-10-18,5.35,5.35,5.20,5.21,54400,5.21
2016-10-17,5.28,5.34,5.23,5.28,68800,5.28
2016-10-14,5.41,5.45,5.26,5.32,74500,5.32
2016-10-13,5.49,5.63,5.35,5.42,64900,5.42
2016-10-12,5.54,5.77,5.44,5.51,78000,5.51
2016-10-11,5.69,5.69,5.53,5.56,52500,5.56
2016-10-10,5.60,5.71,5.58,5.69,152800,5.69
2016-10-07,5.53,5.60,5.45,5.54,94400,5.54
2016-10-06,5.48,5.59,5.45,5.53,631800,5.53
2016-10-05,5.43,5.60,5.33,5.52,425300,5.52
2016-10-04,5.61,5.61,5.41,5.44,86800,5.44
2016-10-03,5.59,5.67,5.57,5.60,116800,5.60
2016-09-30,5.59,5.78,5.58,5.64,96200,5.64
2016-09-29,5.69,5.94,5.52,5.54,82700,5.54
2016-09-28,5.65,5.73,5.55,5.71,136300,5.71
2016-09-27,5.68,5.71,5.52,5.65,76300,5.65
2016-09-26,5.73,5.86,5.63,5.68,51900,5.68
2016-09-23,5.95,5.95,5.56,5.79,72000,5.79
2016-09-22,6.02,6.05,5.51,5.97,197700,5.97
2016-09-21,5.82,6.01,5.64,6.00,129100,6.00
2016-09-20,5.78,5.88,5.74,5.82,83300,5.82
2016-09-19,5.77,5.92,5.72,5.78,116600,5.78
2016-09-16,5.72,5.80,5.59,5.79,555100,5.79
2016-09-15,5.67,5.76,5.56,5.71,88100,5.71
2016-09-14,5.65,5.77,5.61,5.67,136500,5.67
2016-09-13,5.76,5.87,5.64,5.65,108600,5.65
2016-09-12,5.55,5.86,5.55,5.83,152500,5.83
2016-09-09,5.80,5.80,5.58,5.58,205700,5.58
2016-09-08,5.88,5.88,5.78,5.81,116300,5.81
2016-09-07,5.72,5.89,5.71,5.88,197700,5.88
2016-09-06,5.72,5.77,5.63,5.70,136800,5.70
2016-09-02,5.62,5.75,5.60,5.75,165400,5.75
2016-09-01,5.57,5.64,5.56,5.62,177600,5.62
2016-08-31,5.67,5.71,5.56,5.57,112600,5.57
2016-08-30,5.76,5.78,5.65,5.70,152400,5.70
2016-08-29,5.79,5.84,5.73,5.75,156300,5.75
2016-08-26,5.82,5.94,5.74,5.78,188200,5.78
2016-08-25,5.70,5.83,5.64,5.81,248400,5.81
2016-08-24,5.70,5.80,5.65,5.70,322600,5.70
2016-08-23,5.60,5.72,5.60,5.66,269900,5.66
2016-08-22,5.60,5.67,5.53,5.60,197000,5.60
2016-08-19,5.24,5.63,5.22,5.57,289300,5.57
2016-08-18,5.26,5.27,5.23,5.23,98500,5.23
2016-08-17,5.25,5.30,5.23,5.24,150600,5.24
2016-08-16,5.22,5.31,5.20,5.25,148400,5.25
2016-08-15,5.14,5.26,5.14,5.26,200000,5.26
2016-08-12,5.12,5.25,5.09,5.16,255500,5.16
2016-08-11,5.13,5.20,5.11,5.13,355700,5.13
2016-08-10,5.01,5.16,5.01,5.11,234300,5.11
2016-08-09,4.97,5.14,4.95,5.09,247700,5.09
2016-08-08,4.91,4.94,4.84,4.93,287700,4.93
2016-08-05,4.81,5.15,4.81,4.94,255900,4.94
2016-08-04,5.11,5.18,5.02,5.10,401700,5.10
2016-08-03,5.93,5.93,4.74,5.15,2061800,5.15
2016-08-02,6.98,7.03,6.85,6.85,203500,6.85
2016-08-01,6.81,6.99,6.62,6.98,334900,6.98
2016-07-29,6.77,6.79,6.60,6.77,195500,6.77
2016-07-28,6.73,6.79,6.70,6.77,245500,6.77
2016-07-27,6.69,6.75,6.67,6.74,471100,6.74
2016-07-26,6.61,6.70,6.59,6.66,273700,6.66
2016-07-25,6.65,6.66,6.60,6.62,204300,6.62
2016-07-22,6.60,6.65,6.55,6.63,62400,6.63
2016-07-21,6.62,6.70,6.56,6.58,130000,6.58
2016-07-20,6.62,6.68,6.57,6.62,89900,6.62
2016-07-19,6.59,6.69,6.47,6.59,140900,6.59
2016-07-18,6.50,6.85,6.40,6.59,330700,6.59
2016-07-15,6.14,6.49,6.09,6.46,132500,6.46
2016-07-14,6.23,6.30,6.09,6.12,157800,6.12
2016-07-13,6.12,6.29,6.11,6.22,214000,6.22
2016-07-12,6.12,6.21,6.09,6.15,220000,6.15
2016-07-11,6.07,6.19,6.02,6.11,192600,6.11
2016-07-08,5.86,6.14,5.86,6.03,185600,6.03
2016-07-07,5.98,6.15,5.80,5.82,215200,5.82
2016-07-06,5.94,6.05,5.87,5.98,284400,5.98
2016-07-05,5.95,6.19,5.81,5.95,182700,5.95
2016-07-01,5.91,6.09,5.86,6.04,166200,6.04
2016-06-30,6.00,6.04,5.73,5.84,354400,5.84
2016-06-29,6.04,6.29,5.91,5.96,132800,5.96
