Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,98.800003,99.449997,98.419998,98.959999,44800,98.959999
2016-11-30,102.550003,102.550003,100.599998,101.00,61600,101.00
2016-11-29,103.110001,103.50,102.849998,102.970001,34600,102.970001
2016-11-28,104.00,104.349998,103.150002,103.839996,39000,103.839996
2016-11-25,104.290001,105.50,104.099998,104.160004,8700,104.160004
2016-11-23,105.059998,105.059998,103.339996,103.879997,35100,103.879997
2016-11-22,103.989998,105.00,103.639999,104.610001,102100,104.610001
2016-11-21,103.779999,105.00,103.370003,104.690002,120400,104.290005
2016-11-18,103.129997,103.959999,103.129997,103.220001,36200,102.825621
2016-11-17,102.800003,104.790001,101.599998,103.690002,59600,103.293826
2016-11-16,104.199997,105.00,104.010002,104.699997,65000,104.299962
2016-11-15,101.989998,104.75,101.660004,104.209999,42900,103.811836
2016-11-14,100.32,101.00,99.650002,100.410004,26200,100.026359
2016-11-11,99.68,99.900002,99.099998,99.82,19600,99.43861
2016-11-10,99.779999,100.010002,98.099998,99.980003,43800,99.598002
2016-11-09,99.889999,101.230003,99.00,101.150002,81300,100.76353
2016-11-08,97.010002,97.300003,96.18,96.800003,22400,96.430152
2016-11-07,96.00,97.019997,96.00,96.260002,34700,95.892214
2016-11-04,95.389999,96.18,95.370003,95.400002,9500,95.035499
2016-11-03,95.610001,95.779999,94.910004,95.370003,17200,95.005615
2016-11-02,96.110001,96.239998,95.440002,95.559998,18300,95.194884
2016-11-01,98.50,98.50,97.43,97.620003,18600,97.247018
2016-10-31,99.25,99.400002,98.419998,98.800003,17800,98.42251
2016-10-28,98.160004,98.690002,97.919998,98.129997,5800,97.755064
2016-10-27,98.800003,98.900002,97.839996,98.040001,14400,97.665412
2016-10-26,98.32,98.32,97.010002,97.699997,37600,97.326707
2016-10-25,96.809998,97.290001,96.709999,96.839996,15500,96.469992
2016-10-24,97.239998,97.239998,96.449997,96.809998,14200,96.440108
2016-10-21,96.290001,98.080002,96.290001,96.75,6300,96.38034
2016-10-20,97.209999,97.32,96.599998,96.699997,12700,96.330528
2016-10-19,97.800003,98.230003,97.720001,97.75,10300,97.376519
2016-10-18,97.800003,98.239998,97.43,97.779999,12900,97.406403
2016-10-17,96.019997,96.480003,95.540001,95.769997,29300,95.404081
2016-10-14,95.949997,96.239998,95.879997,96.099998,26700,95.732822
2016-10-13,95.419998,95.650002,94.970001,95.440002,27700,95.075347
2016-10-12,95.889999,95.980003,95.25,95.639999,16100,95.27458
2016-10-11,96.370003,96.370003,95.400002,95.68,24300,95.314428
2016-10-10,96.910004,97.220001,96.349998,96.550003,27600,96.181107
2016-10-07,95.639999,96.169998,95.099998,95.57,23500,95.204848
2016-10-06,95.599998,95.800003,95.300003,95.510002,19600,95.14508
2016-10-05,96.160004,96.260002,95.550003,95.730003,29700,95.36424
