Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,11.60,11.85,11.60,11.75,14800,11.75
2016-11-30,11.50,12.05,11.49,11.55,22900,11.55
2016-11-29,11.55,11.60,11.40,11.45,6500,11.45
2016-11-28,11.90,11.90,11.30,11.40,50800,11.40
2016-11-25,11.70,11.90,11.15,11.90,7700,11.90
2016-11-23,12.00,12.10,11.50,11.80,28700,11.80
2016-11-22,11.75,12.05,11.55,11.95,45200,11.95
2016-11-21,11.85,12.15,11.35,11.60,46700,11.60
2016-11-18,11.95,12.55,11.55,11.75,103000,11.75
2016-11-17,12.00,12.00,11.35,12.00,37800,12.00
2016-11-16,12.05,12.35,11.85,12.05,18700,12.05
2016-11-15,11.55,12.05,11.40,12.05,33500,12.05
2016-11-14,12.40,12.40,11.40,11.55,26500,11.55
2016-11-11,12.30,12.80,12.03,12.35,46400,12.35
2016-11-10,12.25,12.85,12.25,12.45,32900,12.45
2016-11-09,10.85,12.25,10.65,12.10,46800,12.10
2016-11-08,11.86,12.20,11.60,11.85,26600,11.65
2016-11-07,11.35,12.00,10.57,12.00,25700,11.797468
2016-11-04,13.10,13.10,11.20,11.60,23400,11.40422
2016-11-03,13.40,13.40,13.15,13.20,23800,12.977215
2016-11-02,13.65,13.65,13.30,13.30,12200,13.075527
2016-11-01,13.90,13.90,13.60,13.70,10300,13.468776
2016-10-31,13.95,14.10,13.85,13.90,18200,13.6654
2016-10-28,13.75,14.05,13.75,14.05,12000,13.812869
2016-10-27,14.20,14.20,13.80,13.85,8400,13.616245
2016-10-26,14.50,14.50,14.00,14.10,7200,13.862025
2016-10-25,14.80,14.80,14.11,14.55,17400,14.30443
2016-10-24,14.46,14.90,14.31,14.80,9200,14.550211
2016-10-21,14.00,14.50,14.00,14.40,10800,14.156961
2016-10-20,14.20,14.20,14.00,14.15,6100,13.911181
2016-10-19,13.75,14.60,13.75,13.90,6700,13.6654
2016-10-18,13.65,14.05,13.45,13.70,16100,13.468776
2016-10-17,13.70,13.70,13.45,13.50,12500,13.272152
2016-10-14,13.71,13.71,13.57,13.60,10000,13.370464
2016-10-13,13.45,13.61,13.45,13.57,6900,13.34097
2016-10-12,13.62,13.69,13.56,13.61,6800,13.380295
2016-10-11,13.63,13.80,13.56,13.68,10500,13.449114
2016-10-10,13.52,13.66,13.47,13.60,9300,13.370464
2016-10-07,13.70,13.70,13.30,13.40,6600,13.173839
2016-10-06,13.68,13.95,13.62,13.80,7700,13.567089
2016-10-05,13.22,13.69,13.22,13.65,9400,13.41962
2016-10-04,13.28,13.28,13.00,13.23,7300,13.006708
2016-10-03,13.23,13.53,13.15,13.32,8800,13.095189
2016-09-30,13.31,13.31,13.08,13.24,28500,13.01654
2016-09-29,13.22,13.23,13.03,13.21,12700,12.987046
2016-09-28,13.30,13.30,13.17,13.27,12900,13.046034
2016-09-27,13.27,13.37,13.12,13.17,24200,12.947721
2016-09-26,13.85,13.90,13.25,13.37,20300,13.144346
2016-09-23,13.84,14.06,13.65,13.69,17700,13.458945
2016-09-22,13.68,13.83,13.53,13.71,24000,13.478607
2016-09-21,13.84,13.94,13.38,13.51,26800,13.281983
2016-09-20,13.60,13.86,13.60,13.70,14200,13.468776
2016-09-19,13.38,13.84,13.26,13.55,13200,13.321308
2016-09-16,13.32,13.50,13.12,13.41,38200,13.183671
2016-09-15,13.12,13.60,13.12,13.32,31900,13.095189
2016-09-14,13.55,13.55,13.09,13.20,25700,12.977215
2016-09-13,13.71,13.77,13.26,13.61,39900,13.380295
2016-09-12,13.54,13.80,13.24,13.73,21900,13.498269
2016-09-09,13.46,14.07,13.46,13.59,15600,13.360633
2016-09-08,13.85,14.06,13.85,14.02,17200,13.783376
2016-09-07,13.55,13.84,13.51,13.80,31000,13.567089
2016-09-06,13.19,13.62,13.19,13.57,31900,13.34097
2016-09-02,13.61,13.76,13.16,13.25,37700,13.026371
2016-09-01,14.05,14.28,13.56,13.64,15900,13.409789
2016-08-31,14.07,14.25,13.79,14.13,54800,13.891519
2016-08-30,13.84,14.26,13.60,13.96,13500,13.724388
2016-08-29,13.49,13.83,13.45,13.78,19600,13.547426
2016-08-26,13.72,13.83,13.31,13.49,20200,13.26232
2016-08-25,14.00,14.01,13.60,13.74,29200,13.508101
2016-08-24,14.49,14.50,13.88,14.10,17300,13.862025
2016-08-23,14.62,14.80,14.34,14.38,20900,14.137299
2016-08-22,14.30,14.71,14.30,14.52,19400,14.274937
2016-08-19,14.27,14.71,14.20,14.63,36900,14.38308
2016-08-18,14.30,14.57,14.21,14.38,34600,14.137299
2016-08-17,14.53,14.57,14.31,14.31,15100,14.068481
2016-08-16,14.35,14.60,13.77,14.60,39600,14.353587
2016-08-15,14.03,14.51,14.02,14.29,17800,14.048818
2016-08-12,14.03,14.13,13.95,14.00,21700,13.763713
2016-08-11,13.86,14.14,13.71,14.00,13900,13.763713
2016-08-10,14.33,14.39,13.76,13.79,22900,13.557257
2016-08-09,14.20,14.43,14.19,14.27,23400,14.029156
2016-08-08,14.38,14.42,14.13,14.27,15000,14.029156
2016-08-05,13.63,14.33,13.30,14.28,20900,14.038987
2016-08-04,13.90,14.01,13.67,13.71,25700,13.478607
2016-08-03,14.09,14.23,13.86,13.90,40800,13.6654
2016-08-02,14.95,14.95,14.15,14.18,34700,13.940675
2016-08-01,15.13,15.23,14.80,14.95,18800,14.697679
2016-07-29,15.12,15.34,15.06,15.07,37100,14.815653
2016-07-28,15.14,15.32,15.08,15.25,10300,14.992616
2016-07-27,15.21,15.21,15.08,15.15,11900,14.894303
2016-07-26,15.35,15.67,15.32,15.39,20100,14.933629
2016-07-25,15.57,15.59,15.03,15.44,29200,14.982146
2016-07-22,15.50,15.57,15.41,15.45,22100,14.99185
2016-07-21,15.68,15.79,15.49,15.53,17400,15.069477
2016-07-20,15.56,15.70,15.56,15.59,30000,15.127699
2016-07-19,15.69,16.00,15.54,15.54,27800,15.079181
2016-07-18,16.15,16.309999,15.29,15.80,52100,15.331471
2016-07-15,15.73,16.10,15.55,16.059999,51400,15.583761
2016-07-14,16.299999,16.60,16.219999,16.43,41600,15.94279
2016-07-13,16.27,16.65,16.049999,16.129999,62000,15.651685
2016-07-12,15.58,16.50,15.53,16.190001,101500,15.709907
2016-07-11,15.22,15.40,15.22,15.32,37400,14.865705
2016-07-08,15.53,15.58,14.76,15.27,71500,14.817188
2016-07-07,15.19,15.38,15.10,15.37,55000,14.914222
2016-07-06,14.91,15.20,14.91,15.07,21700,14.623118
2016-07-05,14.74,15.11,14.70,15.05,58000,14.603712
2016-07-01,14.87,14.93,14.54,14.76,53600,14.322311
2016-06-30,14.95,15.01,14.84,14.93,58200,14.48727
2016-06-29,15.08,15.31,15.00,15.05,47900,14.603712
2016-06-28,15.13,15.44,14.96,15.08,33400,14.632822
2016-06-27,15.23,15.42,14.94,15.12,179400,14.671636
2016-06-24,15.92,15.92,15.01,15.40,590000,14.943332
2016-06-23,16.35,16.610001,16.23,16.33,53100,15.845755
2016-06-22,16.10,16.27,16.02,16.190001,33700,15.709907
2016-06-21,15.92,16.200001,15.76,16.07,44800,15.593464
2016-06-20,16.209999,16.75,16.049999,16.09,50300,15.612872
2016-06-17,15.81,16.139999,14.94,16.040001,69200,15.564355
2016-06-16,16.139999,16.24,15.75,15.86,49000,15.389692
2016-06-15,16.549999,17.040001,15.99,16.059999,475600,15.583761
2016-06-14,18.18,18.280001,16.360001,16.58,106500,16.088341
2016-06-13,18.07,19.540001,17.700001,17.92,38500,17.388605
2016-06-10,18.52,18.52,17.950001,18.18,31300,17.640896
2016-06-09,18.610001,18.799999,18.15,18.73,30300,18.174585
2016-06-08,18.93,18.93,18.450001,18.690001,39400,18.135772
2016-06-07,18.530001,18.799999,18.379999,18.620001,26700,18.067848
2016-06-06,19.15,19.15,18.629999,18.629999,16500,18.07755
2016-06-03,18.83,19.120001,18.559999,19.049999,30600,18.485096
2016-06-02,19.15,19.16,18.799999,18.84,18500,18.281324
2016-06-01,19.469999,19.469999,18.889999,19.139999,23500,18.572427
2016-05-31,19.290001,19.43,18.99,19.219999,26200,18.650055
2016-05-27,19.18,19.549999,19.139999,19.440001,23300,18.863532
2016-05-26,19.02,19.34,18.50,19.200001,18200,18.630649
2016-05-25,19.17,19.27,18.60,18.90,49900,18.339544
2016-05-24,20.10,20.450001,19.24,19.25,79700,18.679166
2016-05-23,19.98,20.48,19.940001,20.190001,34400,19.591292
2016-05-20,19.950001,20.200001,19.74,19.82,18100,19.232263
2016-05-19,19.809999,20.17,19.58,19.870001,30200,19.280781
2016-05-18,20.049999,20.40,19.809999,20.02,22000,19.426333
2016-05-17,19.809999,20.059999,19.709999,19.969999,18800,19.377814
2016-05-16,19.67,20.049999,19.65,19.65,22100,19.067304
2016-05-13,19.57,19.950001,19.42,19.700001,27600,19.115822
2016-05-12,19.67,20.02,19.549999,19.66,33100,19.077008
2016-05-11,19.42,20.02,19.200001,19.74,31100,19.154635
2016-05-10,19.25,19.559999,19.200001,19.34,18100,18.766497
2016-05-09,19.00,19.35,19.00,19.16,21300,18.591834
2016-05-06,18.58,19.15,16.34,19.00,13100,18.436579
2016-05-05,18.799999,18.799999,18.42,18.620001,28600,18.067848
2016-05-04,18.99,19.00,18.73,18.950001,18400,18.193993
2016-05-03,18.48,19.08,18.09,19.049999,30700,18.290002
2016-05-02,18.48,18.75,18.42,18.67,14900,17.925163
2016-04-29,18.40,18.549999,18.32,18.50,16700,17.761945
2016-04-28,18.34,18.50,18.17,18.389999,19000,17.656333
2016-04-27,17.76,18.450001,17.700001,18.370001,31900,17.637132
2016-04-26,18.59,18.59,18.110001,18.299999,22900,17.569923
2016-04-25,18.59,19.219999,18.43,18.49,16500,17.752343
2016-04-22,18.90,19.10,18.85,18.889999,7900,18.136385
2016-04-21,18.75,18.860001,18.52,18.84,7700,18.088381
2016-04-20,18.24,18.790001,18.24,18.65,5700,17.90596
2016-04-19,18.40,18.459999,18.110001,18.299999,10300,17.569923
2016-04-18,18.01,18.48,18.01,18.34,11000,17.608328
2016-04-15,18.58,18.58,18.02,18.129999,17500,17.406705
2016-04-14,18.65,18.67,17.879999,18.32,21600,17.589126
2016-04-13,18.790001,19.049999,18.450001,18.790001,28100,18.040376
2016-04-12,18.48,18.75,18.290001,18.700001,15600,17.953966
2016-04-11,18.540001,18.690001,18.200001,18.620001,18100,17.877158
2016-04-08,18.719999,18.99,17.99,18.440001,18000,17.704339
2016-04-07,18.059999,18.73,17.719999,18.59,18400,17.848354
2016-04-06,18.07,18.50,17.99,18.24,22400,17.512317
2016-04-05,17.77,18.18,17.00,17.969999,13500,17.253088
2016-04-04,17.700001,18.25,17.52,17.879999,36200,17.166679
2016-04-01,18.07,18.139999,17.879999,17.93,14500,17.214685
2016-03-31,17.84,18.24,17.360001,18.09,26500,17.368302
2016-03-30,17.99,18.379999,17.99,18.139999,18800,17.416306
2016-03-29,17.950001,18.389999,17.82,17.969999,16200,17.253088
2016-03-28,17.860001,18.030001,17.68,17.959999,28100,17.243487
2016-03-24,17.90,18.00,17.67,17.879999,17100,17.166679
2016-03-23,17.98,18.190001,17.969999,17.969999,9900,17.253088
2016-03-22,17.950001,18.25,17.110001,18.139999,12200,17.416306
2016-03-21,18.00,18.27,17.209999,18.18,27700,17.454711
2016-03-18,18.030001,18.41,17.90,17.940001,42300,17.224286
2016-03-17,18.049999,18.450001,17.709999,18.139999,43600,17.416306
2016-03-16,18.219999,18.40,17.719999,18.08,47400,17.358701
2016-03-15,18.35,18.440001,17.99,18.110001,30900,17.387504
2016-03-14,18.559999,18.790001,18.440001,18.440001,21800,17.704339
2016-03-11,18.60,19.00,18.51,18.74,31800,17.99237
2016-03-10,18.639999,18.76,18.33,18.65,18400,17.90596
2016-03-09,18.65,18.799999,18.52,18.52,14300,17.781147
2016-03-08,18.299999,18.879999,18.27,18.60,27000,17.857956
2016-03-07,17.84,18.809999,17.84,18.67,26400,17.925163
2016-03-04,18.219999,18.83,18.219999,18.379999,26500,17.646731
2016-03-03,18.139999,18.48,18.030001,18.35,18500,17.617929
2016-03-02,18.209999,18.23,18.01,18.059999,10700,17.339498
2016-03-01,17.200001,18.43,17.02,18.379999,26400,17.646731
2016-02-29,17.50,17.700001,17.01,17.450001,17300,16.753835
2016-02-26,16.98,17.73,16.969999,17.49,13800,16.792238
2016-02-25,16.139999,17.059999,16.139999,16.98,37100,16.302585
2016-02-24,16.25,16.389999,15.92,16.17,17800,15.5249
2016-02-23,15.85,16.42,15.85,16.309999,16700,15.659314
2016-02-22,16.27,16.65,15.81,16.02,27600,15.380884
2016-02-19,15.69,16.49,15.69,16.07,26900,15.428889
2016-02-18,15.85,16.110001,15.51,15.83,21200,15.198464
2016-02-17,16.190001,16.68,15.92,15.92,25300,15.092853
2016-02-16,16.700001,16.870001,16.049999,16.26,26000,15.415188
2016-02-12,16.620001,16.709999,16.299999,16.52,9200,15.661679
2016-02-11,16.219999,16.790001,16.190001,16.57,22100,15.709081
2016-02-10,16.030001,16.66,16.030001,16.52,25200,15.661679
2016-02-09,16.049999,16.469999,15.87,16.120001,12800,15.282462
2016-02-08,16.440001,16.459999,16.08,16.280001,24100,15.434149
2016-02-05,16.99,17.280001,16.379999,16.66,32800,15.794405
2016-02-04,17.02,17.059999,16.139999,16.91,13100,16.031416
2016-02-03,17.60,17.60,16.57,16.90,26700,16.021935
2016-02-02,17.860001,18.200001,17.15,17.389999,23200,16.486476
2016-02-01,18.200001,18.440001,17.84,17.90,31900,16.969979
2016-01-29,17.66,18.49,17.129999,18.309999,42600,17.358676
2016-01-28,18.02,18.790001,17.290001,17.76,24500,16.837253
2016-01-27,17.85,18.90,17.85,17.959999,24000,17.026861
2016-01-26,17.870001,18.43,17.68,18.049999,17100,17.112185
2016-01-25,17.74,17.99,17.309999,17.50,26800,16.590762
2016-01-22,18.08,18.120001,17.10,17.809999,23800,16.884655
2016-01-21,17.50,17.98,17.450001,17.52,25400,16.609723
2016-01-20,16.969999,18.030001,16.889999,17.620001,42200,16.704528
2016-01-19,17.389999,17.629999,16.790001,17.049999,29600,16.164141
2016-01-15,17.26,18.700001,16.85,17.129999,33600,16.239985
2016-01-14,18.02,18.40,17.639999,17.76,17800,16.837253
2016-01-13,18.24,18.620001,17.559999,17.90,27800,16.969979
2016-01-12,18.57,18.57,17.790001,18.34,9200,17.387118
2016-01-11,18.299999,18.49,17.93,18.450001,31500,17.491404
2016-01-08,18.889999,18.90,18.32,18.459999,31700,17.500883
2016-01-07,18.99,18.99,18.459999,18.700001,36200,17.728415
2016-01-06,19.57,19.799999,19.15,19.27,17900,18.268799
2016-01-05,19.58,19.870001,19.42,19.74,20600,18.714379
2016-01-04,19.51,19.51,18.26,19.469999,22000,18.458407
2015-12-31,19.77,20.18,19.51,19.90,36300,18.866066
2015-12-30,19.299999,19.98,19.299999,19.84,13000,18.809184
2015-12-29,19.76,20.42,19.66,20.24,13700,19.188401
2015-12-28,19.709999,19.99,19.620001,19.76,15600,18.73334
2015-12-24,19.969999,20.030001,19.389999,19.93,9500,18.894508
2015-12-23,19.93,20.129999,19.82,20.129999,27600,19.084115
2015-12-22,20.68,20.84,19.90,20.00,65300,18.960871
2015-12-21,20.469999,20.92,20.42,20.60,11900,19.529697
2015-12-18,20.23,20.700001,19.91,20.549999,47800,19.482294
2015-12-17,20.85,20.85,20.139999,20.360001,22200,19.302167
2015-12-16,20.35,20.66,19.719999,20.629999,31200,19.558137
2015-12-15,20.549999,20.59,20.24,20.299999,33700,19.245283
2015-12-14,19.40,20.709999,19.40,20.620001,40500,19.548658
2015-12-11,20.040001,20.17,19.299999,19.940001,23100,18.903988
2015-12-10,20.34,20.549999,20.040001,20.299999,24400,19.245283
2015-12-09,20.93,20.93,18.780001,20.379999,36500,19.321126
2015-12-08,21.059999,21.209999,20.75,21.059999,20100,19.965796
2015-12-07,21.379999,22.18,20.959999,21.07,23500,19.975277
2015-12-04,21.559999,22.370001,21.290001,21.58,48500,20.458779
2015-12-03,21.75,22.08,21.469999,21.65,43400,20.525142
2015-12-02,21.639999,22.059999,21.629999,21.75,57800,20.619947
2015-12-01,21.17,21.799999,20.940001,21.540001,49300,20.420858
2015-11-30,20.59,21.360001,20.59,21.16,79300,20.060601
2015-11-27,20.309999,20.76,20.280001,20.530001,25700,19.463334
2015-11-25,20.42,20.57,20.00,20.34,30600,19.283205
2015-11-24,19.790001,20.790001,19.790001,20.559999,11100,19.491774
2015-11-23,19.84,20.110001,19.83,19.950001,37400,18.913469
2015-11-20,19.75,20.24,19.65,19.93,31000,18.894508
2015-11-19,19.790001,19.950001,19.639999,19.77,196700,18.742821
2015-11-18,20.139999,20.40,19.610001,19.809999,63200,18.780742
2015-11-17,20.540001,20.60,20.18,20.290001,26600,19.235804
2015-11-16,20.15,20.84,20.15,20.360001,29500,19.302167
2015-11-13,20.120001,20.360001,20.120001,20.25,11000,19.197881
2015-11-12,20.67,20.67,20.24,20.24,36600,19.188401
2015-11-11,21.280001,21.280001,20.629999,20.68,36000,19.60554
2015-11-10,21.57,21.57,20.969999,21.17,24700,20.070082
2015-11-09,21.24,21.52,20.950001,21.42,34800,20.307092
2015-11-06,20.92,21.780001,20.790001,21.190001,41600,20.089043
2015-11-05,20.790001,21.40,20.43,20.75,28500,19.671903
2015-11-04,20.77,21.360001,20.370001,20.809999,56200,19.728785
2015-11-03,20.40,20.959999,20.200001,20.719999,28900,19.643461
2015-11-02,19.92,20.559999,19.540001,20.51,48900,19.444373
2015-10-30,20.15,20.469999,19.780001,19.780001,38700,18.752302
2015-10-29,19.959999,20.26,19.799999,20.049999,32900,19.008272
2015-10-28,19.83,20.280001,19.83,20.129999,25200,18.894506
2015-10-27,19.969999,20.02,19.700001,19.91,27400,18.688009
2015-10-26,19.85,20.08,19.59,19.99,33900,18.763099
2015-10-23,19.780001,19.91,19.450001,19.82,42800,18.603533
2015-10-22,19.66,19.709999,19.32,19.51,16200,18.31256
2015-10-21,18.459999,20.10,18.459999,19.549999,59100,18.350104
2015-10-20,19.82,19.879999,19.290001,19.40,42900,18.20931
2015-10-19,19.639999,20.07,19.379999,19.809999,35300,18.594146
2015-10-16,20.15,20.200001,19.879999,19.879999,36300,18.65985
2015-10-15,19.790001,20.26,19.76,20.049999,29500,18.819416
2015-10-14,20.41,20.43,19.77,19.77,32300,18.556602
2015-10-13,20.74,20.90,20.15,20.52,26700,19.26057
2015-10-12,20.67,20.99,19.26,20.799999,27900,19.523384
2015-10-09,20.77,20.92,20.51,20.84,19100,19.56093
2015-10-08,20.799999,21.34,17.219999,20.65,14100,19.382591
2015-10-07,20.40,20.950001,20.389999,20.85,41000,19.570316
2015-10-06,20.370001,20.43,19.98,20.190001,15500,18.950824
2015-10-05,19.950001,20.50,19.57,20.26,25300,19.016528
2015-10-02,19.780001,20.00,19.549999,19.91,50400,18.688009
2015-10-01,20.52,20.52,19.90,20.040001,42300,18.810031
2015-09-30,20.780001,20.780001,20.25,20.42,55700,19.166708
2015-09-29,20.66,20.75,20.299999,20.52,31400,19.26057
2015-09-28,20.90,21.10,20.65,20.66,29700,19.391977
2015-09-25,21.18,21.219999,20.66,20.92,47700,19.63602
2015-09-24,21.65,21.65,20.719999,20.780001,24300,19.504613
2015-09-23,21.93,22.02,21.629999,21.629999,34300,20.302442
2015-09-22,21.780001,22.200001,21.59,21.93,37300,20.58403
2015-09-21,20.780001,22.219999,20.780001,22.040001,28500,20.68728
2015-09-18,21.49,21.67,21.209999,21.65,40500,20.321215
2015-09-17,21.610001,21.91,21.57,21.67,19100,20.339988
2015-09-16,22.35,22.379999,21.540001,21.559999,19600,20.236739
2015-09-15,21.85,22.32,21.799999,22.219999,22600,20.85623
2015-09-14,21.98,22.10,21.60,21.77,207300,20.433851
2015-09-11,21.799999,21.959999,21.629999,21.90,24200,20.555871
2015-09-10,22.219999,22.290001,21.719999,21.790001,77300,20.452624
2015-09-09,22.42,22.639999,22.09,22.360001,26600,20.987639
2015-09-08,22.030001,22.68,21.940001,22.110001,37100,20.752983
2015-09-04,21.799999,22.110001,21.450001,21.74,27800,20.405691
2015-09-03,22.15,22.75,21.610001,21.809999,58000,20.471395
2015-09-02,21.559999,22.190001,21.32,22.049999,56200,20.696664
2015-09-01,20.66,22.059999,20.66,21.360001,71100,20.049015
2015-08-31,22.23,22.23,21.83,21.940001,27600,20.593417
2015-08-28,21.75,22.68,21.75,22.280001,31900,20.912549
2015-08-27,22.879999,22.879999,21.540001,21.84,60000,20.499554
2015-08-26,21.66,22.27,21.360001,22.040001,46800,20.68728
2015-08-25,22.120001,22.120001,21.120001,21.23,35100,19.926993
2015-08-24,21.82,22.34,20.65,21.68,50000,20.349374
2015-08-21,22.280001,22.700001,22.219999,22.24,63100,20.875003
2015-08-20,22.43,23.040001,22.25,22.58,32000,21.194136
2015-08-19,23.41,23.41,22.48,22.780001,46800,21.381861
2015-08-18,23.48,23.799999,23.049999,23.690001,61100,22.236009
2015-08-17,23.09,23.58,22.700001,23.52,23200,22.076443
2015-08-14,23.25,23.49,23.030001,23.129999,18100,21.710378
2015-08-13,23.34,23.57,22.84,23.35,43000,21.916877
2015-08-12,23.360001,23.58,22.59,23.469999,59300,22.029511
2015-08-11,23.01,23.68,22.879999,23.59,39600,22.142147
2015-08-10,23.120001,23.16,22.42,23.049999,28300,21.635289
2015-08-07,23.790001,23.790001,23.02,23.16,16200,21.738538
2015-08-06,23.51,24.120001,23.41,23.780001,53800,22.320486
2015-08-05,24.00,24.25,23.459999,23.59,37400,22.142147
2015-08-04,23.629999,24.00,23.469999,23.969999,34300,22.498823
2015-08-03,23.549999,23.92,23.309999,23.549999,44600,22.104601
2015-07-31,23.49,23.82,23.43,23.50,18800,22.05767
2015-07-30,23.40,23.860001,23.27,23.48,26900,22.038897
2015-07-29,23.58,23.77,23.370001,23.48,21000,22.038897
2015-07-28,23.290001,23.709999,23.049999,23.559999,50200,21.926262
2015-07-27,22.66,23.40,22.09,23.40,37000,21.777357
2015-07-24,23.60,23.60,22.549999,22.690001,23300,21.116592
2015-07-23,23.48,23.790001,22.700001,23.540001,99400,21.90765
2015-07-22,23.02,23.629999,23.00,23.26,76200,21.647066
2015-07-21,22.90,23.190001,22.799999,23.01,63500,21.414402
2015-07-20,24.32,24.32,22.66,22.889999,129400,21.302722
2015-07-17,23.90,25.07,23.90,24.530001,60300,22.829
2015-07-16,23.00,25.00,23.00,23.67,95500,22.028635
2015-07-15,23.08,23.219999,22.27,22.57,52100,21.004913
