Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,359.649994,364.00,357.209991,359.679993,33700,359.679993
2016-11-30,355.970001,359.00,355.51001,356.369995,26500,356.369995
2016-11-29,347.00,353.559998,340.230011,350.519989,22000,350.519989
2016-11-28,353.00,355.390015,349.959991,350.029999,13200,350.029999
2016-11-25,357.00,359.959991,356.220001,357.899994,6100,357.899994
2016-11-23,355.420013,359.73999,353.420013,357.480011,13400,357.480011
2016-11-22,350.209991,354.359985,348.089996,353.579987,24300,353.579987
2016-11-21,348.00,350.00,346.26001,348.48999,15400,348.48999
2016-11-18,350.73999,350.73999,345.769989,347.410004,27300,347.410004
2016-11-17,340.070007,354.299988,335.00,349.209991,45700,349.209991
2016-11-16,339.380005,340.619995,333.850006,340.130005,23600,340.130005
2016-11-15,338.329987,345.660004,334.929993,341.649994,45300,341.649994
2016-11-14,323.50,341.589996,323.50,340.899994,47300,340.899994
2016-11-11,314.48999,325.959991,313.140015,322.980011,134600,322.980011
2016-11-10,309.859985,329.450012,309.859985,314.540009,63800,314.540009
2016-11-09,289.170013,308.00,289.170013,307.160004,42900,307.160004
2016-11-08,291.829987,293.420013,283.980011,290.98999,17600,290.98999
2016-11-07,287.850006,294.00,284.26001,292.209991,33300,292.209991
2016-11-04,284.049988,287.640015,283.839996,283.959991,10700,283.959991
2016-11-03,287.980011,287.980011,284.679993,286.230011,10300,286.230011
2016-11-02,287.040009,290.809998,281.98999,286.00,17000,286.00
2016-11-01,288.98999,293.00,288.980011,291.730011,19800,291.730011
2016-10-31,289.00,291.73999,288.890015,291.00,21000,291.00
2016-10-28,288.98999,290.690002,287.709991,289.589996,12700,289.589996
2016-10-27,287.890015,291.440002,280.980011,288.660004,11800,288.660004
2016-10-26,293.00,295.98999,286.200012,288.579987,9100,288.579987
2016-10-25,291.75,294.070007,290.420013,294.070007,20000,294.070007
2016-10-24,290.350006,292.429993,290.350006,292.290009,13500,292.290009
2016-10-21,286.070007,290.440002,285.779999,289.50,19200,289.50
2016-10-20,291.429993,291.98999,284.549988,287.920013,19600,287.920013
2016-10-19,291.649994,292.799988,289.980011,291.980011,24500,291.980011
2016-10-18,291.200012,292.75,289.670013,290.880005,17500,290.880005
2016-10-17,292.73999,292.73999,289.25,289.589996,20100,289.589996
2016-10-14,293.329987,296.00,291.00,292.200012,22600,292.200012
2016-10-13,291.98999,293.399994,290.070007,291.25,25900,291.25
2016-10-12,292.559998,296.100006,292.559998,294.440002,17000,294.440002
2016-10-11,295.679993,295.679993,292.109985,294.070007,33300,294.070007
2016-10-10,295.00,296.959991,293.230011,295.049988,15800,295.049988
2016-10-07,292.880005,295.26001,290.399994,293.390015,26500,293.390015
2016-10-06,286.269989,295.51001,286.269989,293.600006,19700,293.600006
2016-10-05,293.399994,295.070007,291.519989,292.630005,30700,292.630005
2016-10-04,292.00,293.980011,291.00,291.470001,16400,291.470001
2016-10-03,291.799988,294.01001,289.299988,290.670013,15200,290.670013
2016-09-30,287.00,294.50,287.00,293.890015,36800,293.890015
2016-09-29,287.980011,290.00,286.350006,286.910004,36100,286.910004
2016-09-28,285.679993,287.420013,284.119995,287.399994,24300,287.399994
2016-09-27,287.130005,287.130005,282.00,285.470001,24700,285.470001
2016-09-26,281.940002,283.420013,279.630005,281.929993,26700,281.929993
2016-09-23,285.23999,285.23999,282.26001,282.640015,9800,282.640015
2016-09-22,281.170013,285.720001,280.440002,285.720001,19400,285.720001
2016-09-21,280.679993,281.549988,276.640015,279.980011,12300,279.980011
2016-09-20,278.779999,280.50,278.00,279.609985,7800,279.609985
2016-09-19,281.149994,281.690002,276.480011,280.040009,16000,280.040009
2016-09-16,282.820007,283.00,276.019989,280.820007,67700,280.820007
2016-09-15,281.339996,282.980011,276.51001,281.859985,20100,281.859985
2016-09-14,278.75,280.630005,275.269989,276.799988,17500,276.499994
2016-09-13,281.869995,283.170013,277.029999,279.26001,25300,278.95735
2016-09-12,277.420013,286.040009,277.420013,283.76001,25800,283.452473
2016-09-09,281.559998,285.01001,280.230011,280.519989,14300,280.215964
2016-09-08,287.529999,288.48999,283.149994,286.820007,15100,286.509154
2016-09-07,281.820007,288.50,281.820007,287.26001,17100,286.94868
2016-09-06,286.859985,286.859985,281.369995,282.779999,17200,282.473524
2016-09-02,285.00,286.630005,283.149994,284.809998,12500,284.501323
2016-09-01,284.899994,286.00,283.00,284.98999,7700,284.681121
2016-08-31,283.649994,285.720001,281.429993,284.910004,25200,284.601221
2016-08-30,281.700012,284.929993,275.339996,283.899994,16900,283.592306
2016-08-29,276.890015,284.459991,276.890015,282.160004,17300,281.854201
2016-08-26,281.450012,281.450012,274.769989,277.799988,21400,277.498911
2016-08-25,277.98999,284.00,277.399994,280.410004,15100,280.106098
2016-08-24,277.690002,278.450012,273.540009,276.119995,17000,275.820739
2016-08-23,279.98999,282.730011,275.640015,278.200012,12500,277.898501
2016-08-22,278.200012,279.230011,275.799988,278.00,10000,277.698706
2016-08-19,278.450012,279.140015,276.48999,278.579987,9700,278.278064
2016-08-18,277.470001,279.00,275.50,278.570007,15600,278.268096
2016-08-17,273.00,278.869995,273.00,277.850006,30500,277.548875
2016-08-16,275.359985,277.160004,271.970001,273.429993,13800,273.133652
2016-08-15,273.519989,276.339996,270.570007,276.339996,8200,276.040501
2016-08-12,271.220001,274.48999,270.00,272.230011,4800,271.93497
2016-08-11,270.75,272.809998,270.309998,271.730011,15200,271.435512
2016-08-10,269.98999,271.600006,267.850006,270.23999,17500,269.947106
2016-08-09,268.01001,269.850006,268.01001,269.850006,11500,269.557545
2016-08-08,269.50,269.50,265.700012,268.600006,8000,268.3089
2016-08-05,258.98999,269.170013,258.75,267.51001,38000,267.220085
2016-08-04,260.00,260.00,257.070007,257.899994,14200,257.620484
2016-08-03,256.809998,260.100006,256.809998,260.089996,7500,259.808113
2016-08-02,256.149994,260.48999,256.149994,258.269989,14100,257.990078
2016-08-01,260.970001,260.970001,257.209991,260.829987,8300,260.547301
2016-07-29,258.50,261.899994,258.50,259.779999,15600,259.498451
2016-07-28,262.450012,262.799988,256.299988,261.779999,13200,261.496284
2016-07-27,265.440002,265.690002,253.949997,261.790009,28700,261.506283
2016-07-26,257.190002,264.799988,257.190002,264.799988,9300,264.513
2016-07-25,263.799988,263.799988,258.839996,260.399994,14500,260.117775
2016-07-22,262.149994,264.089996,260.00,263.730011,8200,263.444183
2016-07-21,263.170013,263.170013,260.399994,260.839996,15300,260.5573
2016-07-20,262.559998,264.579987,261.049988,261.73999,19900,261.456319
2016-07-19,262.799988,265.48999,260.350006,262.559998,19300,262.275437
2016-07-18,268.01001,269.440002,261.679993,263.059998,14300,262.774895
2016-07-15,269.399994,269.869995,265.00,268.190002,11600,267.89934
2016-07-14,265.279999,269.98999,263.100006,267.899994,13100,267.609646
2016-07-13,261.01001,264.950012,259.390015,262.109985,11000,261.825913
2016-07-12,258.619995,263.619995,258.26001,262.98999,19700,262.704964
2016-07-11,255.009995,256.609985,254.309998,256.470001,18300,256.192041
2016-07-08,247.169998,256.079987,247.169998,254.600006,34200,254.324073
2016-07-07,247.00,247.949997,245.600006,247.00,22000,246.732304
2016-07-06,247.020004,250.830002,246.100006,247.00,19800,246.732304
2016-07-05,248.139999,250.490005,248.139999,249.029999,10600,248.760102
2016-07-01,257.519989,258.619995,253.979996,253.979996,30700,253.704734
2016-06-30,249.600006,258.970001,248.50,258.910004,31700,258.629399
2016-06-29,238.139999,246.479996,238.139999,245.199997,27200,244.934251
2016-06-28,233.350006,239.00,232.50,236.470001,12800,236.213717
2016-06-27,237.009995,237.009995,229.509995,230.539993,22100,230.290136
2016-06-24,246.789993,255.50,239.539993,239.979996,27400,239.719908
2016-06-23,253.75,259.950012,253.75,259.779999,20500,259.498451
2016-06-22,254.660004,255.809998,250.770004,250.779999,9500,250.508206
2016-06-21,250.210007,252.639999,247.070007,252.389999,11700,252.116461
2016-06-20,243.970001,251.369995,242.139999,250.210007,18600,249.938831
2016-06-17,245.070007,248.75,241.199997,241.399994,45400,241.138367
2016-06-16,247.160004,247.929993,243.369995,244.139999,16700,243.875403
2016-06-15,250.740005,252.899994,248.940002,249.00,11000,248.430455
2016-06-14,249.210007,251.119995,247.970001,248.380005,12900,247.811878
2016-06-13,248.649994,252.979996,248.649994,250.199997,11700,249.627707
2016-06-10,249.679993,254.899994,249.679993,252.270004,8900,251.69298
2016-06-09,255.160004,259.290009,253.970001,255.889999,18400,255.304695
2016-06-08,253.470001,260.100006,241.929993,258.600006,9600,258.008503
2016-06-07,259.00,259.00,255.729996,256.26001,8900,255.673859
2016-06-06,255.839996,262.359985,255.839996,259.660004,18700,259.066076
2016-06-03,255.279999,257.600006,252.309998,255.990005,14000,255.404472
2016-06-02,256.029999,259.609985,255.619995,258.399994,15800,257.808948
2016-06-01,258.200012,260.339996,255.00,257.570007,11500,256.98086
2016-05-31,257.359985,261.399994,257.359985,259.059998,14600,258.467442
2016-05-27,256.23999,259.970001,255.309998,259.100006,10000,258.507359
2016-05-26,258.480011,258.839996,255.699997,256.700012,7000,256.112855
2016-05-25,258.709991,262.48999,257.859985,259.980011,11000,259.385351
2016-05-24,252.990005,259.220001,252.990005,259.00,23100,258.407582
2016-05-23,252.00,253.50,250.449997,251.740005,18800,251.164193
2016-05-20,250.990005,253.00,250.990005,252.419998,10900,251.842631
2016-05-19,250.100006,252.410004,247.949997,249.600006,8600,249.029089
2016-05-18,242.839996,251.490005,242.839996,251.00,18200,250.425881
2016-05-17,251.699997,251.699997,241.380005,242.600006,26600,242.0451
2016-05-16,247.50,258.730011,247.070007,250.889999,13000,250.316132
2016-05-13,252.080002,254.339996,249.190002,250.679993,20800,250.106605
2016-05-12,252.800003,254.429993,250.119995,252.509995,17500,251.932421
2016-05-11,252.970001,253.289993,250.110001,251.009995,11000,250.435852
2016-05-10,248.660004,252.779999,248.660004,252.580002,16700,252.002268
2016-05-09,250.199997,250.199997,248.00,248.50,11700,247.931599
2016-05-06,246.740005,251.440002,246.740005,251.190002,9600,250.615448
