Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,16.25,16.27,16.01,16.129999,109800,16.129999
2016-11-30,16.10,16.24,16.049999,16.18,157500,16.18
2016-11-29,16.530001,16.639999,16.43,16.50,859900,16.07
2016-11-28,16.99,17.09,16.85,17.07,123700,16.625146
2016-11-25,16.90,17.00,16.690001,17.00,73000,16.55697
2016-11-23,16.799999,16.82,16.73,16.809999,73300,16.371921
2016-11-22,16.60,16.93,16.48,16.690001,82300,16.255049
2016-11-21,16.23,16.629999,16.190001,16.59,100100,16.157655
2016-11-18,16.00,16.25,15.85,16.219999,86800,15.797297
2016-11-17,16.219999,16.280001,15.93,16.00,146100,15.583031
2016-11-16,15.90,16.15,15.90,16.120001,59400,15.699904
2016-11-15,16.32,16.43,15.88,15.90,64700,15.485636
2016-11-14,16.110001,16.52,16.01,16.34,78800,15.91417
2016-11-11,16.18,16.18,15.89,15.96,72000,15.544073
2016-11-10,15.85,16.690001,15.84,16.23,133200,15.807036
2016-11-09,15.34,15.92,15.34,15.75,100400,15.339546
2016-11-08,15.37,15.47,15.29,15.46,83300,15.057103
2016-11-07,15.03,15.37,15.03,15.36,67900,14.959709
2016-11-04,14.68,15.08,14.68,15.06,61700,14.667528
2016-11-03,14.73,14.74,14.56,14.68,94500,14.297431
2016-11-02,14.79,14.79,14.33,14.62,89200,14.238994
2016-11-01,15.04,15.08,14.67,14.75,53800,14.365606
2016-10-31,15.25,15.31,14.95,14.98,71300,14.589612
2016-10-28,15.56,15.73,15.15,15.23,115100,14.833097
2016-10-27,15.61,15.75,15.45,15.49,70700,15.086321
2016-10-26,15.76,15.79,15.60,15.64,38000,15.232413
2016-10-25,15.74,15.78,15.66,15.74,66000,15.329806
2016-10-24,15.61,15.73,15.60,15.73,63300,15.320067
2016-10-21,15.65,15.74,15.60,15.61,42500,15.203194
2016-10-20,15.66,15.70,15.60,15.64,26000,15.232413
2016-10-19,15.63,15.69,15.60,15.61,27100,15.203194
2016-10-18,15.58,15.70,15.51,15.62,31500,15.212934
2016-10-17,15.65,15.65,15.48,15.50,39200,15.096061
2016-10-14,15.68,15.71,15.36,15.53,49700,15.125279
2016-10-13,15.75,15.75,15.62,15.64,25100,15.232413
2016-10-12,15.86,15.87,15.75,15.83,52700,15.417461
2016-10-11,15.87,15.87,15.79,15.86,31000,15.446679
2016-10-10,15.80,15.89,15.72,15.88,49100,15.466158
2016-10-07,15.80,15.87,15.70,15.75,77400,15.339546
2016-10-06,15.84,15.84,15.70,15.79,21500,15.378503
2016-10-05,15.84,15.86,15.76,15.84,36700,15.427201
2016-10-04,15.88,15.88,15.70,15.79,30800,15.378503
2016-10-03,15.79,15.90,15.70,15.86,52300,15.446679
2016-09-30,15.84,15.90,15.75,15.75,68600,15.339546
2016-09-29,15.80,15.86,15.76,15.80,75300,15.388243
2016-09-28,15.90,15.90,15.76,15.83,57000,15.417461
2016-09-27,15.86,15.90,15.77,15.87,34300,15.456418
2016-09-26,15.81,15.95,15.79,15.81,58800,15.397983
2016-09-23,15.87,16.040001,15.83,15.83,79000,15.417461
2016-09-22,15.65,15.96,15.59,15.76,98900,15.349285
2016-09-21,15.56,15.77,15.56,15.67,50900,15.261631
2016-09-20,15.29,15.81,15.27,15.49,71300,15.086321
2016-09-19,15.57,15.63,15.29,15.30,28900,14.901273
2016-09-16,15.39,15.53,15.27,15.47,137700,15.066843
2016-09-15,15.12,15.42,15.12,15.31,60100,14.911013
2016-09-14,15.25,15.43,15.21,15.25,64800,14.852576
2016-09-13,15.86,15.86,15.05,15.22,123300,14.823358
2016-09-12,16.00,16.00,15.78,15.96,68800,15.544073
2016-09-09,16.00,16.129999,15.90,15.93,49900,15.514855
2016-09-08,16.00,16.190001,16.00,16.10,92900,15.680425
2016-09-07,15.86,16.139999,15.86,16.10,109900,15.680425
2016-09-06,16.16,16.40,16.110001,16.33,195300,15.524594
2016-09-02,16.18,16.25,16.09,16.16,73700,15.362978
2016-09-01,16.07,16.219999,15.95,16.139999,42200,15.343964
2016-08-31,16.27,16.27,15.96,16.15,63700,15.353471
2016-08-30,16.25,16.32,16.18,16.209999,83100,15.410512
2016-08-29,16.00,16.25,15.98,16.25,64400,15.44854
2016-08-26,16.01,16.24,16.01,16.110001,67200,15.315445
2016-08-25,16.18,16.23,15.98,16.059999,77700,15.26791
2016-08-24,16.030001,16.18,15.92,16.129999,54500,15.334457
2016-08-23,15.94,16.059999,15.90,16.049999,59700,15.258403
2016-08-22,15.82,15.93,15.77,15.90,63600,15.115801
2016-08-19,15.84,15.85,15.70,15.81,57900,15.030241
2016-08-18,15.84,15.85,15.76,15.79,35000,15.011227
2016-08-17,16.040001,16.190001,15.61,15.79,90100,15.011227
2016-08-16,15.99,16.16,15.93,16.030001,60300,15.239391
2016-08-15,15.97,16.07,15.91,15.98,71800,15.191856
2016-08-12,15.82,16.040001,15.82,15.90,77500,15.115801
2016-08-11,15.86,15.93,15.80,15.84,63200,15.058761
2016-08-10,15.76,15.86,15.74,15.86,96700,15.077774
2016-08-09,15.81,15.90,15.78,15.80,41900,15.020734
