Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,36.00,36.599998,35.400002,36.200001,21800,36.200001
2016-11-30,36.00,36.25,35.849998,35.900002,26700,35.900002
2016-11-29,36.00,36.099998,35.759998,35.950001,27500,35.950001
2016-11-28,35.849998,37.299999,35.50,35.900002,44700,35.800002
2016-11-25,34.450001,36.130001,34.450001,35.799999,28200,35.700278
2016-11-23,33.349998,34.950001,33.200001,34.700001,47900,34.603344
2016-11-22,33.200001,33.599998,33.099998,33.200001,56900,33.107522
2016-11-21,33.299999,33.450001,32.98,33.00,54300,32.908078
2016-11-18,33.400002,33.75,33.049999,33.150002,83900,33.057662
2016-11-17,32.950001,33.849998,32.450001,33.400002,31000,33.306966
2016-11-16,33.049999,33.450001,29.65,33.00,42200,32.908078
2016-11-15,33.00,33.900002,32.950001,33.200001,33300,33.107522
2016-11-14,33.349998,33.900002,32.950001,33.099998,48000,33.007798
2016-11-11,32.799999,33.50,29.75,32.950001,55500,32.858218
2016-11-10,33.700001,34.200001,32.700001,33.00,45700,32.908078
2016-11-09,32.200001,33.50,31.809999,33.450001,29000,33.356826
2016-11-08,31.60,32.049999,31.60,32.00,6100,31.910864
2016-11-07,31.50,31.799999,31.129999,31.75,21100,31.66156
2016-11-04,31.450001,31.67,31.049999,31.10,23900,31.013371
2016-11-03,31.35,31.700001,31.25,31.549999,18100,31.462117
2016-11-02,31.50,31.700001,31.200001,31.40,15900,31.312535
2016-11-01,31.00,31.50,30.950001,31.450001,24900,31.362397
2016-10-31,31.799999,31.799999,31.299999,31.40,22900,31.312535
2016-10-28,32.75,32.75,30.90,31.700001,30200,31.6117
2016-10-27,32.849998,32.950001,32.669998,32.75,18100,32.658775
2016-10-26,32.650002,32.900002,32.060001,32.650002,14500,32.559055
2016-10-25,32.900002,33.25,32.799999,32.849998,19400,32.758495
2016-10-24,33.00,33.150002,32.799999,32.849998,19500,32.758495
2016-10-21,32.900002,32.950001,32.75,32.849998,38700,32.758495
2016-10-20,33.00,33.25,32.66,32.950001,22000,32.858218
2016-10-19,32.349998,32.799999,30.33,32.650002,10900,32.559055
2016-10-18,31.700001,32.25,31.700001,32.049999,9900,31.960724
2016-10-17,31.299999,31.85,31.15,31.50,24100,31.412257
2016-10-14,31.450001,31.450001,31.16,31.190001,11400,31.103121
2016-10-13,31.68,31.85,31.299999,31.34,15600,31.252702
2016-10-12,31.65,31.83,31.639999,31.74,10700,31.651588
2016-10-11,31.690001,31.85,31.469999,31.540001,28600,31.452146
2016-10-10,31.370001,31.629999,31.290001,31.469999,10600,31.38234
2016-10-07,31.00,31.49,30.870001,31.299999,10400,31.212813
2016-10-06,30.65,31.10,30.469999,30.92,8600,30.833872
2016-10-05,29.76,30.709999,29.76,30.639999,7700,30.554652
2016-10-04,29.860001,29.969999,29.389999,29.76,26600,29.677104
2016-10-03,29.49,29.68,29.24,29.530001,12400,29.447745
2016-09-30,29.780001,30.17,29.42,29.639999,15300,29.557437
2016-09-29,30.120001,30.15,29.459999,29.59,13000,29.507577
2016-09-28,30.42,30.440001,30.00,30.18,11100,30.095934
2016-09-27,30.299999,30.74,30.16,30.50,9000,30.415042
2016-09-26,30.200001,30.620001,30.040001,30.43,17100,30.345237
2016-09-23,30.530001,30.799999,30.299999,30.41,5400,30.325293
2016-09-22,30.780001,30.780001,30.450001,30.65,6300,30.564624
2016-09-21,30.75,30.879999,30.75,30.76,2600,30.674318
2016-09-20,30.50,30.690001,30.280001,30.629999,10000,30.544679
2016-09-19,30.370001,30.379999,30.07,30.379999,3800,30.295376
2016-09-16,29.959999,30.68,29.790001,30.139999,29600,30.056044
2016-09-15,29.549999,30.129999,29.52,29.879999,4300,29.796768
2016-09-14,30.17,30.17,29.10,29.27,9400,29.188469
2016-09-13,30.34,30.59,29.68,29.719999,8600,29.637214
2016-09-12,30.280001,30.690001,29.799999,30.66,4700,30.574596
2016-09-09,30.700001,30.700001,30.09,30.09,6100,30.006184
2016-09-08,30.389999,30.85,30.389999,30.690001,4500,30.604513
2016-09-07,30.51,30.799999,30.27,30.389999,10200,30.305348
2016-09-06,30.85,30.85,29.950001,30.450001,11700,30.365182
2016-09-02,30.719999,30.879999,30.49,30.85,5500,30.764068
2016-09-01,29.85,30.98,29.85,30.540001,13000,30.454932
2016-08-31,29.059999,29.940001,29.059999,29.90,10500,29.816713
2016-08-30,29.16,29.870001,29.16,29.43,3100,29.348023
2016-08-29,29.34,29.50,27.280001,29.280001,3700,29.128636
2016-08-26,29.309999,29.690001,29.309999,29.459999,2100,29.307704
2016-08-25,29.360001,29.58,28.91,29.299999,1700,29.148531
2016-08-24,29.700001,29.83,28.51,29.219999,5600,29.068944
2016-08-23,29.51,29.93,29.459999,29.459999,7600,29.307704
2016-08-22,29.23,29.620001,29.23,29.620001,2900,29.466878
2016-08-19,29.49,29.50,28.610001,29.23,13200,29.078893
2016-08-18,29.34,29.709999,28.50,29.620001,17700,29.466878
2016-08-17,28.65,29.60,28.65,29.139999,12400,28.989358
2016-08-16,28.969999,29.85,28.969999,29.52,11900,29.367395
2016-08-15,29.25,29.700001,28.299999,29.66,4700,29.50667
2016-08-12,29.59,29.59,28.690001,29.030001,3800,28.879928
2016-08-11,28.870001,29.549999,28.76,29.360001,6200,29.208222
2016-08-10,29.290001,29.379999,28.809999,29.059999,3600,28.909772
2016-08-09,29.030001,29.50,29.030001,29.42,6700,29.267911
2016-08-08,29.120001,29.219999,28.879999,28.90,1900,28.750599
2016-08-05,29.17,29.469999,28.889999,29.26,6200,29.108739
2016-08-04,29.059999,29.08,28.799999,28.799999,1700,28.651116
2016-08-03,29.059999,29.43,28.790001,29.059999,3800,28.909772
2016-08-02,28.42,29.26,28.42,28.98,4000,28.830185
2016-08-01,29.58,29.59,29.32,29.360001,2900,29.208222
2016-07-29,29.35,29.629999,27.67,29.540001,9900,29.387292
2016-07-28,27.51,29.59,27.51,29.34,5100,29.188325
2016-07-27,29.00,29.360001,28.940001,29.120001,5000,28.969463
2016-07-26,29.450001,29.450001,29.00,29.139999,8700,28.989358
2016-07-25,29.18,29.43,29.18,29.27,1700,29.118687
2016-07-22,28.93,29.57,28.90,29.57,5100,29.417135
2016-07-21,28.85,29.41,28.74,29.030001,8700,28.879928
2016-07-20,30.41,30.41,29.83,29.91,8500,29.755378
