Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,14.85,14.85,14.63,14.63,1600,14.63
2016-11-30,15.05,15.065,14.98,14.99,500,14.99
2016-11-29,15.24,15.24,15.16,15.16,1200,15.16
2016-11-28,15.19,15.19,15.16,15.16,200,15.16
2016-11-25,15.40,15.40,15.19,15.27,700,15.27
2016-11-23,15.23,15.23,15.23,15.23,1400,15.23
2016-11-22,15.22,15.24,15.219,15.24,1500,15.24
2016-11-21,15.13,15.14,15.13,15.14,700,15.14
2016-11-18,15.20,15.20,15.20,15.20,300,15.20
2016-11-17,15.075,15.13,15.07,15.10,2400,15.10
2016-11-16,14.978,15.00,14.948,14.948,2600,14.948
2016-11-15,14.85,14.85,14.85,14.85,1000,14.85
2016-11-14,14.98,14.98,14.80,14.846,2200,14.846
2016-11-11,14.76,14.89,14.76,14.89,6800,14.89
2016-11-10,14.988,14.988,14.988,14.988,000,14.988
2016-11-09,14.936,14.988,14.936,14.988,400,14.988
2016-11-08,15.06,15.06,15.06,15.06,000,15.06
2016-11-07,15.04,15.06,15.04,15.06,400,15.06
2016-11-04,14.59,14.59,14.551,14.551,400,14.551
2016-11-03,14.59,14.59,14.59,14.59,000,14.59
2016-11-02,14.66,14.66,14.59,14.59,200,14.59
2016-11-01,14.84,14.85,14.76,14.76,7600,14.76
2016-10-31,14.85,14.85,14.85,14.85,000,14.85
2016-10-28,14.857,14.857,14.85,14.85,300,14.85
2016-10-27,15.09,15.09,15.09,15.09,000,15.09
2016-10-26,15.09,15.09,15.09,15.09,000,15.09
2016-10-25,15.19,15.19,15.09,15.09,2700,15.09
2016-10-24,15.00,15.00,15.00,15.00,000,15.00
2016-10-21,15.00,15.00,15.00,15.00,000,15.00
2016-10-20,15.00,15.00,15.00,15.00,000,15.00
2016-10-19,15.00,15.00,15.00,15.00,000,15.00
2016-10-18,15.00,15.00,15.00,15.00,100,15.00
2016-10-17,15.00,15.00,15.00,15.00,000,15.00
2016-10-14,15.00,15.00,15.00,15.00,000,15.00
2016-10-13,15.00,15.00,14.99,15.00,6100,15.00
2016-10-12,15.00,15.11,15.00,15.11,1000,15.11
2016-10-11,15.315,15.315,15.05,15.05,1800,15.05
2016-10-10,15.34,15.34,15.323,15.323,500,15.323
2016-10-07,15.31,15.31,15.25,15.25,300,15.25
2016-10-06,15.52,15.52,15.37,15.45,1700,15.45
2016-10-05,15.52,15.52,15.464,15.464,900,15.464
2016-10-04,15.434,15.434,15.434,15.434,400,15.434
2016-10-03,15.54,15.54,15.477,15.52,1600,15.52
2016-09-30,15.39,15.429,15.39,15.429,500,15.429
2016-09-29,15.44,15.46,15.34,15.34,4800,15.34
2016-09-28,15.29,15.29,15.29,15.29,000,15.29
2016-09-27,15.29,15.29,15.29,15.29,000,15.29
2016-09-26,15.29,15.29,15.29,15.29,000,15.29
2016-09-23,15.42,15.42,15.262,15.29,4500,15.29
2016-09-22,15.32,15.32,15.32,15.32,1000,15.32
2016-09-21,15.05,15.05,15.04,15.04,400,15.04
2016-09-20,15.08,15.08,15.08,15.08,500,15.08
2016-09-19,15.20,15.21,15.185,15.20,4400,15.20
2016-09-16,15.229,15.229,15.229,15.229,000,15.229
2016-09-15,15.227,15.229,15.227,15.229,200,15.229
2016-09-14,14.94,14.94,14.94,14.94,000,14.94
2016-09-13,14.94,14.94,14.94,14.94,200,14.94
