Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,6.60,6.60,6.60,6.60,000,6.60
2016-11-30,6.60,6.60,6.50,6.60,2000,6.60
2016-11-29,6.50,6.50,6.50,6.50,2600,6.50
2016-11-28,6.47,6.47,6.47,6.47,000,6.47
2016-11-25,6.47,6.47,6.47,6.47,000,6.47
2016-11-23,6.40,6.50,6.40,6.47,1900,6.47
2016-11-22,5.19,6.75,5.19,6.75,4700,6.75
2016-11-21,6.32,6.75,6.30,6.75,2300,6.75
2016-11-18,6.40,6.40,6.40,6.40,000,6.40
2016-11-17,6.20,6.45,6.20,6.40,9800,6.40
2016-11-16,6.35,6.35,6.20,6.20,200,6.20
2016-11-15,6.40,6.40,6.35,6.35,300,6.35
2016-11-14,6.15,6.40,5.00,5.00,2000,5.00
2016-11-11,6.40,6.40,6.40,6.40,100,6.40
2016-11-10,6.75,6.75,6.75,6.75,000,6.75
2016-11-09,6.75,6.75,6.75,6.75,700,6.75
2016-11-08,6.50,6.50,6.49,6.49,1200,6.49
2016-11-07,6.49,6.50,6.49,6.50,2000,6.50
2016-11-04,6.50,6.50,6.50,6.50,800,6.50
2016-11-03,6.00,8.00,5.44,6.25,2500,6.25
2016-11-02,6.00,6.00,6.00,6.00,200,6.00
2016-11-01,5.95,6.00,5.50,6.00,700,6.00
2016-10-31,5.99,5.99,5.99,5.99,200,5.99
2016-10-28,5.50,5.50,5.45,5.45,700,5.45
2016-10-27,6.20,6.20,6.20,6.20,000,6.20
2016-10-26,6.20,6.20,6.20,6.20,000,6.20
2016-10-25,6.20,6.20,6.20,6.20,000,6.20
2016-10-24,0.60,0.62,0.60,0.62,2100,6.20
2016-10-21,0.58,0.60,0.56,0.60,1800,6.00
2016-10-20,0.58,0.58,0.58,0.58,600,5.80
2016-10-19,0.58,0.58,0.58,0.58,400,5.80
2016-10-18,0.57,0.58,0.57,0.58,400,5.80
2016-10-17,0.57,0.60,0.56,0.56,2700,5.60
2016-10-14,0.54,0.57,0.54,0.57,100,5.70
2016-10-13,0.60,0.60,0.60,0.60,000,6.00
2016-10-12,0.60,0.60,0.48,0.60,800,6.00
2016-10-11,0.55,0.55,0.55,0.55,700,5.50
2016-10-10,0.60,0.60,0.50,0.55,800,5.50
2016-10-07,0.55,0.55,0.55,0.55,1200,5.50
2016-10-06,0.53,0.53,0.53,0.53,500,5.30
2016-10-05,0.55,0.55,0.55,0.55,000,5.50
2016-10-04,0.55,0.55,0.50,0.55,700,5.50
2016-10-03,0.60,0.60,0.48,0.48,300,4.80
2016-09-30,0.52,0.52,0.52,0.52,2500,5.20
2016-09-29,0.47,0.52,0.47,0.50,1300,5.00
2016-09-28,0.50,0.50,0.48,0.48,4400,4.80
2016-09-27,0.50,0.50,0.49,0.50,8300,5.00
2016-09-26,0.50,0.50,0.49,0.50,800,5.00
2016-09-23,0.50,0.50,0.49,0.49,1000,4.90
2016-09-22,0.49,0.50,0.46,0.50,600,5.00
2016-09-21,0.50,0.50,0.49,0.49,700,4.90
2016-09-20,0.49,0.50,0.49,0.50,300,5.00
2016-09-19,0.50,0.50,0.50,0.50,700,5.00
2016-09-16,0.49,0.50,0.49,0.50,800,5.00
2016-09-15,0.52,0.52,0.50,0.51,1300,5.10
2016-09-14,0.52,0.52,0.51,0.52,300,5.20
2016-09-13,0.52,0.52,0.52,0.52,000,5.20
2016-09-12,0.51,0.52,0.51,0.52,300,5.20
2016-09-09,0.52,0.52,0.52,0.52,000,5.20
2016-09-08,0.50,0.50,0.50,0.50,000,5.00
2016-09-07,0.50,0.50,0.50,0.50,000,5.00
2016-09-06,0.50,0.50,0.50,0.50,000,5.00
2016-09-02,0.50,0.50,0.50,0.50,200,5.00
2016-09-01,0.50,0.50,0.50,0.50,000,5.00
2016-08-31,0.50,0.50,0.50,0.50,100,5.00
2016-08-30,0.53,0.53,0.53,0.53,3200,5.30
2016-08-29,0.50,0.50,0.50,0.50,000,5.00
2016-08-26,0.50,0.53,0.50,0.50,8200,5.00
2016-08-25,0.50,0.50,0.50,0.50,100,5.00
2016-08-24,0.50,0.50,0.50,0.50,000,5.00
2016-08-23,0.50,0.50,0.50,0.50,000,5.00
2016-08-22,0.50,0.50,0.50,0.50,300,5.00
2016-08-19,0.50,0.50,0.50,0.50,100,5.00
2016-08-18,0.50,0.50,0.50,0.50,100,5.00
2016-08-17,0.50,0.50,0.50,0.50,200,5.00
2016-08-16,0.50,0.50,0.50,0.50,1000,5.00
2016-08-15,0.50,0.50,0.50,0.50,100,5.00
2016-08-12,0.50,0.50,0.50,0.50,100,5.00
2016-08-11,0.50,0.50,0.50,0.50,200,5.00
2016-08-10,0.50,0.50,0.50,0.50,300,5.00
2016-08-09,0.50,0.50,0.50,0.50,000,5.00
2016-08-08,0.50,0.50,0.50,0.50,200,5.00
2016-08-05,0.53,0.53,0.53,0.53,000,5.30
2016-08-04,0.50,0.53,0.50,0.53,100,5.30
2016-08-03,0.53,0.53,0.53,0.53,000,5.30
2016-08-02,0.53,0.53,0.53,0.53,000,5.30
2016-08-01,0.53,0.53,0.53,0.53,100,5.30
2016-07-29,0.53,0.54,0.51,0.54,9700,5.40
2016-07-28,0.53,0.53,0.53,0.53,000,5.30
2016-07-27,0.49,0.54,0.49,0.54,1000,5.40
2016-07-26,0.50,0.50,0.50,0.50,000,5.00
2016-07-25,0.50,0.50,0.50,0.50,200,5.00
2016-07-22,0.53,0.53,0.50,0.50,2300,5.00
2016-07-21,0.55,0.55,0.51,0.51,200,5.10
2016-07-20,0.52,0.55,0.46,0.51,6800,5.10
2016-07-19,0.52,0.55,0.52,0.55,200,5.50
2016-07-18,0.55,0.55,0.48,0.55,300,5.50
2016-07-15,0.50,0.55,0.50,0.55,500,5.50
2016-07-14,0.55,0.55,0.50,0.55,1000,5.50
2016-07-13,0.55,0.55,0.55,0.55,000,5.50
2016-07-12,0.55,0.55,0.55,0.55,1600,5.50
2016-07-11,0.55,0.55,0.55,0.55,1000,5.50
2016-07-08,0.55,0.55,0.55,0.55,700,5.50
2016-07-07,0.55,0.55,0.53,0.55,1100,5.50
2016-07-06,0.55,0.55,0.55,0.55,1000,5.50
2016-07-05,0.50,0.55,0.50,0.55,300,5.50
2016-07-01,0.58,0.58,0.50,0.55,900,5.50
2016-06-30,0.60,0.60,0.60,0.60,1000,6.00
2016-06-29,0.60,0.60,0.60,0.60,300,6.00
2016-06-28,0.51,0.52,0.50,0.52,5700,5.20
2016-06-27,0.55,0.55,0.45,0.51,5300,5.10
2016-06-24,0.55,0.55,0.55,0.55,300,5.50
2016-06-23,0.57,0.57,0.57,0.57,100,5.70
2016-06-22,0.58,0.58,0.57,0.57,100,5.70
2016-06-21,0.55,0.55,0.55,0.55,000,5.50
2016-06-20,0.55,0.55,0.55,0.55,200,5.50
2016-06-17,0.55,0.55,0.55,0.55,3800,5.50
2016-06-16,0.50,0.55,0.50,0.55,1100,5.50
2016-06-15,0.50,0.50,0.50,0.50,000,5.00
2016-06-14,0.50,0.50,0.36,0.50,1700,5.00
2016-06-13,0.47,0.50,0.47,0.50,11600,5.00
2016-06-10,0.49,0.49,0.49,0.49,000,4.90
2016-06-09,0.49,0.49,0.49,0.49,000,4.90
2016-06-08,0.49,0.49,0.49,0.49,000,4.90
2016-06-07,0.49,0.49,0.49,0.49,100,4.90
2016-06-06,0.47,0.47,0.47,0.47,000,4.70
2016-06-03,0.45,0.47,0.45,0.47,200,4.70
2016-06-02,0.47,0.47,0.47,0.47,000,4.70
2016-06-01,0.47,0.47,0.47,0.47,000,4.70
2016-05-31,0.47,0.47,0.47,0.47,100,4.70
2016-05-27,0.46,0.46,0.46,0.46,1000,4.60
2016-05-26,0.48,0.48,0.48,0.48,000,4.80
2016-05-25,0.48,0.48,0.48,0.48,000,4.80
2016-05-24,0.48,0.48,0.48,0.48,000,4.80
2016-05-23,0.48,0.48,0.48,0.48,000,4.80
2016-05-20,0.49,0.49,0.48,0.48,2200,4.80
2016-05-19,0.49,0.49,0.49,0.49,200,4.90
2016-05-18,0.49,0.49,0.49,0.49,000,4.90
2016-05-17,0.49,0.49,0.49,0.49,100,4.90
2016-05-16,0.49,0.49,0.49,0.49,000,4.90
2016-05-13,0.49,0.49,0.49,0.49,100,4.90
2016-05-12,0.49,0.49,0.49,0.49,100,4.90
2016-05-11,0.49,0.49,0.49,0.49,000,4.90
2016-05-10,0.49,0.49,0.49,0.49,000,4.90
2016-05-09,0.49,0.49,0.49,0.49,000,4.90
2016-05-06,0.37,0.49,0.37,0.49,500,4.90
2016-05-05,0.30,0.49,0.30,0.49,200,4.90
2016-05-04,0.49,0.49,0.49,0.49,000,4.90
2016-05-03,0.49,0.49,0.49,0.49,000,4.90
2016-05-02,0.49,0.49,0.49,0.49,000,4.90
2016-04-29,0.49,0.49,0.49,0.49,200,4.90
2016-04-28,0.49,0.49,0.49,0.49,000,4.90
2016-04-27,0.50,0.50,0.49,0.49,3000,4.90
2016-04-26,0.49,0.49,0.49,0.49,800,4.90
2016-04-25,0.50,0.50,0.50,0.50,400,5.00
2016-04-22,0.50,0.50,0.48,0.48,3700,4.80
2016-04-21,0.48,0.50,0.48,0.48,3300,4.80
2016-04-20,0.48,0.48,0.48,0.48,300,4.80
2016-04-19,0.50,0.50,0.50,0.50,100,5.00
2016-04-18,0.50,0.50,0.50,0.50,400,5.00
2016-04-15,0.50,0.50,0.50,0.50,000,5.00
2016-04-14,0.50,0.50,0.50,0.50,1000,5.00
2016-04-13,0.50,0.50,0.50,0.50,000,5.00
2016-04-12,0.50,0.50,0.50,0.50,000,5.00
2016-04-11,0.50,0.50,0.50,0.50,000,5.00
2016-04-08,0.50,0.50,0.50,0.50,000,5.00
2016-04-07,0.50,0.50,0.50,0.50,200,5.00
2016-04-06,0.50,0.50,0.50,0.50,000,5.00
2016-04-05,0.50,0.50,0.50,0.50,000,5.00
2016-04-04,0.50,0.50,0.50,0.50,100,5.00
2016-04-01,0.50,0.50,0.50,0.50,100,5.00
2016-03-31,0.50,0.55,0.50,0.52,1300,5.20
2016-03-30,0.50,0.50,0.50,0.50,100,5.00
2016-03-29,0.50,0.50,0.50,0.50,000,5.00
