Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,5.30,5.46,5.23,5.40,1547900,5.40
2016-11-30,5.80,5.80,5.24,5.37,4272400,5.37
2016-11-29,5.86,5.91,5.77,5.90,667600,5.90
2016-11-28,5.90,5.90,5.79,5.84,432500,5.84
2016-11-25,5.74,5.89,5.74,5.89,592300,5.89
2016-11-23,5.76,5.82,5.73,5.76,536600,5.76
2016-11-22,5.75,5.80,5.73,5.76,609900,5.76
2016-11-21,5.73,5.76,5.70,5.73,561400,5.73
2016-11-18,5.67,5.73,5.57,5.70,1111000,5.70
2016-11-17,5.70,5.72,5.65,5.69,474900,5.69
2016-11-16,5.65,5.70,5.62,5.67,518200,5.67
2016-11-15,5.72,5.72,5.64,5.67,444000,5.67
2016-11-14,5.60,5.68,5.60,5.67,544500,5.67
2016-11-11,5.60,5.66,5.55,5.60,524800,5.60
2016-11-10,5.50,5.59,5.50,5.59,681300,5.59
2016-11-09,5.25,5.53,5.21,5.48,878700,5.42
2016-11-08,5.30,5.37,5.25,5.37,658000,5.311204
2016-11-07,5.25,5.29,5.22,5.28,440900,5.22219
2016-11-04,5.12,5.20,5.10,5.13,506000,5.073832
2016-11-03,5.16,5.16,5.11,5.13,438400,5.073832
2016-11-02,5.17,5.22,5.12,5.16,836900,5.103504
2016-11-01,5.36,5.41,5.19,5.22,1420800,5.162847
2016-10-31,5.56,5.56,5.39,5.39,1085400,5.330985
2016-10-28,5.50,5.57,5.47,5.52,616900,5.459562
2016-10-27,5.63,5.63,5.50,5.51,751600,5.449672
2016-10-26,5.66,5.68,5.55,5.59,789500,5.528796
2016-10-25,5.67,5.71,5.66,5.69,308500,5.627701
2016-10-24,5.69,5.71,5.62,5.63,501000,5.568358
2016-10-21,5.62,5.70,5.60,5.64,458700,5.578248
2016-10-20,5.61,5.62,5.50,5.61,414900,5.548577
2016-10-19,5.57,5.64,5.49,5.64,495300,5.578248
2016-10-18,5.49,5.55,5.47,5.53,322200,5.469453
2016-10-17,5.60,5.61,5.42,5.46,1004100,5.400219
2016-10-14,5.72,5.72,5.60,5.61,291000,5.548577
2016-10-13,5.69,5.70,5.61,5.70,439000,5.637591
2016-10-12,5.69,5.77,5.66,5.74,333200,5.677153
2016-10-11,5.80,5.81,5.75,5.78,453000,5.657373
2016-10-10,5.83,5.85,5.80,5.83,237400,5.706311
2016-10-07,5.78,5.84,5.78,5.79,377000,5.66716
2016-10-06,5.84,5.86,5.75,5.81,451200,5.686736
2016-10-05,5.79,5.86,5.79,5.84,284200,5.7161
2016-10-04,5.87,5.90,5.79,5.80,388600,5.676948
2016-10-03,5.82,5.95,5.82,5.85,559800,5.725887
2016-09-30,5.81,5.86,5.78,5.81,753800,5.686736
2016-09-29,5.81,5.83,5.75,5.78,493800,5.657373
2016-09-28,5.81,5.83,5.75,5.83,454100,5.706311
2016-09-27,5.76,5.78,5.73,5.77,373100,5.647584
2016-09-26,5.74,5.79,5.72,5.73,415400,5.608433
2016-09-23,5.75,5.80,5.72,5.72,906900,5.598645
2016-09-22,5.69,5.78,5.66,5.76,466900,5.637797
2016-09-21,5.73,5.74,5.59,5.62,801500,5.500767
2016-09-20,5.62,5.71,5.60,5.67,367900,5.549706
2016-09-19,5.57,5.67,5.55,5.59,973600,5.471404
2016-09-16,5.56,5.63,5.53,5.56,1006900,5.44204
2016-09-15,5.60,5.68,5.60,5.61,759500,5.490979
2016-09-14,5.74,5.78,5.58,5.60,1714600,5.481191
2016-09-13,5.87,5.90,5.72,5.76,822500,5.637797
2016-09-12,5.93,6.03,5.87,6.01,1061900,5.823766
2016-09-09,6.20,6.24,6.04,6.05,910600,5.862526
2016-09-08,6.23,6.27,6.21,6.23,1203400,6.036948
2016-09-07,6.26,6.27,6.24,6.24,557900,6.046638
2016-09-06,6.32,6.32,6.23,6.26,784600,6.066019
2016-09-02,6.25,6.32,6.23,6.29,543000,6.095089
2016-09-01,6.25,6.29,6.20,6.26,649400,6.066019
2016-08-31,6.28,6.29,6.15,6.27,937600,6.075709
2016-08-30,6.22,6.30,6.22,6.26,774900,6.066019
2016-08-29,6.24,6.27,6.20,6.22,989900,6.027258
2016-08-26,6.06,6.23,6.06,6.21,1245400,6.017568
2016-08-25,6.07,6.11,6.03,6.06,603700,5.872216
2016-08-24,6.05,6.15,6.04,6.07,938100,5.881906
2016-08-23,5.98,6.09,5.98,6.08,693000,5.891596
2016-08-22,5.90,6.00,5.90,5.98,745900,5.794695
2016-08-19,5.90,5.98,5.90,5.92,520900,5.736554
2016-08-18,5.80,5.93,5.80,5.89,462300,5.707484
2016-08-17,5.83,5.85,5.80,5.82,341200,5.639653
2016-08-16,5.82,5.86,5.77,5.83,479000,5.649343
2016-08-15,5.83,5.87,5.80,5.86,573300,5.678414
2016-08-12,5.75,5.83,5.74,5.80,499800,5.620273
2016-08-11,5.80,5.86,5.73,5.74,668400,5.562132
2016-08-10,5.98,6.00,5.81,5.86,1063800,5.620273
2016-08-09,5.95,6.00,5.86,5.93,1324200,5.687409
2016-08-08,5.75,5.85,5.73,5.83,1509000,5.5915
2016-08-05,5.50,5.63,5.47,5.63,981000,5.399682
2016-08-04,5.44,5.50,5.26,5.48,1111000,5.255818
2016-08-03,5.54,5.57,5.50,5.55,926600,5.322955
2016-08-02,5.60,5.60,5.55,5.56,410600,5.332546
2016-08-01,5.60,5.68,5.57,5.61,705000,5.3805
2016-07-29,5.56,5.60,5.55,5.60,566000,5.370909
2016-07-28,5.58,5.59,5.54,5.55,274700,5.322955
2016-07-27,5.55,5.61,5.54,5.57,412500,5.342137
2016-07-26,5.57,5.60,5.55,5.56,384600,5.332546
2016-07-25,5.47,5.58,5.47,5.58,710300,5.351727
2016-07-22,5.45,5.50,5.45,5.48,446300,5.255818
2016-07-21,5.49,5.49,5.40,5.46,690900,5.236637
2016-07-20,5.42,5.47,5.40,5.46,306100,5.236637
2016-07-19,5.45,5.45,5.38,5.42,371300,5.198273
2016-07-18,5.35,5.45,5.34,5.44,539800,5.217455
2016-07-15,5.28,5.38,5.25,5.34,501700,5.121546
2016-07-14,5.34,5.37,5.25,5.25,837600,5.035227
2016-07-13,5.40,5.42,5.28,5.32,547200,5.102364
2016-07-12,5.38,5.48,5.36,5.43,949600,5.150318
2016-07-11,5.22,5.40,5.22,5.38,1217000,5.102894
2016-07-08,5.15,5.24,5.13,5.21,939100,4.94165
2016-07-07,5.06,5.15,5.06,5.15,556400,4.88474
2016-07-06,5.07,5.10,5.04,5.08,397600,4.818346
2016-07-05,5.12,5.12,5.01,5.09,769900,4.827831
2016-07-01,4.88,5.09,4.86,5.09,857900,4.827831
2016-06-30,4.88,4.89,4.84,4.85,668600,4.600192
2016-06-29,4.85,4.88,4.81,4.85,461400,4.600192
2016-06-28,4.81,4.84,4.76,4.82,561800,4.571738
2016-06-27,4.85,4.86,4.72,4.75,716800,4.505343
2016-06-24,4.82,4.97,4.79,4.88,609400,4.628647
2016-06-23,4.95,4.97,4.90,4.94,465900,4.685557
2016-06-22,4.89,4.93,4.88,4.90,423500,4.647617
2016-06-21,4.85,4.93,4.83,4.90,510700,4.647617
2016-06-20,4.85,4.95,4.85,4.85,773400,4.600192
2016-06-17,4.77,4.87,4.77,4.81,1027100,4.562252
2016-06-16,4.77,4.80,4.71,4.78,558100,4.533798
2016-06-15,4.86,4.91,4.78,4.80,845200,4.552768
