Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,12.25,12.80,12.20,12.55,55500,12.55
2016-11-30,12.40,12.50,12.20,12.25,42700,12.25
2016-11-29,11.95,12.45,11.95,12.25,17200,12.25
2016-11-28,12.45,12.50,11.90,12.05,33200,12.05
2016-11-25,12.70,12.70,12.45,12.60,14100,12.60
2016-11-23,12.00,13.00,12.00,12.60,49000,12.60
2016-11-22,12.00,12.10,11.95,12.08,32100,12.08
2016-11-21,12.25,12.45,12.05,12.10,25000,12.10
2016-11-18,12.00,12.10,11.85,12.10,38800,12.10
2016-11-17,12.30,12.50,11.95,11.95,33100,11.95
2016-11-16,11.70,12.85,11.65,12.40,54200,12.40
2016-11-15,11.95,12.15,11.20,11.80,62500,11.80
2016-11-14,11.30,11.70,11.10,11.55,42000,11.55
2016-11-11,11.30,11.55,11.00,11.15,51100,11.15
2016-11-10,11.30,11.90,10.70,11.35,116500,11.35
2016-11-09,9.70,11.20,9.70,11.20,111900,11.20
2016-11-08,11.50,11.50,9.25,9.75,264400,9.75
2016-11-07,12.75,13.00,12.65,12.70,18400,12.70
2016-11-04,12.35,12.80,11.95,12.70,30700,12.70
2016-11-03,12.30,12.50,12.05,12.40,35000,12.40
2016-11-02,12.60,12.85,12.25,12.45,15200,12.45
2016-11-01,12.55,12.80,12.25,12.65,23800,12.65
2016-10-31,12.55,12.85,12.25,12.40,41100,12.40
2016-10-28,12.80,12.90,12.55,12.65,38900,12.65
2016-10-27,12.75,12.80,12.48,12.75,19700,12.75
2016-10-26,12.30,12.90,12.30,12.60,22200,12.60
2016-10-25,12.65,12.70,12.25,12.50,39800,12.50
2016-10-24,13.15,13.15,12.50,12.55,49400,12.55
2016-10-21,12.40,13.00,12.16,12.85,28600,12.85
2016-10-20,12.65,12.88,12.40,12.50,59900,12.50
2016-10-19,12.60,12.85,12.50,12.55,36700,12.55
2016-10-18,13.00,13.00,12.40,12.50,25500,12.50
2016-10-17,12.25,12.90,12.19,12.70,58000,12.70
2016-10-14,12.10,12.15,11.88,12.10,69100,12.10
2016-10-13,12.20,12.20,11.85,12.00,43600,12.00
2016-10-12,12.15,12.40,11.95,12.20,23200,12.20
2016-10-11,12.50,12.55,12.10,12.10,60000,12.10
2016-10-10,12.45,12.70,12.10,12.40,67200,12.40
2016-10-07,12.17,12.26,12.01,12.17,33400,12.17
2016-10-06,12.43,12.48,12.09,12.21,118400,12.21
2016-10-05,12.64,12.73,12.29,12.44,90900,12.44
2016-10-04,12.19,12.70,12.19,12.47,46700,12.47
2016-10-03,12.02,12.19,11.88,12.09,45000,12.09
2016-09-30,12.14,12.14,11.77,12.01,97700,12.01
2016-09-29,12.37,12.50,11.92,12.00,63400,12.00
2016-09-28,11.52,12.45,11.52,12.27,108300,12.27
2016-09-27,11.49,11.51,11.30,11.42,16900,11.42
2016-09-26,11.50,11.63,11.41,11.51,31700,11.51
2016-09-23,11.56,11.81,11.19,11.50,32600,11.50
2016-09-22,11.78,11.84,11.59,11.68,42100,11.68
2016-09-21,11.75,11.81,11.48,11.66,31800,11.66
2016-09-20,11.10,11.76,11.10,11.71,36000,11.71
2016-09-19,11.83,11.94,11.07,11.17,36400,11.17
2016-09-16,10.97,11.78,10.81,11.71,62700,11.71
2016-09-15,10.98,11.44,10.78,11.03,19500,11.03
2016-09-14,11.30,11.30,10.78,10.97,47800,10.97
2016-09-13,11.43,11.49,11.10,11.24,59400,11.24
2016-09-12,11.54,11.86,11.36,11.64,38900,11.64
2016-09-09,11.71,11.94,11.48,11.55,87300,11.55
2016-09-08,12.03,12.08,11.74,11.97,38600,11.97
2016-09-07,11.73,12.05,11.73,12.02,43900,12.02
2016-09-06,12.01,12.01,11.53,11.70,39400,11.66
2016-09-02,11.75,11.99,11.56,11.92,32700,11.879248
2016-09-01,11.98,12.08,11.47,11.55,58600,11.510513
2016-08-31,12.11,12.14,11.90,12.01,33700,11.96894
2016-08-30,12.30,12.48,12.08,12.23,32800,12.188188
2016-08-29,12.13,12.46,12.09,12.38,51000,12.337675
2016-08-26,12.05,12.29,11.72,11.98,38400,11.939042
2016-08-25,12.04,12.31,11.74,12.01,94600,11.96894
2016-08-24,11.90,12.32,11.52,12.13,47100,12.08853
2016-08-23,11.49,12.20,11.47,12.00,66400,11.958974
2016-08-22,11.22,11.55,11.19,11.48,43700,11.440752
2016-08-19,11.91,12.12,11.25,11.31,68900,11.271334
2016-08-18,11.40,11.65,11.22,11.64,103300,11.600205
2016-08-17,11.00,11.43,10.83,11.32,83800,11.281299
2016-08-16,10.06,11.04,9.96,10.98,176100,10.942461
2016-08-15,9.48,10.00,9.48,9.88,51900,9.846222
2016-08-12,9.55,9.75,9.37,9.54,71700,9.507385
