Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,3.63,3.68,3.48,3.51,21093900,3.51
2016-11-30,3.67,3.73,3.64,3.65,18102500,3.65
2016-11-29,3.74,3.76,3.66,3.67,12996800,3.67
2016-11-28,3.67,3.78,3.67,3.74,16098000,3.74
2016-11-25,3.63,3.70,3.62,3.69,5669400,3.69
2016-11-23,3.55,3.62,3.55,3.62,10192600,3.62
2016-11-22,3.54,3.60,3.52,3.59,15489400,3.59
2016-11-21,3.47,3.52,3.45,3.51,16922900,3.51
2016-11-18,3.39,3.44,3.35,3.42,12619000,3.42
2016-11-17,3.46,3.48,3.36,3.36,16905900,3.36
2016-11-16,3.30,3.47,3.28,3.43,24516700,3.43
2016-11-15,3.24,3.30,3.22,3.30,13519600,3.30
2016-11-14,3.15,3.24,3.14,3.24,15431900,3.24
2016-11-11,3.15,3.23,3.11,3.18,18804500,3.18
2016-11-10,3.23,3.26,3.15,3.16,21523500,3.16
2016-11-09,3.19,3.22,3.13,3.21,22316500,3.21
2016-11-08,3.25,3.31,3.21,3.24,27613300,3.24
2016-11-07,3.20,3.29,3.16,3.21,30989400,3.21
2016-11-04,3.17,3.24,3.10,3.12,43146000,3.12
2016-11-03,3.42,3.43,3.12,3.13,54916600,3.13
2016-11-02,3.80,3.80,3.38,3.39,85892100,3.39
2016-11-01,4.04,4.07,3.90,3.93,19346400,3.93
2016-10-31,4.05,4.09,4.00,4.02,23321700,4.02
2016-10-28,4.16,4.24,4.03,4.03,20753500,4.03
2016-10-27,4.10,4.26,4.02,4.17,24739300,4.17
2016-10-26,4.11,4.13,4.05,4.09,7883700,4.09
2016-10-25,4.10,4.14,4.07,4.11,8635300,4.11
2016-10-24,4.09,4.12,4.05,4.10,5841100,4.10
2016-10-21,4.06,4.13,4.06,4.07,11225900,4.07
2016-10-20,4.10,4.12,4.04,4.09,10307200,4.09
2016-10-19,4.12,4.13,4.04,4.09,14172600,4.09
2016-10-18,3.95,4.09,3.93,4.08,20453700,4.08
2016-10-17,3.96,3.99,3.88,3.90,11834900,3.90
