Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,8.14,8.22,8.10,8.19,109900,8.19
2016-11-30,8.28,8.28,8.04,8.14,106000,8.14
2016-11-29,7.95,8.15,7.95,8.14,107700,8.14
2016-11-28,8.07,8.13,7.95,7.98,185100,7.98
2016-11-25,8.10,8.14,8.01,8.13,127600,8.13
2016-11-23,8.07,8.18,8.04,8.07,72300,8.07
2016-11-22,8.18,8.21,8.02,8.09,174300,8.09
2016-11-21,8.18,8.22,8.06,8.14,111300,8.14
2016-11-18,8.24,8.24,8.00,8.16,208700,8.16
2016-11-17,8.12,8.15,8.05,8.15,112200,8.15
2016-11-16,8.01,8.18,8.01,8.10,146800,8.10
2016-11-15,8.15,8.16,7.96,8.05,177100,8.05
2016-11-14,8.05,8.15,8.02,8.12,210900,8.057
2016-11-11,7.86,7.99,7.86,7.96,127900,7.898241
2016-11-10,7.78,7.95,7.78,7.89,190300,7.828784
2016-11-09,7.54,7.82,7.50,7.74,291400,7.679948
2016-11-08,7.70,7.70,7.54,7.60,202300,7.541034
2016-11-07,7.68,7.76,7.55,7.62,219500,7.560879
2016-11-04,7.56,7.78,7.52,7.58,221700,7.52119
2016-11-03,8.26,8.27,7.16,7.51,752200,7.451733
2016-11-02,8.53,8.57,8.36,8.40,144200,8.334827
2016-11-01,8.53,8.64,8.50,8.53,114400,8.463819
2016-10-31,8.75,8.79,8.51,8.53,145600,8.463819
2016-10-28,8.64,8.70,8.56,8.69,94500,8.622577
2016-10-27,8.60,8.68,8.59,8.61,71600,8.543198
2016-10-26,8.79,8.79,8.59,8.59,170000,8.523354
2016-10-25,8.80,8.84,8.69,8.82,66300,8.751569
2016-10-24,8.70,8.85,8.67,8.82,91600,8.751569
2016-10-21,8.80,8.80,8.62,8.69,84800,8.622577
2016-10-20,8.76,8.79,8.70,8.79,56100,8.721802
2016-10-19,8.66,8.79,8.66,8.73,89800,8.662267
2016-10-18,8.65,8.87,8.65,8.78,138000,8.649368
2016-10-17,8.95,8.99,8.54,8.62,459000,8.491749
2016-10-14,9.10,9.15,8.95,8.99,105400,8.856244
2016-10-13,9.00,9.10,8.95,9.10,106900,8.964608
2016-10-12,8.95,9.06,8.93,9.05,79400,8.915351
2016-10-11,8.97,9.02,8.90,8.91,105200,8.777434
2016-10-10,8.98,9.05,8.96,9.02,99400,8.885798
2016-10-07,8.98,9.00,8.94,8.95,92600,8.816839
2016-10-06,8.98,9.00,8.94,8.97,104400,8.836542
2016-10-05,8.97,9.00,8.94,8.96,137300,8.82669
2016-10-04,8.95,8.99,8.90,8.95,164900,8.816839
2016-10-03,8.92,8.98,8.89,8.91,94100,8.777434
2016-09-30,8.86,8.99,8.83,8.89,160300,8.757732
2016-09-29,8.86,8.89,8.75,8.85,96300,8.718327
2016-09-28,8.81,8.87,8.72,8.86,103600,8.728178
2016-09-27,8.83,8.88,8.72,8.77,184700,8.639517
2016-09-26,8.89,8.94,8.80,8.80,91600,8.669071
2016-09-23,8.93,8.99,8.87,8.89,98100,8.757732
2016-09-22,8.89,8.97,8.87,8.90,106000,8.767582
2016-09-21,8.90,8.94,8.80,8.89,116000,8.757732
2016-09-20,8.85,8.99,8.80,8.89,273300,8.757732
2016-09-19,8.78,8.90,8.76,8.84,137900,8.708476
2016-09-16,8.80,8.84,8.70,8.77,101200,8.577454
2016-09-15,8.71,8.86,8.67,8.80,173100,8.606796
2016-09-14,8.62,8.72,8.50,8.67,129300,8.47965
2016-09-13,8.61,8.68,8.54,8.59,155000,8.401406
2016-09-12,8.68,8.72,8.28,8.68,494300,8.48943
2016-09-09,8.96,8.96,8.71,8.77,190700,8.577454
2016-09-08,8.95,8.97,8.76,8.93,227000,8.733941
2016-09-07,9.16,9.20,8.45,8.88,859600,8.685039
2016-09-06,9.21,9.21,9.12,9.18,168400,8.978453
2016-09-02,9.16,9.18,9.10,9.18,116900,8.978453
2016-09-01,9.18,9.27,9.14,9.18,166600,8.978453
2016-08-31,9.28,9.30,9.08,9.18,192700,8.978453
2016-08-30,9.22,9.29,9.10,9.24,229600,9.037135
2016-08-29,9.09,9.24,9.09,9.22,233800,9.017574
2016-08-26,9.04,9.05,8.95,9.04,138000,8.841526
2016-08-25,9.07,9.11,8.95,8.98,256400,8.782843
2016-08-24,9.09,9.09,9.01,9.04,178400,8.841526
2016-08-23,8.93,9.14,8.90,9.09,369500,8.890429
2016-08-22,8.89,8.92,8.82,8.90,149600,8.704599
2016-08-19,8.86,8.93,8.84,8.86,148400,8.665478
2016-08-18,8.86,8.90,8.84,8.87,129900,8.675258
2016-08-17,8.78,8.89,8.70,8.88,223400,8.623422
2016-08-16,8.79,8.89,8.71,8.85,453000,8.594289
2016-08-15,8.74,8.75,8.70,8.74,381500,8.487467
2016-08-12,8.60,8.71,8.60,8.68,262500,8.429201
2016-08-11,8.57,8.70,8.55,8.65,265100,8.400067
2016-08-10,8.58,8.58,8.52,8.57,300000,8.322379
2016-08-09,8.47,8.60,8.47,8.57,410700,8.322379
2016-08-08,8.12,8.41,8.10,8.38,687100,8.137869
2016-08-05,8.04,8.09,7.83,8.05,272600,7.817404
2016-08-04,8.14,8.15,8.00,8.05,305500,7.817404
2016-08-03,7.88,8.15,7.85,8.14,446600,7.904804
2016-08-02,7.64,7.81,7.64,7.80,445800,7.574628
2016-08-01,7.61,7.65,7.44,7.50,235200,7.283296
2016-07-29,7.60,7.62,7.54,7.61,143900,7.390118
2016-07-28,7.57,7.61,7.53,7.60,104200,7.380406
2016-07-27,7.58,7.60,7.52,7.55,122800,7.331851
2016-07-26,7.60,7.61,7.54,7.58,158300,7.360984
2016-07-25,7.52,7.62,7.41,7.58,201200,7.360984
2016-07-22,7.40,7.52,7.40,7.50,115600,7.283296
2016-07-21,7.50,7.50,7.31,7.41,250900,7.195896
2016-07-20,7.57,7.57,7.48,7.51,119400,7.293007
2016-07-19,7.55,7.60,7.53,7.58,143800,7.299805
2016-07-18,7.50,7.59,7.50,7.55,199300,7.270914
2016-07-15,7.45,7.53,7.43,7.51,163600,7.232393
2016-07-14,7.44,7.45,7.40,7.45,164900,7.17461
2016-07-13,7.36,7.42,7.36,7.40,134000,7.126459
2016-07-12,7.33,7.38,7.27,7.36,197000,7.087937
2016-07-11,7.32,7.38,7.27,7.33,204300,7.059046
2016-07-08,7.36,7.38,7.31,7.33,154200,7.059046
2016-07-07,7.31,7.34,7.30,7.34,125000,7.068677
2016-07-06,7.25,7.33,7.20,7.31,149300,7.039785
2016-07-05,7.22,7.28,7.19,7.26,124300,6.991634
2016-07-01,7.16,7.24,7.16,7.23,142500,6.962743
2016-06-30,7.18,7.18,7.12,7.16,117100,6.89533
2016-06-29,7.10,7.16,7.06,7.16,92000,6.89533
2016-06-28,7.05,7.10,7.02,7.07,105000,6.808657
2016-06-27,7.07,7.09,7.00,7.01,219700,6.750875
2016-06-24,7.02,7.16,7.00,7.10,207500,6.837548
2016-06-23,7.17,7.17,7.11,7.15,97400,6.8857
2016-06-22,7.12,7.18,7.07,7.10,93800,6.837548
2016-06-21,7.16,7.16,7.08,7.12,94200,6.856809
2016-06-20,7.09,7.24,7.07,7.13,271000,6.866439
2016-06-17,7.04,7.08,7.04,7.07,89700,6.808657
2016-06-16,7.00,7.06,6.99,7.06,114800,6.799027
2016-06-15,7.04,7.06,7.00,7.02,129100,6.760505
2016-06-14,7.06,7.09,7.01,7.07,207400,6.747986
2016-06-13,7.06,7.10,7.01,7.06,222200,6.738441
2016-06-10,7.06,7.07,6.98,7.04,240700,6.719352
2016-06-09,7.07,7.10,7.01,7.07,199000,6.747986
2016-06-08,7.13,7.15,7.05,7.09,168500,6.767075
2016-06-07,7.10,7.12,7.03,7.11,275000,6.786164
2016-06-06,7.01,7.10,6.93,7.09,454000,6.767075
2016-06-03,7.03,7.03,6.95,7.01,300500,6.690719
2016-06-02,7.00,7.03,6.97,7.03,146000,6.709808
2016-06-01,7.01,7.07,6.96,7.00,341200,6.681174
2016-05-31,7.06,7.09,7.00,7.02,371400,6.700263
2016-05-27,7.03,7.06,6.95,7.05,222500,6.728897
2016-05-26,6.97,7.02,6.94,7.00,214000,6.681174
2016-05-25,6.97,7.02,6.93,6.98,239900,6.662085
2016-05-24,6.95,7.00,6.83,6.92,396700,6.604818
2016-05-23,6.79,7.10,6.79,6.93,665000,6.614362
2016-05-20,6.82,6.85,6.74,6.75,174600,6.442561
2016-05-19,6.83,6.83,6.70,6.79,197100,6.480739
2016-05-18,6.81,6.88,6.80,6.83,306200,6.518917
2016-05-17,6.71,6.83,6.71,6.78,160300,6.471194
2016-05-16,6.79,6.90,6.75,6.77,178400,6.401519
2016-05-13,6.75,6.79,6.72,6.77,133000,6.401519
2016-05-12,6.75,6.78,6.71,6.75,169500,6.382608
2016-05-11,6.74,6.79,6.70,6.74,87100,6.373152
2016-05-10,6.80,6.80,6.73,6.75,162300,6.382608
2016-05-09,6.75,6.83,6.70,6.75,99900,6.382608
2016-05-06,6.77,6.83,6.70,6.74,86500,6.373152
2016-05-05,6.70,6.79,6.65,6.79,154200,6.42043
2016-05-04,6.76,6.83,6.70,6.70,130500,6.335329
2016-05-03,6.85,6.85,6.72,6.80,173700,6.429886
2016-05-02,6.95,6.97,6.81,6.84,163000,6.467709
2016-04-29,6.99,6.99,6.86,6.95,180000,6.571722
2016-04-28,6.98,7.00,6.95,6.99,107000,6.609544
2016-04-27,7.00,7.00,6.96,7.00,174200,6.619
2016-04-26,7.00,7.02,6.99,7.00,180000,6.619
2016-04-25,7.00,7.00,6.99,7.00,79000,6.619
2016-04-22,6.99,7.00,6.99,6.99,45500,6.609544
2016-04-21,7.00,7.01,6.99,6.99,71400,6.609544
2016-04-20,7.00,7.02,6.97,6.99,116100,6.609544
2016-04-19,7.04,7.05,6.99,7.03,174600,6.587797
2016-04-18,7.03,7.03,7.01,7.02,115000,6.578426
2016-04-15,7.02,7.02,6.98,7.00,59900,6.559684
2016-04-14,6.98,7.03,6.98,7.00,164000,6.559684
2016-04-13,7.00,7.01,6.97,7.00,152300,6.559684
2016-04-12,6.95,6.98,6.95,6.98,105000,6.540942
2016-04-11,6.94,7.00,6.94,6.96,79100,6.5222
2016-04-08,7.00,7.03,6.96,6.97,59500,6.531571
2016-04-07,7.00,7.03,6.98,6.99,67400,6.550312
2016-04-06,6.98,7.01,6.93,7.00,115600,6.559684
2016-04-05,7.01,7.03,6.96,6.97,97700,6.531571
2016-04-04,7.03,7.05,6.99,7.01,111500,6.569055
2016-04-01,7.01,7.02,6.97,6.99,79700,6.550312
2016-03-31,7.01,7.03,6.98,7.02,171500,6.578426
2016-03-30,7.01,7.01,6.97,6.98,97500,6.540942
