Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,25.18,25.289,25.030001,25.121,5800,25.121
2016-11-30,25.200001,25.40,25.040001,25.07,6500,25.07
2016-11-29,25.351999,25.351999,25.17,25.195,6900,25.195
2016-11-28,25.10,25.455999,25.10,25.455999,4400,25.455999
2016-11-25,25.27,25.27,25.27,25.27,000,25.27
2016-11-23,25.00,25.275,25.00,25.27,6700,25.27
2016-11-22,25.049999,25.15,25.00,25.030001,13200,25.030001
2016-11-21,25.219,25.25,25.030001,25.030001,9100,25.030001
2016-11-18,25.108,25.148001,25.099001,25.148001,4700,25.148001
2016-11-17,25.049999,25.40,25.049999,25.40,800,25.40
2016-11-16,25.25,25.25,25.00,25.158001,28400,25.158001
2016-11-15,25.305,25.325001,25.25,25.325001,1700,25.325001
2016-11-14,25.639999,25.65,25.198,25.65,10600,25.519999
2016-11-11,25.200001,25.50,25.00,25.462999,4500,25.333947
2016-11-10,25.280001,25.65,25.200001,25.238001,6700,25.110089
2016-11-09,25.25,25.50,25.25,25.32,12400,25.191672
2016-11-08,25.450001,25.450001,25.33,25.450001,10700,25.321014
2016-11-07,25.231001,25.41,25.23,25.33,16400,25.201621
2016-11-04,25.25,25.35,25.200001,25.285,24300,25.156849
2016-11-03,25.381001,25.381001,25.299999,25.35,2000,25.22152
2016-11-02,25.385,25.392,25.27,25.27,4600,25.141926
2016-11-01,25.458,25.464001,25.452999,25.464001,1300,25.334943
2016-10-31,25.24,25.459999,25.23,25.325001,4800,25.196648
2016-10-28,25.225,25.52,25.225,25.23,2500,25.102128
2016-10-27,25.447001,25.450001,25.219999,25.261999,4500,25.133965
2016-10-26,25.450001,25.450001,25.18,25.25,12700,25.122027
2016-10-25,25.450001,25.49,25.40,25.40,2200,25.271266
2016-10-24,25.299999,25.325001,25.25,25.309999,1900,25.181722
2016-10-21,25.450001,25.469999,25.25,25.40,3000,25.271266
2016-10-20,25.299999,25.370001,25.219999,25.315001,4400,25.186698
2016-10-19,25.341999,25.49,25.139999,25.379999,13000,25.251367
2016-10-18,25.469999,25.469999,25.26,25.360001,6700,25.08024
2016-10-17,25.450001,25.450001,25.391001,25.391001,1400,25.110898
2016-10-14,25.354,25.49,25.354,25.396999,2900,25.116831
2016-10-13,25.299999,25.378,25.25,25.280001,19500,25.001123
2016-10-12,25.41,25.41,25.25,25.26,9100,24.981343
2016-10-11,25.450001,25.50,25.40,25.40,6300,25.119798
2016-10-10,25.450001,25.639999,25.400999,25.60,3400,25.317592
2016-10-07,25.50,25.629999,25.32,25.502001,23500,25.220674
2016-10-06,25.667,25.68,25.40,25.41,27600,25.129688
2016-10-05,25.65,25.690001,25.334999,25.40,16200,25.119798
2016-10-04,25.549999,25.799999,25.32,25.559999,37700,25.278033
2016-10-03,25.52,25.59,25.33,25.49,9700,25.208805
2016-09-30,25.51,25.51,25.299999,25.42,18800,25.139578
2016-09-29,25.49,25.49,25.059999,25.40,38300,25.119798
2016-09-28,25.327999,25.43,25.327999,25.43,28500,25.149468
2016-09-27,25.308001,25.370001,25.25,25.26,73500,24.981343
2016-09-26,25.299999,25.50,25.25,25.40,81100,25.119798
2016-09-23,25.200001,25.290001,25.200001,25.25,3500,24.971453
2016-09-22,25.190001,25.26,24.93,25.190001,91200,24.912115
2016-09-21,25.01,25.27,24.75,24.969999,40400,24.694541
